flag	content
$T0N0	
$T0N1	
$T0N2	title:Secrets?<BR>body:This item will now always appear in any player's inventory.<BR>true:Okay
$T0N4	
$T0N6	title:Secrets?<BR>body:Defender's Quest II is happening! Check it out and get this prize!<BR>true:Okay!<BR>false:Hahaha. No.
$T0N8	
$T0N9	
$T0N10	title:Secrets?<BR>body:You can still get this by visiting the Defender's Quest II site!<BR>true:Okay!<BR>false:Never!
$T0N12	
$T1N2	title:Bonus Goodies<BR>body:Share this game on social media or join our newsletter and get this FREE prize!<BR>true:Okay!<BR>false:Hahaha. No.
$T1N4	title:Bonus Goodies<BR>body:This item will now always appear in any player's inventory.<BR>true:Okay
$T1N7	title:Bonus Goodies<BR>body:That's right, stick it to the man!<N>Have this instead!<BR>true:Okay
$T1N8	title:Bonus Goodies<BR>body:This item will now alwyas appear in any player's inventory.<BR>true:Okay
$T1N9	title:Bonus Goodies<BR>body:You can still get this by sharing the game on social media or joining our newsletter!<BR>true:Okay!<BR>false:Never!
$T1N10	title:Bonus Goodies<BR>body:You sure about that?<N>Look! It's so shiny!<BR>true:Well... okay.<BR>false:I said never!<BR>effect:shiny
$T1N13	title:Bonus Goodies<BR>body:Okay, you win!<N>You can have it anyway :)<BR>true:Victory is mine!
$T1N16	
$T1N17	title:Bonus Goodies<BR>body:Thanks for helping us on social media!<N>You already got a prize!<BR>true:Okay<BR>false:Social media sucks
$T1N21	
$T1N22	
$T1N6	title:Secrets?<BR>body:Defender's Quest II is happening! Check it out and get this prize!<BR>true:Okay!<BR>false:Hahaha. No.
