flag	content
$ENTRY_JOURNAL_INDEX_TITLE	Obsah
$ENTRY_JOURNAL_INDEX_LEFT_00	Záznamy v deníku
$ENTRY_JOURNAL_INDEX_LEFT_10	Day 1: @Kde to jsem?@
$ENTRY_JOURNAL_INDEX_LEFT_20	Noc 1: @[berserker_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_30	Den 3: @Přídavek@
$ENTRY_JOURNAL_INDEX_LEFT_40	Noc 3: @Přídavek@
$ENTRY_JOURNAL_INDEX_LEFT_50	Den 3: @Vězení@
$ENTRY_JOURNAL_INDEX_LEFT_60	Den 4: @Svět na půli cesty@
$ENTRY_JOURNAL_INDEX_LEFT_70	Den 5: @<ranger_hero>@
$ENTRY_JOURNAL_INDEX_LEFT_80	Den 8: @Přídavek@
$ENTRY_JOURNAL_INDEX_LEFT_90	Noc 7: @Vypálení Karsku@
$ENTRY_JOURNAL_INDEX_LEFT_100	Den 8: @Laksos@
$ENTRY_JOURNAL_INDEX_LEFT_110	Den 9: @[mcguffin_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_120	Den 10: @Ozimalova smrt@
$ENTRY_JOURNAL_INDEX_LEFT_130	Noc 10: @Klášter@
$ENTRY_JOURNAL_INDEX_LEFT_140	Den 11: @[healer_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_150	Den 13: @[mage_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_160	Den 14: @Nomádi@
$ENTRY_JOURNAL_INDEX_LEFT_170	Den 15: @Divný sen@
$ENTRY_JOURNAL_INDEX_RIGHT_00	Den 17: @Klenot pouště@
$ENTRY_JOURNAL_INDEX_RIGHT_10	Den 18: @[knight_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_20	Den 19: @[knight_hero] a jeho dopis@
$ENTRY_JOURNAL_INDEX_RIGHT_30	Noc 19: @Moje odpověď: první verze@
$ENTRY_JOURNAL_INDEX_RIGHT_40	Den 20: @[knight_hero] odpověděl@
$ENTRY_JOURNAL_INDEX_RIGHT_50	Den 21: @Dopis od <LQ>[knight_hero_up]<RQ>@
$ENTRY_JOURNAL_INDEX_RIGHT_60	Noc 21: @Na vědomí: [berserker_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_70	Noc 22: @[dragon_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_80	Den 24: @Přídavek@
$ENTRY_JOURNAL_INDEX_RIGHT_90	Den 25: @Druhý sen@
$ENTRY_JOURNAL_INDEX_RIGHT_100	Den 28: @Zelemirova smrt@
$ENTRY_JOURNAL_INDEX_RIGHT_110	Den 29: @Třetí Sen@
$ENTRY_JOURNAL_INDEX_RIGHT_120	Den 35: @Eztliho trůn@
$ENTRY_JOURNAL_INDEX_RIGHT_130	Den 37: @Tletl-Meztli@
$ENTRY_JOURNAL_INDEX_RIGHT_140	Den 39: @Útěk?@
$ENTRY_JOURNAL_INDEX_RIGHT_150	Den 40: @Za Zelemirem@
$ENTRY_JOURNAL_INDEX_RIGHT_160	@Epilog@
$ENTRY_JOURNAL_INTRO_TITLE	
$ENTRY_JOURNAL_INTRO_LEFT_00	Den 1 - Kde to jsem?
$ENTRY_JOURNAL_INTRO_LEFT_10	Asi jsem se zbláznila, ale přesto se pokusím zaznamenat události, které se odvíjejí před mýma očima. Čtenári nechť z toho vyvozují, co je jim libo - já budu pouze popisovat události tak, jak je ve své horečnaté mysli chápu.<N>Jedno vím jistě - taky jsem chytla ten mor, který sužuje naše hlavní město. Vím také, že jsem byla, stejně jako ostatní nemocní přede mnou, vyhnána z města a vržena do Jámy. Pak následoval tak zvláštní a hrůzný sled událostí, že stále váhám, zda sním či bdím.<N>Když mi horečka zatemnila mysl, ocitla jsem se na jakémsi temném místě. Přede mnou stála další oběť.
$ENTRY_JOURNAL_INTRO_RIGHT_00	Objevil se veliký trůn a na nem seděl muž, že podobného jsem v živote neviděla. Byl úplně celý ze zlata. Nejdřív jsem si myslela, že to musí být socha, ale najednou pronesl jakýsi rozkaz.<N>I jeho hlas působil zlatě a měl hromovou ozvěnu. Promluvil jazykem, s jakým jsem se nikdy v celé velké knihovně v Ashi nesetkala, ale moje tělo přesto vyskočilo. Žíly mi naběhly, jako by i moje krev chtěla vyrazit z mého těla a přidat se k němu.<N>Doteď se mi divoce rozbuší srdce, kdykoliv si na to vzpomenu.<N>-[mcguffin_hero] Livbar
$ENTRY_JOURNAL_SLAK_TITLE	
$ENTRY_JOURNAL_SLAK_LEFT_0_00	Noc 1 - [berserker_hero]
