flag	content
$SCENE_OPENING_TITLE	Úvod
$NARR_OPENING_00_TEXT	*Jmenuju se $MCG
$NARR_OPENING_10_TEXT	Umírám
$NARR_OPENING_20_TEXT	Na nic nečekají
$NARR_OPENING_30_TEXT	Už ani není čas pálit mrtvoly
$NARR_OPENING_40_TEXT	Prostě je vyvezou z města...
$NARR_OPENING_50_TEXT	... a hodí je do Jámy
$SCENE_WHERE_AM_I_TITLE	Svět na půli cesty
$NARR_WHERE_AM_I_00_TEXT	AKT I
$NARR_WHERE_AM_I_00_SUB_TEXT	*Jednou nohou v každém světě, duší na půli cesty,$Numírající vidí všechny věci.
$NARR_WHERE_AM_I_00_SUB_SUB_TEXT	*$N$N$N-Nomádské přísloví
$LINE_WHERE_AM_I_00_CHAR	OBĚŤ MORU
$LINE_WHERE_AM_I_00_TEXT	Cítíš ho?
$LINE_WHERE_AM_I_10_CHAR	$MCG
$LINE_WHERE_AM_I_10_TEXT	Co? Kde to jsme?
$LINE_WHERE_AM_I_20_CHAR	OBĚŤ MORU
$LINE_WHERE_AM_I_20_TEXT	Už nás volá...
$LINE_WHERE_AM_I_30_CHAR	OBĚŤ MORU
$LINE_WHERE_AM_I_30_TEXT	Pojď, musíme se k němu přidat...
$LINE_WHERE_AM_I_40_CHAR	OBĚŤ MORU
$LINE_WHERE_AM_I_40_TEXT	Už jsme skoro tam...
$LINE_WHERE_AM_I_50_CHAR	$MCG
$LINE_WHERE_AM_I_50_TEXT	Co to děláš? Zbláznil ses?
$LINE_WHERE_AM_I_60_CHAR	OBĚŤ MORU
$LINE_WHERE_AM_I_60_TEXT	Naslouchej jeho Hlasu...
$LINE_WHERE_AM_I_70_CHAR	OBĚŤ MORU
$LINE_WHERE_AM_I_70_TEXT	Tolik toho může nabídnout... stát se částí něčeho ... většího.
$LINE_WHERE_AM_I_80_CHAR	OBĚŤ MORU
$LINE_WHERE_AM_I_80_TEXT	Jen hlupák by odolal.
$LINE_WHERE_AM_I_90_CHAR	$MCG
$LINE_WHERE_AM_I_90_TEXT	Běž pryč!
$LINE_WHERE_AM_I_100_CHAR	HLAS
$LINE_WHERE_AM_I_100_TEXT	VŠICHNI SE PŘIDAJÍ. VŠICHNI SE STANOU NOSITELI.
$LINE_WHERE_AM_I_110_CHAR	$MCG
$LINE_WHERE_AM_I_110_TEXT	Dostaňte mne odtud!
$LINE_WHERE_AM_I_120_CHAR	HLAS
$LINE_WHERE_AM_I_120_TEXT	ROZKAZ.
$LINE_WHERE_AM_I_130_CHAR	$MCG
$LINE_WHERE_AM_I_130_TEXT	Nemůžu ... se .. hýbat ...
$LINE_WHERE_AM_I_140_CHAR	$MCG
$LINE_WHERE_AM_I_140_TEXT	Pomozte mi .... někdo ...
$LINE_WHERE_AM_I_150_CHAR	$BER
$LINE_WHERE_AM_I_150_TEXT	Co?! Kde to - sakra...?!
$SCENE_MEET_BERSERKER_TITLE	TAJEMNÝ NOVÝ PŘÍTEL
$LINE_MEET_BERSERKER_00_CHAR	$MCG
$LINE_MEET_BERSERKER_00_TEXT	Jejda.
$LINE_MEET_BERSERKER_10_CHAR	$MCG
$LINE_MEET_BERSERKER_10_TEXT	Co se to stalo?
