flag	name
$FLAV_DAMAGE	Poškození
$FLAV_FRENZY	Běs
$FLAV_FIRE	Oheň
$FLAV_BURN	Hoření
$FLAV_POISON	Jed
$FLAV_EVER_POISON	Trvalý jed
$FLAV_TOXIC	Toxický
$FLAV_EVER_TOXIC	Trvale toxický
$FLAV_WOUND	Zranění
$FLAV_BLEED	Krvácení
$FLAV_EVER_BLEED	Trvalé krvácení
$FLAV_BLINDED	Slepota
$FLAV_CONFUSED	Zmatení
$FLAV_DISEASE	Nemoc
$FLAV_PSI_BURN	Absorbuje energii
$FLAV_INSPIRE	Inspirace
$FLAV_INSPIRED_HIT	Inspirovaný zásah
$FLAV_STUN	Omráčení
$FLAV_SINGLE_STUN	Omráčení jednou
$FLAV_CHILL	Zchlazení
$FLAV_SLOW	Zpomalení
$FLAV_FREEZE	Zmrazení
$FLAV_LIGHT	Světlo
$FLAV_AREA	Plošný
$FLAV_DARK	Temný
$FLAV_GROW_ARMOR	Tvorba brnění
$FLAV_PHASED	Ve fázi
$FLAV_MAGIC	Magický
$FLAV_PHYSICAL	Fyzický
$FLAV_MELEE	Na blízko
$FLAV_RANGED	Na dálku
$FLAV_PHYSICAL-RANGED	Fyzický - na dálku
$FLAV_PHYSICAL_RANGED	Fyzický - na dálku
$FLAV_UNDODGEABLE	Nelze uhnout
$FLAV_REDUCE_HEALTH	Zdecimuj
$FLAV_ARMOR_PIERCE	Úder skrz brnění
$FLAV_ARMOR_IGNORE	Ignoruje brnění
$FLAV_ARMOR_BREAK	Ničí brnění
$FLAV_CRITICAL	Kritický zásah
$FLAV_KNOCK_BACK	Posun zpět
$FLAV_KNOCKBACK	Posun zpět
$FLAV_AUTOKILL	Zabití
$FLAV_DEVOUR	Pozření
$FLAV_STRIKE_THROUGH	Průraz
$FLAV_DE_INVINCIBLE	Zrušení nesmrtelnosti
$FLAV_DELAY_DAMAGE	Zpožděné poškození
$FLAV_ANONYMOUS	Anonym
$FLAV_TROLL	Status: TROLLOLOLOL
$FLAV_FB_HAPPY	Status: Štastný!
$FLAV_FB_SAD	Status: Smutný.
$FLAV_FB_LOL	Status: LOL!
$FLAV_FB_OMG	Status: OMG!
$FLAV_FB_EXISTENTIAL	Status: Existencialista.
$FLAV_FB_BORED	Status: Znuděný.
$FLAV_PSI_SHIELD	Psi štít
$FLAV_BOSS	Boss
