flag	content	comment
$BASE_ATTACK	Grundangriff
$BATTLE_STARTING_FORMATION_TEXT	Gleiche Aufstellung wie beim letzten Mal benutzen?
$BONUS_DEFENSE	Bonus-Verteidigung
$BOOK_COOL_MULT	Zauber Abklingzeit x<X>
$BOOK_COST_MULT	Zauberkosten x
$BOOK_PSI_TAX	PSI-Steuern: <X>
$CANT_AFFORD_NUMS	font:16,x_off:1,y_off:-4
$CONFIRM_QUIT_TEXT	<RE>$CONFIRM_RESTART_TEXT
$CONFIRM_QUIT_TITLE	Die Schlacht verlassen?
$CONFIRM_RES_CHANGE	Auflösung geändert.<N> Gefällt sie dir?<N><N> RÜCKGÄNGIG IN <SECONDS> SEKUNDEN.
$CONFIRM_RESTART_TEXT	Du wirst alles bis hier hin an Erfahrungspunkten und Geld verlieren.
$CONFIRM_RESTART_TITLE	Schlacht neu starten?
$DATA_DUMP_AUDIO	Exportiere Audio …
$DATA_DUMP_BACKGROUNDS	<RE>$DATA_DUMP_BKG
$DATA_DUMP_BKG	Exportiere Hintergrundbilder ...
$DATA_DUMP_CUTSCENE	Exportiere Zwischensequenz-Bilder ...
$DATA_DUMP_CUTSCENES	<RE>$DATA_DUMP_CUTSCENE
$DATA_DUMP_DATA	Exportiere Datendateien ...
$DATA_DUMP_EMBED	Exportiere eingebundene Grafiken
$DATA_DUMP_IMAGES	Exportiere Datenbilder …
$DATA_DUMP_LOCALES	Exportiere Sprachdateien ...
$DATA_DUMP_MAP_FILES	Exportiere Karten-Dateien …
$DATA_DUMP_MAP_IMAGES	Exportiere Karten-Bilder …
$DATA_DUMP_MOD_INFO	Exportiere Mod-Info …
$DATA_DUMP_MUSIC	Exportiere Musik...
$DATA_DUMP_SFX	Exportiere SFX...
$DATA_DUMP_SPRITES	Exportiere Sprites...
$DATA_DUMP_TABLES	Exportiere Datentabellen …
$DECIMATE_BY	Dezimiere um <PERCENT>%
$DEMO_OVER_ACTS	Akte<N>III & IV
$DEMO_OVER_DONT_FORGET	Vergiss deinen Spielstand nicht!
$DEMO_OVER_ENORMOUS	Klicke auf den enormen Knopf, um deine Aufgabe fortzusetzen!
$DEMO_OVER_ENORMOUS_2	Klicke auf einen enormen Knopf, um deine Aufgabe fortzusetzen!
$DEMO_OVER_EXPORT_HOW	Exportiere deinen Spielstand mit diesem Knopf.
$DEMO_OVER_FULL_GAME	Hol dir die VOLLVERSION!
$DEMO_OVER_FULL_GAME_NUMS	y_off:-15,x_off:0
$DEMO_OVER_FULL_GAME_SHORT	VOLL<N>VERSION!
$DEMO_OVER_PLAY	Bleib ein Spieler!
$DEMO_OVER_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT
$DEMO_OVER_THANKS	Vielen Dank fürs Spielen!
$DEMO_OVER_USE_IT	Benutze ihn, um dort weiterzumachen, wo du aufgehört hast!
$EN_SPELL_DRAGON_FIRE_1_DESC	<DMG> Schaden
$EN_SPELL_DRAGON_FIRE_2_DESC	<LOW>-<HIGH> Schaden
$EN_SPELL_FRENZY_DESC	<PLUS><PERCENT> Schnelle für <SEC> Sek
$EN_SPELL_HEAL_DESC	Heile: <PERCENT> TP
$END	Ende
$ERROR_CONTEXT	Kontext
$ERROR_MESSAGE	Nachricht
$ERROR_NUMBER	Fehler #
$ERROR_STACK	Stack Trace
$ERROR_TITLE	Ein Fehler ist aufgetreten.
$FB_HARD_SELL_NO	Ich sagte niemals!
$FB_HARD_SELL_TEXT	Bist du dir da sicher?<N> Schau, wie es glänzt!
$FB_HARD_SELL_YES	Na gut ... okay.
$FB_LIKE_US_NO	Hahaha. Nein.
$FB_LIKE_US_TEXT	Folge uns auf Facebook und<N>erhalte diesen Preis GRATIS!
$FB_LIKE_US_YES	Okay!
$FB_PERSISTENT_OK	Der Sieg ist mein!
$FB_PERSISTENT_TEXT	Okay, du gewinnst!<N>Du kannst es trotzdem haben :)
$FB_REBEL_TEXT	Richtig so, gib's ihnen! <N> Nimm stattdessen dies.
$FB_SECOND_PITCH	Du kannst dies immer noch kriegen, <N> indem du uns auf Facebook folgst!
$FB_SECOND_PITCH_NO	Niemals!
$FB_SECOND_PITCH_YES	Okay!
$FB_THANKS_OK	Okay
$FB_THANKS_SUCKS	Facebook stinkt
$FB_THANKS_TEXT	Danke für's Folgen auf Facebook! <N> Du hast den Preis bereits!
$FB_THIS_ITEM_WILL_NOW	Dieser Gegenstand wird nun immer in jedem Spieler-Inventar auftauchen.
$FLAV_DESC_ARMOR_BREAK_AMT_GRTR_1	Zerstört <AMT_2DIG><EXTRA> Rüstungspunkte für jeden Punkt bei „Angriff“
$FLAV_DESC_ARMOR_BREAK_AMT_LESS_1	Zerstört 1 Rüstungspunkt für jeden <INV_AMOUNT><EXTRA>. Punkt bei „Angriff“.
$FLAV_DESC_ARMOR_BREAK_DIRECT	Angriff zerstört <AMTDMG><EXTRA> Rüstungspunkte.
$FLAV_DESC_ARMOR_BREAK_SHORT	Angriff zerstört mehrere Rüstungspunkte.
$FLAV_DESC_ARMOR_PIERCE_AMT_GRTR_1	Ignoriert <AMT_1DIG><EXTRA> Rüstungspunkte für jeden Punkt bei „Angriff“.
$FLAV_DESC_ARMOR_PIERCE_AMT_LESS_1	Ignoriert 1 Rüstungspunkt für jeden <INV_AMOUNT><EXTRA>. Punkt bei „Angriff“.
$FLAV_DESC_ARMOR_PIERCE_DIRECT	Angriff ignoriert <AMTDMG><EXTRA> Rüstungspunkte.
$FLAV_DESC_ARMOR_PIERCE_SHORT	Angriff ignoriert einige Rüstungspunkte.
$FLAV_DESC_AUTO_KILL	Feinde mit weniger als <PERCENT>%<EXTRA> TP sterben automatisch.
$FLAV_DESC_AUTO_KILL_SHORT	Feinde, die schwach genug sind, sterben automatisch.
$FLAV_DESC_BLEED	Feind erleidet <PERCENT>%<EXTRA> mehr Schaden durch künftige Treffer für <TIME><EXTRA_TIME> s.
$FLAV_DESC_BLEED_SHORT	Feind erleidet zeitweise mehr Schaden durch künftige Treffer.
$FLAV_DESC_BLINDED	Feindliche Angriffe verfehlen zu <PERCENT>% <EXTRA> für <TIME> s.
$FLAV_DESC_BLINDED_SHORT	Feindliche Angriffe sind für ein paar Sekunden ungenauer.
$FLAV_DESC_BURN	Feind erleidet <AMTDMG><EXTRA> Schaden/s für <TIME><EXTRA_TIME> s. Durch Eis aufgehoben.
$FLAV_DESC_BURN_SHORT	Feind erleidet für eine kurze Zeit Schaden. Durch Eis aufgehoben.
