flag	nick_name	flavor_name	flavor_text
$EN_SLUGWORM	SCHNELL	Wurm	Schnelle Wiedergängerbrut|Diese schnellen wurmartigen Kreaturen besitzen mehrere Reihen scharfer Zähne.<N><N>Laut Augenzeugenberichten platzen sie aus großen, aufgeblähten Wiedergängern, die wochenlang verfaulten.	
$EN_NORMAL_NOMONEY	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT	
$EN_NORMAL	NORMAL	Wiedergänger	Wiederbelebte Leiche|Leichen erheben sich oft einige Tage nach ihrem Tod in der Grube.<N><N>Diese Monstrositäten sind als <LQ>Wiedergänger<RQ> bekannt, was soviel wie <LQ>die, die zurückkehren<RQ> bedeutet.	
$EN_CULTIST	KULTIST	Kultist	Verwandelter Kultist|<RE>[$EN_CULTIST_BASIC_FLAVOR_TEXT]	
$EN_ARMORED CULTIST	KULTISTEN-PRIESTER	Kultisten-Priester	Kultisten-Priester|<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>Priester, die oftmals ausgiebige Anzeichen von Selbstverstümmelung aufweisen, führen Akte ritueller Gewalt aus.<N><N><RE>[$EN_CULTIST_ACCOUNT_FLAVOR_TEXT]	
$EN_INSANE CULTIST	VERRÜCKTER KULTIST	Hohepriester	Kultisten-Hohepriester|<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>Es gibt historische Aufzeichnungen der Quaid, laut denen der Kult von einer Matriarchin mit Namen <LQ>Königin der vielen Teufel<RQ> regiert wurde. Diese zentralisierte Machtstruktur ist in den vergangenen Jahrhunderten zugunsten einer loseren Ansammlung von Hohepriestern aufgegeben worden.	
$EN_NORMAL_EXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT	
$EN_NORMAL_EXP_PSI	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT	
$EN_NORMAL_W	<RE>$EN_NORMAL_NICK_NAME	Wasser-Unhold	Schwimmender Wiedergänger|Diese Wiedergänger sondern einen klebrigen Schleim ab, der ihren Körper vor Wasser schützt.<N><N>Giftige Gase füllen ihre Abdomen, sodass sie nicht untergehen.	
$EN_ARMORED	GEPANZERT	Gefallener Ritter	Gepanzerter Wiedergänger|Diese Wiedergänger waren einst Ritter, die im Kampf fielen.<N><N>Zwar haben sie weder ihre Intelligenz noch ihr Geschick behalten, ihre Rüstung haben sie aber noch.	
$EN_SPEEDY	SCHNELL	Wurm	Schnelle Wiedergänger Brut|Diese schnellen, wurmartigen Kreaturen haben zahlreiche Reihen scharfer Zähne.<N><N>Augenzeugenberichten nach brechen sie aus großen, aufgeblähten Wiedergängern hervor, die schon seit Wochen verfaulen.	
$EN_SPEEDY_W	<RE>$EN_SPEEDY_NICK_NAME	Schlange	Schnelle, schwimmende Brut|Manche behaupten, diese schwimmenden Wurm-Wiedergänger entstehen aus im Wasser treibenden Wiedergängern.<N><N>Andere vermuten, sie entwachsen aus Leichen von Fischen und Seeschlangen.	
$EN_ARMORED SPEEDY	<RE>$EN_SPEEDY_NICK_NAME	Schalenwurm	Schnelle, gepanzerte Brut|Diese Wurm-Wiedergänger haben einen dicken Panzer entwickelt.<N><N>Viele mutmaßen, dass die gepanzerte Schale aus den verdauten Knochen der ursprünglichen Leiche besteht.	
$EN_ARMORED_SPEEDY_W	<RE>$EN_SPEEDY_NICK_NAME	Schalenschlange	Schnelle gepanzerte schwimmende Brut|Diese schwimmenden Wurm-Wiedergänger haben sowohl einen schützenden Panzer als auch die Fähigkeit zu schwimmen entwickelt.<N><N>Der Geruch von verdauten Knochen und giftigem Gas ist überwältigend.	
$EN_ATTACKER	KÄMPFER	Wütender Ghul	Kämpfender Wiedergänger|Manche Wiedergänger sind aggressiver als andere.<N><N>Während normale Wiedergänger unbeirrt ein einziges Opfer verfolgen, sind diese dafür bekannt, alles in Sichtweite anzugreifen.	
$EN_DARK ATTACKER	SCHATTEN-BOXER	Dunkler Ghul	Dunkler, kämpfender Wiedergänger|Die im Bauchraum eines Wiedergängers angestauten Gase entweichen durch Hautporen, sodass sie die Kreatur in dichten, überwältigenden Rauch einhüllen, der sowohl die Kreatur verdeckt als auch ihre Opfer verwirrt.	
$EN_ATTACKER_W	<RE>$EN_ATTACKER_NICK_NAME	Flussghul	Kämpfender, schwimmender Wiedergänger|In der Grube gibt es zahlreiche Erzählungen von stinkenden Leichen, die sich aus dem Wasser erheben und durstige Dorfbewohner angreifen.<N><N>Niemand holt allein Wasser und nur Wahnwitzige trauen sich, zu schwimmen.	
$EN_ARMORED ATTACKER	<RE>$EN_ATTACKER_NICK_NAME	Wütender Ritter	Kämpfender, gepanzerter Wiedergänger|Diese gefallenen Ritter sind bösartig und stark.<N><N>Ihre unheimlichen Schreie hallen in den Katakomben und im gesamten Ödland wider.	
$EN_RAPID_ATTACKER	SCHNELLE ATTACKE	
$EN_APC	TEILER	Monstrosität	Brutwirt|Diese aufgeblähten Leichen können sich kaum bewegen und sehen aus, als platzten sie jeden Moment.<N><N>Mehrere Münder voller Zähne entsprießen an ihren Seiten. Sie sind außerdem zu groß, um zurückgeworfen oder verschlungen zu werden.			
