flag	name	description
$ITEM_SWORD	<RE>$ITM_W_SWORD
$ITEM_BOW	<RE>$ITM_W_BOW
$ITEM_STAFF	<RE>$ITM_W_STAFF
$ITEM_LIGHT	<RE>$ITM_A_LIGHT
$ITEM_HEAVY	<RE>$ITM_A_HEAVY
$ITEM_BOOK	<RE>$ITM_ACC_BOOK	
$ITEM_WEAPON	Waffe
$ITEM_ARMOR	Rüstung
$ITM_A_LIGHT	Leichte Rüstung	<NULL>
$ITM_A_LIGHT_PLURAL	Leichte Rüstungen	<NULL>
$ITM_A_HEAVY	Schwere Rüstung	<NULL>
$ITM_A_HEAVY_PLURAL	Schwere Rüstungen	<NULL>
$ITM_W_SWORD	Schwert	<NULL>
$ITM_W_SWORD_PLURAL	Schwerter	<NULL>
$ITM_W_BOW	Bogen	<NULL>
$ITM_W_BOW_PLURAL	Bogen	<NULL>
$ITM_W_STAFF	Stab	<NULL>
$ITM_W_STAFF_PLURAL	Stäbe	<NULL>
$ITM_A_LIGHT_PLURAL_SHORT	Leichte	<NULL>
$ITM_A_HEAVY_PLURAL_SHORT	schwere	<NULL>
$ITM_W_SWORD_PLURAL_SHORT	Schwerter	<NULL>
$ITM_W_STAFF_PLURAL_SHORT	Stäbe	<NULL>
$ITM_W_BOW_PLURAL_SHORT	Bogen	<NULL>
$ITM_A_LIGHT_1	Sackleinen	Ein Leinentuch, das unter der Kleidung getragen wird. Kratzt, ist aber besser als gar nichts.
$ITM_A_LIGHT_2	Tierhäute	Getrocknete Tierhäute, die grob zu einer schützenden Weste genäht wurden. Dick und robust.
$ITM_A_LIGHT_3	Tunika des Häuptlings	Diese großartig gefärbte Nomaden-Tunika besteht aus schwerer Wolle und ist verziert mit kunstvollen Stickereien. Der Saum stellt die sich unaufhörlich windenden Wurzeln des Weltenbaums dar.
$ITM_A_LIGHT_4	Tunika aus schwerer Wolle	Eine lange, dicke Tunika aus der wertvollen Wolle nomadischer Hirten.
$ITM_A_LIGHT_5	Tigerhautweste	Quaid-Feuermotive auf dem bearbeiteten Leder sind die einzigen Hinweise auf die Herkunft dieses exotischen Kleidungsstücks.
$ITM_A_LIGHT_6	Pelz	Warme und gut gepolsterte Weste aus kostbaren Tierpelzen.
$ITM_A_LIGHT_7	Ozimals Mantel	Hat einen leichten Käse-Geruch.
$ITM_A_LIGHT_8	Leder	Ein hochwertig verarbeitetes Wams aus gehärtetem Leder.
$ITM_A_LIGHT_9	Kampfmönchskutte	Diese stark gepolsterte Mönchskutte ist mit den Symbolen der 9. Abteilung der Selini, der Hausmiliz, den Verteidigern von Wahrheit und Ordnung, verziert.
$ITM_A_LIGHT_10	Woll-Gambeson	Mehrere Lagen hochwertiger Wolle, sorgfältig gesteppt und mit Reststoffen und Tierhaaren gefüllt, um eine robuste Verteidigung gegen alle Schläge bis auf die stärksten zu leisten.
$ITM_A_LIGHT_11	Attentäter-Eselei	Auf den ersten Blick scheint es nichts weiter als das verzierte Hemd eines Adligen zu sein. Nähere Betrachtung enthüllt Reih um Reih leichter Metallplatten, die in die Innenseite des Gewands genäht sind. Ein Schnitt im Kreuz ist Hinweis darauf, dass dieses raffinierte Design mindestens einen Meuchelmörder aufgehalten hat.
$ITM_A_LIGHT_12	Seiden-Gambeson	Lage über Lage beständiger Seide zusammen gesteppt mit Pferdehaarpolsterung, um eine Rüstung zu erschaffen, die Pfeile stoppen kann, ohne dass der Träger eine Verletzung davon trägt.
$ITM_A_LIGHT_13	Herr der Bogenschützen	Dieser Gambeson ist aus der schönsten Seide gefertigt und weist komplizierte Stickereien auf, die seinen Besitzer als „Herrn der Bogenschützen“ kennzeichnen. Dutzende kleiner Ausbesserungen auf der Oberfläche deuten darauf, dass diese beispiellose Rüstung in vielen Kämpfen diente, vermutlich von einem Herrn bei seinem Abgang an den nächsten weitergegeben.
$ITM_A_LIGHT_14	Das Platin-Vlies	Viel wertvoller als ein einfaches „goldenes“. Vom Körper des Axxima Vatta Muttunaxxor selbst genommen, sucht dieses vor Glanz blendende Vlies seinesgleichen.
$ITM_A_LIGHT_15	<RE>[$ITM_A_LIGHT_3_NAME]+	<RE>[$ITM_A_LIGHT_3_DESCRIPTION]	
$ITM_A_LIGHT_16	<RE>[$ITM_A_LIGHT_5_NAME]+	<RE>[$ITM_A_LIGHT_5_DESCRIPTION]	
$ITM_A_LIGHT_17	<RE>[$ITM_A_LIGHT_7_NAME]+	<RE>[$ITM_A_LIGHT_7_DESCRIPTION]	
$ITM_A_LIGHT_18	<RE>[$ITM_A_LIGHT_9_NAME]+	<RE>[$ITM_A_LIGHT_9_DESCRIPTION]	
$ITM_A_LIGHT_19	<RE>[$ITM_A_LIGHT_11_NAME]+	<RE>[$ITM_A_LIGHT_11_DESCRIPTION]	
$ITM_A_LIGHT_20	<RE>[$ITM_A_LIGHT_13_NAME]+	<RE>[$ITM_A_LIGHT_13_DESCRIPTION]	
$ITM_A_LIGHT_21	<RE>[$ITM_A_LIGHT_14_NAME]+	<RE>[$ITM_A_LIGHT_14_DESCRIPTION]	
$ITM_A_LIGHT_22	<RE>[$ITM_A_LIGHT_1_NAME]+	<RE>[$ITM_A_LIGHT_1_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_23	<RE>[$ITM_A_LIGHT_2_NAME]+	<RE>[$ITM_A_LIGHT_2_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_24	<RE>[$ITM_A_LIGHT_4_NAME]+	<RE>[$ITM_A_LIGHT_4_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_25	<RE>[$ITM_A_LIGHT_6_NAME]+	<RE>[$ITM_A_LIGHT_6_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_26	<RE>[$ITM_A_LIGHT_8_NAME]+	<RE>[$ITM_A_LIGHT_8_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_27	<RE>[$ITM_A_LIGHT_10_NAME]+	<RE>[$ITM_A_LIGHT_10_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_28	<RE>[$ITM_A_LIGHT_12_NAME]+	<RE>[$ITM_A_LIGHT_12_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_HEAVY_1	Kettenjacke	Ein leichter Gambeson mit mehreren schlecht geschmiedeten Eisengliedern, die zusammengekettet an der Außenseite der Arme zusätzlichen Schutz bieten sollen
$ITM_A_HEAVY_2	Kettenhemd	Ein Hemd aus hunderten verbundener Metallringe, jeder einzelne davon vernietet, um ein Zerreißen zu verhindern.
$ITM_A_HEAVY_3	Pracht des Krieges	Diese herrliche Quaid-Rüstung ist feinste Mode. Jeder Metallring ist gebläut und die letzten Reihen des Hemds sind vergoldet, um einen goldenen Rand zu bilden. Die verstärkenden Platten sind mit vergoldeten Mustern verziert und tragen auffällig das Symbol der kaiserlichen Familie.  In die Metalloberfläche sind die Quaid-Worte <LQ>Wie spät es sein muss, um über diese Dinge nachzudenken<RQ> eingeritzt. Weitere Wörter sind entlang der Ecken der Platten eingeritzt, aber aufgrund der Eile, in der sie scheinbar geschrieben wurden, sind sie unleserlich.	
$ITM_A_HEAVY_4	Verstärktes Kettenhemd	Ein Kettenhemd, bei dem Metallplatten mit den Ringen verbunden sind, um den Oberkörper besser zu schützen. Standard-Ausrüstung der Quaid-Infanterie während des Krieges.
$ITM_A_HEAVY_5	Reiter-Lamellenpanzer	Dieser hochwertige Lamellen-Harnisch bietet besseren Schulter-Schutz und knielange Beintaschen, was darauf hindeutet, dass der Harnisch für schwere Kavallerie ausgelegt war. Die vergoldeten Armschienen und der Gambeson lassen erkennen, dass der Vorbesitzer ein reicher Krieger mit gutem Geschmack war. In mehrere der Platten sind kleine Schriftzeichen eingeätzt, die scheinbar zu keiner der lokalen Sprachen gehören. Die Position dieser Platten direkt über dem Herz des Träger könnten bedeuten, dass die Schrift eine Art Schutzgebet oder -zauber ist, aber das ist reine Mutmaßung.
$ITM_A_HEAVY_6	Lamellenpanzer	Dutzende kleiner Metallplatten, die mit widerstandsfähigem Seidenfaden aneinander geschnürt sind.
$ITM_A_HEAVY_7	Verräter-Harnisch	Die vergoldeten Schulterplatten dieses Plattenharnischs aus Ashen-Hand lassen vermuten, dass er wahrscheinlich einem hochrangigen Beamten gehört hat. Die Tuch-Oberfläche ist geflickt worden, aber das eingeritzte Ashen-Wort <LQ>Verräter<RQ> kann auf dem Stoff noch immer entziffert werden. Große Blutflecken verdunklen den roten Farbstoff noch weiter, aber der Rüstung wurde kein erkennbarer Schaden zugefügt.	
$ITM_A_HEAVY_8	Plattenmantel	Hervorragender Oberkörper-Schutz dank mehrerer schwerer Metall-Platten, die mit der Innenseite eines Stoff-Waffenrocks vernietet sind.
