flag	content	comment
$BASE_ATTACK	Base attack
$BATTLE_STARTING_FORMATION_TEXT	Use the same starting formation as last time?
$BATTLE_FREE_MOVE	Finger pointer
$BATTLE_MOVE	Move
$BATTLE_MOVE_MOUSE	Move mouse
$BATTLE_FINE_MOVE	Move slow
$BATTLE_TILE_MOVE	Move tile
$BATTLE_BACK	<RE>$MISC_BACK
$BATTLE_SPELLS	<RE>$STAT_DESC_SPELLS
$BATTLE_SELECT_UNIT	Select Unit
$BATTLE_MENU	<RE>$MISC_MENU
$BATTLE_MAP	map
$BATTLE_DEFENDERS	<RE>$MISC_DEFENDERS
$ACTIONS_BATTLE_MENU_MOVE	<RE>$BATTLE_MOVE
$ACTIONS_BATTLE_FREE_MOVE	<RE>$BATTLE_FREE_MOVE
$ACTIONS_BATTLE_FINE_MOVE	<RE>$BATTLE_FINE_MOVE
$ACTIONS_BATTLE_TILE_MOVE	<RE>$BATTLE_TILE_MOVE
$ACTIONS_BATTLE_SELECT	<RE>$BATTLE_SELECT_UNIT
$ACTIONS_BATTLE_BACK	<RE>$BATTLE_BACK
$ACTIONS_BATTLE_DEFENDERS	<RE>$BATTLE_DEFENDERS
$ACTIONS_BATTLE_SPELLS	Spells
$ACTIONS_BATTLE_MENU	<RE>$BATTLE_MENU
$ACTIONS_BATTLE_SPEED_MINUS	Speed down
$ACTIONS_BATTLE_SPEED_PLUS	Speed up
$ACTIONS_BATTLE_PAUSE	<RE>$MISC_PAUSE
$ACTIONS_BATTLE_CYCLE_PREVIOUS	Previous defender
$ACTIONS_BATTLE_CYCLE_NEXT	Next defender
$ACTIONS_BATTLE_SPELL_SPAM	Spell repeat
$ACTIONS_MAP_MOVE	Move cursor
$ACTIONS_MAP_SELECT	<RE>$MISC_SELECT
$ACTIONS_MAP_EXIT	<RE>$MISC_EXIT
$ACTIONS_MAP_MENU	<RE>$MISC_MENU
$ACTIONS_MAP_JOURNAL	<RE>$MISC_JOURNAL
$ACTIONS_MAP_MOVE_MAP	Move on map
$ACTIONS_MAP_SCROLL_MAP	Scroll map
$ACTIONS_CUTSCENE_SKIP	<RE>$MISC_SKIP
$ACTIONS_CUTSCENE_NEXT	<RE>$MISC_NEXT
$ACTIONS_CUTSCENE_PREVIOUS	<RE>$MISC_PREVIOUS
$BONUS_DEFENSE	Bonus defense
$BOOK_COOL_MULT	Spell cooldown time x<X>
$BOOK_COOLDOWN_OP	Spell cooldown time <X>
$BOOK_COST_MULT	Spell cost x<X>
$BOOK_COST_OP	Spell Cost <X>
$BOOK_PSI_TAX	PSI Tax: <X>
$CONFIRM_QUIT_TEXT	<RE>$CONFIRM_RESTART_TEXT	COMMENT: this is a redirect, the text for $MISC_PLEASE_WAIT will be duplicated here. The <RE> invocation at the beginning of the string signals a redirect, and will not show up in the final text
$CONFIRM_QUIT_TITLE	Quit the battle?
$CONFIRM_RES_CHANGE	Resolution changed.<N>Do you like it?<N><N>REVERTING IN <SECONDS> SECONDS.
$CONFIRM_RESTART_TEXT	You'll forfeit all experience & money earned so far.
$CONFIRM_RESTART_TITLE	Restart the battle?
$DATA_DUMP_AUDIO	Exporting audio...
$DATA_DUMP_BACKGROUNDS	<RE>$DATA_DUMP_BKG
$DATA_DUMP_BKG	Exporting background images...
$DATA_DUMP_CUTSCENE	Exporting cutscene images...
$DATA_DUMP_CUTSCENES	<RE>$DATA_DUMP_CUTSCENE
$DATA_DUMP_DATA	Exporting data files...
$DATA_DUMP_EMBED	Exporting embedded graphics...
$DATA_DUMP_IMAGES	Exporting data images...
$DATA_DUMP_LOCALES	Exporting locales...
$DATA_DUMP_MAP_FILES	Exporting map files...
$DATA_DUMP_MAP_IMAGES	Exporting map images...	COMMENT: <N> means a line break. <N> works too, but not <N> or <n>
$DATA_DUMP_MAPS	<RE>$DATA_DUMP_MAP_FILES
$DATA_DUMP_MOD_INFO	Exporting mod info...
$DATA_DUMP_MUSIC	Exporting music...
$DATA_DUMP_SFX	Exporting sound effects...
$DATA_DUMP_SPRITES	Exporting sprites...
$DATA_DUMP_TABLES	Exporting data tables...
$DECIMATE_BY	Decimate by <PERCENT>%
$DEMO_OVER_ACTS	Acts<N>III & IV
$DEMO_OVER_DONT_FORGET	Don't forget your save file!
$DEMO_OVER_ENORMOUS	Click the enormous button to continue your quest!
$DEMO_OVER_ENORMOUS_2	Click an enormous button to continue your quest!
