flag	name	description	
$ITEM_SWORD	<RE>$ITM_W_SWORD	
$ITEM_BOW	<RE>$ITM_W_BOW	
$ITEM_STAFF	<RE>$ITM_W_STAFF	
$ITEM_LIGHT	<RE>$ITM_A_LIGHT	
$ITEM_HEAVY	<RE>$ITM_A_HEAVY	
$ITEM_BOOK	<RE>$ITM_ACC_BOOK	
$ITEM_WEAPON	Weapon	
$ITEM_ARMOR	Armor	
$ITM_ACC_BOOK	book	<NULL>	
$ITM_ACC_BOOK_PLURAL	books	<NULL>	
$ITM_ACC_BOOK_PLURAL_SHORT	books	<NULL>	
$ITM_A_LIGHT	light armor	<NULL>	
$ITM_A_LIGHT_PLURAL	light armor	<NULL>	
$ITM_A_HEAVY	heavy armor	<NULL>	
$ITM_A_HEAVY_PLURAL	heavy armor	<NULL>	
$ITM_W_SWORD	sword	<NULL>	
$ITM_W_SWORD_PLURAL	swords	<NULL>	
$ITM_W_BOW	bow	<NULL>	
$ITM_W_BOW_PLURAL	bows	<NULL>	
$ITM_W_STAFF	staff	<NULL>	
$ITM_W_STAFF_PLURAL	staffs	<NULL>	
$ITM_A_LIGHT_PLURAL_SHORT	light	<NULL>	
$ITM_A_HEAVY_PLURAL_SHORT	heavy	<NULL>	
$ITM_W_SWORD_PLURAL_SHORT	swords	<NULL>	
$ITM_W_STAFF_PLURAL_SHORT	staffs	<NULL>	
$ITM_W_BOW_PLURAL_SHORT	bows	<NULL>	
$ITM_A_LIGHT_1	Sackcloth	A burlap sack worn underneath the clothes. Itchy, but better than nothing.	
$ITM_A_LIGHT_2	Hide	Dried animal skins roughly sewn into a protective vest. Thick and sturdy.	
$ITM_A_LIGHT_3	Chieftain's Tunic	This brilliantly colored nomad tunic is crafted from heavy wool and ornamented with ornate embroidery. The hem of the garment depicts the continuously winding roots of the World Tree.	
$ITM_A_LIGHT_4	Heavy Wool Tunic	A long, thick tunic fashioned from the prized wool of nomadic herdsmen.	
$ITM_A_LIGHT_5	Tiger Skin Vest	Quaid fire motifs on the tooled leather belt are the only hint at the origins of this exotic garment.	
$ITM_A_LIGHT_6	Fur	Valuable animal furs fashioned into a warm and well padded vest.	
$ITM_A_LIGHT_7	Ozimal's Coat	Smells faintly of cheese.	
$ITM_A_LIGHT_8	Leather	Cured leather carefully sewn into a well fashioned jerkin.	
$ITM_A_LIGHT_9	Warrior Monk's Habit	This heavily padded monk's habit is adorned with the symbols of the 9th Branch of the Selini, House Militant, Defenders of Truth and Order.	
$ITM_A_LIGHT_10	Wool Gambeson	Several layers of fine wool, painstakingly quilted together and stuffed with scrap cloth and animal hair to form a sturdy defense against all but the most devastating blows.	
$ITM_A_LIGHT_11	Assassin's Folly	At first glance this appears to be no more than an ornate nobleman's shirt. Closer inspection reveals row upon row of light metal plates sewn to the inside of the garment. A gash at the small of the back indicates that it's ingenious design foiled at least one assassin.	
$ITM_A_LIGHT_12	Silk Gambeson	Layer upon layer of durable silk quilted together with horse hair padding to create an armor capable of stopping an arrow with no injury to the wearer.	
$ITM_A_LIGHT_13	Master of Archers	This Ash gambeson is crafted from the finest silk and features intricate embroidery identifying its owner as the 'King's Master of Archers'. Dozens of minor repairs over the surface indicate that this unparalleled armor has seen many conflicts, most likely passed from one Master to the next upon retirement.	
$ITM_A_LIGHT_14	The Platinum Fleece	Much more valuable than a mere 'golden' one. Stripped from the corpse of the  Axxima Vatta Muttunaxxor itself, this blindingly brilliant fleece knows no equal.	
$ITM_A_LIGHT_15	<RE>[$ITM_A_LIGHT_3_NAME]+	<RE>[$ITM_A_LIGHT_3_DESCRIPTION]	
$ITM_A_LIGHT_16	<RE>[$ITM_A_LIGHT_5_NAME]+	<RE>[$ITM_A_LIGHT_5_DESCRIPTION]	
$ITM_A_LIGHT_17	<RE>[$ITM_A_LIGHT_7_NAME]+	<RE>[$ITM_A_LIGHT_7_DESCRIPTION]	
$ITM_A_LIGHT_18	<RE>[$ITM_A_LIGHT_9_NAME]+	<RE>[$ITM_A_LIGHT_9_DESCRIPTION]	
$ITM_A_LIGHT_19	<RE>[$ITM_A_LIGHT_11_NAME]+	<RE>[$ITM_A_LIGHT_11_DESCRIPTION]	
$ITM_A_LIGHT_20	<RE>[$ITM_A_LIGHT_13_NAME]+	<RE>[$ITM_A_LIGHT_13_DESCRIPTION]	
$ITM_A_LIGHT_21	<RE>[$ITM_A_LIGHT_14_NAME]+	<RE>[$ITM_A_LIGHT_14_DESCRIPTION]	
$ITM_A_LIGHT_22	<RE>[$ITM_A_LIGHT_1_NAME]+	<RE>[$ITM_A_LIGHT_1_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_23	<RE>[$ITM_A_LIGHT_2_NAME]+	<RE>[$ITM_A_LIGHT_2_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_24	<RE>[$ITM_A_LIGHT_4_NAME]+	<RE>[$ITM_A_LIGHT_4_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_25	<RE>[$ITM_A_LIGHT_6_NAME]+	<RE>[$ITM_A_LIGHT_6_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_26	<RE>[$ITM_A_LIGHT_8_NAME]+	<RE>[$ITM_A_LIGHT_8_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_27	<RE>[$ITM_A_LIGHT_10_NAME]+	<RE>[$ITM_A_LIGHT_10_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_28	<RE>[$ITM_A_LIGHT_12_NAME]+	<RE>[$ITM_A_LIGHT_12_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_HEAVY_1	Jack of Chains	A light gambeson with several crudely forged metal links attached to the outside of the arms for added protection.	
$ITM_A_HEAVY_2	Maille Shirt	A shirt made from hundreds of interlinking metal rings, each one riveted shut to prevent rupture.	
$ITM_A_HEAVY_3	Glory of War	This exquisite Quaid armor luxuriates in style.  Each ring of maille is blued, and the last rows of the shirt are gilded to create a golden border.  The reinforcing plates are ornamented with gilded patterns and prominently display the symbol of the Imperial family.  Scratched into the surface of the metal are the Quaid words <LQ>how late it is to think on these things<RQ>.  Several more words are scratched around the corners of the plates, but the haste in which they appear to have been written has rendered them illegible.	
$ITM_A_HEAVY_4	Mixed Maille	A maille shirt with metal plates linked directly into the rings for extra torso protection.  Standard issue for Quaid infantry during the war.	
$ITM_A_HEAVY_5	Horseman's Lamellar	This well-fashioned lamellar harness features extended shoulder protection and knee length tassets, indicating that the harness was designed for heavy cavalry.  The gilded vambraces and silk gambeson reveal the previous owner to have been a warrior of wealth and taste.  Several of the plates are etched with a small foreign script that does not appear to be any regional language.  The location of these plates over the wearer's heart may mean that the script is some kind of protective prayer or charm, but this is pure conjecture.	
$ITM_A_HEAVY_6	Lamellar	Dozens of small metal plates laced together with durable silk cord.	
$ITM_A_HEAVY_7	Traitor's Harness	The gilded spaulders on this Ash-made coat of plates indicate that it most likely belonged to a high ranking official.  The canvas surface has been repaired, but the Ash word <LQ>traitor<RQ> can still be seen carved into the cloth.  Extensive bloodstains are visible through the red dye, though no discernible damage has been done to the armor.	
$ITM_A_HEAVY_8	Coat of Plates	Excellent torso protection made by riveting several large heavy metal plates to the inside of a durable canvas surcoat.	
$ITM_A_HEAVY_9	Strength of Wocolan	This green velvet brigandine features large, brightly polished spaulders typical of Quaid heavy infantry.  The gilded crest depicts the Quaid hero Wocolan crushing a bear's head with his hands.  Below, his children Wastan and Wacella drink the blood running from the bear's mouth in order to survive the family's grueling march into exile.	
$ITM_A_HEAVY_10	Brigandine	Hundreds of metal plates riveted to the inside of a canvas and silk-velvet shell to create a form fitting torso protection.	
$ITM_A_HEAVY_11	Lord Warden's Harness	Insignia identify the owner of this excellent plate harness as the Lord Warden, the Ash official assigned to oversee the Pit.  How he came to be lost inside his own prison is unknown, but blood stains on the shoulder straps indicate that the story did not end well.	
$ITM_A_HEAVY_12	Plate Harness	Complexly shaped steel plates articulated on a leather base to create maximum protection while preserving range of motion.  The preferred gear of Ash Knights.	
$ITM_A_HEAVY_13	Purity of Flame	This brilliantly polished plate harness reflects any light with an almost inferno-like intensity.  Faint etchings appear to be Quaid, but the dialect is so archaic as to be unreadable save for the phrase <LQ>that which consumes<RQ>.  This breastplate has most likely been refurbished countless times - the rest of the harness is far more modern.  Cryptic pictograms hint at some possible role in the Imperial Fire Ritual.	
$ITM_A_HEAVY_14	Guardian of the Fountain	This masterfully crafted plate harness has been blued to almost blackness.  Gilded patterns across the surface of the breastplate depict the Ash Temple Fountain, indicating that this amazing armor most likely belonged to one of the elite Temple Guards.  How such a priceless artifact came to be in the Pit is a mystery.	
