flag	content
$ENTRY_JOURNAL_INDEX_TITLE	INDEX
$ENTRY_JOURNAL2_INDEX_TITLE	SECRET
$ENTRY_JOURNAL_INDEX_LEFT_00	Journal Entries
$ENTRY_JOURNAL_INDEX_LEFT_10	Day 1: @Where Am I?@
$ENTRY_JOURNAL_INDEX_LEFT_20	Night 1: @[berserker_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_30	Day 3: @Addendum@
$ENTRY_JOURNAL_INDEX_LEFT_40	Night 3: @Addendum@
$ENTRY_JOURNAL_INDEX_LEFT_50	Day 3: @Prison@
$ENTRY_JOURNAL_INDEX_LEFT_60	Day 4: @The Half-Way World@
$ENTRY_JOURNAL_INDEX_LEFT_61	Day 4: @An Education@
$ENTRY_JOURNAL_INDEX_LEFT_62	Day 4: @Bookkeeping@
$ENTRY_JOURNAL_INDEX_LEFT_70	Day 5: @[ranger_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_80	Day 8: @Addendum@
$ENTRY_JOURNAL_INDEX_LEFT_90	Night 7: @The Burning of Karsk@
$ENTRY_JOURNAL_INDEX_LEFT_100	Day 8: @Laksos@
$ENTRY_JOURNAL_INDEX_LEFT_101	Day 9: @Journeys@
$ENTRY_JOURNAL_INDEX_LEFT_110	Day 10: @[mcguffin_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_120	Day 10: @Ozimal's Death@
$ENTRY_JOURNAL_INDEX_LEFT_130	Night 10: @The Monastery@
$ENTRY_JOURNAL_INDEX_LEFT_140	Day 11: @[healer_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_141	Day 11: @A Carcassian Manuscript@
$ENTRY_JOURNAL_INDEX_LEFT_150	Day 13: @[mage_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_160	Day 14: @Nomads@
$ENTRY_JOURNAL_INDEX_LEFT_170	Day 15: @Strange Dream@
$ENTRY_JOURNAL_INDEX_LEFT_171	Night 15: @Strange Words@
$ENTRY_JOURNAL_INDEX_RIGHT_01	Day 16: @Fearsome words on scarred lips@
$ENTRY_JOURNAL_INDEX_RIGHT_00	Day 17: @Jewel-of-the-Desert@
$ENTRY_JOURNAL_INDEX_RIGHT_02	Night 17: @The Fox@
$ENTRY_JOURNAL_INDEX_RIGHT_10	Day 18: @[knight_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_20	Day 19: @Letter from [knight_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_30	Night 19: @My Reply: Draft 1@
$ENTRY_JOURNAL_INDEX_RIGHT_40	Day 20: @[knight_hero_pos] Reply@
$ENTRY_JOURNAL_INDEX_RIGHT_50	Day 21: @Letter from <LQ>[knight_hero_up]<RQ>@
$ENTRY_JOURNAL_INDEX_RIGHT_60	Night 21: @ATTN: [berserker_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_70	Night 22: @[dragon_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_71	Day 23: @Speech@
$ENTRY_JOURNAL_INDEX_RIGHT_72	Day 24: @Assassin@
$ENTRY_JOURNAL_INDEX_RIGHT_73	Day 24: @The Death of a Super Sheep@
$ENTRY_JOURNAL_INDEX_RIGHT_80	Day 24: @Addendum@
$ENTRY_JOURNAL_INDEX_RIGHT_81	Day 25: @Gibberish@
$ENTRY_JOURNAL_INDEX_RIGHT_90	Day 25: @Second Dream@
$ENTRY_JOURNAL_INDEX_RIGHT_91	Day 26: @[mage_hero_pos] Story@
$ENTRY_JOURNAL_INDEX_RIGHT_92	Day 27: @The Evil Inside@
$ENTRY_JOURNAL_INDEX_RIGHT_93	Day 27: @[knight_hero_pos] Story@
$ENTRY_JOURNAL_INDEX_RIGHT_100	Day 28: @Death of the Man in Red@
$ENTRY_JOURNAL_INDEX_RIGHT_110	Day 29: @Third Dream@
$ENTRY_JOURNAL_INDEX_RIGHT_117	Day 30: @Sleep and Madness@
$ENTRY_JOURNAL_INDEX_RIGHT_111	Day 32: @The Empress@
$ENTRY_JOURNAL_INDEX_RIGHT_112	Day 33: @The Black Robes@
$ENTRY_JOURNAL_INDEX_RIGHT_113	Day 33: @Fourth Dream@
$ENTRY_JOURNAL_INDEX_RIGHT_114	Day 34: @stay the hell out of my journal@
$ENTRY_JOURNAL_INDEX_RIGHT_115	Day 34: @Fifth Dream@
$ENTRY_JOURNAL_INDEX_RIGHT_116	Day 35: @Sixth Dream@
$ENTRY_JOURNAL_INDEX_RIGHT_120	Day 35: @Eztli's Throne@
$ENTRY_JOURNAL_INDEX_RIGHT_121	Day 36: @Evni@
$ENTRY_JOURNAL_INDEX_RIGHT_130	Day 37: @Tletl-Meztli@
$ENTRY_JOURNAL_INDEX_RIGHT_131	Day 38: @Peace?@
$ENTRY_JOURNAL_INDEX_RIGHT_132	Day 38: @Parting Dream@
$ENTRY_JOURNAL_INDEX_RIGHT_140	Day 39: @The Choice@
$ENTRY_JOURNAL_INDEX_RIGHT_150	Day 40: @Following Zelemir@
$ENTRY_JOURNAL_INDEX_RIGHT_160	@Epilogue@
$ENTRY_JOURNAL_INDEX_RIGHT_170	@Addendum@
$ENTRY_JOURNAL_INTRO_TITLE
$ENTRY_JOURNAL_INTRO_LEFT_00	Day 1 - Where am I?
$ENTRY_JOURNAL_INTRO_LEFT_10	I’m probably mad, but nonetheless I shall attempt to record the events that are unfolding before my eyes. The reader may draw what conclusions they will; I report only the happenings as understood by my fevered mind.<N><N>I know for certain that I contracted the plague that ravages our fair capital. I know also that I, like the other victims before me, was taken out of the city and cast into the Pit. From there has followed such a strange and terrifying series of events that I still wonder whether I wake or dream.<N><N>When the fever took me, I found myself in a dark place. Before me stood another victim.
$ENTRY_JOURNAL_INTRO_RIGHT_00	There appeared a glorious throne and seated on it a man such as I have never seen before. He was every bit of him golden. I thought at first he must have been a statue, but presently he uttered a word of command. His voice too was golden and the edges of it crackled with the power of thunder. It was no language I had ever heard or read in all the great library of Ash, but my body leapt to its command. My veins strained as if the blood would burst from my body and rush to join him. My heart races just to think of it.<N><N>-[mcguffin_hero] Livbar
$ENTRY_JOURNAL_SLAK_TITLE
$ENTRY_JOURNAL_SLAK_LEFT_0_00	Night 1 - [berserker_hero]
$ENTRY_JOURNAL_SLAK_LEFT_0_10	When I come to write about [berserker_hero], I find I must leave behind the austere language of the capital and adopt a vernacular more fitting the subject.<N><N>[berserker_hero] is a dumbass. He is an ass who is also dumb.<N><N>What he lacks in intellect, he makes up for in smell. If two burning dungheaps could mate and sire offspring, their putrid progeny would quail at the stench that emanates from [berserker_hero]’s uncovered armpits. Indeed, the animate corpses that stalk us are each an exquisite perfume by comparison.<N><N>But [berserker_hero] is more than just a pretty face. He also possess a most winning personality I can only describe as <LQ>pants-on-head insane.<RQ><N><N>Yesterday he argued for fifteen minutes with a rock he stubbed his toe on. And he lost.
$ENTRY_JOURNAL_SLAK_RIGHT_0_00	Truly, I am blessed to travel in such company.
$ENTRY_JOURNAL_SLAK_RIGHT_0_10	Day 3 - Addendum
$ENTRY_JOURNAL_SLAK_RIGHT_0_20	In the interest of fairness, I must admit that he is also the bravest man I have ever seen. His whole body is a web of battle-scars, though I am somewhat less impressed when I remember that he refuses to wear any sort of clothing or armor on his torso. I suppose the bottom line is this - he is both an intolerable buffoon and a shockingly competent warrior, and I am begrudgingly happy to have him with me.
$ENTRY_JOURNAL_SLAK_RIGHT_0_30	AWWW I LOVE YOU TOO! XOXOXO<N><N><N><N><N><N><N>I DO NOT SLEEP I MERELY FLEX LAYING DOWN IT WORKS MY GLUTES
$ENTRY_JOURNAL_SLAK_RIGHT_0_40	Also, apparently he can read and write! Where on Earth did this blood-thirsty drifter get an education?<N><N>P.S. If you ever steal my journal again, I will brain you in your sleep.
$ENTRY_JOURNAL_SLAK_LEFT_1_00	Night 3 - second addendum
$ENTRY_JOURNAL_SLAK_LEFT_1_10	Ok, for the record, [berserker_hero] sleeps naked. All attempts at revenge will take place during the day from now on.<N><N>And no, the scars don’t stop at the waistline.<N><N><N><N><N>I hate you.
$ENTRY_JOURNAL_SLAK_LEFT_1_20	WHAT YOU THINK KHAN AND CHARISSA WOULDN'T FIGHT TOO?
$ENTRY_JOURNAL_PRISON_TITLE
$ENTRY_JOURNAL_PRISON_LEFT_0_00	Day 3 - Prison
$ENTRY_JOURNAL_PRISON_LEFT_0_10	Three days ago I had thought this Pit a prison.  Now I find that even in hell there is always worse.<N><N>The man holding us is named Ozimal Kaz.  He is a cruel, petty, loathsome human being.  How a fellow countryman could become so irredeemably warped is beyond my comprehension.  I would expect this from the Quaid, who have spent the last two decades refining their cruelty on the eastern provinces.  Even the most ruthless of Nomad chieftains  would temper his blood-rage more than this degenerate.<N><N>And from the capitol, by his accent!  This monster grew up in the shadow of the Temple itself!
$ENTRY_JOURNAL_PRISON_RIGHT_0_00	I sit here with his other captives, taken indiscriminately: bandits and brigands, men, women, children, Ash, Nomad, Quaid, all awaiting death at the hands of this man.  Day and night we hear the continuous groans of his kept Revenant, a deafening cacophony punctuated only by the dying screams of the latest victim.<N><N>And here I am, incapable of anything!  If I were only in the coliseum with these hapless victims they would at least stand a fighting chance.  For all his bravado, Ozimal seems hesitant to <LQ>execute<RQ> me a second time.  Perhaps Ozimal fears to lose too many of his kept Revenant - they cannot be easy to capture or maintain, and his petty empire seems to require them to keep his vassals in check.
$ENTRY_JOURNAL_PRISON_LEFT_1_00	The words of my mysterious helper echo constantly in my mind.  Ozimal wishes to demonstrate my skills to a <LQ>Man in Red.<RQ>  Who is this Man in Red?  And who is this mysterious stranger so intent on saving me?  Why am I of any importance?  In this torrent of questions I am certain of one thing: I have so far only engaged in violence against those already dead, but if I ever get my hands on Ozimal, this policy will be subject to change.
$ENTRY_JOURNAL_HALFWAY_WORLD_TITLE
$ENTRY_JOURNAL_HALFWAY_WORLD_LEFT_0_00	Day 4 - The Half-way World
