flag	content	comment		
$BASE_ATTACK	Ataque base			
$BATTLE_STARTING_FORMATION_TEXT	¿Usar la misma formación inicial que la última vez?			
$BONUS_DEFENSE	Bonus de defensa			
$BOOK_COOL_MULT	Tiempo de enfriamiento de hechizo x			
$BOOK_COST_MULT	Coste de hechizo x			
$BOOK_PSI_TAX	Cantidad de PSI:			
$CANT_AFFORD_NUMS	font:12,x_off:,y_off:-10			
$CONFIRM_QUIT_TEXT	<RE>$CONFIRM_RESTART_TEXT	COMMENT: this is a redirect, the text for $MISC_PLEASE_WAIT will be duplicated here. The <RE> invocation at the beginning of the string signals a redirect, and will not show up in the final text		
$CONFIRM_QUIT_TITLE	¿Salir de la batalla?			
$CONFIRM_RES_CHANGE	Resolución modificada.<N>¿Te gusta?<N><N>REVIRTIENDO EN <TIME> SEGUNDOS			
$CONFIRM_RESTART_TEXT	Perderás toda la experiencia y el dinero que habías ganado hasta ahora.			
$CONFIRM_RESTART_TITLE	¿Reiniciar la batalla?			
$DATA_DUMP_AUDIO	Exportando audio...			
$DATA_DUMP_BACKGROUNDS	<RE>$DATA_DUMP_BKG			
$DATA_DUMP_BKG	Exportando imágenes de escenario...			
$DATA_DUMP_CUTSCENE	Exportando cinemáticas...			
$DATA_DUMP_CUTSCENES	<RE>$DATA_DUMP_CUTSCENE			
$DATA_DUMP_DATA	Exportando archivos de datos...			
$DATA_DUMP_EMBED	Exportando gráficos integrados...			
$DATA_DUMP_IMAGES	Exportando imágenes de datos...			
$DATA_DUMP_LOCALES	Exportando configuración regional...			
$DATA_DUMP_MAP_FILES	Exportando archivos de mapa...			
$DATA_DUMP_MAP_IMAGES	Exportando imágenes de mapa...	COMMENT: <N> means a line break. <N> works too, but not <N> or <n>		
$DATA_DUMP_MOD_INFO	Exportando información de mod...			
$DATA_DUMP_MUSIC	Exportando música...			
$DATA_DUMP_SFX	Exportando efectos de sonido...			
$DATA_DUMP_SPRITES	Exportando sprites...			
$DATA_DUMP_TABLES	Exportando tabla de datos...			
$DECIMATE_BY	Diezmar <PERCENT>%			
$DEMO_OVER_ACTS	Actos<N>III & IV			
$DEMO_OVER_DONT_FORGET	¡No olvides tu archivo de guardado!			
$DEMO_OVER_ENORMOUS	¡Clica el botón enorme para continuar tu aventura!			
$DEMO_OVER_ENORMOUS_2	¡Clica un botón enorme para continuar tu aventura!			
$DEMO_OVER_EXPORT_HOW	Exporta tu archivo de guardado con este botón.			
$DEMO_OVER_FULL_GAME	¡Consigue el JUEGO COMPLETO!			
$DEMO_OVER_FULL_GAME_SHORT	¡JUEGO<N>COMPLETO!			
$DEMO_OVER_PLAY	¡Sigue jugando!			
$DEMO_OVER_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT			
$DEMO_OVER_THANKS	¡Gracias por jugar!			
$DEMO_OVER_USE_IT	¡Úsalo para continuar desde donde lo dejaste!			
$EN_SPELL_DRAGON_FIRE_1_DESC	<DMG> DAÑO			
$EN_SPELL_DRAGON_FIRE_2_DESC	<LOW>-<HIGH> DAÑO			
$EN_SPELL_FRENZY_DESC	<PLUS><PERCENT> de velocidad durante <SEC> seg.	COMMENT: <MCG> is a variable. In this exact string, the game expects this exact variable, and will replace <MCG> with Azra's name. Any other variable is ignored and will appear as-is.		
$EN_SPELL_HEAL_DESC	Curación: <PERCENT> PV			
$END	terminar			
$ERROR_CONTEXT	contexto			
$ERROR_MESSAGE	mensaje			
$ERROR_NUMBER	Error #			
$ERROR_STACK	seguimiento			
$ERROR_TITLE	¡Ha ocurrido un error!			
$FB_HARD_SELL_NO	¡He dicho que jamás!			
$FB_HARD_SELL_TEXT	¿Estás seguro?<N>¡Mira! ¡Es tan brillante!			
$FB_HARD_SELL_YES	Bueno... vale.			
$FB_LIKE_US_NO	Ja ja ja. No.			
$FB_LIKE_US_TEXT	¡Dale a Me gusta en Facebook y<N>consigue este premio GRATIS!			
$FB_LIKE_US_YES	¡Vale!			
$FB_PERSISTENT_OK	¡La victoria es mía!			
$FB_PERSISTENT_TEXT	¡Vale, tú ganas!<N>Quédatelo de todas formas :)	COMMENT: The game will put Zelemir, Tletl-Meztli, or any other alternate mcguffin's name where <ALLY> appears.		
$FB_REBEL_TEXT	¡Llevas razón, que le den!<N>Quédate esto, anda.			
$FB_SECOND_PITCH	¡Todavía puedes conseguirlo<N>dándole a Me gusta en Facebook!			
$FB_SECOND_PITCH_NO	¡Jamás!			
$FB_SECOND_PITCH_YES	¡Vale!			
$FB_THANKS_OK	Vale			
$FB_THANKS_SUCKS	Que le den a Facebook			
$FB_THANKS_TEXT	¡Gracias por seguirnos en Facebook!<N>¡Ya está disponible tu premio!			
$FB_THIS_ITEM_WILL_NOW	Ahora este objeto aparecerá en el inventario de cualquier jugador.			
$FLAV_DESC_ARMOR_BREAK_AMT_GRTR_1	DestruyeIgnora <AMT_2DIG><EXTRA> puntos de armadura por cada punto de DAÑO de ataque.			
$FLAV_DESC_ARMOR_BREAK_AMT_LESS_1	Destruye 1 punto de armadura por cada <INV_AMOUNT><EXTRA> puntos de DAÑO de ataque.			
$FLAV_DESC_ARMOR_BREAK_DIRECT	El ataque destruye <AMTDMG><EXTRA> puntos de armadura.			
$FLAV_DESC_ARMOR_BREAK_SHORT	El ataque destruye varios puntos de armadura.			
$FLAV_DESC_ARMOR_PIERCE_AMT_GRTR_1	Ignora <AMT_1DIG><EXTRA> puntos de armadura por cada punto de DAÑO de ataque.			
$FLAV_DESC_ARMOR_PIERCE_AMT_LESS_1	Ignora 1 punto de armadura por cada <INV_AMOUNT><EXTRA> puntos de DAÑO de ataque.			
$FLAV_DESC_ARMOR_PIERCE_DIRECT	El ataque ignora <AMTDMG><EXTRA> puntos de armadura.			
$FLAV_DESC_ARMOR_PIERCE_SHORT	El ataque ignora varios puntos de armadura.	COMMENT: There are 4 variants here to handle the various pluralizations		
$FLAV_DESC_AUTO_KILL	Los enemigos por debajo de <PERCENT>%<EXTRA> de PV mueren automáticamente.			
