flag	nick_name	flavor_name	flavor_text
$EN_SLUGWORM	RÁPIDO	Gusano	Engendro zombi rápido|Estas veloces criaturas con forma de gusano tienen varias filas de dientes afilados.<N><N>Quienes los han visto aseguran que brotan de enormes Zombis hinchados que han estado pudriéndose durante semanas.
$EN_NORMAL	NORMAL	Zombi	Cadáver resucitado|En el Foso, los cadáveres a menudo se alzan otra vez días después de su muerte.<N><N>A estos monstruos se les conoce como <LQ>Zombis<RQ>, que significa <LQ>los que volvieron de la muerte<RQ>.
$EN_CULTIST_SECT			La <LQ>Secta de los Dementes de Sangre<RQ> comenzó con un secta nómada conocida por su baño de sangre ceremonial.
$EN_CULTIST_ACCOUNT			Estos relatos provienen de supervivientes de la masacre de la tribu Geka. Los testigos aseguran que pueden transformarse en zombis a voluntad.
$EN_CULTIST_BASIC			<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>Se conoce muy poco sobre sus ritos o creencias; solo se sabe que el nombre de su deidad es <LQ>Eztli-Tenoch<RQ> y que tratan de cazar nuevas víctimas constantemente.<N><N><RE>[$EN_CULTIST_ACCOUNT_FLAVOR_TEXT]
$EN_CULTIST	SECTARIO	Sectario	Sectario transformado|<RE>[$EN_CULTIST_BASIC_FLAVOR_TEXT]
$EN_ARMORED CULTIST	SACERDOTE SECTARIO	Sacerdote sectario	Sacerdote sectario|<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>Los sacerdotes sectarios se encargan de llevar a cabo los violentos rituales y a menudo exhiben escabrosas automutilaciones.<N><N><RE>[$EN_CULTIST_ACCOUNT_FLAVOR_TEXT]
$EN_INSANE CULTIST	SECTARIO DEMENTE	Sumo sacerdote	Sumo sacerdote sectario|<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>Algunos registros históricos quaidís afirman que el culto se organizaba en torno a una importante figura matriarcal conocida como la <LQ>Reina de los Incontables Demonios<RQ>. Parece que esta estructura de poder central se desvaneció en los últimos siglos en favor de una asamblea de sumos sacerdotes más independientes.
$EN_NORMAL_W	<RE>$EN_NORMAL_NICK_NAME	Demonio de agua	Zombi acuático|Estos zombis rezuman una baba húmeda que protege sus cuerpos del agua.<N><N>Su estómago está lleno de gases nocivos, lo que les permite mantenerse a flote.
$EN_ARMORED	CON ARMADURA	Caballero caído	Zombi con armadura|Estos zombis antaño fueron caballeros caídos en la batalla.<N><N>Aunque ya no conservan nada de la inteligencia y la habilidad que tuvieron en vida, todavía conservan su armadura.
$EN_SPEEDY	RÁPIDO	Gusano	Engendro zombi rápido|Estas veloces criaturas con forma de gusano tienen varias filas de dientes afilados.<N><N>Quienes los han visto aseguran que brotan de enormes Zombis hinchados que han estado pudriéndose durante semanas.
$EN_SPEEDY_W	<RE>$EN_SPEEDY_NICK_NAME	Sierpe	Engendro acuático rápido|Algunos dicen que estos zombis acuáticos con forma de gusano salen de zombis humanos que flotan.<N><N>Otros sugieren que crecen en los cadáveres de peces y serpientes de río.
$EN_ARMORED SPEEDY	<RE>$EN_SPEEDY_NICK_NAME	Gusano caparazón	Engendro rápido con armadura|Estos zombis con forma de gusano han desarrollado una gruesa concha.<N><N>Mucha gente cree que el caparazón reforzado está compuesto de huesos digeridos del cadáver original.
$EN_ARMORED_SPEEDY_W	<RE>$EN_SPEEDY_NICK_NAME	Sierpe con caparazón	Engendro acuático con armadura rápido|Estos zombis acuáticos con forma de gusano han desarrollado una dura concha y la capacidad de nadar.<N><N>El hedor de los huesos digeridos y los gases nocivos es nauseabundo.
$EN_ATTACKER	GUERRERO	Gul demente	Zombi guerrero|Algunos zombis son más agresivos que otros.<N><N>Mientras que los zombis normales se centran en acechar a una sola víctima, estos son conocidos por atacar a todas las que están a su alcance.
$EN_DARK ATTACKER	SOMBRA DIFUSA	Gul oscuro	Zombi guerrero oscuro|Los gases que se forman en el estómago del zombi escapan a través de los poros de la piel, cubriendo a la criatura en una nube tóxica de humo denso y nauseabundo que confunde a sus víctimas y la oculta.
$EN_ATTACKER_W	<RE>$EN_ATTACKER_NICK_NAME	Gul de río	Zombi guerrero acuático|En el foso existen muchas historias sobre cadáveres malolientes que emergen de las aguas y atacan a los aldeanos sedientos.<N><N>Nadie sale a buscar agua sin compañía, y solo los locos se atreven a nadar.
$EN_ARMORED ATTACKER	<RE>$EN_ATTACKER_NICK_NAME	Caballero demente	Zombi guerrero con armadura|Estos caballeros caídos son tan fuertes como despiadados.<N><N>Sus gritos fantasmales resuenan en el eco de las catacumbas y los páramos.
$EN_RAPID_ATTACKER	ATAQUE RÁPIDO		
$EN_APC	DIVISOR	Monstruosidad	Engendro portador|Estos cadáveres hinchados apenas pueden moverse y parecen a punto de explotar en cualquier momento.<N><N>Tienen varias bocas con dientes que brotan de los costados. Son demasiado grandes para empujarlos o devorarlos.
$EN_APC_W	<RE>$EN_APC_NICK_NAME	Cadáver fétido	Engendro portador acuático|Estos zombis huelen como un puñado de peces putrefactos cubiertos de aguas residuales y muerte.<N><N>Flotan con facilidad, y parecen a punto explotar en cualquier momento.
$EN_ARMORED APC	Divisor con armadura	Bestia con caparazón	Engendro portador con armadura|Una concha giganta protege esta monstruosa masa informe de carne digerida.<N><N>Parece que dentro no hay ni un hueso.
$EN_DOUBLE APC	DIVISOR DOBLE	Abominación	Engendro portador divisor|Este extraño monstruo está descolorido e hinchado.<N><N>¿Qué podría significar?
$EN_RANGED ATTACKER_BASIC			Tras unas cuantas semanas, el cuerpo del zombi empieza a digerirse y transformarse debido a un extraño proceso.<N><N>Hay testigos que aseguran haber sido atacados por <LQ>hombres serpiente<RQ> sin ojos que escupen una bilis fétida.
$EN_RANGED ATTACKER	A DISTANCIA	Gul serpiente	Zombi proyectil|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]
$EN_ARMORED RANGED ATTACKER	<RE>$EN_RANGED ATTACKER_NICK_NAME	Gul serpiente	Zombi proyectil con armadura|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]
$EN_RANGED ATTACKER_W	<RE>$EN_RANGED ATTACKER_NICK_NAME	Gul serpiente de río	Zombi proyectil con acuático|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]
$EN_DARK	OSCURO	Gusano sombrío	Engendro oscuro rápido|Estos gusanos están envueltos en una espesa neblina negra que hace que golpearlos sea casi imposible.
$EN_BRUTE	RESISTENTE	Gusano mortal	Engendro zombi resistente|Estas criaturas pálidas con forma de gusano se mueven lentamente. Cuentan con una piel curtida muy resistente en lugar de una membrana exterior frágil.<N><N>Aunque se les deje atrás fácilmente, normalmente debilitan a su presa con una caza implacable e incesante.
$EN_ERROR	ERROR	Error	I Am Error|Si estás leyendo esto significa que alguien ha cometido un fallo en la información de los enemigos. Este es el enemigo que mostramos cuando no se puede mostrar el que se había previsto.
$EN_SHEEP	OVEJA	Oveja	Mamífero delicioso|Los dragones pueden estar años sin comer, pero cuando se alimentan pueden llegar a consumir varias veces su peso corporal en un solo día.  Este hecho es motivo de gran descontento entre los pastores nómadas y sus rebaños.
$EN_SPEEDY SHEEP	OVEJA TURBO	Oveja rápida	Mamífero delicioso rápido|Ciertas ovejas se han adaptado a las condiciones hostiles del foso y han desarrollado músculos con espasmos superveloces.  No tiene sentido huir de los dragones, pero al menos les permite adelantar a los otras ovejas.
$EN_SUPER SHEEP	SUPEROVEJA	Superoveja	Mamífero delicioso mitológico|Las leyendas de los dragones veneran a esta extraña oveja, la Axxima Vatta Muttanaxxor, y las escrituras sagradas de los dragones recogen un elaborado ritual que se realiza en su presencia.  Los eruditos tradicionalistas equiparan las escrituras de los dragones a textos religiosos, pero las nuevas investigaciones sugieren que se pueden clasificar como recetas de cocina.
$EN_OZIMAL	OZIMAL	Ozimal Kaz	Esclavo zombi|El que antaño fuera el gran señor de la guerra del Foso, ahora no es más que un esbirro autómata de Zelemir.<N>Aunque su túnica sigue siendo una preciosidad.
$EN_TWIN	GEMELO	Gemelo	Hermano zombi|BLARGHHH ARRRGHHH GARGG GAR HUR.
$EN_RIGHT_INDEX_FINGER	DEDO ÍNDICE	Dedo índice	Dedo monstruoso|Aunque lo han amputado de su mano, este dedo se mueve a su antojo.
$EN_RIGHT_THUMB	PULGAR	Pulgar	Pulgar monstruoso|Aunque lo han amputado de su mano, este pulgar se mueve a su antojo.
$EN_RIGHT_MIDDLE_FINGER	DEDO CORAZÓN	Dedo corazón	Dedo monstruoso|Parece que este dedo amputado está haciendo un gesto obsceno. ¡Qué grosero!
$EN_RIGHT_RING_FINGER	DEDO ANULAR	Dedo anular	<RE>$EN_RIGHT_INDEX_FINGER_FLAVOR_TEXT
$EN_RIGHT_PINKY_FINGER	DEDO MEÑIQUE	Dedo meñique	<RE>$EN_RIGHT_INDEX_FINGER_FLAVOR_TEXT
$EN_RIGHT_EYE	OJO DE EZTLI	Ojo de Eztli	Ojo monstruoso|Este malévolo ojo irradia poder maligno y se mueve a una velocidad sobrehumana.
$EN_RIGHT_HAND	MANO DE EZTLI	Mano de Eztli	Mano monstruosa|El líder sectario llama a este monstruo <LQ>la Mano Derecha de Eztli-Tenoch<RQ>. Por lo poco que se sabe de Eztli-Tenoch, no está claro si es realmente la propia mano del temible mago o una mera creación de magia oscura. Si miramos más de cerca, parece que es una mano IZQUIERDA. Realmente siniestro.
$EN_ZELEMIR	ZELEMIR	Zelemir	Hechicero nigromante|Los ojos de Zelemir brillan con una determinación atroz.
$EN_EZTLI	EZTLI-TENOCH	Eztli-Tenoch	Mago ancestral legendario|Una fuerza antigua que aguardaba dormida durante mucho tiempo y ha despertado. Ezli-Tenoch dominó el mundo en una ocasión cuando se autoproclamó Dios Rey. Su poder y malevolencia solo son comparables a su impertérrita paciencia.
$EN_ZELEMIR-CITADEL	<RE>$EN_ZELEMIR_NICK_NAME	<RE>$EN_ZELEMIR_FLAVOR_NAME	<RE>$EN_ZELEMIR_FLAVOR_TEXT
$EN_NORMAL_NOMONEY	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_NORMAL_EXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_NORMAL_EXP_PSI	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_NORMAL_LOWXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_CULTIST_LOWXP	<RE>$EN_CULTIST_NICK_NAME	<RE>$EN_CULTIST_FLAVOR_NAME	<RE>$EN_CULTIST_FLAVOR_TEXT
