flag	nick_name	flavor_name	flavor_text
$EN_NORMAL_NOMONEY_PLUS	<RE>$EN_NORMAL_NOMONEY_NICK_NAME	<RE>[$EN_NORMAL_NOMONEY_FLAVOR_NAME]+	<RE>$EN_NORMAL_NOMONEY_FLAVOR_TEXT	
$EN_NORMAL_PLUS	<RE>$EN_NORMAL_NICK_NAME	<RE>[$EN_NORMAL_FLAVOR_NAME]+	<RE>$EN_NORMAL_FLAVOR_TEXT	
$EN_CULTIST_PLUS	<RE>$EN_CULTIST_NICK_NAME	<RE>[$EN_CULTIST_FLAVOR_NAME]+	<RE>$EN_CULTIST_FLAVOR_TEXT	
$EN_ARMORED CULTIST_PLUS	<RE>$EN_ARMORED CULTIST_NICK_NAME	<RE>[$EN_ARMORED CULTIST_FLAVOR_NAME]+	<RE>$EN_ARMORED CULTIST_FLAVOR_TEXT	
$EN_INSANE CULTIST_PLUS	<RE>$EN_INSANE CULTIST_NICK_NAME	<RE>[$EN_INSANE CULTIST_FLAVOR_NAME]+	<RE>$EN_INSANE CULTIST_FLAVOR_TEXT	
$EN_NORMAL_EXP_PLUS	<RE>$EN_NORMAL_EXP_NICK_NAME	<RE>[$EN_NORMAL_EXP_FLAVOR_NAME]+	<RE>$EN_NORMAL_EXP_FLAVOR_TEXT	
$EN_NORMAL_EXP_PSI_PLUS	<RE>$EN_NORMAL_EXP_PSI_NICK_NAME	<RE>[$EN_NORMAL_EXP_PSI_FLAVOR_NAME]+	<RE>$EN_NORMAL_EXP_PSI_FLAVOR_TEXT	
$EN_NORMAL_W_PLUS	<RE>$EN_NORMAL_W_NICK_NAME	<RE>[$EN_NORMAL_W_FLAVOR_NAME]+	<RE>$EN_NORMAL_W_FLAVOR_TEXT	
$EN_ARMORED_PLUS	<RE>$EN_ARMORED_NICK_NAME	<RE>[$EN_ARMORED_FLAVOR_NAME]+	<RE>$EN_ARMORED_FLAVOR_TEXT	
$EN_SPEEDY_PLUS	<RE>$EN_SPEEDY_NICK_NAME	<RE>[$EN_SPEEDY_FLAVOR_NAME]+	<RE>$EN_SPEEDY_FLAVOR_TEXT	
$EN_SPEEDY_W_PLUS	<RE>$EN_SPEEDY_W_NICK_NAME	<RE>[$EN_SPEEDY_W_FLAVOR_NAME]+	<RE>$EN_SPEEDY_W_FLAVOR_TEXT	
$EN_ARMORED SPEEDY_PLUS	<RE>$EN_ARMORED SPEEDY_NICK_NAME	<RE>[$EN_ARMORED SPEEDY_FLAVOR_NAME]+	<RE>$EN_ARMORED SPEEDY_FLAVOR_TEXT	
$EN_ARMORED_SPEEDY_W_PLUS	<RE>$EN_ARMORED_SPEEDY_W_NICK_NAME	<RE>[$EN_ARMORED_SPEEDY_W_FLAVOR_NAME]+	<RE>$EN_ARMORED_SPEEDY_W_FLAVOR_TEXT	
$EN_ATTACKER_PLUS	<RE>$EN_ATTACKER_NICK_NAME	<RE>[$EN_ATTACKER_FLAVOR_NAME]+	<RE>$EN_ATTACKER_FLAVOR_TEXT	
$EN_DARK ATTACKER_PLUS	<RE>$EN_DARK ATTACKER_NICK_NAME	<RE>[$EN_DARK ATTACKER_FLAVOR_NAME]+	<RE>$EN_DARK ATTACKER_FLAVOR_TEXT	
$EN_ATTACKER_W_PLUS	<RE>$EN_ATTACKER_W_NICK_NAME	<RE>[$EN_ATTACKER_W_FLAVOR_NAME]+	<RE>$EN_ATTACKER_W_FLAVOR_TEXT	
$EN_ARMORED ATTACKER_PLUS	<RE>$EN_ARMORED ATTACKER_NICK_NAME	<RE>[$EN_ARMORED ATTACKER_FLAVOR_NAME]+	<RE>$EN_ARMORED ATTACKER_FLAVOR_TEXT	
$EN_APC_PLUS	<RE>$EN_APC_NICK_NAME	<RE>[$EN_APC_FLAVOR_NAME]+	<RE>$EN_APC_FLAVOR_TEXT			
$EN_APC_W_PLUS	<RE>$EN_APC_W_NICK_NAME	<RE>[$EN_APC_W_FLAVOR_NAME]+	<RE>$EN_APC_W_FLAVOR_TEXT	
$EN_ARMORED APC_PLUS	<RE>$EN_ARMORED APC_NICK_NAME	<RE>[$EN_ARMORED APC_FLAVOR_NAME]+	<RE>$EN_ARMORED APC_FLAVOR_TEXT	
$EN_DOUBLE APC_PLUS	<RE>$EN_DOUBLE APC_NICK_NAME	<RE>[$EN_DOUBLE APC_FLAVOR_NAME]+	<RE>$EN_DOUBLE APC_FLAVOR_TEXT	
$EN_ARMORED RANGED ATTACKER_PLUS	<RE>$EN_ARMORED RANGED ATTACKER_NICK_NAME	<RE>[$EN_ARMORED RANGED ATTACKER_FLAVOR_NAME]+	<RE>$EN_ARMORED RANGED ATTACKER_FLAVOR_TEXT	
$EN_RANGED ATTACKER_PLUS	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>[$EN_RANGED ATTACKER_FLAVOR_NAME]+	<RE>$EN_RANGED ATTACKER_FLAVOR_TEXT	
$EN_RANGED ATTACKER_W_PLUS	<RE>$EN_RANGED ATTACKER_W_NICK_NAME	<RE>[$EN_RANGED ATTACKER_W_FLAVOR_NAME]+	<RE>$EN_RANGED ATTACKER_W_FLAVOR_TEXT	
$EN_DARK_PLUS	<RE>$EN_DARK_NICK_NAME	<RE>[$EN_DARK_FLAVOR_NAME]+	<RE>$EN_DARK_FLAVOR_TEXT	
$EN_BRUTE_PLUS	<RE>$EN_BRUTE_NICK_NAME	<RE>[$EN_BRUTE_FLAVOR_NAME]+	<RE>$EN_BRUTE_FLAVOR_TEXT	
$EN_SHEEP_PLUS	<RE>$EN_SHEEP_NICK_NAME	<RE>[$EN_SHEEP_FLAVOR_NAME]+	<RE>$EN_SHEEP_FLAVOR_TEXT	
$EN_PSI SHEEP_PLUS	<RE>$EN_PSI SHEEP_NICK_NAME	<RE>[$EN_PSI SHEEP_FLAVOR_NAME]+	<RE>$EN_PSI SHEEP_FLAVOR_TEXT	
$EN_SPEEDY SHEEP_PLUS	<RE>$EN_SPEEDY SHEEP_NICK_NAME	<RE>[$EN_SPEEDY SHEEP_FLAVOR_NAME]+	<RE>$EN_SPEEDY SHEEP_FLAVOR_TEXT	
$EN_SUPER SHEEP_PLUS	<RE>$EN_SUPER SHEEP_NICK_NAME	<RE>[$EN_SUPER SHEEP_FLAVOR_NAME]+	<RE>$EN_SUPER SHEEP_FLAVOR_TEXT	
$EN_OZIMAL_PLUS	<RE>$EN_OZIMAL_NICK_NAME	<RE>[$EN_OZIMAL_FLAVOR_NAME]+	<RE>$EN_OZIMAL_FLAVOR_TEXT	
$EN_TWIN_PLUS	<RE>$EN_TWIN_NICK_NAME	<RE>[$EN_TWIN_FLAVOR_NAME]+	<RE>$EN_TWIN_FLAVOR_TEXT	
$EN_RIGHT_INDEX_FINGER_PLUS	<RE>$EN_RIGHT_INDEX_FINGER_NICK_NAME	<RE>[$EN_RIGHT_INDEX_FINGER_FLAVOR_NAME]+	<RE>$EN_RIGHT_INDEX_FINGER_FLAVOR_TEXT	
$EN_RIGHT_THUMB_PLUS	<RE>$EN_RIGHT_THUMB_NICK_NAME	<RE>[$EN_RIGHT_THUMB_FLAVOR_NAME]+	<RE>$EN_RIGHT_THUMB_FLAVOR_TEXT	
$EN_RIGHT_MIDDLE_FINGER_PLUS	<RE>$EN_RIGHT_MIDDLE_FINGER_NICK_NAME	<RE>[$EN_RIGHT_MIDDLE_FINGER_FLAVOR_NAME]+	<RE>$EN_RIGHT_MIDDLE_FINGER_FLAVOR_TEXT	
$EN_RIGHT_RING_FINGER_PLUS	<RE>$EN_RIGHT_RING_FINGER_NICK_NAME	<RE>[$EN_RIGHT_RING_FINGER_FLAVOR_NAME]+	<RE>$EN_RIGHT_RING_FINGER_FLAVOR_TEXT	
$EN_RIGHT_PINKY_FINGER_PLUS	<RE>$EN_RIGHT_PINKY_FINGER_NICK_NAME	<RE>[$EN_RIGHT_PINKY_FINGER_FLAVOR_NAME]+	<RE>$EN_RIGHT_PINKY_FINGER_FLAVOR_TEXT	
$EN_RIGHT_EYE_PLUS	<RE>$EN_RIGHT_EYE_NICK_NAME	<RE>[$EN_RIGHT_EYE_FLAVOR_NAME]+	<RE>$EN_RIGHT_EYE_FLAVOR_TEXT	
$EN_RIGHT_HAND_PLUS	<RE>$EN_RIGHT_HAND_NICK_NAME	<RE>[$EN_RIGHT_HAND_FLAVOR_NAME]+	<RE>$EN_RIGHT_HAND_FLAVOR_TEXT	
$EN_FINGER_PLUS	<RE>$EN_FINGER_NICK_NAME		
$EN_ZELEMIR-CITADEL_PLUS	<RE>$EN_ZELEMIR-CITADEL_NICK_NAME	<RE>$EN_ZELEMIR-CITADEL_FLAVOR_NAME	<RE>$EN_ZELEMIR-CITADEL_FLAVOR_TEXT	
$EN_ZELEMIR_PLUS	<RE>$EN_ZELEMIR_NICK_NAME	<RE>[$EN_ZELEMIR_FLAVOR_NAME]+	<RE>$EN_ZELEMIR_FLAVOR_TEXT	
$EN_EZTLI_PLUS	<RE>$EN_EZTLI_NICK_NAME	<RE>[$EN_EZTLI_FLAVOR_NAME]+	<RE>$EN_EZTLI_FLAVOR_TEXT	
