flag	content
$ENTRY_JOURNAL_INDEX_TITLE	ÍNDICE
$ENTRY_JOURNAL2_INDEX_TITLE	SECRETO
$ENTRY_JOURNAL_INDEX_LEFT_00	Entradas del diario
$ENTRY_JOURNAL_INDEX_LEFT_10	Día 1: @¿Dónde estoy?@
$ENTRY_JOURNAL_INDEX_LEFT_20	Noche 1: @[berserker_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_30	Día 3: @Apéndice@
$ENTRY_JOURNAL_INDEX_LEFT_40	Noche 3: @Apéndice@
$ENTRY_JOURNAL_INDEX_LEFT_50	Día 3: @Prisión@
$ENTRY_JOURNAL_INDEX_LEFT_60	Día 4: @El Mundo Intermedio@
$ENTRY_JOURNAL_INDEX_LEFT_61	Día 4: @Tiene estudios@
$ENTRY_JOURNAL_INDEX_LEFT_62	Día 4: @Teneduría de libros@
$ENTRY_JOURNAL_INDEX_LEFT_70	Día 5: @[ranger_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_80	Día 8: @Apéndice@
$ENTRY_JOURNAL_INDEX_LEFT_90	Noche 7: @La destrucción de Karsk@
$ENTRY_JOURNAL_INDEX_LEFT_100	Día 8: @Laksos@
$ENTRY_JOURNAL_INDEX_LEFT_101	Día 9: @Viajes@
$ENTRY_JOURNAL_INDEX_LEFT_110	Día 10: @[mcguffin_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_120	Día 10: @La muerte de Ozimal@
$ENTRY_JOURNAL_INDEX_LEFT_130	Noche 10: @El Monasterio@
$ENTRY_JOURNAL_INDEX_LEFT_140	Día 11: @[healer_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_141	Día 11: @Un manuscrito carcásico@
$ENTRY_JOURNAL_INDEX_LEFT_150	Día 13: @[mage_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_160	Día 14: @Nómadas@
$ENTRY_JOURNAL_INDEX_LEFT_170	Día 15: @Un sueño extraño@
$ENTRY_JOURNAL_INDEX_LEFT_171	Noche 15: @Palabras extrañas@
$ENTRY_JOURNAL_INDEX_RIGHT_01	Día 16: @Palabras aterradoras de labios con cicatrices@
$ENTRY_JOURNAL_INDEX_RIGHT_00	Día 17: @Joya del desierto@
$ENTRY_JOURNAL_INDEX_RIGHT_02	Noche 17: @El zorro@
$ENTRY_JOURNAL_INDEX_RIGHT_10	Día 18: @[knight_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_20	Día 19: @Carta de [knight_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_30	Noche 19: @Mi respuesta: Borrador 1@
$ENTRY_JOURNAL_INDEX_RIGHT_40	Día 20: @Respuesta de [knight_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_50	Día 21: @Carta de <LQ>[knight_hero_up]<RQ>@
$ENTRY_JOURNAL_INDEX_RIGHT_60	Noche 21: @A/A: [berserker_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_70	Noche 22: @[dragon_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_71	Día 23: @Discurso@
$ENTRY_JOURNAL_INDEX_RIGHT_72	Día 24: @Asesino@
$ENTRY_JOURNAL_INDEX_RIGHT_73	Día 24: @La muerte de una superoveja@
$ENTRY_JOURNAL_INDEX_RIGHT_80	Noche 24: @Apéndice@
$ENTRY_JOURNAL_INDEX_RIGHT_81	Día 25: @Galimatías@
$ENTRY_JOURNAL_INDEX_RIGHT_90	Día 25: @Segundo sueño@
$ENTRY_JOURNAL_INDEX_RIGHT_91	Día 26: @La historia de [mage_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_92	Día 27: @La maldad interior@
$ENTRY_JOURNAL_INDEX_RIGHT_93	Día 27: @La historia de [knight_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_100	Día 28: @La muerte del hombre de rojo@
$ENTRY_JOURNAL_INDEX_RIGHT_110	Día 29: @Tercer sueño@
$ENTRY_JOURNAL_INDEX_RIGHT_117	Día 30: @Sueño y locura@
$ENTRY_JOURNAL_INDEX_RIGHT_111	Día 32: @La Emperatriz@
$ENTRY_JOURNAL_INDEX_RIGHT_112	Día 33: @Los Túnicas Negras@
$ENTRY_JOURNAL_INDEX_RIGHT_113	Día 33: @Cuarto sueño@
$ENTRY_JOURNAL_INDEX_RIGHT_114	Día 34: @no vuelvas a poner las zarpas en mi diario@
$ENTRY_JOURNAL_INDEX_RIGHT_115	Día 34: @Quinto sueño@
$ENTRY_JOURNAL_INDEX_RIGHT_116	Día 35: @Sexto sueño@
$ENTRY_JOURNAL_INDEX_RIGHT_120	Día 35: @El trono de Eztli@
$ENTRY_JOURNAL_INDEX_RIGHT_121	Día 36: @Evni@
$ENTRY_JOURNAL_INDEX_RIGHT_130	Día 37: @Tletl-Meztli@
$ENTRY_JOURNAL_INDEX_RIGHT_131	Día 38: @¿Paz?@
$ENTRY_JOURNAL_INDEX_RIGHT_132	Día 38: @Sueño de despedida@
$ENTRY_JOURNAL_INDEX_RIGHT_140	Día 39: @La elección@
$ENTRY_JOURNAL_INDEX_RIGHT_150	Día 40: @Siguiendo a Zelemir@
$ENTRY_JOURNAL_INDEX_RIGHT_160	@Epílogo@
$ENTRY_JOURNAL_INDEX_RIGHT_170	@Apéndice@
$ENTRY_JOURNAL_INTRO_TITLE	
$ENTRY_JOURNAL_INTRO_LEFT_00	Día 1 - ¿Dónde estoy?
$ENTRY_JOURNAL_INTRO_LEFT_10	Puede que haya perdido el juicio, sin embargo, debo intentar plasmar por escrito los acontecimientos que estoy presenciando. El lector podrá sacar sus propias conclusiones: solo contaré los hechos tal y como los percibe mi mente febril.<N><N>Sé que contraje la peste que asola nuestra hermosa capital. También sé que, al igual que a las otras víctimas que hubo, me llevaron fuera de la ciudad y me arrojaron al Foso. A partir de ese momento he pasado por una serie de sucesos tan extraños y aterradores que todavía me pregunto si estoy despierta o soñando.<N><N>Cuando la fiebre se apoderó de mi cuerpo, me vi en un lugar oscuro, frente a otra víctima.
$ENTRY_JOURNAL_INTRO_RIGHT_00	Entonces apareció un espléndido trono y un hombre como ningún otro que hubiese visto sentado en él. Todo su ser al completo era dorado. Al principio pensé que debía ser una estatua, pero al momento pronunció una orden. Su voz también era dorada y el filo de sus palabras restallaba con la potencia de un trueno. Era una lengua que jamás había escuchado o leído en toda la Gran Biblioteca de Ash, pero mi cuerpo obedeció su orden. Mis venas se tensaron como si la sangre fuera a brotar de mi cuerpo y deseara unirse a él. El corazón se me desboca solo de pensarlo.<N><N>-[mcguffin_hero] Livbar
$ENTRY_JOURNAL_SLAK_TITLE	
$ENTRY_JOURNAL_SLAK_LEFT_0_00	Noche 1 - [berserker_hero]
$ENTRY_JOURNAL_SLAK_LEFT_0_10	Cuando escribo sobre [berserker_hero], siento que debo dejar a un lado el solemne lenguaje de la capital y adoptar una lengua vernácula más adecuada al sujeto.<N><N>[berserker_hero] es un tonto del culo. Es como un culo que también es tonto.<N><N>Lo que le falta de intelecto le sobra de hedor. Si dos montones de estiércol quemado pudieran aparearse y engendrar prole, su pútrida descendencia se estremecería frente a la pestilencia que emana de las axilas descubiertas de [berserker_hero]. De hecho, los cadáveres resucitados que nos persiguen son todo un perfume exquisito en comparación.<N><N>Pero [berserker_hero] es más que una cara bonita. También demuestra una personalidad más que encantadora que solo podría describir como <LQ>loco de remate<RQ>.<N><N>Ayer discutió durante quince minutos con una piedra contra la que se había golpeado el dedo del pie. Y perdió.
$ENTRY_JOURNAL_SLAK_RIGHT_0_00	Realmente es una bendición viajar con tales compañías.
$ENTRY_JOURNAL_SLAK_RIGHT_0_10	Día 3 - Apéndice
$ENTRY_JOURNAL_SLAK_RIGHT_0_20	Siendo objetiva, también debo admitir que es el hombre más valiente que he conocido. Todo su cuerpo es un entramado de cicatrices de guerra, aunque en cierto modo me siento menos impresionada cuando pienso en que se niega a llevar ningún tipo de prenda o armadura sobre el torso. En resumidas cuentas: es a la vez un bufón insoportable y un guerrero sorprendentemente competente, y no tengo más remedio que estar contenta de que esté conmigo.
$ENTRY_JOURNAL_SLAK_RIGHT_0_30	<N>OHHHH YO TAMBIEN TE QUIERO! BESITO<N><N><N><N><N><N><N><N>YO NO DUERMO SIMPLEMENTE ME TUMBO BOCA ABAJO PARA FORTALECER MIS GLUTEOS
$ENTRY_JOURNAL_SLAK_RIGHT_0_40	<N>¡Parece que también sabe leer y escribir! ¿Cómo demonios tiene estudios este espécimen sediento de sangre?<N>P. D.: Si vuelves a robarme el diario otra vez, te descalabraré mientras duermes.
$ENTRY_JOURNAL_SLAK_LEFT_1_00	Noche 3 - segundo apéndice
$ENTRY_JOURNAL_SLAK_LEFT_1_10	Vale, para que conste, [berserker_hero] duerme desnudo. Cualquier intento de venganza tendrá lugar durante el día a partir de ahora.<N><N>Y sí, hay cicatrices incluso por debajo de la cintura.<N><N><N><N><N>Te odio.
$ENTRY_JOURNAL_SLAK_LEFT_1_20	<N>QUÉ TE PENSABAS QUE KHAN Y CHARISSA NO IBAN A LUCHAR TAMBIEN?
$ENTRY_JOURNAL_PRISON_TITLE	
$ENTRY_JOURNAL_PRISON_LEFT_0_00	Día 3 - Prisión
$ENTRY_JOURNAL_PRISON_LEFT_0_10	Hace tres días habría dicho que este Foso es una prisión.  Ahora me doy cuenta de que incluso en el infierno siempre puede haber algo peor.<N><N>El hombre que nos retiene se hace llamar Ozimal Kaz.  Es un ser cruel, mezquino y odioso.  Cómo un compatriota ha podido convertirse en alguien tan retorcido es algo que escapa a mi entendimiento.  Esperaría esto de los quaidís, que se han dedicado a perfeccionar su crueldad sobre las provincias del este durante las dos últimas décadas.  Incluso los jefes tribales nómadas más despiadados controlarían su ira sangrienta mejor que este degenerado.<N><N>¡Y a juzgar por su acento, es de la mismísima capital!  ¡Este monstruo creció a la sombra del propio Templo!
$ENTRY_JOURNAL_PRISON_RIGHT_0_00	Me encuentro con los otros prisioneros que ha retenido: bandidos y forajidos, hombres, mujeres, niños, ashianos, nómadas, quaidís, todos esperando a morir a manos de este hombre.  Día y noche escuchamos los quejidos continuos de los zombis encerrados, una cacofonía ensordecedora interrumpida solamente por los gritos agonizantes de su última víctima.<N><N>Y heme aquí, ¡incapaz de actuar!  Ojalá estuviera en el coliseo con estas desdichadas víctimas, al menos tendrían la posibilidad de luchar.  A pesar de su bravuconería, Ozimal duda ante la idea de <LQ>ejecutarme<RQ> por segunda vez.  Puede que Ozimal tema perder demasiados zombis cautivos; no debe ser fácil capturarlos o mantenerlos, y parece que para sus viles fines necesita tener controlados a sus vasallos.
$ENTRY_JOURNAL_PRISON_LEFT_1_00	Las palabras de mi misterioso aliado resuenan constantemente en mi cabeza.  Ozimal desea mostrarle mis habilidades a un <LQ>hombre de rojo<RQ>.  ¿Quién es este hombre de rojo?  ¿Y quién es este misterioso desconocido tan decidido a salvarme?  ¿Por qué soy tan importante?  Solo estoy segura de algo entre esta marea de preguntas: hasta ahora solo he practicado la violencia contra aquellos que ya estaban muertos, pero si logro ponerle las manos encima a Ozimal, esta política estará sujeta a cambio.
$ENTRY_JOURNAL_HALFWAY_WORLD_TITLE	
$ENTRY_JOURNAL_HALFWAY_WORLD_LEFT_0_00	Día 4 - El Mundo Intermedio
$ENTRY_JOURNAL_HALFWAY_WORLD_LEFT_0_10	<LQ>Mundo Intermedio<RQ> es lo mejor que logro encontrar entre mis débiles palabras para describir el lugar en el que me encuentro y al que llevo a los demás.<N><N>En una ocasión, cuando era muy pequeña, casi me ahogo nadando en los bajíos del Kevel.  Es la única experiencia semejante que se me ocurre.  El mismo pánico, la misma agonía jadeante cuando mi corazón intenta escapar de mi pecho.  Pero en esta ocasión la mano de mi padre no me arrastrará hasta un lugar seguro.  No hay orilla a la que aferrarse, solo el instante de la muerte que se prolonga una eternidad.<N><N>La explicación sobre cómo llego a este lugar está más allá de mi entendimiento.  Lo único que sé es que voy allí cuando es necesario.  Una vez allí puedo sentir a mis compañeros, no puedo verlos, pero soy consciente de ellos como si fueran partes de mi cuerpo a las que no necesito ver.  Simplemente sé que están allí y los llamo con la fuerza que tengo.  Esta fuerza es menuda, y ejercito estos poderes con la debilidad de un bebé que mueve su cuerpo, pero es suficiente para salvar la vida.
$ENTRY_JOURNAL_HALFWAY_WORLD_RIGHT_0_00	Aunque aborrezco hacer este viaje al aterrador mundo intermedio, definitivamente es mejor que el destino al que tendría que enfrentarme sin él.
$ENTRY_JOURNAL_AN_EDUCATION_TITLE	
$ENTRY_JOURNAL_AN_EDUCATION_LEFT_0_00	Día 4 - Tiene estudios
$ENTRY_JOURNAL_AN_EDUCATION_LEFT_0_10	Hoy mismo, con la mente todavía dando vueltas por el aturdimiento de nuestra última victoria, encontré un trozo de pergamino en el suelo. Ansiosa por reponer mis propias existencias, que por desgracia son limitadas, me abalancé sobre la página abandonada. Enseguida aprecié su gran calidad, algo que me sorprendió. Aunque los bordes y los pliegues denotaban el deterioro de haber viajado por el Foso, su grosor y su inmaculada tonalidad de color crema no podían esconder la riqueza de donde procedía. Sin duda no se trataba del borrador de un escriba.<N>En ese momento vi el sello del Lord Regente. Mis ojos ávidos llegaron a la primera línea:
$ENTRY_JOURNAL_AN_EDUCATION_LEFT_0_20	<N><LQ>Tú, descarriada escoria deambulante que apenas merece ser considerada mi hijo,<RQ>
$ENTRY_JOURNAL_AN_EDUCATION_LEFT_0_30	Inundada por lo que Zenimon el Sabio definió como <LQ>dicha por la calamidad del prójimo<RQ>, seguí leyendo con una curiosidad vergonzante:
$ENTRY_JOURNAL_AN_EDUCATION_LEFT_0_40	<LQ>No puedo expresar mi ira con palabras. Vashtal me ha informado de que tras su llegada a las tierras carcásicas,
$ENTRY_JOURNAL_AN_EDUCATION_RIGHT_0_00	descubrió que no estabas asistiendo a la Universidad tal y como te ordené en aras de tu mejora y seguridad, sino que se encontró a un bárbaro nómada de la plebe estudiando por ti y suplantando tu nombre. Este infame bárbaro confirmó que había recibido como pago una cantidad de oro nada desdeñable por cursar los estudios en tu lugar, mientras que tú, sin duda, vagabundeabas por las tierras salvajes en busca de – <RQ>
$ENTRY_JOURNAL_AN_EDUCATION_RIGHT_0_10	El resto del texto es un misterio para mí; justo en el punto en el que la narrativa se ponía especialmente interesante, [berserker_hero] me arrancó la página de las manos, la apretó hasta formar una bola y se la comió mientras me gritaba a la cara <LQ>¡Sabe a mentiras! ¡A mentiras y a oveja muerta! ¡Pero sobre todo a mentiras!<RQ>. Su aliento deja mucho que desear.<N><N>Después le lanzó una piedra a [ranger_hero] y los dos se enzarzaron en una pelea a manotazos que duró media hora.
$ENTRY_JOURNAL_BOOKKEEPING_TITLE	
$ENTRY_JOURNAL_BOOKKEEPING_LEFT_0_00	Día 4 - Teneduría de libros
