flag	content
$SCENE_OPENING_TITLE	Introducción
$NARR_OPENING_00_TEXT	*Me llamo $MCG
$NARR_OPENING_10_TEXT	Me muero
$NARR_OPENING_20_TEXT	No van a esperar
$NARR_OPENING_30_TEXT	Ahora ni siquiera hay tiempo para quemar los cuerpos
$NARR_OPENING_40_TEXT	Simplemente los llevan fuera de la ciudad...
$NARR_OPENING_50_TEXT	... y los arrojan al Foso
$SCENE_WHERE_AM_I_TITLE	El Mundo Intermedio
$NARR_WHERE_AM_I_00_TEXT	ACTO I
$NARR_WHERE_AM_I_00_SUB_TEXT	*Con un pie en cada mundo y el alma entre ellos,$Nel hombre moribundo puede ver todas las cosas.
$NARR_WHERE_AM_I_00_SUB_SUB_TEXT	*$N$N$N-Proverbio nómada
$LINE_WHERE_AM_I_00_CHAR	VÍCTIMA DE LA PESTE
$LINE_WHERE_AM_I_00_TEXT	¿Puedes sentirlo?
$LINE_WHERE_AM_I_10_CHAR	$MCG
$LINE_WHERE_AM_I_10_TEXT	¿Qué? ¿Dónde estamos?
$LINE_WHERE_AM_I_20_CHAR	VÍCTIMA DE LA PESTE
$LINE_WHERE_AM_I_20_TEXT	Nos está llamando...
$LINE_WHERE_AM_I_30_CHAR	VÍCTIMA DE LA PESTE
$LINE_WHERE_AM_I_30_TEXT	Ven, debemos unirnos a él...
$LINE_WHERE_AM_I_40_CHAR	VÍCTIMA DE LA PESTE
$LINE_WHERE_AM_I_40_TEXT	Ya hemos recorrido la mitad del camino...
$LINE_WHERE_AM_I_50_CHAR	$MCG
$LINE_WHERE_AM_I_50_TEXT	¿Qué estás haciendo? ¿Estás loca?
$LINE_WHERE_AM_I_60_CHAR	VÍCTIMA DE LA PESTE
$LINE_WHERE_AM_I_60_TEXT	Escucha la Voz...
$LINE_WHERE_AM_I_70_CHAR	VÍCTIMA DE LA PESTE
$LINE_WHERE_AM_I_70_TEXT	Él ofrece mucho más... ofrece ser parte de algo... mucho más grande.
$LINE_WHERE_AM_I_80_CHAR	VÍCTIMA DE LA PESTE
$LINE_WHERE_AM_I_80_TEXT	Solo un necio se resistiría.
$LINE_WHERE_AM_I_90_CHAR	$MCG
$LINE_WHERE_AM_I_90_TEXT	¡No te acerques a mí!
$LINE_WHERE_AM_I_100_CHAR	VOZ
$LINE_WHERE_AM_I_100_TEXT	TODOS SE UNIRÁN. TODOS SE CONVERTIRÁN EN MEROS RECIPIENTES.
$LINE_WHERE_AM_I_110_CHAR	$MCG
$LINE_WHERE_AM_I_110_TEXT	¡Sacadme de aquí!
$LINE_WHERE_AM_I_120_CHAR	VOZ
$LINE_WHERE_AM_I_120_TEXT	COMMAND.
$LINE_WHERE_AM_I_130_CHAR	$MCG
$LINE_WHERE_AM_I_130_TEXT	No puedo... moverme...
$LINE_WHERE_AM_I_140_CHAR	$MCG
$LINE_WHERE_AM_I_140_TEXT	Ayuda... Alguien puede...
$LINE_WHERE_AM_I_150_CHAR	$BER
$LINE_WHERE_AM_I_150_TEXT	¿¡Qué es lo que pasa!? ¡¡¡Pardiez!!!
$SCENE_MEET_BERSERKER_TITLE	Un nuevo y extraño amigo
$LINE_MEET_BERSERKER_00_CHAR	$MCG
$LINE_MEET_BERSERKER_00_TEXT	Guau.
$LINE_MEET_BERSERKER_10_CHAR	$MCG
$LINE_MEET_BERSERKER_10_TEXT	¿Qué ha pasado?
$LINE_MEET_BERSERKER_20_CHAR	$BER
$LINE_MEET_BERSERKER_20_TEXT	Vete tú a saber. Hace cinco minutos eras un cadáver y yo era simplemente un tío que intentaba mangar un par de zapatos nuevos.
$LINE_MEET_BERSERKER_30_CHAR	$BER
$LINE_MEET_BERSERKER_30_TEXT	¡Alégrate, buenas noticias! Estás viva y parece que ya no tienes la peste.
$LINE_MEET_BERSERKER_40_CHAR	$MCG
$LINE_MEET_BERSERKER_40_TEXT	¿Dónde...?
$LINE_MEET_BERSERKER_50_CHAR	$BER
$LINE_MEET_BERSERKER_50_TEXT	La mala noticia es que esto significa que no voy a conseguir un par de zapatos nuevos.
$LINE_MEET_BERSERKER_60_CHAR	$BER
$LINE_MEET_BERSERKER_60_TEXT	Ah, y también que estás atrapada en esta colonia infecta con todos nosotros.
$LINE_MEET_BERSERKER_70_CHAR	$MCG
$LINE_MEET_BERSERKER_70_TEXT	El Foso...
$LINE_MEET_BERSERKER_80_CHAR	$BER
$LINE_MEET_BERSERKER_80_TEXT	¡Arriba ese ánimo! Has sobrevivido, así que ahora deberías ser inmune a la peste.
$LINE_MEET_BERSERKER_90_CHAR	$MCG
$LINE_MEET_BERSERKER_90_TEXT	Entonces los guardias nos dejarán salir de aquí, ¿verdad?
$LINE_MEET_BERSERKER_100_CHAR	$BER
$LINE_MEET_BERSERKER_100_TEXT	Podrías intentar explicarles todo eso, pero no se les da muy bien escuchar.
$LINE_MEET_BERSERKER_110_CHAR	$BER
$LINE_MEET_BERSERKER_110_TEXT	*Normalmente no distinguen entre «contestar educadamente» y $N«dispararte tropecientas flechas».
$LINE_MEET_BERSERKER_120_CHAR	$BER
$LINE_MEET_BERSERKER_120_TEXT	En serio. No sé qué política de adiestramiento lleva a cabo el Reino de Ash últimamente.
$LINE_MEET_BERSERKER_130_CHAR	$MCG
$LINE_MEET_BERSERKER_130_TEXT	...
$LINE_MEET_BERSERKER_140_CHAR	$MCG
$LINE_MEET_BERSERKER_140_TEXT	Todavía no entiendo qué ha pasado en ese... lugar...
$LINE_MEET_BERSERKER_150_CHAR	$BER
$LINE_MEET_BERSERKER_150_TEXT	No le des más vueltas. Tuve la misma alucinación la primera vez que tuve la peste.
$LINE_MEET_BERSERKER_160_CHAR	$MCG
$LINE_MEET_BERSERKER_160_TEXT	Espera un segundo... ¡Tú estabas allí conmigo! ¿Cómo puede haber sido una alucinación?
$LINE_MEET_BERSERKER_170_CHAR	$BER
$LINE_MEET_BERSERKER_170_TEXT	Oh, ¿qué es eso que veo? ¡Una caravana!
$LINE_MEET_BERSERKER_180_CHAR	$MCG
$LINE_MEET_BERSERKER_180_TEXT	¡Espera!
$LINE_MEET_BERSERKER_190_CHAR	$MCG
$LINE_MEET_BERSERKER_190_TEXT	¡Al menos dime tu nombre!
$SCENE_SECOND_BATTLE_TITLE	La caravana de los muertos
$LINE_SECOND_BATTLE_00_CHAR	$BER
$LINE_SECOND_BATTLE_00_TEXT	¡Yujuuu, gente de la caravaaana! ¿Alguien tiene zapatos?
$LINE_SECOND_BATTLE_10_CHAR	GUARDIA DE LA CARAVANA ENFERMO
$LINE_SECOND_BATTLE_10_TEXT	Por favor... tributo... para Ozimal...
$LINE_SECOND_BATTLE_20_CHAR	$BER
$LINE_SECOND_BATTLE_20_TEXT	Uy.
$LINE_SECOND_BATTLE_30_CHAR	$MCG
$LINE_SECOND_BATTLE_30_TEXT	¿Quiénes son?
$LINE_SECOND_BATTLE_40_CHAR	$BER
$LINE_SECOND_BATTLE_40_TEXT	Tenemos que salir de aquí ahora mismo.
$LINE_SECOND_BATTLE_50_CHAR	$MCG
$LINE_SECOND_BATTLE_50_TEXT	¡Pero necesitan ayuda!
$LINE_SECOND_BATTLE_60_CHAR	$BER
$LINE_SECOND_BATTLE_60_TEXT	Ja ja ja... no.
$LINE_SECOND_BATTLE_70_CHAR	$MCG
$LINE_SECOND_BATTLE_70_TEXT	¡No podemos dejarlos sin más!
$LINE_SECOND_BATTLE_80_CHAR	$BER
$LINE_SECOND_BATTLE_80_TEXT	TIENEN la PESTE.
$LINE_SECOND_BATTLE_90_CHAR	$MCG
$LINE_SECOND_BATTLE_90_TEXT	Pero nosotros somos inmunes, ¿no?
$LINE_SECOND_BATTLE_100_CHAR	$BER
$LINE_SECOND_BATTLE_100_TEXT	No somos inmunes a que nos muerdan la cara y se la coman cuando se conviertan.
$LINE_SECOND_BATTLE_110_CHAR	$MCG
$LINE_SECOND_BATTLE_110_TEXT	¿Convertirse?
$LINE_SECOND_BATTLE_120_CHAR	GUARDIA DE LA CARAVANA INFECTADO
$LINE_SECOND_BATTLE_120_TEXT	Oooh. ¡Aaarrgghhh!
$LINE_SECOND_BATTLE_130_CHAR	$BER
$LINE_SECOND_BATTLE_130_TEXT	A eso me refería.
$LINE_SECOND_BATTLE_140_CHAR	$BER
$LINE_SECOND_BATTLE_140_TEXT	Bueno, ha sido un placer conocerte, colega.
$LINE_SECOND_BATTLE_150_CHAR	$MCG
$LINE_SECOND_BATTLE_150_TEXT	¡Espera!
$LINE_SECOND_BATTLE_160_CHAR	$BER
$LINE_SECOND_BATTLE_160_TEXT	...
$LINE_SECOND_BATTLE_170_CHAR	$BER
$LINE_SECOND_BATTLE_170_TEXT	¿Te encuentras bien?
$SCENE_TALK_BERSERKER_TITLE	Saqueando las reservas
$LINE_TALK_BERSERKER_00_CHAR	$MCG
$LINE_TALK_BERSERKER_00_TEXT	Estas personas... ¡se han convertido en monstruos!
$LINE_TALK_BERSERKER_10_CHAR	$BER
$LINE_TALK_BERSERKER_10_TEXT	Eres nueva por aquí, ¿verdad?
$LINE_TALK_BERSERKER_20_CHAR	$BER
$LINE_TALK_BERSERKER_20_TEXT	Es lo que le pasa a los que no sobreviven a la peste.
$LINE_TALK_BERSERKER_30_CHAR	$MCG
$LINE_TALK_BERSERKER_30_TEXT	Estábamos otra vez en el mismo lugar de antes... en ese lugar intermedio...
$LINE_TALK_BERSERKER_40_CHAR	$MCG
$LINE_TALK_BERSERKER_40_TEXT	Este sitio es horrible... Yo... ¡Tengo que largarme de aquí!
$LINE_TALK_BERSERKER_50_CHAR	$BER
$LINE_TALK_BERSERKER_50_TEXT	Por favor, la gente ha estado intentando escapar del Foso durante diez años.
$LINE_TALK_BERSERKER_60_CHAR	$MCG
$LINE_TALK_BERSERKER_60_TEXT	¿¡Esto ha estado pasando durante diez años!?
$LINE_TALK_BERSERKER_70_CHAR	$BER
$LINE_TALK_BERSERKER_70_TEXT	Déjame adivinar: vienes de la capital, ¿a que sí?
$LINE_TALK_BERSERKER_80_CHAR	$MCG
$LINE_TALK_BERSERKER_80_TEXT	Soy la bibliotecaria real...
$LINE_TALK_BERSERKER_90_CHAR	$BER
$LINE_TALK_BERSERKER_90_TEXT	Lo típico.  El Lord Regente se esfuerza en ocultar muy bien estas cosas.
$LINE_TALK_BERSERKER_100_CHAR	$BER
$LINE_TALK_BERSERKER_100_TEXT	Me apuesto lo que quieras a que ni siquiera sabías que la guerra había terminado.
$LINE_TALK_BERSERKER_110_CHAR	$MCG
$LINE_TALK_BERSERKER_110_TEXT	¿¡La guerra ha terminado!? Pero los soldados... los... ¿adónde están enviando a todas las tropas?
$LINE_TALK_BERSERKER_120_CHAR	$BER
$LINE_TALK_BERSERKER_120_TEXT	¿Hola? ¿Una enfermedad que convierte a la gente en monstruos? ¡Eso requiere una contención de la leche!
$LINE_TALK_BERSERKER_130_CHAR	$MCG
$LINE_TALK_BERSERKER_130_TEXT	Esto... Lo siento, yo solo... Solo quiero un buen libro y una bote..., mejor dos botellas de vino.
$LINE_TALK_BERSERKER_140_CHAR	$BER
$LINE_TALK_BERSERKER_140_TEXT	Bueno, míralo por el lado positivo, al menos los zombis han huido.
$LINE_TALK_BERSERKER_150_CHAR	$BER
$LINE_TALK_BERSERKER_150_TEXT	Espera, no han huido, ¡están MUERTOS!
$LINE_TALK_BERSERKER_160_CHAR	$BER
$LINE_TALK_BERSERKER_160_TEXT	¡Nadie lo había logrado antes!
$LINE_TALK_BERSERKER_170_CHAR	$MCG
$LINE_TALK_BERSERKER_170_TEXT	¿El qué?
$LINE_TALK_BERSERKER_180_CHAR	$BER
$LINE_TALK_BERSERKER_180_TEXT	Los zombis nunca mueren... ¡o al menos no lo hacían hasta ahora!
$LINE_TALK_BERSERKER_190_CHAR	$BER
$LINE_TALK_BERSERKER_190_TEXT	Vaya, tío, ¡hoy todavía puede ser mi día de suerte!
$LINE_TALK_BERSERKER_200_CHAR	$BER
$LINE_TALK_BERSERKER_200_TEXT	Tengo una nueva MEJOR amiga con poderes mágicos ocultos...
$LINE_TALK_BERSERKER_210_CHAR	$BER
$LINE_TALK_BERSERKER_210_TEXT	¡Y una caravana desprotegida llena hasta los topes con riquezas! ¡Somos ricos! ¡Tremendamente ricos!
$LINE_TALK_BERSERKER_220_CHAR	$BER
$LINE_TALK_BERSERKER_220_TEXT	¿Eso de ahí son zapatos?
$SCENE_CAUGHT_BY_OZIMAL_TITLE	Arrestados
$LINE_CAUGHT_BY_OZIMAL_00_CHAR	$MCG
$LINE_CAUGHT_BY_OZIMAL_00_TEXT	*$BER, todo esto es basura...
$LINE_CAUGHT_BY_OZIMAL_10_CHAR	EL GRAN HOMBRE
$LINE_CAUGHT_BY_OZIMAL_10_TEXT	Bandidos. Debería haberlo sabido.
$LINE_CAUGHT_BY_OZIMAL_20_CHAR	$MCG
$LINE_CAUGHT_BY_OZIMAL_20_TEXT	¿Quién eres?
$LINE_CAUGHT_BY_OZIMAL_30_CHAR	OZIMAL
$LINE_CAUGHT_BY_OZIMAL_30_TEXT	Soy Ozimal Kaz, caudillo del Foso, y estos bienes me pertenecen.
$LINE_CAUGHT_BY_OZIMAL_40_CHAR	$MCG
$LINE_CAUGHT_BY_OZIMAL_40_TEXT	Mira, acabo de llegar, no sé qué...
$LINE_CAUGHT_BY_OZIMAL_50_CHAR	OZIMAL
$LINE_CAUGHT_BY_OZIMAL_50_TEXT	¡Guardias! ¡Llevad a estos despreciables ladrones al Coliseo!
$LINE_CAUGHT_BY_OZIMAL_60_CHAR	OZIMAL
$LINE_CAUGHT_BY_OZIMAL_60_TEXT	Mostradle lo que les pasa a aquellos que roban algo de Ozimal Kaz.
$SCENE_COLISEUM_INTRO_TITLE	El Coliseo
$LINE_COLISEUM_INTRO_00_CHAR	$MCG
$LINE_COLISEUM_INTRO_00_TEXT	Esto no tiene buena pinta.
$LINE_COLISEUM_INTRO_10_CHAR	PRISIONERO
$LINE_COLISEUM_INTRO_10_TEXT	Supongo que es tu primera ejecución.
$LINE_COLISEUM_INTRO_20_CHAR	$MCG
$LINE_COLISEUM_INTRO_20_TEXT	¿Ejecución?
