flag	content	comment
$TITLE_START_DEMO	Lancer la DÉMO
$TITLE_FULL_GAME	JEU COMPLET
$TITLE_START_GAME	Lancer le JEU
$TITLE_START	Commencer
$TITLE_QUIT	Quitter
$TITLE_EULA_1	En jouant à ce jeu, vous acceptez notre
$TITLE_EULA_2	Contrat de Licence Utilisateur Final
$TITLE_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT	COMMENT: this is a redirect, the text for $MISC_PLEASE_WAIT will be duplicated here. The <RE> invocation at the beginning of the string signals a redirect, and will not show up in the final text
$TITLE_BONUS_GOODIES	Bonus
$TITLE_BONUS_GOODIES_2	Secrets ?
$TITLE_CONNECTING_KONG	Connexion à KONG...
$TITLE_UNLOAD_MOD	Décharger le Mod
$TITLE_RELOAD_MOD	Recharger le Mod
$DEMO_OVER_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT
$DEMO_OVER_DONT_FORGET	N'oubliez pas votre fichier de sauvegarde !
$DEMO_OVER_EXPORT_HOW	Exportez vos fichiers de sauvegarde grâce à ce bouton.
$DEMO_OVER_USE_IT	Servez-vous-en pour continuer depuis là où vous vous êtes arrêté.
$DEMO_OVER_PLAY	Continuer à jouer !
$DEMO_OVER_THANKS	Merci d'avoir joué !
$DEMO_OVER_ENORMOUS	Cliquez sur l'ÉNORME bouton pour poursuivre votre quête !
$DEMO_OVER_ENORMOUS_2	Cliquez sur un ÉNORME bouton pour poursuivre votre quête !
$DEMO_OVER_FULL_GAME	Obtenir le JEU COMPLET !
$DEMO_OVER_FULL_GAME_SHORT	JEU<N>COMPLET !	COMMENT: <N> means a line break. <N> works too, but not <N> or <n>
$DEMO_OVER_ACTS	Actes<N>III & IV
$ERROR_TITLE	Une erreur est survenue !
$ERROR_NUMBER	Erreur
$ERROR_CONTEXT	contexte
$ERROR_MESSAGE	message
$ERROR_STACK	trace de la pile
$PARTY_FROM_BATTLE	De la bataille
$PARTY_GO_TO_MAP	Vers la carte
$PARTY_RETURN_TOWN	Retourner en ville
$PARTY_CANT_WEAPON	Ne peut<N>utiliser<N>d'ARME
$PARTY_CANT_ARMOR	Ne peut<N>utiliser<N>d'ARMURE
$PARTY_RESET_POINTS	Réinit. pts
$PARTY_X_PTS	<X> pts
