flag	name
$CLASS_MCGUFFIN	Érudite
$CLASS_MCGUFFIN_PL	Érudites
$CLASS_KNIGHT	Chevalier
$CLASS_KNIGHT_PL	Chevaliers
$CLASS_RANGER	Ranger
$CLASS_RANGER_PL	Rangers
$CLASS_BERSERKER	Berserker
$CLASS_BERSERKER_PL	Berserkers
$CLASS_HEALER	Soigneur
$CLASS_HEALER_PL	Soigneurs
$CLASS_MAGE	Mage-Glace
$CLASS_MAGE_PL	Mage-Glaces
$CLASS_DRAGON	Dragon
$CLASS_DRAGON_PL	Dragons
$CLASS_SORCEROR	Sorcier
$CLASS_SORCEROR_PL	Sorciers
$CLASS_ANTIMCGUFFIN	Sorcière
$CLASS_ANTIMCGUFFIN_PL	Sorcières
$SPELL_ENEMY_ZAP	<RE>$SKILL_MCGUFFIN_A_LIGHTNING
$SPELL_ENEMY_FRENZY	<RE>$SKILL_MCGUFFIN_A_FRENZY
$SPELL_ENEMY_HEAL	<RE>$SKILL_MCGUFFIN_A_HEALING
$SPELL_ENEMY_FIRE	<RE>$SKILL_MCGUFFIN_A_DRAGON_FIRE
$SKILL_MCGUFFIN_A_LIGHTNING	Foudre
$SKILL_MCGUFFIN_A_FRENZY	Frénésie
$SKILL_MCGUFFIN_A_HEALING	Soins
$SKILL_MCGUFFIN_A_CRYSTAL	Cristal
$SKILL_MCGUFFIN_A_PUSHBACK	Bourrasque
$SKILL_MCGUFFIN_A_DRAGON_FIRE	Feu du Dragon
$SKILL_MCGUFFIN_A_LIGHTNING_DESC	Inflige $X dégâts à un ennemi. Brûle le Psi, ce qui réduit la récompense en Psi octroyée par la destruction de l'ennemi.
$SKILL_MCGUFFIN_A_FRENZY_DESC	Augmente de $X% la vitesse d'attaque de TOUS les défenseurs pendant $Y secondes.
$SKILL_MCGUFFIN_A_HEALING_DESC	Soigne tous les défenseurs de $X points de Santé.
$SKILL_MCGUFFIN_A_CRYSTAL_DESC	Pose un cristal qui inflige $X dégâts aux ennemis dans un rayon de $Y cases. Explose au bout de $Z secondes, ou s'il est frappé par la foudre.
$SKILL_MCGUFFIN_A_PUSHBACK_DESC	Repousse les ennemis de $X cases vers l'entrée du labyrinthe.
$SKILL_MCGUFFIN_A_DRAGON_FIRE_DESC	Inflige $X dégâts à tous les ennemis à l'écran et les embrase pendant $Y secondes.
$SKILL_MCGUFFIN_fake_attackEXPLOSION	Explosion
$SKILL_ANTIMCGUFFIN_A_LIGHTNING	Foudre
$SKILL_ANTIMCGUFFIN_A_HEALING	Soins
$SKILL_ANTIMCGUFFIN_A_FRENZY	Frénésie
$SKILL_ANTIMCGUFFIN_A_CRYSTAL	Cristal
$SKILL_ANTIMCGUFFIN_A_PUSHBACK	Bourrasque
$SKILL_ANTIMCGUFFIN_A_DRAGON_FIRE	Feu du Dragon
$SKILL_ANTIMCGUFFIN_A_LIGHTNING_DESC	Inflige $X dégâts à un ennemi. Brûle le Psi, ce qui réduit la récompense en Psi octroyée par la destruction de l'ennemi.
$SKILL_ANTIMCGUFFIN_A_FRENZY_DESC	Augmente de $X% la vitesse d'attaque de TOUS les défenseurs pendant $Y secondes.
$SKILL_ANTIMCGUFFIN_A_HEALING_DESC	Soigne tous les défenseurs de $X points de Santé.
$SKILL_ANTIMCGUFFIN_A_CRYSTAL_DESC	Pose un cristal qui inflige $X dégâts aux ennemis dans un rayon de $Y cases. Explose au bout de $Z secondes, ou s'il est frappé par la foudre.
$SKILL_ANTIMCGUFFIN_A_PUSHBACK_DESC	Repousse les ennemis de $X cases vers l'entrée du labyrinthe.
$SKILL_ANTIMCGUFFIN_A_DRAGON_FIRE_DESC	Inflige $X dégâts à tous les ennemis à l'écran et les embrase pendant $Y secondes.
$SKILL_SORCEROR_A_LIGHTNING-Z	Foudre
$SKILL_SORCEROR_A_HEALING-Z	Soins
$SKILL_SORCEROR_A_FRENZY-Z	Frénésie
$SKILL_SORCEROR_A_PUSHBACK-Z	Bourrasque
$SKILL_SORCEROR_A_DRAGON_FIRE-Z	Feu du Dragon
$SKILL_SORCEROR_A_LIGHTNING_DESC	Inflige $X dégâts à un ennemi. Brûle le Psi, ce qui réduit la récompense en Psi octroyée par la destruction de l'ennemi.
$SKILL_SORCEROR_A_FRENZY-Z_DESC	Augmente de $X% la vitesse d'attaque de TOUS les défenseurs pendant $Y secondes.
$SKILL_SORCEROR_A_HEALING-Z_DESC	Soigne tous les défenseurs de $X points de Santé.
$SKILL_SORCEROR_A_PUSHBACK-Z_DESC	Repousse les ennemis de $X cases vers l'entrée du labyrinthe.
$SKILL_SORCEROR_A_DRAGON_FIRE-Z_DESC	Inflige $X dégâts à tous les ennemis à l'écran et les embrase pendant $Y secondes.
$SKILL_KNIGHT_A_SWING	Moulinet
$SKILL_KNIGHT_P_ARMOR_PIERCE	Perce armure
$SKILL_KNIGHT_A_SMASH	Fracasser
$SKILL_KNIGHT_P_ARMOR_BREAK	Brise armure
$SKILL_KNIGHT_P_ARMOR_TRAINING	Combat en armure
$SKILL_KNIGHT_P_HARD_KNOCK	Coup
$SKILL_KNIGHT_A_COUNTER	Contre
$SKILL_KNIGHT_A_LUNGE	Botte
$SKILL_KNIGHT_P_STUN_STAB	Coup étourdissant
$SKILL_KNIGHT_P_SWORD_TRAINING	Combat à l'épée
$SKILL_KNIGHT_A_CLEAVE	Feinte
$SKILL_BERSERKER_A_SLASH	Taillade
$SKILL_BERSERKER_A_DOUBLE_HIT	Double frappe
