flag	nick_name	flavor_name	flavor_text
$EN_SLUGWORM	RAPIDE	Ver	Engeance Rapide de Revenant|Ces sortes de vers très rapides sont dotés de plusieurs rangées de crocs acérés.<N><N>De nombreux témoins prétendent les avoir vu surgir du corps de gros Revenants bouffis, après des semaines de putréfaction.	
$EN_NORMAL_NOMONEY	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT	
$EN_NORMAL	NORMAL	Revenant	Cadavre réanimé|Dans la Fosse, les cadavres se relèvent souvent plusieurs jours après leur mort.<N><N>Ces monstres sont appelés des <LQ>Revenants<RQ>.	
$EN_CULTIST	PRÉDICATEUR	Prédicateur	Sanguinaire Transmuté|<RE>[$EN_CULTIST_BASIC_FLAVOR_TEXT]	
$EN_ARMORED CULTIST	PRÊTRE	Prêtre	Prêtre Sanguinaire|<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>Les actes de violences rituelles sont accompli par les Prêtres Sanguinaires, et ces derniers exhibent souvent des marques d'auto-mutilations poussées.<N><N><RE>[$EN_CULTIST_ACCOUNT_FLAVOR_TEXT]	
$EN_INSANE CULTIST	PRÉDICATEUR FOU	Grand Prêtre	Grand Prêtre Sanguinaire|<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT] <N><N>Certains récits historiques quaidiens affirment que ce culte était autrefois dirigé par un organe matriarcal appelé <LQ>La Reine aux Nombreux Diables<RQ>. Cette structure centrale semble avoir disparu au cours des derniers siècles en faveur une assemblée plus informelle de hauts-prêtres.	
$EN_NORMAL_EXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT	
$EN_NORMAL_EXP_PSI	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT	
$EN_NORMAL_W	<RE>$EN_NORMAL_NICK_NAME	Mal Aquatique	Revenant Aquatique|Ces Revenants exsudent une substance poisseuse qui rend leur corps imperméable.<N><N>Leur abdomen est rempli de gaz toxique, ce qui leur évite de couler.	
$EN_ARMORED	CUIRASSÉ	Chevalier Déchu	Revenant Cuirassé|Ces Revenants sont d'anciens Chevaliers ayant péri au combat.<N><N>Bien qu'ils n'aient rien conservé de l'intelligence et des compétences dont ils bénéficiaient de leur vivant, ils ont toujours leur armure.	
$EN_SPEEDY	RAPIDE	Ver	Engeance Rapide de Revenant|Ces sortes de vers très rapides sont dotés de plusieurs rangées de crocs acérés.<N><N>De nombreux témoins prétendent les avoir vus surgir du corps de gros Revenants enflés, après des semaines de putréfaction.	
$EN_SPEEDY_W	<RE>$EN_SPEEDY_NICK_NAME	Serpent	Engeance Rapide Aquatique|On raconte que ces vers aquatiques seraient issus de corps de Revenants laissés à la dérive.<N><N>D'autres suggèrent qu'ils proviendraient des cadavres des poissons et des serpents des rivières.	
$EN_ARMORED SPEEDY	<RE>$EN_SPEEDY_NICK_NAME	Ver Cuirassé	Engeance Rapide Cuirassée|Ces vers ont développé une épaisse carapace.<N><N>Une théorie voudrait que cette cuirasse soit composée des os digérés du cadavre originel.	
$EN_ARMORED_SPEEDY_W	<RE>$EN_SPEEDY_NICK_NAME	Serpent Cuirassé	Engeance Rapide Cuirassée Aquatique|Ces vers aquatiques ont à la fois développé une capacité à nager et une épaisse carapace.<N>Leur odeur d'os digérés et de gaz de décomposition est particulièrement écœurante.	
$EN_ATTACKER	COMBATTANT	Goule Folle	Revenant Combattant|Certains Revenants sont plus agressifs que les autres.<N><N>Alors que les Revenants standards s'obstinent à traquer une unique victime, ceux-ci s'en prennent véritablement à tout ce qui bouge.	
$EN_DARK ATTACKER	CAMOUFLEUR	Goule Noire	Revenant Combattant Noir|Les gaz qui s'accumulent dans l'abdomen de ce Revenant s'échappent par les pores de sa peau, ce qui enveloppe la créature dans un épais nuage de fumée toxique qui le dissimule, tout en plongeant ses ennemis dans la confusion.	
$EN_ATTACKER_W	<RE>$EN_ATTACKER_NICK_NAME	Goule des Rivières	Revenant Combattant Aquatique|Les récits de cadavres puants surgissant des eaux pour attaquer les villageois assoiffés abondent dans la Fosse.<N><N>Personne ne part jamais chercher de l'eau tout seul, et seuls les fous s'aventurent à piquer une tête...	
$EN_ARMORED ATTACKER	<RE>$EN_ATTACKER_NICK_NAME	Chevalier Fou	Revenant Combattant Cuirassé|Ces Chevaliers déchus sont aussi forts que vicieux.<N><N>Leurs hurlements inhumains résonnent à travers les catacombes et vont se perdre dans le désert.	
$EN_RAPID_ATTACKER	ATTAQUE RAPIDE	
$EN_APC	DIVISEUR	Monstruosité	Hôte d'Engeance|Ces cadavres bouffis peuvent à peine se déplacer et semblent prêts à éclater à tout instant.<N><N>Plusieurs bouches garnies de crocs émergent de leurs flancs. Ils sont également trop gros pour être repoussés ou dévorés.			
$EN_APC_W	<RE>$EN_APC_NICK_NAME	Cadavre Fétide	Hôte d'Engeance Aquatique|Ces Revenants puent comme un sac de poisson pourri qui aurait mariné dans des eaux d'égout...<N><N>Ils flottent facilement et semblent prêts à éclater à tout instant.	
$EN_ARMORED APC	DIVISEUR CUIRASSÉ	Bête Cuirassée	Hôte d'Engeance Cuirassé|Une carapace géante protège cette monstrueuse masse de chair digérée.<N><N>On la soupçonne d'être totalement dépourvue d'os.	
$EN_DOUBLE APC	DOUBLE DIVISEUR	Abomination	Hôte d'Engeance Diviseur|Ce monstre étrange est à la fois décoloré et bouffi.<N><N>Que cela peut-il signifier ?	
$EN_ARMORED RANGED ATTACKER	<RE>$EN_RANGED ATTACKER_NICK_NAME	Goule Vipère	Revenant Cracheur Cuirassé|<RE>[$EN_RANGED ATTACKER_FLAVOR_TEXT]	
$EN_RANGED ATTACKER	À DISTANCE	Goule Vipère	Revenant Cracheur|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]	
$EN_RANGED ATTACKER_W	<RE>$EN_RANGED ATTACKER_NICK_NAME	Goule Vipère des Rivières	Revenant Cracheur Aquatique|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]	
$EN_DARK	OBSCUR	Ver des Ombres	Engeance Noire Rapide|Ces vers sont enveloppés dans une épaisse brume noire qui les rend quasiment impossibles à toucher.
$EN_BRUTE	CORIACE	Ver de la Mort	Engeance Coriace de Revenant|Ces créatures pâles apparentées à des vers se déplacent lentement, et sont dotées d'une peau cuireuse robuste à la place de l'habituelle membrane extérieure fragile.<N><N>Bien que faciles à distancer, elles triomphent en général de leurs proies en les poursuivant sans relâche, jusqu'à l'épuisement.	
$EN_NORMAL_LOWXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT	
$EN_CULTIST_LOWXP	<RE>$EN_CULTIST_NICK_NAME	<RE>$EN_CULTIST_FLAVOR_NAME	<RE>$EN_CULTIST_FLAVOR_TEXT	
$EN_ARMORED CULTIST_LOWXP	<RE>$EN_ARMORED CULTIST_NICK_NAME	<RE>$EN_ARMORED CULTIST_FLAVOR_NAME	<RE>$EN_ARMORED CULTIST_FLAVOR_TEXT	
$EN_NORMAL_W_LOWXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_W_FLAVOR_NAME	<RE>$EN_NORMAL_W_FLAVOR_TEXT	
$EN_ARMORED_LOWXP	<RE>$EN_ARMORED_NICK_NAME	<RE>$EN_ARMORED_FLAVOR_NAME	<RE>$EN_ARMORED_FLAVOR_TEXT	
$EN_SPEEDY_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_SPEEDY_FLAVOR_NAME	<RE>$EN_SPEEDY_FLAVOR_TEXT	
