flag	name	description
$ITEM_SWORD	<RE>$ITM_W_SWORD
$ITEM_BOW	<RE>$ITM_W_BOW
$ITEM_STAFF	<RE>$ITM_W_STAFF
$ITEM_LIGHT	<RE>$ITM_A_LIGHT
$ITEM_HEAVY	<RE>$ITM_A_HEAVY
$ITEM_BOOK	<RE>$ITM_ACC_BOOK	
$ITEM_WEAPON	Arme
$ITEM_ARMOR	Armure
$ITM_A_LIGHT	armure légère	<NULL>
$ITM_A_LIGHT_PLURAL	armure légère	<NULL>
$ITM_A_HEAVY	armure lourde	<NULL>
$ITM_A_HEAVY_PLURAL	armure lourde	<NULL>
$ITM_W_SWORD	épée	<NULL>
$ITM_W_SWORD_PLURAL	épées	<NULL>
$ITM_W_BOW	arc	<NULL>
$ITM_W_BOW_PLURAL	arcs	<NULL>
$ITM_W_STAFF	bâton	<NULL>
$ITM_W_STAFF_PLURAL	bâtons	<NULL>
$ITM_A_LIGHT_PLURAL_SHORT	légère	<NULL>
$ITM_A_HEAVY_PLURAL_SHORT	lourde	<NULL>
$ITM_W_SWORD_PLURAL_SHORT	épées	<NULL>
$ITM_W_STAFF_PLURAL_SHORT	bâtons	<NULL>
$ITM_W_BOW_PLURAL_SHORT	arcs	<NULL>
$ITM_A_LIGHT_1	Sac à Patates	Un sac à patates avec des trous pour y passer les bras. Ça gratte horriblement, mais c'est mieux que rien.
$ITM_A_LIGHT_2	Peau	Des peaux d'animaux séchées et cousues grossièrement pour former une veste épaisse et robuste.
$ITM_A_LIGHT_3	Tunique de Chef de Clan	Cette tunique de nomade aux couleurs vives est faite de laine épaisse, et ornée de broderies sophistiquées. L'ourlet représente les racines entremêlées de l'Arbre Monde.
$ITM_A_LIGHT_4	Tunique Lourde en Laine	Une longue tunique épaisse fabriquée à partir de la précieuse laine des bergers nomades.
$ITM_A_LIGHT_5	Veste en Peau de Tigre	Les motifs de flammes quaidiens sur la ceinture de cuir ouvragée sont la seule indication de l'origine de cette tenue exotique.
$ITM_A_LIGHT_6	Fourrure	De précieuses fourrures d'animaux assemblées afin de former une veste rembourrée et bien chaude.
$ITM_A_LIGHT_7	Parure d'Ozimal	Elle sent un peu le fromage...
$ITM_A_LIGHT_8	Cuir	Du cuir tanné et soigneusement cousu pour en faire un pourpoint de belle facture.
$ITM_A_LIGHT_9	Habit de Moine Guerrier	Ce lourd habit de moine rembourré est orné de symboles de la 9e Branche de Selini, la Maison Militante, les Défenseurs de la Vérité et de l'Ordre.
$ITM_A_LIGHT_10	Gambison de Laine	Plusieurs couches de laine fine, méticuleusement piquées les unes aux autres et rembourrées de molleton et de poils d'animaux afin de constituer une défense robuste contre les coups les plus dévastateurs.
$ITM_A_LIGHT_11	Folie de l'Assassin	Au premier coup d'œil, on pourrait penser qu'il ne s'agit là que d'une chemise de noble. Mais une inspection minutieuse permet de révéler de multiples alignements de fines plaques métalliques cousues sur sa doublure. Une entaille à la base du dos laisse cependant à penser que cette ingénieuse réalisation a fait défaut à au moins un assassin...
$ITM_A_LIGHT_12	Gambison de Soie	De multiples couches de soie résistante piquées ensemble et rembourrées de crin de cheval afin de constituer une armure capable d'arrêter une flèche sans que le porteur ne se voie infliger la moindre égratignure.
$ITM_A_LIGHT_13	Maître des Archers	Ce gambison d'Ash est constitué de la soie la plus rare. Il est orné de somptueuses broderies qui identifient son propriétaire en tant que « Maître des Archers du Roi ». Des douzaines de petites reprises à sa surface semblent indiquer que cette armure sans égale a connu de nombreux conflits, et qu'elle a probablement été transmise d'un Maître à un autre sur plusieurs générations.
$ITM_A_LIGHT_14	La Toison de Platine	Bien plus précieuse qu'une « bête » toison d'or. Arrachée au cadavre de l'Axxima Vatta Muttunaxxor, cette toison à l'éclat aveuglant est véritablement sans égal.
$ITM_A_LIGHT_15	<RE>[$ITM_A_LIGHT_3_NAME]+	<RE>[$ITM_A_LIGHT_3_DESCRIPTION]	
$ITM_A_LIGHT_16	<RE>[$ITM_A_LIGHT_5_NAME]+	<RE>[$ITM_A_LIGHT_5_DESCRIPTION]	
$ITM_A_LIGHT_17	<RE>[$ITM_A_LIGHT_7_NAME]+	<RE>[$ITM_A_LIGHT_7_DESCRIPTION]	
$ITM_A_LIGHT_18	<RE>[$ITM_A_LIGHT_9_NAME]+	<RE>[$ITM_A_LIGHT_9_DESCRIPTION]	
$ITM_A_LIGHT_19	<RE>[$ITM_A_LIGHT_11_NAME]+	<RE>[$ITM_A_LIGHT_11_DESCRIPTION]	
$ITM_A_LIGHT_20	<RE>[$ITM_A_LIGHT_13_NAME]+	<RE>[$ITM_A_LIGHT_13_DESCRIPTION]	
$ITM_A_LIGHT_21	<RE>[$ITM_A_LIGHT_14_NAME]+	<RE>[$ITM_A_LIGHT_14_DESCRIPTION]	
$ITM_A_LIGHT_22	<RE>[$ITM_A_LIGHT_1_NAME]+	<RE>[$ITM_A_LIGHT_1_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_23	<RE>[$ITM_A_LIGHT_2_NAME]+	<RE>[$ITM_A_LIGHT_2_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_24	<RE>[$ITM_A_LIGHT_4_NAME]+	<RE>[$ITM_A_LIGHT_4_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_25	<RE>[$ITM_A_LIGHT_6_NAME]+	<RE>[$ITM_A_LIGHT_6_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_26	<RE>[$ITM_A_LIGHT_8_NAME]+	<RE>[$ITM_A_LIGHT_8_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_27	<RE>[$ITM_A_LIGHT_10_NAME]+	<RE>[$ITM_A_LIGHT_10_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_LIGHT_28	<RE>[$ITM_A_LIGHT_12_NAME]+	<RE>[$ITM_A_LIGHT_12_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]	
$ITM_A_HEAVY_1	Jaque de Chaînes	Un gambison léger agrémenté de quelques anneaux de métal grossièrement forgés et placés sur l'extérieur des bras afin d'offrir une protection supplémentaire.
$ITM_A_HEAVY_2	Chemise de Mailles	Une chemise constituée de centaines d'anneaux métalliques entrelacés et rivetés individuellement afin d'empêcher toute rupture.
$ITM_A_HEAVY_3	Gloire de la Guerre	Cette exquise armure quaidienne est d'un style assez exubérant. Chaque anneau de maille est bleui, et les derniers rangs de la chemise scintillent afin de simuler une dorure. Les plates de renfort sont ornées de motifs dorés, qui mettent en avant le symbole de la famille Impériale. Une inscription en Quaidien a été griffonnée avec un objet pointu dans la surface métallique : <LQ>C'est un peu tard pour penser à ce genre de choses<RQ>. D'autres mots ont été gravés sur certaines plates, mais la chose semble avoir été faite à la hâte, rendant ces inscriptions indéchiffrables.	
$ITM_A_HEAVY_4	Mailles Mêlées	Une chemise de mailles agrémentée de plates de métal directement liées aux anneaux, afin de procurer une protection du torse supplémentaire. L'équipement standard de l'infanterie de Quaid pendant la guerre.
$ITM_A_HEAVY_5	Lamellaire de Cavalier	Ce lamellaire de belle facture comporte des protections d'épaules renforcées, ainsi que des tassettes descendant jusqu'aux genoux, ce qui laisse à penser que ce harnois fut conçu pour la cavalerie lourde. Les avant-bras dorés et le gambison de soie révèlent que le précédent propriétaire devait être un guerrier fortuné et de bon goût. Plusieurs plates comportent une petite inscription gravée dans un langage qui ne semble correspondre à aucun dialecte régional. Le fait d'avoir placé ces plates autour du cœur du porteur pourrait laisser penser que ce texte serait une sorte de charme de protection, mais il ne s'agit là que d'une pure conjecture.
$ITM_A_HEAVY_6	Lamellaire	Plusieurs douzaines de petites plates métalliques reliées ensemble par des cordons de soie robustes.
$ITM_A_HEAVY_7	Harnois du Traître	Les épaulières dorées de ce manteau de plates ashani indiquent qu'il a très probablement appartenu à un officiel de haut rang. La surface du canevas a été réparée, mais le mot <LQ>traître<RQ> en ashani est encore visible dans la trame du tissu. De grandes taches de sang sont également discernables en dépit de la teinture rouge, bien qu'aucun dégât apparent ne semble avoir été infligé à l'armure.	
$ITM_A_HEAVY_8	Cotte de Plates	Une excellente protection de torse fabriquée en rivetant plusieurs grandes et lourdes plates de métal sur l'intérieur d'un surcot en canevas solide.
$ITM_A_HEAVY_9	Force de Wocolan	Cette brigandine en velours vert comporte de larges épaulières polies typiques de l'infanterie lourde de Quaid. Les armoiries dorées représentent le héros quaidien Wocolan en train d'écraser la tête d'un ours à mains nues. En dessous, ses enfants Wastan et Wacella boivent le sang qui s'écoule de la bouche de l'ours, afin de survivre à la marche éreintante imposée par l'exil de leur famille.
$ITM_A_HEAVY_10	Brigandine	Des centaines de plates de métal rivetées sur l'intérieur d'un canevas, associées à une doublure en velours de soie, forment une protection de torse tout à fait convenable.
