flag	name
$FLAV_DAMAGE	Dégâts
$FLAV_FRENZY	Frénésie
$FLAV_FIRE	Embrasé
$FLAV_BURN	Brûlure
$FLAV_POISON	Poison
$FLAV_EVER_POISON	Perma-poison
$FLAV_WOUND	Blessure
$FLAV_BLEED	Saignement
$FLAV_EVER_BLEED	Perma-saignement
$FLAV_BLINDED	Aveuglement
$FLAV_CONFUSED	Confusion
$FLAV_DISEASE	Maladie
$FLAV_PSI_BURN	Brûlure Psi
$FLAV_INSPIRE	Inspiration
$FLAV_INSPIRED_HIT	Coup inspiré
$FLAV_STUN	Étourdi
$FLAV_SINGLE_STUN	Étourdi simple
$FLAV_CHILL	Transi
$FLAV_SLOW	Ralenti
$FLAV_FREEZE	Gelé
$FLAV_LIGHT	Lumière
$FLAV_AREA	Zone
$FLAV_DARK	Obscurité
$FLAV_GROW_ARMOR	Croissance d'armure
$FLAV_PHASED	Phasé
$FLAV_MAGIC	Magique
$FLAV_PHYSICAL	Physique
$FLAV_PHYSICAL-RANGED	Physique - À distance
$FLAV_MELEE	Corps-à-corps
$FLAV_RANGED	À distance
$FLAV_UNDODGEABLE	Inesquivable
$FLAV_REDUCE_HEALTH	Décimer
$FLAV_ARMOR_PIERCE	Perce-armure
$FLAV_ARMOR_IGNORE	Ignore armure
$FLAV_ARMOR_BREAK	Brise armure
$FLAV_CRITICAL	Critique
$FLAV_KNOCKBACK	Repousser
$FLAV_KNOCK_BACK	Repousser
$FLAV_AUTOKILL	Auto-meurtre
$FLAV_DEVOUR	Dévorer
$FLAV_STRIKE_THROUGH	Frappe traversante
$FLAV_DE_INVINCIBLE	Désinvincibilité
$FLAV_DELAY_DAMAGE	Dégâts reportés
$FLAV_ANONYMOUS	Anonyme
$FLAV_TROLL	Statut actuel : TROLLOLOLOL
$FLAV_FB_HAPPY	Statut actuel : Heureux !
$FLAV_FB_SAD	Statut actuel : Triste
$FLAV_FB_LOL	Statut actuel : LOL !
$FLAV_FB_OMG	Statut actuel : Délire !
$FLAV_FB_EXISTENTIAL	Statut actuel : Introspection
$FLAV_FB_BORED	Statut actuel : Blasé
$FLAV_PHYSICAL	Physique
$FLAV_MAGIC	Magique
$FLAV_RANGED	À distance
$FLAV_PHYSICAL_RANGED	Physique - À distance
$FLAV_PSI_SHIELD	Bouclier Psi
$FLAV_AREA	Zone
$FLAV_BOSS	Boss
