flag	nick_name	flavor_name	flavor_text
$EN_SLUGWORM	VELOCE	Verme	Prole di Revenant veloce|Queste veloci creature simili a vermi hanno diverse file di denti affilati.<N><N>Testimoni oculari li hanno visti erompere da larghi, gonfi Revenant rimasti a marcire per settimane.
$EN_NORMAL	NORMALE	Revenant	Cadavere Rianimato|Nella Valle, spesso i cadaveri si rianimano diversi giorni dopo la morte.<N><N>Questi mostri sono conosciuti come <LQ>Revenant<RQ>, che significa <LQ>Coloro che ritornano<RQ>.
$EN_CULTIST_SECT			Il <LQ>Culto del Sangue<RQ> iniziò con una setta nomade nota per i sacrifici di sangue cerimoniali.
$EN_CULTIST_ACCOUNT			Queste testimonianze provengono dai sopravvissuti al massacro della tribù Geka. Molti di essi raccontano di cultisti in grado di trasformarsi in Revenant di propria volontà. 
$EN_CULTIST_BASIC			<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>Si sa ben poco del loro culto e delle loro credenze, a parte il nome del loro dio, <LQ>Eztli-Tenoch,<RQ> ed il fatto che sono costantemente alla ricerca di nuove vittime.<N><N><RE>[$EN_CULTIST_ACCOUNT_FLAVOR_TEXT]
$EN_CULTIST	CULTISTA	Cultista	Cultista Trasfigurato|<RE>[$EN_CULTIST_BASIC_FLAVOR_TEXT]
$EN_ARMORED CULTIST	SACERDOTE CULTISTA	Sacerdote Cultista	Sacerdote Cultista|<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>Atti di violenza rituale vengono perpetuati dai cultisti sacerdoti, i quali spesso esibiscono segni di automutilazione.<N><N><RE>[$EN_CULTIST_ACCOUNT_FLAVOR_TEXT]
$EN_INSANE CULTIST	CULTISTA FOLLE	Gran Sacerdote	Cultista Gran Sacerdote|<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>Alcuni resoconti storici Quaidiani affermano che il culto era organizzato da un'istituzione matriarcale denominata la <LQ>Regina dei Molti Demoni.<RQ> Questa struttura di potere centralizzata negli ultimi secoli sembra essere svanita, in favore di una più libera congregazione di gran sacerdoti.
$EN_NORMAL_W	<RE>$EN_NORMAL_NICK_NAME	Mostro Acquatico	Revenant Anfibio|Questi Revenant secernono una sostanza appiccicosa che ne impermeabilizza il corpo.<N><N>I gas tossici contenuti nell'addome gli permettono di restare a galla.
$EN_ARMORED	CORAZZATO	Cavaliere Maledetto	Revenant Corazzato|Questi Revenant una volta erano dei cavalieri, caduti in battaglia.<N><N>Anche se hanno perso tutta l'intelligenza e le abilità che avevano in vita, possiedono ancora la loro corazza.
$EN_SPEEDY	VELOCE	Verme	Prole veloce di Revenant|Queste veloci creature simili a vermi hanno diverse file di denti aguzzi.<N><N>Testimoni oculari li hanno visti erompere dalla carcassa di enormi Revenant mostruosamente gonfi, rimasti a marcire per settimane.
$EN_SPEEDY_W	<RE>$EN_SPEEDY_NICK_NAME	Serpente	Prole Acquatica Veloce|C'è chi dice che questi vermi-Revenant acquatici siano l'evoluzione dei Revenant umani galleggianti.<N><N>Altri ipotizzano che si sviluppino dal corpo di pesci e serpenti di fiume.
$EN_ARMORED SPEEDY	<RE>$EN_SPEEDY_NICK_NAME	Verme Corazzato	Prole Corazzata Veloce|Questi vermi-Revenant hanno sviluppato uno spesso carapace.<N><N>Molti ipotizzano che il guscio corazzato sia composto dalle ossa digerite del corpo originale.
$EN_ARMORED_SPEEDY_W	<RE>$EN_SPEEDY_NICK_NAME	Serpente Corazzato	Prole Anfibia Corazzata Veloce|Questi vermi-Revenant anfibi hanno sviluppato sia un carapace corazzato che l'abilità di nuotare.<N><N>Il loro tanfo di ossa digerite e gas tossici è insopportabile.
$EN_ATTACKER	COMBATTENTE	Ghoul Furioso	Revenant Combattente|Alcuni Revenant sono più aggressivi di altri.<N><N>Mentre i Revenant comuni inseguono stupidamente una sola preda, questo tipo è noto aggredire qualunque cosa si muova.
$EN_DARK ATTACKER	SHADOW BOXER	Ghoul Oscuro	Revenant Oscuro Combattente|I gas contenuti nell'addome del Revenant esalano attraverso i pori della pelle, circondando la creatura in una spessa coltre di fumi tossici, che la nasconde alla vista e confonde le vittime.
$EN_ATTACKER_W	<RE>$EN_ATTACKER_NICK_NAME	Ghoul di Fiume	Revenant Combattente Anfibio|I racconti di corpi puzzolenti che emergono dall'acqua attaccando i contadini assetati sono frequenti nella Valle.<N><N>Nessuno si azzarda più ad andare a raccogliere l'acqua da solo, e solo i pazzi osano nuotare.
$EN_ARMORED ATTACKER	<RE>$EN_ATTACKER_NICK_NAME	Cavaliere Folle	Combattente Revenant Corazzato|Questi cavalieri maledetti sono tanto feroci quanto forti.<N><N>I loro lamenti spettrali echeggiano fra le catacombe e le vastità del deserto.
$EN_RAPID_ATTACKER	ATTACCO RAPIDO
$EN_APC	SPLITTER	Mostruosità	Revenant Ospite|Questi corpi mostruosamente rigonfi riescono a malapena a muoversi e sembrano pronti a scoppiare da un momento all'altro.<N><N>Diverse bocche dotate di denti gli spuntano dai fianchi. Sono anche troppo grandi per essere respinti all'indietro o divorati.
$EN_APC_W	<RE>$EN_APC_NICK_NAME	Cadavere Fetido	Revenant Anfibio Gravido|Questi Revenant puzzano come un sacco di pesci marci e liquame.<N><N>Stanno a galla senza sforzo, e sembrano sul punto di scoppiare in qualsiasi momento.
$EN_ARMORED APC	ARMORED SPLIT	Bestia Corazzata	Revenant Gravido Corazzato|Questo mostruoso ammasso di carne digerita è protetto da un carapace gigante.<N><N>Si potrebbe pensare che non gli siano più rimaste nemmeno le ossa.
$EN_DOUBLE APC	DOUBLE SPLIT	Abominio	Revenant Gravido|Questo strano mostro non è semplicemente gonfio, ma ha anche uno strano colore.<N><N>Che cosa potrebbe significare?
$EN_RANGED ATTACKER_BASIC			Col passare delle settimane, degli strani processi iniziano a mutare e digerire le carni del Revenant.<N><N>Alcuni testimoni affermano di essere stati attaccati da strani<LQ>uomini-serpente<RQ> senza occhi, in grado di sputare acido.
