flag	name	description
$ITEM_SWORD	<RE>$ITM_W_SWORD
$ITEM_BOW	<RE>$ITM_W_BOW
$ITEM_STAFF	<RE>$ITM_W_STAFF
$ITEM_LIGHT	<RE>$ITM_A_LIGHT
$ITEM_HEAVY	<RE>$ITM_A_HEAVY
$ITEM_BOOK	<RE>$ITM_ACC_BOOK
$ITEM_WEAPON	Arma
$ITEM_ARMOR	Armatura
$ITM_W_BOOK	libro	<NULL>
$ITM_W_BOOK_PLURAL	libri	<NULL>
$ITM_A_LIGHT	armatura leggera	<NULL>
$ITM_A_LIGHT_PLURAL	armature leggere	<NULL>
$ITM_A_HEAVY	armatura pesante	<NULL>
$ITM_A_HEAVY_PLURAL	armature pesanti	<NULL>
$ITM_W_SWORD	spada	<NULL>
$ITM_W_SWORD_PLURAL	spade	<NULL>
$ITM_W_BOW	arco	<NULL>
$ITM_W_BOW_PLURAL	archi	<NULL>
$ITM_W_STAFF	bastone	<NULL>
$ITM_W_STAFF_PLURAL	bastoni	<NULL>
$ITM_A_LIGHT_PLURAL_SHORT	leggere	<NULL>
$ITM_A_HEAVY_PLURAL_SHORT	pesanti	<NULL>
$ITM_W_SWORD_PLURAL_SHORT	spade	<NULL>
$ITM_W_STAFF_PLURAL_SHORT	bastoni	<NULL>
$ITM_W_BOW_PLURAL_SHORT	archi	<NULL>
$ITM_W_BOOK_PLURAL_SHORT	libri	<NULL>
$ITM_A_LIGHT_1	Sacco	Un sacco di tela portato sotto i vestiti. Prude un po', ma è meglio di niente.
$ITM_A_LIGHT_2	Pelle	Pelli conciate di animale rozzamente cucite insieme per formare un'unica veste protettiva. Spessa e robusta.
$ITM_A_LIGHT_3	Tunica del capotribù	Questa tunica dei nomadi dai colori sgargianti è fatta di lana pesante e ornata con ricami. L'orlo della veste raffigura le tortuose radici dell'Albero del Mondo.
$ITM_A_LIGHT_4	Tunica di lana pesante	Una tunica lunga e spessa, ricavata con la pregiata lana dei mandriani nomadi.
$ITM_A_LIGHT_5	Veste in pelle di tigre	I motivi Quaidiani sulla cintura di cuoio sono l'unico indizio sulle origini di questo esotico indumento.
$ITM_A_LIGHT_6	Pelle	Pregiate pelli di animali trasformate in una veste calda e ben imbottita.
$ITM_A_LIGHT_7	Pelliccia di Ozimal	Puzza lievemente di formaggio.
$ITM_A_LIGHT_8	Giustacuore di cuoio	Un giustacuore di cuoio indurito molto ben lavorato.
$ITM_A_LIGHT_9	Abito del monaco guerriero	Questo abito da monaco pesantemente imbottito è ornato coi simboli del nono ordine dei Selini, la Casa dei Militanti, Difensori dell'Ordine e della Verità.
$ITM_A_LIGHT_10	Gambesone di lana	Diversi strati di fine lana, diligentemente messi insieme e imbottiti con brandelli di tessuto e pelo di animali per creare una solida difesa contro tutto tranne che i colpi più violenti.
$ITM_A_LIGHT_11	Follia dell'assassino	A prima vista questa non sembra altro che una camicia ornata da nobiluomo. Ma un'ispezione più approfondita rivela strati su strati di piastre di metallo leggero cucite all'interno dell'abito. Un taglio sulla schiena, all'altezza dei reni, indica che questo ingegnoso trucco ha sventato i piani di almeno un assassino.
$ITM_A_LIGHT_12	Gambesone di seta	Strati su strati di seta robusta cuciti insieme con un'imbottitura di criniera di cavallo per creare un'armatura capace di fermare una freccia senza causare lesioni a chi la indossa.
$ITM_A_LIGHT_13	Maestro degli arcieri	Questo gambesone Ashiano è stato fatto con la seta più fine ed è dotato di un intricato ricamo che ne identifica il possessore come il 'Maestro degli Arcieri del Re'. Le dozzine di piccole riparazioni sulla superficie indicano che questa impareggiabile armatura, probabilmente tramandata da Maestro a Maestro in occasione delle loro successioni, ha visto molte battaglie.
$ITM_A_LIGHT_14	Vello di platino	Molto più prezioso di quello d'oro. Strappato dal cadavere di Axxima Vatta Muttunaxxor in persona, questo scintillante vello non conosce eguali.
$ITM_A_LIGHT_15	Tunica del capotribù+	Questa tunica dei nomadi dai colori sgargianti è fatta di lana pesante e ornata con ricami. L'orlo della veste raffigura le tortuose radici dell'Albero del Mondo.
$ITM_A_LIGHT_16	Veste in pelle di tigre+	I motivi Quaidiani sulla cintura di cuoio sono l'unico indizio sulle origini di questo esotico indumento.
$ITM_A_LIGHT_17	Pelliccia di Ozimal+	Puzza lievemente di formaggio.
$ITM_A_LIGHT_18	Abito del monaco guerriero+	Questo abito da monaco pesantemente imbottito è ornato coi simboli del nono ordine dei Selini, la Casa dei Militanti, Difensori dell'Ordine e della Verità.
$ITM_A_LIGHT_19	Follia dell'assassino+	A prima vista questa non sembra altro che una camicia ornata da nobiluomo. Ma un'ispezione più approfondita rivela strati su strati di piastre di metallo leggero cucite all'interno dell'abito. Un taglio sulla schiena, all'altezza dei reni, indica che questo ingegnoso trucco ha sventato i piani di almeno un assassino.
$ITM_A_LIGHT_20	Maestro degli arcieri+	Questo gambesone Ashiano è stato fatto con la seta più fine ed è dotato di un intricato ricamo che ne identifica il possessore come il 'Maestro degli Arcieri del Re'. Le dozzine di piccole riparazioni sulla superficie indicano che questa armatura ineguagliabile, probabilmente tramandata da Maestro a Maestro in occasione delle loro successioni, ha vissuto molte battaglie.
$ITM_A_LIGHT_21	Vello di platino+	Molto più prezioso di quello d'oro. Strappato dal cadavere di Axxima Vatta Muttunaxxor in persona, questo scintillante vello non conosce eguali.
$ITM_A_LIGHT_22	Sacco+	Un sacco di tela portato sotto i vestiti. Prude un po', ma è meglio di niente.  Un incantesimo lo rende molto più resistente del normale.
$ITM_A_LIGHT_23	Pelle+	Pelli conciate di animale rozzamente cucite insieme per formare un'unica veste protettiva. Spessa e robusta. Un incantesimo la rende molto più resistente del normale.
$ITM_A_LIGHT_24	Tunica di lana pesante+	Una tunica lunga e spessa, ricavata dalla pregiata lana dei mandriani nomadi. Un incantesimo la rende molto più resistente del normale.
$ITM_A_LIGHT_25	Pelle+	Pregiate pelli di animali trasformate in una veste calda e ben imbottita. Un incantesimo la rende molto più resistente del normale.
$ITM_A_LIGHT_26	Giustacuore di cuoio+	Un giustacuore di cuoio indurito, cucito accuratamente. Un incantesimo lo rende molto più resistente del normale.
$ITM_A_LIGHT_27	Gambesone di lana+	Diversi strati di fine lana, diligentemente messi insieme e imbottiti con brandelli di tessuto e pelo di animali per creare una solida difesa contro tutto tranne che i colpi più violenti. Un incantesimo lo rende molto più resistente del normale.
$ITM_A_LIGHT_28	Gambesone di seta+	Strati su strati di seta robusta cuciti insieme con un'imbottitura di criniera di cavallo per creare un'armatura capace di fermare una freccia senza causare lesioni a chi la indossa. Un incantesimo la rende molto più resistente del normale.
$ITM_A_HEAVY_1	Jack Chain	Un gambesone leggero dotato di rozze giunture di metallo interconnesse, attaccate alle braccia per proteggerle meglio.
$ITM_A_HEAVY_2	Cotta di maglia	Una maglia composta da centinaia di anelli di metallo interconnessi, tutti chiusi con rivetti per prevenirne la rottura.
$ITM_A_HEAVY_3	Gloria della guerra	Questa squisita armatura Quaid sembra irradiare classe e bellezza.  Ogni anello è dipinto di blu, e le ultime file sono placcate d'oro.  Le piastre di rinforzo sono ornate da motivi dorati che mettono in mostra il simbolo della Famiglia Imperiale.  Sulla superficie del metallo sono incise in Quaid le parole ''quanto è tardi per pensare a queste cose''.  Agli angoli delle piastre si possono notare diverse altre parole, ma la fretta con cui sembrano essere state scritte le ha rese illeggibili.
$ITM_A_HEAVY_4	Armatura mista	Una cotta di maglia con piastre di metallo attaccate direttamente agli anelli per proteggere meglio il torace.  La dotazione ordinaria della fanteria Quaid durante la guerra.
$ITM_A_HEAVY_5	Armatura del cavaliere	Quest'armatura da cavaliere finemente lavorata è dotata di spallacci rinforzati e scarselle lunghe fino alle ginocchia, indicando che si tratta di un modello progettato per la cavalleria pesante.  Gli avambracci dorati e il gambesone di seta suggeriscono che il precedente proprietario doveva essere stato un guerriero benestante e di buon gusto.  Su diverse piastre sono incise delle piccole frasi, scritte in una lingua esotica che non sembra corrispondere a nessun linguaggio locale.  La posizione di queste piastre, più o meno all'altezza del cuore, potrebbe significare che le scritte sono un qualche genere di preghiera o di augurio, ma questa è puramente una congettura.
$ITM_A_HEAVY_6	Armatura lamellare	Dozzine di piccole piastre di metallo tenute insieme da resistenti lacci di seta.
$ITM_A_HEAVY_7	Armatura del traditore	Gli spallacci dorati di questa cotta di piastre indicano che con molta probabilità è appartenuta a un alto ufficiale.  La stoffa è stata rammendata, ma la parola Ashiana ''traditore'' è ancora visibile fra i tagli del tessuto.  Grandi macchie di sangue possono essere notate attraverso la tintura rossa, eppure non sembra che l'armatura abbia subito danni visibili.
$ITM_A_HEAVY_8	Cotta di piastre	Un'eccellente protezione per il busto, realizzata rivettando diverse piastre di metallo pesante all'interno di un robusto indumento di stoffa.
