flag	content
$T0N0	Buon giorno
$T0N1	title:Mod<N>workshop:Workshop di Steam<N>browse:I miei Mod<N>new:Crea un nuovo mod<N>install_zip:Installa da un file zip<N>selected:esplora
$T0N2	title:Mod<N>browse:I miei mod<N>new:Crea nuovo mod<N>install_zip:Installa da un file zip<N>selected:esplora
$T0N6	
$T0N9	title:Mod<N>
$T0N10	title:Scegli i file da esportare<N>body:File da usare come base di partenza per il tuo mod:<N>export_data:File di base<N>export_maps:Mappe delle battaglie<N>export_sprites:Sprite<N>export_cutscenes:Grafica scenette<N>export_backgrounds:Sfondi<N>export_sfx:Effetti sonori<N>export_music:Musica<N>selected:export_data<N>
$T0N11	title:Nome del mod<N>new_mod_name:
$T0N12	title:Creazione del mod...
$T0N13	title:Esportazione completata!<N>body:Il tuo mod si trova qui:<LOCATION><N>browse:I miei Mod<N>explore:Esplora<N>close:Chiudi<N>
$T0N15	title:Installazione del mod...
$T0N16	title:Installazione completata!<N>body:Il tuo mod è stato installato qui:<LOCATION><N>browse:I miei Mod<N>explore:Esplora<N>close:Chiudi
$T0N22	title:<N>body:Attendere prego...
$T0N26	title:Errore!<N>body:<ERROR><N>close:Chiudi
$T0N30	title:<N>body:Deselezionare il mod e riavviare il gioco?<N>okay:Conferma<N>cancel:Annulla
