flag	value
$ACHV_AZRA_LVL_10_TITLE	図書館学入門
$ACHV_AZRA_LVL_10_DESC	司書のレベルが10になった
$ACHV_AZRA_LVL_25_TITLE	図書館学中級
$ACHV_AZRA_LVL_25_DESC	司書のレベルが25になった
$ACHV_HAVE_ALL_CLASSES_TITLE	私兵隊
$ACHV_HAVE_ALL_CLASSES_DESC	司書以外で6クラスで戦えるようになった
$ACHV_BEAT_ANY_EXTREME_TITLE	ゴールドスター獲得！
$ACHV_BEAT_ANY_EXTREME_DESC	いずれかのステージで最難度でクリアした
$ACHV_HAVE_SKILL_LVL_20_TITLE	マッドスキル
$ACHV_HAVE_SKILL_LVL_20_DESC	レベル20のスキルを解除した
$ACHV_BOOST_TECH_5_TITLE	大いなる力
$ACHV_BOOST_TECH_5_DESC	バトルでブーストレベルをMAXにした
$ACHV_AZRA_LVL_40_TITLE	上級図書館学
$ACHV_AZRA_LVL_40_DESC	司書のレベルが40になった
$ACHV_AZRA_LVL_60_TITLE	エリート司書
$ACHV_AZRA_LVL_60_DESC	司書のレベルが60になった
$ACHV_HAVE_ALL_WEAPONS_UNIQUE_TITLE	武器コレクター
$ACHV_HAVE_ALL_WEAPONS_UNIQUE_DESC	スタンダードゲームで特別な武器をすべて入手した
$ACHV_HAVE_ALL_ARMOR_UNIQUE_TITLE	鎧コレクター
$ACHV_HAVE_ALL_ARMOR_UNIQUE_DESC	スタンダードゲームで特別な鎧をすべて入手した
$ACHV_HAVE_ALL_BOOKS_NORMAL_TITLE	本の虫
$ACHV_HAVE_ALL_BOOKS_NORMAL_DESC	スタンダードゲームのボーナスチャレンジで本をすべて入手した
$ACHV_ENDLESS_100_NORMAL_TITLE	持久力
$ACHV_ENDLESS_100_NORMAL_DESC	スタンダードゲームのエンドレス2でwave100に到達した
$ACHV_BEAT_GAME_NORMAL_TITLE	勝者はキミだ！
$ACHV_BEAT_GAME_NORMAL_DESC	スタンダードゲームを完全攻略した
$ACHV_BEAT_ALL_SIDEQUESTS_TITLE	やり残しナシ
$ACHV_BEAT_ALL_SIDEQUESTS_DESC	ニューゲーム+でサブゲームも攻略した
$ACHV_HAVE_201_STARS_BLUE_TITLE	完璧主義者
$ACHV_HAVE_201_STARS_BLUE_DESC	201の青い星を手に入れた
$ACHV_UPGRADE_ALL_WEAPONS_UNIQUE_TITLE	凶暴コレクター
$ACHV_UPGRADE_ALL_WEAPONS_UNIQUE_DESC	ニューゲーム+で特別な武器をすべてアップグレードした
$ACHV_UPGRADE_ALL_ARMOR_UNIQUE_TITLE	不死身のコレクター
$ACHV_UPGRADE_ALL_ARMOR_UNIQUE_DESC	ニューゲーム+で特別な鎧をすべてアップグレードした
$ACHV_HAVE_ALL_BOOKS_PLUS_TITLE	本の竜
$ACHV_HAVE_ALL_BOOKS_PLUS_DESC	ニューゲーム+のボーナスチャレンジですべての本を入手した
$ACHV_ENDLESS_100_PLUS_TITLE	マラソン
$ACHV_ENDLESS_100_PLUS_DESC	ニューゲーム+のエンドレス2でwave100に到達した
$ACHV_BEAT_GAME_PLUS_TITLE	あなたの勝利+
$ACHV_BEAT_GAME_PLUS_DESC	ニューゲーム+をクリアした
$ACHV_BEAT_SUPER_SHEEP_NORMAL_TITLE	シープスレイヤー
$ACHV_BEAT_SUPER_SHEEP_NORMAL_DESC	スタンダードゲームでスーパーシープを倒した
$ACHV_HERO_MODE_TITLE	ヒーローモード
$ACHV_HERO_MODE_DESC	味方を雇用せずスタンダードゲームをクリアした
$ACHV_HERO_MODE_PLUS_TITLE	ヒーローモード+
$ACHV_HERO_MODE_PLUS_DESC	味方を雇用せずニューゲーム+をクリアした
$ACHV_HAVE_201_STARS_GOLD_TITLE	超完璧主義者
$ACHV_HAVE_201_STARS_GOLD_DESC	201のゴールドスターを入手した
$ACHV_BEAT_SUPER_SHEEP_PLUS_TITLE	ウルトラシープスレイヤー
$ACHV_BEAT_SUPER_SHEEP_PLUS_DESC	ニューゲーム+でスーパーシープを倒した
$ACHV_HERO_MODE_PLUS_PLUS_TITLE	ヒーローモード++
$ACHV_HERO_MODE_PLUS_PLUS_DESC	味方を雇用せず180のゴールドスターを入手した*ヒーロー・モード++はとても難しいので、経験値を300%に増やすことをお勧めします。
$ACHV_USE_TARGETS_TITLE	高精度ターゲティング
$ACHV_USE_TARGETS_DESC	上級ターゲティング設定を使った
$ACHV_MENU_ACCESS_TITLE	オールアクセス
$ACHV_MENU_ACCESS_DESC	ユーザー補助に移動した<N>（オプション-＞ユーザー補助）
$ACHV_MENU_CONTROLS_TITLE	誰も私を止められない
$ACHV_MENU_CONTROLS_DESC	操作設定に移動した<N>（オプション-＞操作設定）
$ACHV_MENU_TIPS_TITLE	本気で勉強
$ACHV_MENU_TIPS_DESC	ヒントを学べるページに移動した<N>(オーバーワールド->ヒント）
$ACHV_MENU_NULL	無
