flag	name
$BONUS_1_TITLE	チャレンジ1
$BONUS_2_TITLE	チャレンジ2
$BONUS_3_TITLE	チャレンジ3
$BONUS_4_TITLE	エンドレス1
$BONUS_5_TITLE	チャレンジ4
$BONUS_6_TITLE	チャレンジ5
$BONUS_7_TITLE	エンドレス2
$BONUS_1_DESC	くねくね泳ぐ者の群れ。
$BONUS_2_DESC	レンジャーもドラゴンもいない。ディフェンダーの配置箇所は6個しかない。さてどうする。
$BONUS_3_DESC	全面戦争だ！
$BONUS_4_DESC	果てしなく続く波状攻撃。
$BONUS_5_DESC	水の流れに逆らって。
$BONUS_6_DESC	中央に行列。ただし、側面にも気をつけろ。
$BONUS_7_DESC	果てしなく続く波状攻撃、再び。しかし、敵は攻撃してこない。ダメージをマネージングせよ！
$BONUS_RECORD_WAVE	（記録：<WAVE_NUM>WAVE)
$BONUS_REWARDS	報酬
$BONUS_HIGH_SCORE	ハイスコア
$BONUS_REACH_WAVE	WAVE<WAVE_NUM>到達
$BONUS_BEAT_WAVE	<WAVE_NUM>WAVE撃破
