flag	content	comment
$TITLE_START_DEMO	体験版開始
$TITLE_FULL_GAME	本ゲーム
$TITLE_START_GAME	ゲームをスタートする
$TITLE_START	スタート
$TITLE_QUIT	終了
$TITLE_EULA_1	これをプレイすると
$TITLE_EULA_2	最終ユーザーライセンス契約に合意したことになります
$TITLE_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT	COMMENT: this is a redirect, the text for $MISC_PLEASE_WAIT will be duplicated here. The <RE> invocation at the beginning of the string signals a redirect, and will not show up in the final text
$TITLE_BONUS_GOODIES	ボーナス
$TITLE_BONUS_GOODIES_2	おたから？
$TITLE_CONNECTING_KONG	コングにつなぐ
$TITLE_UNLOAD_MOD	MODをアンロードする
$TITLE_RELOAD_MOD	MODをリロードする
$DEMO_OVER_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT
$DEMO_OVER_DONT_FORGET	保存したファイルを忘れないでください！
$DEMO_OVER_EXPORT_HOW	このボタンで、保存したファイルをエクスポートします。
$DEMO_OVER_USE_IT	前回やめたところから始めるには、これを使ってくださいね！
$DEMO_OVER_PLAY	プレイを続けましょう！
$DEMO_OVER_THANKS	プレイしてくれてありがとう！
$DEMO_OVER_ENORMOUS	クエストを続けるためには、大きなボタンをクリック！
$DEMO_OVER_ENORMOUS_2	クエストを続けるためには、大きなボタンをクリック！
$DEMO_OVER_FULL_GAME	製品版をゲットしましょう！
$DEMO_OVER_FULL_GAME_SHORT	フル<N>ゲーム！
$DEMO_OVER_ACTS	Acts<N>III & IV	COMMENT: <N> means a line break. <N> works too, but not <N> or <n>
$ERROR_TITLE	エラーが発生しました！
$ERROR_NUMBER	エラー #
$ERROR_CONTEXT	コンテキスト
$ERROR_MESSAGE	メッセージ
$ERROR_STACK	スタックトレース
$PARTY_FROM_BATTLE	バトルから
$PARTY_GO_TO_MAP	マップへ戻る
$PARTY_RETURN_TOWN	町へ戻る
$PARTY_CANT_WEAPON	武器<N>装備不可
$PARTY_CANT_ARMOR	鎧<N>装備不可
$PARTY_RESET_POINTS	振り直し
$PARTY_X_PTS	<X> pts
$PARTY_REDESIGN	もう一度デザインする
$PARTY_CONFIRM_CHANGES	変化を確認する
$PARTY_FAILED	ステージ失敗！
$PARTY_FAILED_DESC	<MCG>は殺された。	COMMENT: <MCG> is a variable. In this exact string, the game expects this exact variable, and will replace <MCG> with Azra's name. Any other variable is ignored and will appear as-is.
$PARTY_NO_NEW_ACHIEVE	何も達成できませんでした。
$PARTY_WELL_DONE	よくできました！
$PARTY_ACHIEVE_SINGULAR	達成
$PARTY_ACHIEVE_PLURAL	達成
$PARTY_1_NEW_ACHIEVE	1つ達成しました！
$PARTY_X_NEW_ACHIEVE	<NUM>つ達成しました！
$PARTY_PERFECT_WORD	パーフェクト
$PARTY_PASSED_WORD	クリア
$PARTY_FAIL_PENALTY	ペナルティ
$PARTY_TOTAL	トータル
$PARTY_PERFECT	パーフェクト！
$PARTY_PERFECT+	パーフェクト！+
$PARTY_PERFECT++	パーフェクト！++
$PARTY_PERFECT_DESC	<MCG>は怪我一つしなかった！
$PARTY_PERFECT++_DESC	<MCG>と<ALLY>は<N>怪我一つしなかった！
$PARTY_PERFECT+_DESC	<MCG>は怪我一つしなかった！<N><ALLY>は怪我を負った！
$PARTY_PERFECT_ALLY_DEAD_DESC	<MCG>は怪我一つしなかったが、<ALLY>は死んだ。	COMMENT: The game will put Zelemir, Tletl-Meztli, or any other alternate mcguffin's name where <ALLY> appears.
$PARTY_PASSED	ステージクリア！
$PARTY_PASSED+	ステージクリア！+
$PARTY_PASSED++	ステージクリア！++
$PARTY_PASSED_DESC	<MCG>は生き残ったが、<N>怪我を負った。
$PARTY_PASSED_ALLY_DEAD_DESC	<ALLY>が死に、<N><MCG>は怪我を負った。
$PARTY_PASSED+_DESC	<MCG>は怪我を負い、<N><ALLY>は生き延びた！
$PARTY_PASSED++_DESC	<MCG>は怪我を負い、<N><ALLY>は怪我一つ負わず生き延びた！
$PARTY_DEFEATED_WAVE_X	Defeated wave <X>
$PARTY_REACHED_WAVE_X	Reached wave <X>
$PARTY_NO_POINTS	スキルの割り当てをやり直せるスキルポイントはありません！
$PARTY_NO_AFFORD	スクラップが不足しています！<N>コスト:<COST><N>スクラップ:<SCRAP>
$PARTY_RE_ASSIGN	<NAME>のスキルをもう一度割り当てますか？<N>コスト:<COST><N>スクラップ:<SCRAP>
$PARTY_CHANGE_NAME	リネーム
$PARTY_CONFIRM_POINTS_1_1	キャラクターへのスキルポイントの<N>割り当てを確定しますか？	COMMENT: There are 4 variants here to handle the various pluralizations
$PARTY_CONFIRM_POINTS_1_X	<CHARS>キャラクターへのスキルポイントの<N>割り当てを確定しますか？
$PARTY_CONFIRM_POINTS_X_1	キャラクターへの<POINTS>スキルポイントの<N>割り当てを確定しますか？
$PARTY_CONFIRM_POINTS_X_X	<CHARS>キャラクターへの<CHARS>スキルポイントの<N>割り当てを確定しますか？
$PARTY_POINT	ポイント
$PARTY_POINTS	ポイント
$PARTY_CHARACTER	キャラクター
$PARTY_CHARACTERS	キャラクター
$PARTY_CONFIRM_POINTS_TITLE	スキルポイントの確認
$PARTY_RENAME	リネーム
$PARTY_REDESIGN	リデザイン
$UI_EQUIP_NAME	名称
$UI_EQUIP_STAT	成績
$UI_EQUIP_OWNER	持ち主
$UI_EQUIP_SHOW_EQUIPPED	持っている武器を見せる
$UI_EQUIP_CLASS_CANT_W	このクラスは武器を装備できません！
$UI_EQUIP_CLASS_CANT_A	このクラスは鎧を装備できません！
$UI_EQUIP_ALL_W_SWORD	すべての剣を装備しています。
$UI_EQUIP_ALL_W_BOW	すべての弓を装備しています。
$UI_EQUIP_ALL_W_STAFF	すべての杖を装備しています。
$UI_EQUIP_ALL_A_LIGHT	すべての軽鎧を装備しています。
$UI_EQUIP_ALL_A_HEAVY	すべての重鎧を装備しています。
$UI_EQUIP_NO_W_SWORD	一つも剣を持っていません！
$UI_EQUIP_NO_W_BOW	一つも弓を持っていません！
$UI_EQUIP_NO_W_STAFF	一つも杖を持っていません！
$UI_EQUIP_NO_A_LIGHT	一つも軽い鎧を持っていません！
$UI_EQUIP_NO_A_HEAVY	一つも重い鎧を持っていません！
$UI_ACCEPT_NUMS	font:18,off_y:1,off_x:-3	COMMENT: Font size and x/y offsets for options menu button labels
$UI_BACK_NUMS	font:18,off_y:1,off_x:-3
$UI_AUDIO_NUMS	font:18,off_y:1,off_x:-2
$UI_VIDEO_NUMS	font:18,off_y:1,off_x:-2
$UI_MISC_NUMS	font:18,off_y:1,off_x:-2
$UI_ACCESS_NUMS	font:18,off_y:1,off_x:-2,show_boxes:1,absence_off_x:0,speed_off_x:0	COMMENT: hide/show accessibility box graphic, offset for 'absence' text, offset for 'speed' text
$UI_ACHIEVEMENTS_NUMS	font:18,off_y:0,pop_up_off_y:0
$UI_RESTART_NUMS	font:18,off_y:1,off_x:-2
$UI_QUIT_NUMS	font:18,off_y:1,off_x:-2
$UI_CONTROLS_NUMS	font:18,off_y:1,off_x:-2
$UI_OPTIONS_NUMS	font:18,off_y:1,off_x:-2
$UI_CONTROLS_TITLE	操作設定
$UI_VIDEO_TITLE	グラフィック
$UI_AUDIO_TITLE	ミュージック
$UI_ACCESS_TITLE	ユーザー補助
$UI_MISC_TITLE	その他
$UI_OPTIONS_TITLE	オプション
$UI_OPTIONS_MENU	オプション
$UI_OPTIONS_SPEED	ゲームスピード
$UI_ACHIEVEMENTS_TITLE	実績
$UI_ACHIEVEMENTS_BUTTON_NUMBERS	font:18,off_y:1,off_x:-2
$UI_SFX	SFX:
$UI_MUSIC	Music:
$UI_ACCESS_REWARDS	報酬
$UI_ACCESS_PENALTIES	ペナルティ
$UI_ACCESS_DEFAULT	*デフォルトの設定
$UI_ACCESS_FAIL	失敗
$UI_ACCESS_ABSENCE	不足
$UI_ACCESS_FLASHING	フラッシュ効果
$UI_ACCESS_SPEED	ゲームスピード
$UI_BONUS_NUMS	select_font:16,locked_font:13,leading:-8,locked_y_off:-6
$UI_BONUS_BONUS_LEVELS	ボーナスレベル
$UI_BONUS_STARS_LINE	<STAR_NUM><STAR_COLOR>スター
$UI_BONUS_GOLD_STARS_LINE	<STAR_NUM>ゴールドスター
$UI_BONUS_BLUE_STARS_LINE	<STAR_NUM>ブルースター
$UI_MOVIE_SELECT_A_MOVIE	シーン選択
$UI_MOVIE_SCENE	シーン
$UI_MOVIE_END	エンディング
$UI_MOVIE_QUEST	クエスト
$UI_TIPS_TITLE	コツ＆トリック
$UI_UPDATER_CANCEL	<RE>$MISC_CANCEL
$UI_UPDATER_SECURED_WITH	このアップデートのシステムは、公開鍵指紋の照合と同じように、HTTPSで守られています。
$UI_UPDATER_ASK_DOWNLOAD	アップデートをダウンロードしますか？
$UI_UPDATER_SERVER_TIMEOUT	サーバーがタイムアウトしました！
$UI_UPDATER_NO_INFO	サーバー上にアップデートの情報を見つけられませんでした。
$UI_UPDATER_NO_BIG_DEAL	アップデートサーバーへのログインに失敗しました。<N><N>ゲームはプレイ可能ですが、アップデートをしたい場合はもう一度リトライを押してください。
$UI_UPDATER_DEB	DEBパッケージ
$UI_UPDATER_RPM	RPMパッケージ
$UI_UPDATER_TARGZ	TAR.GZアーカイブ
$UI_UPDATER_CHECKING	アップデートをチェックしています・・・
$UI_UPDATER_UPDATE_EXISTS	アップデートバージョンが手に入ります！
$UI_UPDATER_CURRENT_VERSION	現在のバージョン：<T>
