flag	name
$CLASS_MCGUFFIN	司書
$CLASS_MCGUFFIN_PL	司書
$CLASS_KNIGHT	ナイト
$CLASS_KNIGHT_PL	ナイト
$CLASS_RANGER	レンジャー
$CLASS_RANGER_PL	レンジャー
$CLASS_BERSERKER	バーサーカー
$CLASS_BERSERKER_PL	バーサーカー
$CLASS_HEALER	ヒーラー
$CLASS_HEALER_PL	ヒーラー
$CLASS_MAGE	アイスメイジ
$CLASS_MAGE_PL	アイスメイジ
$CLASS_DRAGON	ドラゴン
$CLASS_DRAGON_PL	ドラゴン
$CLASS_SORCEROR	ソーサラー
$CLASS_SORCEROR_PL	ソーサラー
$CLASS_ANTIMCGUFFIN	ソーサレス
$CLASS_ANTIMCGUFFIN_PL	ソーサレス
$SPELL_ENEMY_ZAP	<RE>$SKILL_MCGUFFIN_A_LIGHTNING
$SPELL_ENEMY_FRENZY	<RE>$SKILL_MCGUFFIN_A_FRENZY
$SPELL_ENEMY_HEAL	<RE>$SKILL_MCGUFFIN_A_HEALING
$SPELL_ENEMY_FIRE	<RE>$SKILL_MCGUFFIN_A_DRAGON_FIRE
$SKILL_MCGUFFIN_A_LIGHTNING	ライトニング
$SKILL_MCGUFFIN_A_FRENZY	フレンジー
$SKILL_MCGUFFIN_A_HEALING	ヒーリング
$SKILL_MCGUFFIN_A_CRYSTAL	クリスタル
$SKILL_MCGUFFIN_A_PUSHBACK	プッシュバック
$SKILL_MCGUFFIN_A_DRAGON_FIRE	ドラゴンファイア
$SKILL_MCGUFFIN_A_LIGHTNING_DESC	敵1体に$Xのダメージを与える。Psiを燃やしてしまうため、報酬のPsiが減る。
$SKILL_MCGUFFIN_A_FRENZY_DESC	$Y秒間、全ディフェンダーの攻撃力を$X%アップする。
$SKILL_MCGUFFIN_A_HEALING_DESC	全ディフェンダーを$XHP回復する。
$SKILL_MCGUFFIN_A_CRYSTAL_DESC	$Z秒後あるいは落雷と同時に爆発し、$Yタイル以内の敵に$Xダメージを与えるクリスタルを置く。
$SKILL_MCGUFFIN_A_PUSHBACK_DESC	敵を発生源の方向に$Xタイル後退させる。
$SKILL_MCGUFFIN_A_DRAGON_FIRE_DESC	画面上のすべての敵に$Xダメージを与え、$Y秒間燃やす。
$SKILL_MCGUFFIN_fake_attackEXPLOSION	エクスプロージョン
$SKILL_ANTIMCGUFFIN_A_LIGHTNING	ライトニング
$SKILL_ANTIMCGUFFIN_A_HEALING	ヒーリング
$SKILL_ANTIMCGUFFIN_A_FRENZY	フレンジー
$SKILL_ANTIMCGUFFIN_A_CRYSTAL	クリスタル
$SKILL_ANTIMCGUFFIN_A_PUSHBACK	プッシュバック
$SKILL_ANTIMCGUFFIN_A_DRAGON_FIRE	ドラゴンファイア
$SKILL_ANTIMCGUFFIN_A_LIGHTNING_DESC	敵一体に$Xのダメージを与える。Psiを燃やしてしまうため、入手できるPsiが減る。
$SKILL_ANTIMCGUFFIN_A_FRENZY_DESC	$Y秒間、全ディフェンダーの攻撃力を$X%アップする。
$SKILL_ANTIMCGUFFIN_A_HEALING_DESC	全ディフェンダーを$XHP回復する。
$SKILL_ANTIMCGUFFIN_A_CRYSTAL_DESC	敵1体に$Xのダメージを与える。Psiを燃やしてしまうため、入手できるPsiが減る。
$SKILL_ANTIMCGUFFIN_A_PUSHBACK_DESC	敵を発生源の方向に$Xタイル後退させる。
$SKILL_ANTIMCGUFFIN_A_DRAGON_FIRE_DESC	画面上のすべての敵に$Xダメージを与え、$Y秒間燃やす。
$SKILL_SORCEROR_A_LIGHTNING-Z	ライトニング
$SKILL_SORCEROR_A_HEALING-Z	ヒーリング
$SKILL_SORCEROR_A_FRENZY-Z	フレンジー
$SKILL_SORCEROR_A_PUSHBACK-Z	プッシュバック
$SKILL_SORCEROR_A_DRAGON_FIRE-Z	ドラゴンファイア
$SKILL_SORCEROR_A_LIGHTNING_DESC	敵1体に$Xのダメージを与える。Psiを燃やしてしまうため、入手できるPsiが減る。
$SKILL_SORCEROR_A_FRENZY-Z_DESC	$Y秒間、全ディフェンダーの攻撃力を$X%アップする。
$SKILL_SORCEROR_A_HEALING-Z_DESC	全ディフェンダーを$XHP回復する。
$SKILL_SORCEROR_A_PUSHBACK-Z_DESC	敵を発生源の方向に$Xタイル後退させる。
$SKILL_SORCEROR_A_DRAGON_FIRE-Z_DESC	画面上のすべての敵に$Xダメージを与え、$Y秒間燃やす。
$SKILL_KNIGHT_A_SWING	スイング
$SKILL_KNIGHT_P_ARMOR_PIERCE	貫通
$SKILL_KNIGHT_A_SMASH	スマッシュ
$SKILL_KNIGHT_P_ARMOR_BREAK	ブレイク
$SKILL_KNIGHT_P_ARMOR_TRAINING	アーマーアップ
