flag	content
$ENTRY_JOURNAL_INDEX_TITLE	目次
$ENTRY_JOURNAL_INDEX_LEFT_00	旅行記
$ENTRY_JOURNAL_INDEX_LEFT_10	1日目：@ここは、どこ？@
$ENTRY_JOURNAL_INDEX_LEFT_20	1日目の夜：@[berserker_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_30	3日目：@追記@
$ENTRY_JOURNAL_INDEX_LEFT_40	3日目の夜：@追記@
$ENTRY_JOURNAL_INDEX_LEFT_50	3日目：@監獄@
$ENTRY_JOURNAL_INDEX_LEFT_60	4日目：@生と死のはざま@
$ENTRY_JOURNAL_INDEX_LEFT_70	5日目：@[ranger_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_80	8日目：@追記@
$ENTRY_JOURNAL_INDEX_LEFT_90	7日目の夜：@カルスクの火事@
$ENTRY_JOURNAL_INDEX_LEFT_100	8日目：@ラクソス@
$ENTRY_JOURNAL_INDEX_LEFT_110	9日目：@[mcguffin_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_120	10日目：@オジマルの死@
$ENTRY_JOURNAL_INDEX_LEFT_130	10日目の夜：@修道院@
$ENTRY_JOURNAL_INDEX_LEFT_140	11日目：@[healer_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_150	13日目：@[mage_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_160	14日目：@遊牧民@
$ENTRY_JOURNAL_INDEX_LEFT_170	15日目：@奇妙な夢@
$ENTRY_JOURNAL_INDEX_RIGHT_00	17日目：@砂漠の宝石@
$ENTRY_JOURNAL_INDEX_RIGHT_10	18日目：@[knight_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_20	19日目：@[knight_hero]からの手紙@
$ENTRY_JOURNAL_INDEX_RIGHT_30	19日目の夜：@返事：一つ目の草稿@
$ENTRY_JOURNAL_INDEX_RIGHT_40	20日目：@[knight_hero_pos]の返信@
$ENTRY_JOURNAL_INDEX_RIGHT_50	21日目：@<LQ>[knight_hero_up]<RQ>からの手紙@
$ENTRY_JOURNAL_INDEX_RIGHT_60	21日目の夜：@[berserker_hero]へ@
$ENTRY_JOURNAL_INDEX_RIGHT_70	22日目の夜：@[dragon_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_80	24日目：@追記@
$ENTRY_JOURNAL_INDEX_RIGHT_90	25日目：@2度目の夢@
$ENTRY_JOURNAL_INDEX_RIGHT_100	28日目：@ゼレミアの死@
$ENTRY_JOURNAL_INDEX_RIGHT_110	29日目：@3度目の夢@
$ENTRY_JOURNAL_INDEX_RIGHT_120	35日目：@エズティルの玉座@
$ENTRY_JOURNAL_INDEX_RIGHT_130	37日目：@トレトル・メズトリ@
$ENTRY_JOURNAL_INDEX_RIGHT_140	39日目：@脱出？@
$ENTRY_JOURNAL_INDEX_RIGHT_150	40日目：@ゼレミアを追う@
$ENTRY_JOURNAL_INDEX_RIGHT_160	@エピローグ@
$ENTRY_JOURNAL_INTRO_TITLE	
$ENTRY_JOURNAL_INTRO_LEFT_00	1日目―ここは、どこ？
$ENTRY_JOURNAL_INTRO_LEFT_10	私はたぶん、気が狂ったんだろう。そう思うようなことが次々と私の目の前で展開していく。これらの出来事を書きとめていこうと思う。この日記を読む人がいたら、どう判断してもらっても構わない。私はあくまでも、熱に浮かされた頭で理解した範囲のことを記録するだけだ。<N>この都市にはびこる死病。自分がそれにかかってしまったということを、十分に理解している。目の前にいる他の感染者と同じように、自分が街から運び出され、集団墓地に投げ込まれたこともよく知っている。そこが始まりだった。今でも、この一連の奇妙で恐ろしい出来事が夢か現実なのか、わからないままだ。<N>体中が熱に冒された時、私は、真っ暗な場所にいた。そして、目の前には、一人の感染者がいた。
$ENTRY_JOURNAL_INTRO_RIGHT_00	目の前に現れたのは、栄光の玉座と、そこに腰掛けた男。それまで見たことがないような男だった。彼の体は、隅から隅まで黄金だった。一瞬、彫像かと思ったが、その直後、彼は命令の言葉を発したのだ。<N>彼の声も黄金の如く煌き、雷のように重い響きがあった。彼の話す言葉は、アッシュの大きな図書館でさえ読んだことも聞いたこともない言語だった。でも、私の体は、命ぜられるままぴょんと跳ねた。血管は緊張し、まるで私の血が体から飛び出して彼に近寄りたがっているかのようだった。<N>このことを思い出すだけで、心臓が早鐘を打ち始める。<N>-[mcguffin_hero] ライブラー
$ENTRY_JOURNAL_SLAK_TITLE	
$ENTRY_JOURNAL_SLAK_LEFT_0_00	1日目の夜―[berserker_hero]
$ENTRY_JOURNAL_SLAK_LEFT_0_10	[berserker_hero]について書く時、王都の格式高い言葉を使うよりも、民衆のくだけた日常表現を使うほうが、題材に対してふさわしいと思われる。<N>はっきり言って、[berserker_hero]は大アホだ。頭の方がダメな分、臭いがすごい。もし、燃え盛る排泄物の山が二つあって、その間に子が生まれたとしよう。その混じり合った臭いでさえ、[berserker_hero]の剥き出しの脇から漂う悪臭には到底敵わないだろう。実際、あの臭いに比べたら、私たちを追い回していたゾンビでさえ、芳しい香りを放つ香水みたいなものだ。<N>でも、[berserker_hero]は、ただのおバカさんではない。彼はとても愛嬌溢れる性格でもある。うまく言えないけど、「頭にパンツを被って踊っているおバカさん」みたいな感じだ。<N>昨日、彼は大きな石にけつまずいて、15分も石と口喧嘩をしていた。そして負けた。
$ENTRY_JOURNAL_SLAK_RIGHT_0_00	正直に言って、彼と一緒に旅が出来て、すごく嬉しい。
$ENTRY_JOURNAL_SLAK_RIGHT_0_10	3日目―追記
$ENTRY_JOURNAL_SLAK_RIGHT_0_20	公正を期すために言えば、彼は私が出会った人の中で最も勇敢な人だと認めなければいけない。彼の体は、戦いで得た傷が網目をなしている。でも、彼がふだんから上半身に服も鎧も着ていないことを考えると、少し差し引いて評価しなければいけないが。きっと、真相は、こうだ。――彼はとんでもないバカであると同時に、びっくりするほど有能な戦士だ。ちょっと認めたくないけど、彼と一緒にいられて、本当に良かった。
$ENTRY_JOURNAL_SLAK_RIGHT_0_30	<N><N>あーん、大好き大好きチュッチュッチュッ<N><N><N><N>あーん、もう夜も眠れない、横になってくねくねする他に何もできやしないの～。
$ENTRY_JOURNAL_SLAK_RIGHT_0_40	<N><N>アイツ、読み書きができたのね！一体、どうして、あの血に飢えた無頼漢が教育を受けられたのかしら？<N><N><N><N>追伸　もし、また私の日記を盗んだら、寝ている間に頭を殴るわよ。
$ENTRY_JOURNAL_SLAK_LEFT_1_00	3日目の夜―追起 その2
$ENTRY_JOURNAL_SLAK_LEFT_1_10	ああ、記録のために書いとくけど、アイツ、素っ裸で寝てやがったわ。これからは、仕返しをしに行くときは日中にしよう。<N>体の傷は、腰より下の部分にもあった。<N><N><N><N>ホント、大っ嫌い。
$ENTRY_JOURNAL_SLAK_LEFT_1_20	<N>とうぜんだろ？シリーンとケッツもいっしょにたたかってんだよ！
$ENTRY_JOURNAL_PRISON_TITLE	
$ENTRY_JOURNAL_PRISON_LEFT_0_00	3日目―監獄
$ENTRY_JOURNAL_PRISON_LEFT_0_10	3日前、この奈落は監獄みたいだと思った。でも、こんな場所でも、下には下がある。<N>私たちを拘束している男の名は、オジマル・カズ。残酷で、みみっちくて、吐き気を催すような人間だ。王国の同胞が、なぜ救いようがないほど性根が捻じ曲がってしまったのか、理解できない。<N>彼がクウェイド人なら、まだ理解できる。クエイド帝国は20年間ずっと、東方の自治州に対する残虐行為を徹底してきた。しかし、あの歪んだ男に比べれば、どんな無慈悲な遊牧民の酋長だって、仏に見える。<N>そして、言葉の癖を聞く限り、彼は王都の出身なのだ！このモンスターは、我らが寺院の足元で育ったのだ！
$ENTRY_JOURNAL_PRISON_RIGHT_0_00	今、無差別に拉致された捕虜たちと一緒にいる。老若男女、盗賊や山賊、アッシュ人・遊牧民・クウェイド人がいりまざっている。みんな、いずれあの男の命で殺される運命だ。<N>昼夜問わず、あの男が飼っているレブナントのうめき声が聞こえてくる。そこにときどき、食べられる感染者の叫び声が入り混じり、耳をつんざくような不協和音に変わる。そして、私は、手も足も出せずにいる！もしも、可哀そうな感染者たちとコロセウムに立てるなら、生き残る望みはあるのに。<N>オジマルの奴、あんなに空威張りしているくせに、ビビッて私の<LQ>処刑<RQ>をやり直すことはしなかった。多分、今飼っているレブナントを失っちゃうのが怖かったのね。――あいつらは、捕獲も飼育も難しいから。それに、オジマルの下らない帝国は、力で家臣をしっかり押さえつけないとまとまらないみたいだし。
$ENTRY_JOURNAL_PRISON_LEFT_1_00	私を助けてくれた老人。あの人の言葉が、今も頭の中でこだまし続ける。オジマルの奴が、私の能力を<LQ>赤い服の男<RQ>に見せたいらしい。赤い服の男って、誰？それに、私を熱心に助けたがるあの人は一体？私という存在の、どこに重要性があるのかしら？<N>自問自答の末に、私は、ある確信を得た。今まで私は、レブナントに対してしか暴力は振るわなかった。でも、もしもオジマルの奴を追い詰めたなら、この方針は考え直さなければならない。
$ENTRY_JOURNAL_HALFWAY_WORLD_TITLE	
$ENTRY_JOURNAL_HALFWAY_WORLD_LEFT_0_00	4日目―生と死のはざま
$ENTRY_JOURNAL_HALFWAY_WORLD_LEFT_0_10	<LQ>生と死のはざま<RQ>。私の表現力では、こんな言い方しかできない。私がいつの間にか入り込んでしまった場所――そして、他人を連れ込める場所。<N>子どもの頃、ケヴェル川の浅瀬で泳いでいて、溺れかけたことがある。これが唯一、今の状況と類似した経験だ。その時に感じたパニックと息苦しさは、胸から心臓を引きずり出されるようだった。そういうところは同じだ。でも、今回は、私を助けてくれるお父さんの手もなければ、しがみつく岸も無い。あるのは、無限に広がっていく死の瞬間だけ。<N>ここに辿り着いた仕組みは、私の理解を越えている。わかるのは、必要があればそこに行くということだけ。一旦そこへ行けば、目を開けずとも仲間の居場所を感じ取れる。それは、目を開けなくても自分の腕や脚の場所がわかるのと同じ。
$ENTRY_JOURNAL_HALFWAY_WORLD_RIGHT_0_00	私は、彼らの存在を感じ取って、力の限り呼びかけるだけだ。とてもひ弱な力で。まるで慣れない体を動かす赤子のような弱さだけど、それでも自分の命を守れる。この恐ろしい生と死のはざまの世界へ旅するのは嫌でしょうがないけど、座して死を待つよりはずっといい。
$ENTRY_JOURNAL_KETTA_TITLE	
$ENTRY_JOURNAL_KETTA_LEFT_0_00	5日目―[ranger_hero]
$ENTRY_JOURNAL_KETTA_LEFT_0_10	[ranger_hero]の一番のステキなところはなんだろう。ヤギみたいな臭いがするところだと思う。他の長所を考えると、どれを一番にするが迷う。例えば、子どもっぽく自分勝手に振舞うところとか、引っ切り無しに人の悪口を言うところとか、手加減無しの皮肉を言うところとか、ちまちまと盗みをする癖とか、異常な偏食家っぷりとか。でも、同じテントで寝る立場としては、やっぱり、ヤギみたいなツンとしたにおいが一番際立つ点だ。<N>時々、夜になると、風がひゅーっという音を立てながら男たちのテントを吹き抜けてくるんだけど、必ず[berserker_hero]の臭いを運んでくる。その香りのメドレーといったら、神々しいとしか表現しようがない。何故か、こういう夜に限って、よく眠れる。きっと、強烈なにおいを知覚するより、意識を失う方を体が選んじゃうのだろう。
$ENTRY_JOURNAL_KETTA_RIGHT_0_00	8日目―追記
$ENTRY_JOURNAL_KETTA_RIGHT_0_10	昨日の夜、[ranger_hero]が、遊牧民の言葉で叫びながら、私を叩き起こした。内容は、<LQ>この、性根の腐り切った泥棒猫め、彼は私のものよ！<RQ>だった。それから、彼女は私の髪をむしり取って、枕の下に入れて、そのまま寝ちゃった。<N>[ranger_hero]は、柄にも無く頭を下げて、しかも、毛の抜けた部分を隠すために馬の毛を編み込む方法を教えてくれた。あの子は、変な夢を見たせいでおかしな行動を取ってしまった、どんな夢かは思い出せないと言っていた。でも、きっと嘘だと思う。
$ENTRY_JOURNAL_AZRA_BY_SLAK_TITLE	
$ENTRY_JOURNAL_AZRA_BY_SLAK_LEFT_0_00	9日目―[mcguffin_hero]ってサイテー！
$ENTRY_JOURNAL_AZRA_BY_SLAK_LEFT_0_10	キミのハイソなアッシュ語文字がよめないからって、キミのわるぐちにきづかないっておもったか？<N>ははん、よくきけ、おじょうさん。私たちでキミのことをかいてやるぜ！<N>[mcguffin_hero_up]さんよぉ、ガリガリすぎてかおがさかなみたいよ、かおにたいしてクビがめちゃめちゃにながいよ。<N>あと耳がかれたアンズみたい。かみがたもダサいし、あぶらでテカテカ。あの子って、じぶんはせいけつっておもいこんでるけど、そんなことないのよねー。
$ENTRY_JOURNAL_AZRA_BY_SLAK_RIGHT_0_00	おらおら、いまどんなきぶんなのよ？はい、ようやくホントのともだちがだれだかわかったわ。<N><N>しんあいなる<N>クソをくらうのがだいすきな[ranger_hero_up]と　おい[berserker_hero_up]なぜわたしのなまえをかくのにそんなにながい
$ENTRY_JOURNAL_KARSK_BURNED_TITLE	
$ENTRY_JOURNAL_KARSK_BURNED_LEFT_0_00	7日目の夜―カルスクの火事
$ENTRY_JOURNAL_KARSK_BURNED_LEFT_0_10	死には慣れている。私は恵まれた環境のおかげで、死に関して子どもみたいな考えしか持っていなかった。だけど、9カ月前に死病にかかり、ここで過ごしてきて、そういったものは完全に払拭された。でも、ここまで暴力的な破壊は、今まで見たことがなかった。寺の大門の外にあった火葬場の火だって、これと比べればまだまだ甘い。<N>うまい言葉が、見つからない。<N>今になってようやく、敵の本性が理解できた。
$ENTRY_JOURNAL_LAKSOS_TITLE	
$ENTRY_JOURNAL_LAKSOS_LEFT_0_00	8日目―ラクソス
$ENTRY_JOURNAL_LAKSOS_LEFT_0_10	ラクソスにいる間、私たちは、遊牧民の変わった儀式を見た。カラーダ族という、小さいなりに自分たちの生活様式を保っている部族がある。その酋長に、新しい子が生まれたそうだ。酋長とその奥方は、子どもの前に、二つの大きな木の偶像を置いた。<N>酋長は大きな木の塊を取り出し、偶像と子どもの頭の上に順番に押し当てた。そして小さなナイフを取り出し、木の塊を削り始めた。削られた木の屑は、子どもの顔にパラパラ落ちた。削り終えると、それに動物の筋を通して、赤子の首にかけてやった。<N>その時、周囲から大声が上がった。そして、遊牧民たちが、踊り、歌い、遊牧民らしい騒々しいやり方で祝意を表した。酋長が木を削って作ったものは、私がそれまで見たことがないものだった。
$ENTRY_JOURNAL_LAKSOS_RIGHT_0_00	その後[ranger_hero]に、儀式について訊ねた。すると、彼女は首にかけていた狐をかたどった小さな木像を見せてくれた。彼女曰く、それは自分を守る精霊で、部族の神様のしもべだそうだ。生きている間は、この精霊が身を守り、導いてくれる。死後は一緒にお墓に入り、天国への安全な道筋を確保してくれる。各部族が草創期に創造主から神を賜ったのと同じように、人間も生まれる時に自分だけの精霊を賜るそうだ。<N>私は、自分の偶像を失うことは、部族が神を失うのと同じくらいの大惨事なのか尋ねた。彼女は不敵な笑みを浮かべ、嫌いな奴から奪ったという７体の偶像を見せてくれた。元の持ち主の魂は、天国へ至る道を探して、何年も彷徨っているのだと言った。同胞に対して気が咎めないのかと尋ねると、彼女は生気の無い表情で、君は自分の顔と耳のバランスの悪さに気が咎めたことがあるの？と言い放った。そして、ヤギの舌でも食べようかなーと鼻歌交じりに去って行った。いつか、あいつの頭を石で殴ってやる。
$ENTRY_JOURNAL_OZIMAL_DEAD_TITLE	
$ENTRY_JOURNAL_OZIMAL_DEAD_LEFT_0_00	10日目―オジマルの死
$ENTRY_JOURNAL_OZIMAL_DEAD_LEFT_0_10	オジマルが死ねば、ちょっとした満足感が得られると思っていた。でも、実際は、そうではなかった。<N>彼もまた、我々の敵に屈服し、虚ろな目で歩き回る死体の一つだったのだ。死ぬ前からも、こいつはただ操られているだけのやつだったんだ。<N>この地球から、残酷な悪人が消えた。この奈落で、そのことに気づく人がいるだろうか？
$ENTRY_JOURNAL_MONASTERY_TITLE	
$ENTRY_JOURNAL_MONASTERY_LEFT_0_00	10日目の夜―修道院
$ENTRY_JOURNAL_MONASTERY_LEFT_0_10	奈落の中に落ち着ける場所があると考えていた私が馬鹿だったが、やはり、セリーニ修道院を見ると衝撃を受ける。威圧的かつ不気味な建物で、寺というよりも要塞だ。防衛策が必要なのはわかるが、生まれ育った土地にある寺院の泉を思い浮かべると、折り合いがつかない。そこは調和が生まれる場所とされていて、混沌と破壊を生み出さないように衛兵でさえ刃物は携えなかったのだから。<N>泉の中に手を浸すと、とても心が安らいだ。私より前の時代の信者たちも同じようにしてきたことに想いを馳せた。その中にはセリナドト自身も含まれるのだ。そこでは、私も一人の謙虚なしもべだった。私を王と預言者から隔てるのは、時間だけだった。<N>『水が、谷においては霧となって立ち昇り、山においては雪となって降り、川においては奔流となって海へ注ぎ込むように、同じく水より生まれし人間も、時と場に応じて姿を変えながら役割を果たし、神が創り給うた世界と調和しなければいけない。』
$ENTRY_JOURNAL_MONASTERY_RIGHT_0_00	この法のない恐ろしい場所で、私はどんな役割を果たすべきなのだろう？ここでは、調和も智恵も、ただの美しいきれいごとのように思える。<N>でも、この要塞じみた寺も、ある種の安らぎを提供しているのかもしれない。ここの修道士たちも、己の役割を果たしていると言えないだろうか？この威圧的な壁と戦場の防御策は、泉の代わりなのではないだろうか。そのおかげで、法に見捨てられたこの地でも、セリナドトの精神に奉仕できるんじゃないだろうか。<N>セリナドト自身が言っていたけれど、『如何なる言語で書かれようとも、真実は真実だ。』この防壁は、奈落の「言語」なのだろう。その言葉が表す真実は、変わらず真実のままだ。
$ENTRY_JOURNAL_BAKAL_TITLE	
$ENTRY_JOURNAL_BAKAL_LEFT_0_00	11日目―[healer_hero]老師
$ENTRY_JOURNAL_BAKAL_LEFT_0_10	ご老師[healer_hero]は、この混沌の巣窟において、精神のオアシスだ。てんやわんやの脱出劇であるため、あまり話す時間はないが、少ないながら彼が私に言ってくれたことことは、心の大きな支えだ。<N>私も、同じように彼を助けられたらいいのにな、と思う。彼は、重い苦悩を抱えている。修道士的な無表情の下で渦巻く葛藤が、時々ちらりと顔を覗かせる。彼が昔兵士であったことは、明らかだ。体の傷、物腰、所作など、どれを取っても兵士のそれだ。<N>修道院にいる時、実は彼は聖職者ではないということを知った。彼を知る人はみな、彼のことを老師と呼んでいるのに。実際のところ、彼は公職に就いていないし、少なくとも、公式の資格を保有していない。でも、皆はいつも彼に相談するし、まるで上司みたいに彼に従う。アボット卿でさえも、まるで弟子みたいに見えた。
$ENTRY_JOURNAL_BAKAL_RIGHT_0_00	この旅は、[healer_hero]を動揺させると同時に、鼓舞させるみたいだ。まるで、彼の魂が、ぎりぎりの所で均衡を保っているかのように。今になって、なぜ[ranger_hero]が彼を恐れていたのか理解できる。<N>時折、彼の目の中に、揺るぎない決意が見える。その断固さたるや、私たちを追跡する人物にも匹敵する。いつの日か、[healer_hero]が、周りの人に与えている心の平安を、自分自身の中にも見つけられることを、切に願う。
$ENTRY_JOURNAL_WRENNA_TITLE	
$ENTRY_JOURNAL_WRENNA_LEFT_0_00	13日目―[mage_hero_fu]
$ENTRY_JOURNAL_WRENNA_LEFT_0_10	ポリモンがクウェイド帝国について述べていたことは、誇張ではなかった。[mage_hero]は、「月の光よりも青白く、月の倍ほど隔たりがある。」もっと正確に言うならば、「その4倍は気まぐれだ。」彼女ほど短時間に気分がころころ変わる人は、見たことがない。狂人である[berserker_hero]でさえ、その狂い方には一貫性がある。しかし[mage_hero]は、まるで荒れ狂う大洋のようだ。悪魔的なほどに世間擦れしているかと思えば、次の瞬間には、無防備なほど世間知らずになっている。あるときは仮面をかぶって上手に立ちふるまっているように見えても、次の瞬間は冷静な策士なら絶対にやらないような、子どもじみた危険で狂った行動を取る。<N>時々、彼女の狂気の向こう側に、私にそっくりな女の子の姿が見える。怯えて、一人ぼっちで、恐ろしい能力を持て余している。彼女は、そのことに気づいているのだろうか。
$ENTRY_JOURNAL_NOMADS_TITLE	
$ENTRY_JOURNAL_NOMADS_LEFT_0_00	14日目―遊牧民
$ENTRY_JOURNAL_NOMADS_LEFT_0_10	遊牧民族を直に見るのは、とても興味深い体験だ。原住民たちは、アッシュ王国とクウェイド帝国の間に広がる大草原と山に住んでいる。カンティマル・ポリモンは、東方大遠征の際、100を越える民族を記録に留めた。しかし、これらの民族の多くは、戦禍に巻き込まれて絶滅したんじゃないかと思う。奈落では27の民族に出会ったが、外の世界で生き残った民族がどれほどいるか知る由もない。<N>その名の通り、これらの民族は、遊牧をしながら暮らしている。大草原いっぱいにヤギや馬を放牧して育てている。でも、この生活様式は、奈落では続けがたい。ここでは、集団を守るためには恒常的な防衛拠点が必要だからだ。
$ENTRY_JOURNAL_NOMADS_LEFT_0_20	<N>現在も集団で生活している民族は、半数以下になってしまった。
