flag	value
$ACHV_AZRA_LVL_10_TITLE	도서관학 입문
$ACHV_AZRA_LVL_10_DESC	사서 레벨 10 달성
$ACHV_AZRA_LVL_25_TITLE	중급 도서학
$ACHV_AZRA_LVL_25_DESC	사서 레벨 25 달성
$ACHV_HAVE_ALL_CLASSES_TITLE	내 소중한 군대
$ACHV_HAVE_ALL_CLASSES_DESC	사서 이외 6개의 직업을 모두 해금
$ACHV_BEAT_ANY_EXTREME_TITLE	황금별 획득!
$ACHV_BEAT_ANY_EXTREME_DESC	익스트림에서 아무 레벨이나 승리
$ACHV_HAVE_SKILL_LVL_20_TITLE	미친 스킬들
$ACHV_HAVE_SKILL_LVL_20_DESC	레벨 20 스킬을 언락하세요<C>
$ACHV_BOOST_TECH_5_TITLE	호랑이 힘이 솟아난다!
$ACHV_BOOST_TECH_5_DESC	전투에서 한 캐릭터에게 최대 부스트 레벨 부여
$ACHV_AZRA_LVL_40_TITLE	고급 도서 물리학
$ACHV_AZRA_LVL_40_DESC	사서 레벨 40 달성
$ACHV_AZRA_LVL_60_TITLE	특급 독서술
$ACHV_AZRA_LVL_60_DESC	사서 레벨 60 달성
$ACHV_HAVE_ALL_WEAPONS_UNIQUE_TITLE	스위스제 군용 검
$ACHV_HAVE_ALL_WEAPONS_UNIQUE_DESC	기본 게임에서 희귀 무기를 모두 획득
$ACHV_HAVE_ALL_ARMOR_UNIQUE_TITLE	스위스제 군용 흉갑
$ACHV_HAVE_ALL_ARMOR_UNIQUE_DESC	기본 게임에서 희귀 방어구를 모두 획득
$ACHV_HAVE_ALL_BOOKS_NORMAL_TITLE	책벌레
$ACHV_HAVE_ALL_BOOKS_NORMAL_DESC	기본 게임의 추가 도전에서 모든 책 획득
$ACHV_ENDLESS_100_NORMAL_TITLE	인내심
$ACHV_ENDLESS_100_NORMAL_DESC	기본 게임의 무한 도전 2에서 100번째 웨이브에 도달
$ACHV_BEAT_GAME_NORMAL_TITLE	승자는 당신!
$ACHV_BEAT_GAME_NORMAL_DESC	기본 게임을 완료
$ACHV_BEAT_ALL_SIDEQUESTS_TITLE	쉽게 끝내지는 않아
$ACHV_BEAT_ALL_SIDEQUESTS_DESC	새 게임+에서 보조 퀘스트를 모두 달성
$ACHV_HAVE_201_STARS_BLUE_TITLE	완벽주의자
$ACHV_HAVE_201_STARS_BLUE_DESC	파란 별 201개 획득
$ACHV_UPGRADE_ALL_WEAPONS_UNIQUE_TITLE	살인도구용 큰 상자
$ACHV_UPGRADE_ALL_WEAPONS_UNIQUE_DESC	새 게임+에서 모든 희귀 무기를 업그레이드
$ACHV_UPGRADE_ALL_ARMOR_UNIQUE_TITLE	죽지 않는 것들의 큰 상자
$ACHV_UPGRADE_ALL_ARMOR_UNIQUE_DESC	새 게임+에서 모든 희귀 방어구를 업그레이드
$ACHV_HAVE_ALL_BOOKS_PLUS_TITLE	책용
$ACHV_HAVE_ALL_BOOKS_PLUS_DESC	새 게임+의 추가 도전에서 모든 책 획득
$ACHV_ENDLESS_100_PLUS_TITLE	마라톤
$ACHV_ENDLESS_100_PLUS_DESC	새 게임+의 무한 도전 2에서 100번째 웨이브에 도달
$ACHV_BEAT_GAME_PLUS_TITLE	승자+는 당신!
$ACHV_BEAT_GAME_PLUS_DESC	새 게임+를 완료
$ACHV_BEAT_SUPER_SHEEP_NORMAL_TITLE	양 학살자
$ACHV_BEAT_SUPER_SHEEP_NORMAL_DESC	기본 게임에서 슈퍼 양을 격파
$ACHV_HERO_MODE_TITLE	영웅 모드
$ACHV_HERO_MODE_DESC	기본 게임에서 캐릭터를 추가로 고용하지 않고 게임을 완료
$ACHV_HERO_MODE_PLUS_TITLE	영웅 모드+
$ACHV_HERO_MODE_PLUS_DESC	새 게임+에서 캐릭터를 추가로 고용하지 않고 게임을 완료
$ACHV_HAVE_201_STARS_GOLD_TITLE	대단한 완벽주의자
$ACHV_HAVE_201_STARS_GOLD_DESC	금색 별 201개 획득
$ACHV_BEAT_SUPER_SHEEP_PLUS_TITLE	과격한 양 학살자
$ACHV_BEAT_SUPER_SHEEP_PLUS_DESC	새 게임+에서 슈퍼 양을 격파
$ACHV_HERO_MODE_PLUS_PLUS_TITLE	영웅 모드++
$ACHV_HERO_MODE_PLUS_PLUS_DESC	캐릭터를 추가로 고용하지 않고 금색 별 180개 획득
$ACHV_USE_TARGETS_TITLE	정밀한 조준
$ACHV_USE_TARGETS_DESC	고급 목표 설정을 사용
$ACHV_MENU_ACCESS_TITLE	향상된 조준 설정 사용
$ACHV_MENU_ACCESS_DESC	접근성 메뉴를 방문<N>(옵션->접근성)
$ACHV_MENU_CONTROLS_TITLE	날 통제할 순 없어!
$ACHV_MENU_CONTROLS_DESC	조작 메뉴를 방문<N>(옵션->조작)
$ACHV_MENU_TIPS_TITLE	열공
$ACHV_MENU_TIPS_DESC	조언 메뉴를 방문<N>(옵션->조언)
$ACHV_MENU_NULL	Null
