flag	value
$ACHV_AZRA_LVL_10_DESC	將你的圖書管理員升級到10級
$ACHV_AZRA_LVL_10_TITLE	圖書館科學導論
$ACHV_AZRA_LVL_25_DESC	將你的圖書管理員升級到25級
$ACHV_AZRA_LVL_25_TITLE	中級圖書館學
$ACHV_AZRA_LVL_40_DESC	將你的圖書管理員升級到40級
$ACHV_AZRA_LVL_40_TITLE	高級圖書管理學
$ACHV_AZRA_LVL_60_DESC	將你的圖書管理員升級到60級
$ACHV_AZRA_LVL_60_TITLE	精英圖書管理學
$ACHV_BEAT_ALL_SIDEQUESTS_DESC	在新遊戲+中完成所有支線任務
$ACHV_BEAT_ALL_SIDEQUESTS_TITLE	了無牽掛
$ACHV_BEAT_ANY_EXTREME_DESC	在終極難度下通過任意一關。
$ACHV_BEAT_ANY_EXTREME_TITLE	獲得一顆金星！
$ACHV_BEAT_GAME_NORMAL_DESC	通關標準遊戲
$ACHV_BEAT_GAME_NORMAL_TITLE	大贏家！
$ACHV_BEAT_GAME_PLUS_DESC	通關新遊戲+
$ACHV_BEAT_GAME_PLUS_TITLE	超級大贏家！
$ACHV_BEAT_SUPER_SHEEP_NORMAL_DESC	在標準遊戲擊敗超級綿羊
$ACHV_BEAT_SUPER_SHEEP_NORMAL_TITLE	屠羊狂魔
$ACHV_BEAT_SUPER_SHEEP_PLUS_DESC	在新遊戲+擊敗超級綿羊
$ACHV_BEAT_SUPER_SHEEP_PLUS_TITLE	超級屠羊狂魔
$ACHV_BOOST_TECH_5_DESC	在戰鬥中，將一個角色強化到最高強化等級。
$ACHV_BOOST_TECH_5_TITLE	我得到了力量！
$ACHV_ENDLESS_100_NORMAL_DESC	在標準遊戲的無盡挑戰2中，擊敗100波敵人
$ACHV_ENDLESS_100_NORMAL_TITLE	忍耐
$ACHV_ENDLESS_100_PLUS_DESC	在新遊戲+ 無盡挑戰 2中，擊敗100波敵人
$ACHV_ENDLESS_100_PLUS_TITLE	馬拉松
$ACHV_HAVE_201_STARS_BLUE_DESC	獲得201顆藍星星
$ACHV_HAVE_201_STARS_BLUE_TITLE	盡善盡美
$ACHV_HAVE_201_STARS_GOLD_DESC	取得201顆金星星
$ACHV_HAVE_201_STARS_GOLD_TITLE	三百六十度盡善盡美
$ACHV_HAVE_ALL_ARMOR_UNIQUE_DESC	在標準遊戲獲得所有獨特護甲
$ACHV_HAVE_ALL_ARMOR_UNIQUE_TITLE	瑞士軍胸甲
$ACHV_HAVE_ALL_BOOKS_NORMAL_DESC	在標準遊戲的額外挑戰中獲得所有書籍
$ACHV_HAVE_ALL_BOOKS_NORMAL_TITLE	書呆子
$ACHV_HAVE_ALL_BOOKS_PLUS_DESC	在新遊戲+ 的額外挑戰中獲得所有書籍
$ACHV_HAVE_ALL_BOOKS_PLUS_TITLE	超級書呆子
$ACHV_HAVE_ALL_CLASSES_DESC	解鎖6種職業（不包括圖書管理員）
$ACHV_HAVE_ALL_CLASSES_TITLE	私人軍隊
$ACHV_HAVE_ALL_WEAPONS_UNIQUE_DESC	在標準遊戲獲得所有獨特武器
$ACHV_HAVE_ALL_WEAPONS_UNIQUE_TITLE	瑞士軍刀
$ACHV_HAVE_SKILL_LVL_20_DESC	解鎖一個20級的技能
$ACHV_HAVE_SKILL_LVL_20_TITLE	瘋狂技能
$ACHV_HERO_MODE_DESC	在不招募任何人物的情況下通關標準遊戲
$ACHV_HERO_MODE_PLUS_DESC	在不招募任何人的情況下通關新遊戲+
$ACHV_HERO_MODE_PLUS_PLUS_DESC	在不招募任何人的情況下取得180顆金星星
$ACHV_HERO_MODE_PLUS_PLUS_TITLE	英雄模式++
$ACHV_HERO_MODE_PLUS_TITLE	英雄模式+
$ACHV_HERO_MODE_TITLE	英雄模式
$ACHV_MENU_ACCESS_DESC	進入技能功能表 （選項-&gt;技能功能表）
$ACHV_MENU_ACCESS_TITLE	無孔不入
$ACHV_MENU_CONTROLS_DESC	進入控制功能表 （選項-&gt;控制）
$ACHV_MENU_CONTROLS_TITLE	休想控制我！
$ACHV_MENU_NULL	Null
$ACHV_MENU_TIPS_DESC	進入提示功能表 （世界-&gt;提示）
$ACHV_MENU_TIPS_TITLE	努力學習
$ACHV_UPGRADE_ALL_ARMOR_UNIQUE_DESC	在新遊戲+ 中升級所有特殊護甲
$ACHV_UPGRADE_ALL_ARMOR_UNIQUE_TITLE	大鎧甲
$ACHV_UPGRADE_ALL_WEAPONS_UNIQUE_DESC	在新遊戲+ 中升級所有特殊武器
$ACHV_UPGRADE_ALL_WEAPONS_UNIQUE_TITLE	大殺器
$ACHV_USE_TARGETS_DESC	使用高級瞄準選項
$ACHV_USE_TARGETS_TITLE	精確瞄準
