flag	content
$ENTRY_JOURNAL_INDEX_TITLE	목차
$ENTRY_JOURNAL_INDEX_LEFT_00	일지 목록
$ENTRY_JOURNAL_INDEX_LEFT_10	Day 1: @여긴 대체 어디지?@
$ENTRY_JOURNAL_INDEX_LEFT_20	Night 1: @[berserker_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_30	Day 3: @부록@
$ENTRY_JOURNAL_INDEX_LEFT_40	Night 3: @부록@
$ENTRY_JOURNAL_INDEX_LEFT_50	Day 3: @감옥@
$ENTRY_JOURNAL_INDEX_LEFT_60	Day 4: @연옥 세계@
$ENTRY_JOURNAL_INDEX_LEFT_70	Day 5: @[ranger_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_80	Day 8: @부록@
$ENTRY_JOURNAL_INDEX_LEFT_90	Night 7: @카르스크	 불타다.@
$ENTRY_JOURNAL_INDEX_LEFT_100	Day 8: @렉세스@
$ENTRY_JOURNAL_INDEX_LEFT_110	Day 9: @[mcguffin_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_120	Day 10: @오미잘의 죽음@
$ENTRY_JOURNAL_INDEX_LEFT_130	NIght 10: @수도원@
$ENTRY_JOURNAL_INDEX_LEFT_140	Day 11: @[healer_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_150	Day 13: @[mage_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_160	Day 14: @유목민@
$ENTRY_JOURNAL_INDEX_LEFT_170	Day 15: @낯선 꿈@
$ENTRY_JOURNAL_INDEX_RIGHT_00	Day 17: @사막의 보석@
$ENTRY_JOURNAL_INDEX_RIGHT_10	Day 18: @[knight_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_20	Day 19: @[knight_hero]의 편지@
$ENTRY_JOURNAL_INDEX_RIGHT_30	Night 19: @답장 : 후보 1@
$ENTRY_JOURNAL_INDEX_RIGHT_40	Day 20: @[knight_hero_pos]답장@
$ENTRY_JOURNAL_INDEX_RIGHT_50	Day 21: @[knight_hero_up]<RQ>의 편지@
$ENTRY_JOURNAL_INDEX_RIGHT_60	Night 21: @[berserker_hero] 녀석은 이 글을 보라@
$ENTRY_JOURNAL_INDEX_RIGHT_70	Night 22: @[dragon_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_80	Day 24: @부록@
$ENTRY_JOURNAL_INDEX_RIGHT_90	Day 25: @두 번째 꿈@
$ENTRY_JOURNAL_INDEX_RIGHT_100	Day 28: @젤레마의 죽음@
$ENTRY_JOURNAL_INDEX_RIGHT_110	Day 29: @세 번째 꿈@
$ENTRY_JOURNAL_INDEX_RIGHT_120	Day 35: @에즈티의 왕좌@
$ENTRY_JOURNAL_INDEX_RIGHT_130	Day 37: @틀레틀-메즈틀리@
$ENTRY_JOURNAL_INDEX_RIGHT_140	Day 39: @탈출?@
$ENTRY_JOURNAL_INDEX_RIGHT_150	Day 40: @젤레마를 따라@
$ENTRY_JOURNAL_INDEX_RIGHT_160	@후일담@
$ENTRY_JOURNAL_INTRO_TITLE	 
$ENTRY_JOURNAL_INTRO_LEFT_00	첫 번째 날 - 여긴 대체 어디지?
$ENTRY_JOURNAL_INTRO_LEFT_10	아마도 난 미쳐버린 것 같다. 하지만 내 눈앞에서 일어난 일들에 대해 기록은 해 둬야겠지. 판단은 이 글을 읽는 사람이 할 것이고	 나는 그저 내 병든 마음이 이해한 대로 사건을 기록할 것이다.<N>분명한 사실은	 나는 우리의 수도를 뒤덮은 역병에 걸렸으며 또한 이전의 다른 감염자들처럼 도시 밖으로 끌려나가 구덩이에 던져졌다는 것이다. 그곳에서 나는 아직도 꿈이 아니었을까 생각할 정도로 기이하고 공포스러운 사건들을 겪었다.<N>역병이 내 정신을 앗아갔고	 정신을 차렸을 때엔 어떤 어두운 장소에 서 있었다. 내 앞에는 또 다른 희생자가 있었다.
