flag	name
$FLAV_DAMAGE	피해
$FLAV_FRENZY	광분
$FLAV_FIRE	화염
$FLAV_BURN	불타는
$FLAV_POISON	독성
$FLAV_EVER_POISON	독 면역
$FLAV_TOXIC	맹독
$FLAV_EVER_TOXIC	맹독 면역
$FLAV_WOUND	상처
$FLAV_BLEED	출혈
$FLAV_EVER_BLEED	출혈 면역
$FLAV_BLINDED	실명
$FLAV_CONFUSED	혼란
$FLAV_DISEASE	질병
$FLAV_PSI_BURN	정신력 없애기
$FLAV_INSPIRE	고양
$FLAV_INSPIRED_HIT	고양된 타격
$FLAV_STUN	기절
$FLAV_SINGLE_STUN	단일 대상 기절
$FLAV_CHILL	냉기
$FLAV_SLOW	둔화
$FLAV_FREEZE	동결
$FLAV_LIGHT	빛
$FLAV_AREA	구역
$FLAV_DARK	어둠
$FLAV_GROW_ARMOR	성장하는 갑옷
$FLAV_PHASED	위상
$FLAV_MAGIC	마법
$FLAV_PHYSICAL	물리 공격
$FLAV_PHYSICAL-RANGED	물리-원거리
$FLAV_MELEE	근접
$FLAV_RANGED	원거리
$FLAV_UNDODGEABLE	회피 불가
$FLAV_REDUCE_HEALTH	체력 감소
$FLAV_ARMOR_PIERCE	방어 관통
$FLAV_ARMOR_IGNORE	방어 무시
$FLAV_ARMOR_BREAK	방어구 파괴
$FLAV_CRITICAL	치명타
$FLAV_KNOCKBACK	밀어냄
$FLAV_KNOCK_BACK	밀어냄
$FLAV_AUTOKILL	자동 킬
$FLAV_DEVOUR	삼킴
$FLAV_STRIKE_THROUGH	관통
$FLAV_DE_INVINCIBLE	무적 무효화
$FLAV_DELAY_DAMAGE	지연된 피해
$FLAV_ANONYMOUS	익명
$FLAV_TROLL	현재 상태 : 트롤롤롤로ㄹ롤
$FLAV_FB_HAPPY	현재 상태 : 기쁘다!
$FLAV_FB_SAD	현재 상태 : 슬프다.
$FLAV_FB_LOL	현재 상태 : ㅋㅋㅋ!
$FLAV_FB_OMG	현재 상태 : 오마이 갓!
$FLAV_FB_EXISTENTIAL	현재 상태 : 철학적인.
$FLAV_FB_BORED	현재 상태 : 지루하다.
$FLAV_PHYSICAL	물리적
$FLAV_MAGIC	마법
$FLAV_RANGED	원거리
$FLAV_PHYSICAL_RANGED	물리-원거리
$FLAV_PSI_SHIELD	정신력 방어막
$FLAV_AREA	구역
