flag	name
$BONUS_1_TITLE	Испытание 1
$BONUS_2_TITLE	Испытание 2
$BONUS_3_TITLE	Испытание 3
$BONUS_4_TITLE	Выживание 1
$BONUS_5_TITLE	Испытание 4
$BONUS_6_TITLE	Испытание 5
$BONUS_7_TITLE	Выживание 2
$BONUS_1_DESC	Эти коварные плавучие уроды.
$BONUS_2_DESC	Без лучников и драконов<C> и только 6 мест для защитников. Что же делать?
$BONUS_3_DESC	Битва на несколько фронтов.
$BONUS_4_DESC	Встретьтесь с бесконечными волнами врагов!
$BONUS_5_DESC	Придется грести против течения.
$BONUS_6_DESC	Высокая интенсивность в центре и угрозы на флангах.
$BONUS_7_DESC	Еще одно бесконечное испытание<C> но в этот раз они не атакуют - сколько урона в секунду вы сможете нанести?
$BONUS_RECORD_WAVE	(Рекорд: волна <WAVE_NUM>)
$BONUS_REWARDS	НАГРАДЫ
$BONUS_HIGH_SCORE	Лучший результат
$BONUS_REACH_WAVE	Достигнуть волны <WAVE_NUM>
$BONUS_BEAT_WAVE	Отбить волну <WAVE_NUM>",
