flag	content	comment
$ACTIONS_BATTLE_BACK	<RE>$BATTLE_BACK
$ACTIONS_BATTLE_CYCLE_NEXT	Следующий защитник
$ACTIONS_BATTLE_CYCLE_PREVIOUS	Предыдущий защитник
$ACTIONS_BATTLE_DEFENDERS	<RE>$BATTLE_DEFENDERS
$ACTIONS_BATTLE_FINE_MOVE	<RE>$BATTLE_FINE_MOVE
$ACTIONS_BATTLE_FREE_MOVE	<RE>$BATTLE_FREE_MOVE
$ACTIONS_BATTLE_MENU	<RE>$BATTLE_MENU
$ACTIONS_BATTLE_MENU_MOVE	<RE>$BATTLE_MOVE
$ACTIONS_BATTLE_PAUSE	<RE>$MISC_PAUSE
$ACTIONS_BATTLE_SELECT	<RE>$BATTLE_SELECT_UNIT
$ACTIONS_BATTLE_SPEED_MINUS	Медленнее
$ACTIONS_BATTLE_SPEED_PLUS	Быстрее
$ACTIONS_BATTLE_SPELL_SPAM	Повторить заклинание
$ACTIONS_BATTLE_SPELLS	Заклинания
$ACTIONS_BATTLE_TILE_MOVE	<RE>$BATTLE_TILE_MOVE
$ACTIONS_BATTLECONTROLS	Битва
$ACTIONS_CUTSCENE_NEXT	<RE>$MISC_NEXT
$ACTIONS_CUTSCENE_PREVIOUS	<RE>$MISC_PREVIOUS
$ACTIONS_CUTSCENE_SKIP	<RE>$MISC_SKIP
$ACTIONS_CUTSCENECONTROLS	Ролик
$ACTIONS_MAP_EXIT	<RE>$MISC_EXIT
$ACTIONS_MAP_JOURNAL	<RE>$MISC_JOURNAL
$ACTIONS_MAP_MENU	<RE>$MISC_MENU
$ACTIONS_MAP_MOVE	Перемещение курсора
$ACTIONS_MAP_MOVE_MAP	Перемещение по карте
$ACTIONS_MAP_SCROLL_MAP	Перемещение карты
$ACTIONS_MAP_SELECT	<RE>$MISC_SELECT
$ACTIONS_MAPCONTROLS	Карта мира
$ACTIONS_MENU_CANCEL	Отмена
$ACTIONS_MENU_MENU	Меню
$ACTIONS_MENU_MOVE	Перемещение курсора
$ACTIONS_MENU_SELECT	Выбрать
$ACTIONS_MENU_THING_1	Выбор 1
$ACTIONS_MENU_THING_2	Выбор 2
$ACTIONS_MENU_THING_3	Выбор 3
$ACTIONS_MENUCONTROLS	Меню
$ACTIONS_MENUCONTROLSWITHANALOG	Меню
$BASE_ATTACK	Основная атака
$BATTLE_BACK	<RE>$MISC_BACK
$BATTLE_DEFENDERS	<RE>$MISC_DEFENDERS
$BATTLE_FINE_MOVE	Медленнее
$BATTLE_FREE_MOVE	Указательный палец
$BATTLE_MAP	карта
$BATTLE_MENU	<RE>$MISC_MENU
$BATTLE_MOVE_MOUSE	Перемещение мыши
$BATTLE_MOVE	Перемещение
$BATTLE_SELECT_UNIT	Выбрать персонажа
$BATTLE_SPELLS	<RE>$STAT_DESC_SPELLS
$BATTLE_STARTING_FORMATION_TEXT	Использовать ту же стартовую расстановку, что и в прошлый раз?
$BATTLE_TILE_MOVE	Переместить клетки
$BONUS_DEFENSE	Бонус защиты
$BOOK_COOL_MULT	Ожидание заклинания x<X>
$BOOK_COOLDOWN_OP	Ожидание заклинания <X>
$BOOK_COST_MULT	Заклинание стоит x<X>
$BOOK_COST_OP	Заклинание стоит <X>
$BOOK_PSI_TAX	Расход ПСИ: <X>
$CONFIRM_QUIT_TEXT	<RE>$CONFIRM_RESTART_TEXT	Комментарий: это редирект, то есть текст из $MISC_PLEASE_WAIT будет здесь продублирован. Отметка <RE> в начале строки говорит о том, что тут редирект, а последующий текст не будет отображаться в окончательном тексте.
$CONFIRM_QUIT_TITLE	Покинуть битву?
$CONFIRM_RES_CHANGE	Разрешение изменено.<N>Все в порядке?<N><N>ВОЗВРАТ ЧЕРЕЗ <SECONDS> СЕКУНД.
$CONFIRM_RESTART_TEXT	Вы потеряете все полученные деньги и опыт.
$CONFIRM_RESTART_TITLE	Начать битву заново?
$CONTROL_SWITCH_WARNING	К сожалению, вы не можете переключить основной метод управления в ходе битвы.
$DATA_DUMP_AUDIO	Экспорт аудио...
$DATA_DUMP_BACKGROUNDS	<RE>$DATA_DUMP_BKG
$DATA_DUMP_BKG	Экспорт фоновых картинок...
$DATA_DUMP_CUTSCENE	Экспорт роликов...
$DATA_DUMP_CUTSCENES	<RE>$DATA_DUMP_CUTSCENE
$DATA_DUMP_DATA	Экспорт файлов с данными...
$DATA_DUMP_EMBED	Экспорт графики...
$DATA_DUMP_IMAGES	Экспорт картинок...
$DATA_DUMP_LOCALES	Экспорт локализаций...
$DATA_DUMP_MAP_FILES	Экспорт данных карты...
$DATA_DUMP_MAP_IMAGES	Экспорт изображений карты... Комментарий: <N> означает конец строки. <N> то же самое, но не <N> или <n>
$DATA_DUMP_MAPS	<RE>$DATA_DUMP_MAP_FILES
$DATA_DUMP_MOD_INFO	Экспорт информации о модах...
$DATA_DUMP_MUSIC	Экспорт музыки...
$DATA_DUMP_SFX	Экспорт звуковых эффектов...
$DATA_DUMP_SPRITES	Экспорт изображений...
$DATA_DUMP_TABLES	Экспорт таблиц с данными...
$DECIMATE_BY	Казнь в <PERCENT>% случаев
$DEMO_OVER_ACTS	Акты<N>III & IV
$DEMO_OVER_DONT_FORGET	Не забывайте файл сохранения!
$DEMO_OVER_ENORMOUS	Нажмите кнопку, чтобы продолжить ваше приключение!
$DEMO_OVER_ENORMOUS_2	Нажмите кнопку, чтобы продолжить ваше приключение!
$DEMO_OVER_EXPORT_HOW	Переместить файл сохранения с помощью этой кнопки.
$DEMO_OVER_FULL_GAME	Получить ПОЛНУЮ ВЕРСИЮ!
$DEMO_OVER_FULL_GAME_SHORT	ПОЛНАЯ<N>ИГРА!
$DEMO_OVER_PLAY	Продолжайте играть!
$DEMO_OVER_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT
$DEMO_OVER_THANKS	Спасибо за игру!
$DEMO_OVER_USE_IT	Используйте это, чтобы продолжить с места, где вы закончили!
$EN_SPELL_DRAGON_FIRE_1_DESC	<DMG> УРОН
$EN_SPELL_DRAGON_FIRE_2_DESC	<LOW>-<HIGH> УРОН
$EN_SPELL_FRENZY_DESC	<PLUS><PERCENT> скорости на <SEC> сек
$EN_SPELL_HEAL_DESC	Вылечить: <PERCENT> здоровья
$END	end
$ERROR_CONTEXT	контекст
$ERROR_MESSAGE	сообщение
$ERROR_NUMBER	Ошибка #
$ERROR_STACK	трассировка стека
$ERROR_TITLE	Произошла ошибка!
$FB_HARD_SELL_NO	Я сказал: никогда!
$FB_HARD_SELL_NUMS	yes_font:16,no_font:16,yes_off_y:0,yes_off_x:0,no_off_y:0,no_off_x:0
$FB_HARD_SELL_TEXT	Вы уверены?<N>Смотрите, как она сверкает!
$FB_HARD_SELL_YES	Ну... хорошо.
$FB_LIKE_US_NO	Ха-ха-ха. Нет.
$FB_LIKE_US_TEXT	Лайкните нас на Facebook и<N>получите этот приз БЕСПЛАТНО!
$FB_LIKE_US_YES	Хорошо!
$FB_NUMS	font:16,y_off:0,x_off:0,width_off:0
$FB_PERSISTENT_NUMS	yes_font:16,no_font:16,yes_off_y:0,yes_off_x:0,no_off_y:0,no_off_x:0
$FB_PERSISTENT_OK	Победа за мной!
$FB_PERSISTENT_TEXT	Ладно, ваша взяла!<N>Вы все равно получаете ее :)
$FB_REBEL_TEXT	Правильно, пошел он!<N>Получите это взамен.
$FB_SECOND_PITCH	Вы все еще можете получить свой приз,<N>лайкнув нас на Facebook!
$FB_SECOND_PITCH_NO	Никогда!
$FB_SECOND_PITCH_YES	Хорошо!
