flag	name
$CLASS_MCGUFFIN	Библиотекарь
$CLASS_MCGUFFIN_PL	Библиотекари
$CLASS_KNIGHT	Рыцарь
$CLASS_KNIGHT_PL	Рыцари
$CLASS_RANGER	Лучник
$CLASS_RANGER_PL	Лучники
$CLASS_BERSERKER	Берсерк
$CLASS_BERSERKER_PL	Берсерки
$CLASS_HEALER	Целитель
$CLASS_HEALER_PL	Целители
$CLASS_MAGE	Маг льда
$CLASS_MAGE_PL	Маги льда
$CLASS_DRAGON	Дракон
$CLASS_DRAGON_PL	Драконы
$CLASS_SORCEROR	Колдун
$CLASS_SORCEROR_PL	Колдуны
$CLASS_ANTIMCGUFFIN	Колдунья
$CLASS_ANTIMCGUFFIN_PL	Колдуньи
$SKILL_MCGUFFIN_A_LIGHTNING	Молния
$SKILL_MCGUFFIN_A_FRENZY	Неистовство
$SKILL_MCGUFFIN_A_HEALING	Лечение
$SKILL_MCGUFFIN_A_CRYSTAL	Кристалл
$SKILL_MCGUFFIN_A_PUSHBACK	Отталкивание
$SKILL_MCGUFFIN_A_DRAGON_FIRE	Пламя дракона
$SKILL_MCGUFFIN_A_DRAGONFIRE	<RE>$SKILL_MCGUFFIN_A_DRAGON_FIRE
$SPELL_ENEMY_ZAP	<RE>$SKILL_MCGUFFIN_A_LIGHTNING
$SPELL_ENEMY_FRENZY	<RE>$SKILL_MCGUFFIN_A_FRENZY
$SPELL_ENEMY_HEAL	<RE>$SKILL_MCGUFFIN_A_HEALING
$SPELL_ENEMY_FIRE	<RE>$SKILL_MCGUFFIN_A_DRAGON_FIRE
$SKILL_MCGUFFIN_A_LIGHTNING_DESC	Наносит $X урона одному врагу. Сжигает пси, снижает количество получаемого пси за врага.
$SKILL_MCGUFFIN_A_FRENZY_DESC	Повышает скорость атаки ВСЕМ защитникам на $X% в течение $Y секунд.
$SKILL_MCGUFFIN_A_HEALING_DESC	Восстанавливает всем защитникам $X ЗДОРОВЬЯ.
$SKILL_MCGUFFIN_A_CRYSTAL_DESC	Кристалл наносит $X урона врагам в радиусе $Y клеток. Взрывается через $Z секунд или от попадания молнии.
$SKILL_MCGUFFIN_A_PUSHBACK_DESC	Отбрасывает врагов на $X клеток обратно к началу лабиринта.
$SKILL_MCGUFFIN_A_DRAGON_FIRE_DESC	Наносит $X урона всем врагам на экране и заставляет их гореть в течение $Y секунд.
$SKILL_MCGUFFIN_fake_attackEXPLOSION	Взрыв
$SKILL_ANTIMCGUFFIN_A_LIGHTNING	Молния
$SKILL_ANTIMCGUFFIN_A_HEALING	Лечение
$SKILL_ANTIMCGUFFIN_A_FRENZY	Неистовство
$SKILL_ANTIMCGUFFIN_A_CRYSTAL	Кристалл
$SKILL_ANTIMCGUFFIN_A_PUSHBACK	Отталкивание
$SKILL_ANTIMCGUFFIN_A_DRAGON_FIRE	Пламя дракона
$SKILL_ANTIMCGUFFIN_A_LIGHTNING_DESC	Наносит $X урона одному врагу. Сжигает пси, снижает количество получаемого пси за врага.
$SKILL_ANTIMCGUFFIN_A_FRENZY_DESC	Повышает скорость атаки ВСЕМ защитникам на $X% в течение $Y секунд.
$SKILL_ANTIMCGUFFIN_A_HEALING_DESC	Восстанавливает всем защитникам $X ЗДОРОВЬЯ.
$SKILL_ANTIMCGUFFIN_A_CRYSTAL_DESC	Размещенный кристалл наносит $X урона врагам в радиусе $Y клеток. Взрывается через $Z секунд или от попадания молнии.
$SKILL_ANTIMCGUFFIN_A_PUSHBACK_DESC	Отбрасывает врагов на $X клеток обратно к началу лабиринта.
$SKILL_ANTIMCGUFFIN_A_DRAGON_FIRE_DESC	Наносит $X урона всем врагам на экране и заставляет их гореть в течение $Y секунд.
$SKILL_SORCEROR_A_LIGHTNING-Z	Молния
$SKILL_SORCEROR_A_HEALING-Z	Лечение
$SKILL_SORCEROR_A_FRENZY-Z	Неистовство
$SKILL_SORCEROR_A_PUSHBACK-Z	Отталкивание
$SKILL_SORCEROR_A_DRAGON_FIRE-Z	Пламя дракона
$SKILL_SORCEROR_A_LIGHTNING_DESC	Наносит $X урона одному врагу. Сжигает пси, снижает количество получаемого пси за врага.
$SKILL_SORCEROR_A_FRENZY-Z_DESC	Повышает скорость атаки ВСЕМ защитникам на $X% в течение $Y секунд.
$SKILL_SORCEROR_A_HEALING-Z_DESC	Восстанавливает всем защитникам $X ЗДОРОВЬЯ.
$SKILL_SORCEROR_A_PUSHBACK-Z_DESC	Отбрасывает врагов на $X клеток обратно к началу лабиринта.
$SKILL_SORCEROR_A_DRAGON_FIRE-Z_DESC	Наносит $X урона всем врагам на экране и заставляет их гореть в течение $Y секунд.
$SKILL_KNIGHT_A_SWING	Взмах
$SKILL_KNIGHT_P_ARMOR_PIERCE	Пробивание брони
$SKILL_KNIGHT_A_SMASH	Сокрушение
$SKILL_KNIGHT_P_ARMOR_BREAK	Ослабление брони
$SKILL_KNIGHT_P_ARMOR_TRAINING	Ношение брони
$SKILL_KNIGHT_P_HARD_KNOCK	Грубый удар
$SKILL_KNIGHT_A_COUNTER	Контратака
$SKILL_KNIGHT_A_LUNGE	Выпад
$SKILL_KNIGHT_P_STUN_STAB	Оглушающий удар
$SKILL_KNIGHT_P_SWORD_TRAINING	Владение мечом
$SKILL_KNIGHT_A_CLEAVE	Рассечение
$SKILL_BERSERKER_A_SLASH	Режущий удар
$SKILL_BERSERKER_A_DOUBLE_HIT	Двойной удар
$SKILL_BERSERKER_P_SWIFTNESS	Быстрота
$SKILL_BERSERKER_A_FLURRY	Шквал
$SKILL_BERSERKER_P_RESILIENCE	Живучесть
$SKILL_BERSERKER_A_SWIPE	Сильный удар
$SKILL_BERSERKER_P_RAGE	Ярость
$SKILL_BERSERKER_P_REFLEXES	Рефлексы
$SKILL_BERSERKER_P_MADNESS	Бешенство
$SKILL_BERSERKER_A_WHIRLWIND	Вихрь
$SKILL_HEALER_A_AID	Лечение
$SKILL_HEALER_A_ETHER_FLASH	Вспышка
$SKILL_HEALER_P_BULK_UP	Укрепление
$SKILL_HEALER_P_BLINDING	Ослепление
$SKILL_HEALER_A_GROUP_HEAL	Лечение группы
$SKILL_HEALER_A_HOLY_LIGHT	Благой свет
$SKILL_HEALER_A_ZEAL	Рвение
$SKILL_HEALER_P_INSPIRE	Воодушевление
$SKILL_MAGE_A_ICE_BALL	Ледяной шар
$SKILL_MAGE_P_CHILL	Холод
$SKILL_MAGE_A_ICE_SHARD	Осколки льда
$SKILL_MAGE_P_FREEZE	Заморозка
$SKILL_MAGE_A_SLEET	Град
