flag	nick_name	flavor_name	flavor_text
$EN_3_11_BOSS	BOSS
$EN_APC	SPLITTER	Чудовище	Порождает потомство|Эти раздутые трупы едва могут двигаться и выглядят так, словно готовы лопнуть в любой момент.<N><N>Несколько рядов зубов торчат во все стороны изо рта. Они настолько большие, что их нельзя отбросить назад и невозможно сожрать.
$EN_APC_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_FLAVOR_NAME	<RE>$EN_APC_FLAVOR_TEXT
$EN_APC_NOATTACK_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_FLAVOR_NAME	<RE>$EN_APC_FLAVOR_TEXT
$EN_APC_W	<RE>$EN_APC_NICK_NAME	Зловонный труп	Порождает водное потомство|От этих загробников несет как от мешка гнилой рыбы, который выкинули в канализацию и там оставили разлагаться.<N>Они легко передвигаются по воде и могут лопнуть в любой момент.
$EN_APC_W_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_W_FLAVOR_NAME	<RE>$EN_APC_W_FLAVOR_TEXT
$EN_ARMORED	ARMORED	Падший рыцарь	Бронированный загробник|Эти загробники когда-то были рыцарями, что пали в бою.<N>Они не сохранили свое мышление и навыки, что были у них при жизни, но броня осталась при них.
$EN_ARMORED APC	ARMORED SPLIT	Панцирный зверь	Порождает панцирное потомство|Гигантский панцирь защищает этот чудовищный шар переваривающейся плоти.<N><N>Многие считают, что у него не осталось костного скелета.
$EN_ARMORED APC_LOWXP	<RE>$EN_ARMORED APC_NICK_NAME	<RE>$EN_ARMORED APC_FLAVOR_NAME	<RE>$EN_ARMORED APC_FLAVOR_TEXT
$EN_ARMORED ATTACKER	<RE>$EN_ATTACKER_NICK_NAME	Сумасшедший рыцарь	Атакующий бронированный загробник|Эти падшие рыцари ужасны и сильны.<N><N>Их неземные крики эхом разносятся по катакомбам и всей пустоши.
$EN_ARMORED ATTACKER_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ARMORED ATTACKER_FLAVOR_NAME	<RE>$EN_ARMORED ATTACKER_FLAVOR_TEXT
$EN_ARMORED CULTIST	CULTIST PRIEST	Жрец-сектант	Жрец-сектант|<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>Акты ритуального насилия, которые совершают Жрецы-сектанты, часто сопровождаются серьезным членовредительством.<N><N><RE>[$EN_CULTIST_ACCOUNT_FLAVOR_TEXT]
