flag	name	description
$ITEM_SWORD	<RE>$ITM_W_SWORD
$ITEM_BOW	<RE>$ITM_W_BOW
$ITEM_STAFF	<RE>$ITM_W_STAFF
$ITEM_LIGHT	<RE>$ITM_A_LIGHT
$ITEM_HEAVY	<RE>$ITM_A_HEAVY
$ITEM_BOOK	<RE>$ITM_ACC_BOOK
$ITEM_WEAPON	Оружие
$ITEM_ARMOR	Броня
$ITM_ACC_BOOK	книга	<NULL>
$ITM_ACC_BOOK_PLURAL	книги	<NULL>
$ITM_ACC_BOOK_PLURAL_SHORT	книги	<NULL>
$ITM_A_LIGHT	легкая броня	<NULL>
$ITM_A_LIGHT_PLURAL	легкая броня	<NULL>
$ITM_A_HEAVY	тяжелая броня	<NULL>
$ITM_A_HEAVY_PLURAL	тяжелая броня	<NULL>
$ITM_W_SWORD	меч	<NULL>
$ITM_W_SWORD_PLURAL	мечи	<NULL>
$ITM_W_BOW	лук	<NULL>
$ITM_W_BOW_PLURAL	луки	<NULL>
$ITM_W_STAFF	посох	<NULL>
$ITM_W_STAFF_PLURAL	посохи	<NULL>
$ITM_A_LIGHT_PLURAL_SHORT	легкая	<NULL>
$ITM_A_HEAVY_PLURAL_SHORT	тяжелая	<NULL>
$ITM_W_SWORD_PLURAL_SHORT	мечи	<NULL>
$ITM_W_STAFF_PLURAL_SHORT	посохи	<NULL>
$ITM_W_BOW_PLURAL_SHORT	луки	<NULL>
$ITM_A_LIGHT_1	Мешковина	Мешковину носят под одеждой. От нее зудит тело, но это лучше чем ничего.
$ITM_A_LIGHT_2	Шкура	Высушенные шкуры животных грубо сшиты в защитный жилет. Толстая и прочная.
$ITM_A_LIGHT_3	Туника вождя	Эта ярко-окрашенная туника кочевника изготовлена из ценной шерсти и богато украшена вышивкой. Край одежды изображает непрерывные изгибы корней Древа Мира.
$ITM_A_LIGHT_4	Шерстяная туника	Длинная, толстая туника, сделанная из шерсти. Ценится у пастухов-кочевников.
$ITM_A_LIGHT_5	Жилет из тигровой шкуры	Огненный орнамент Куэйда на тисненом кожаном поясе является единственным намеком на происхождение этой экзотической одежды.
$ITM_A_LIGHT_6	Мех	Ценные меха животных скреплены в теплый и хорошо обитый жилет.
$ITM_A_LIGHT_7	Плащ Озимала	Слегка попахивает сыром.
$ITM_A_LIGHT_8	Кожа	Обработанная кожа тщательно сшита в стиле хорошего камзола.
$ITM_A_LIGHT_9	Одеяние монаха-воина	Это тщательно прошитое одеяние монахов украшено символикой 9-ой когорты Селини, Дома воинов, защитников Истины и Порядка.
$ITM_A_LIGHT_10	Шерстяная стеганка	Несколько слоев тонкой шерсти, старательно стеганных вместе и набитых мехом и кусочками ткани, чтобы создать крепкую защиту практически от любых ударов, кроме самых разрушительных.
$ITM_A_LIGHT_11	Ошибка убийцы	На первый взгляд кажется простой рубашкой богатого дворянина. При более детальном осмотре заметны ряды легких металлических пластин, пришитых с внутренней стороны одежды. Глубокий разрез на пояснице указывает на то, что этот гениальный дизайн помешал по крайней мере одному убийце.
$ITM_A_LIGHT_12	Шелковая стеганка	Слои прочного шелка прошиты конским волосом – такая броня может остановить стрелу без вреда для владельца.
$ITM_A_LIGHT_13	Мастер лучников	Этот эшанский гамбезон изготовлен из тончайшего шелка, а его замысловатая вышивка определяет его владельца как <LQ>Мастера королевских лучников<RQ>. Множество незначительных ремонтов на поверхности указывают, что эта бесподобная броня повидала множество сражений. Скорее всего, она передается от одного мастера к другому при уходе в отставку.
$ITM_A_LIGHT_14	Платиновое руно	Значительно ценнее, чем просто 'золотое'. Снятое с трупа самого Аксксима Ватта Муттанаксксора, это ослепительно блестящее руно не знает себе равных.
$ITM_A_LIGHT_15	<RE>[$ITM_A_LIGHT_3_NAME]+	<RE>[$ITM_A_LIGHT_3_DESCRIPTION]
$ITM_A_LIGHT_16	<RE>[$ITM_A_LIGHT_5_NAME]+	<RE>[$ITM_A_LIGHT_5_DESCRIPTION]
$ITM_A_LIGHT_17	<RE>[$ITM_A_LIGHT_7_NAME]+	<RE>[$ITM_A_LIGHT_7_DESCRIPTION]
$ITM_A_LIGHT_18	<RE>[$ITM_A_LIGHT_9_NAME]+	<RE>[$ITM_A_LIGHT_9_DESCRIPTION]
$ITM_A_LIGHT_19	<RE>[$ITM_A_LIGHT_11_NAME]+	<RE>[$ITM_A_LIGHT_11_DESCRIPTION]
$ITM_A_LIGHT_20	<RE>[$ITM_A_LIGHT_13_NAME]+	<RE>[$ITM_A_LIGHT_13_DESCRIPTION]
$ITM_A_LIGHT_21	<RE>[$ITM_A_LIGHT_14_NAME]+	<RE>[$ITM_A_LIGHT_14_DESCRIPTION]
$ITM_A_LIGHT_22	<RE>[$ITM_A_LIGHT_1_NAME]+	<RE>[$ITM_A_LIGHT_1_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_23	<RE>[$ITM_A_LIGHT_2_NAME]+	<RE>[$ITM_A_LIGHT_2_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_24	<RE>[$ITM_A_LIGHT_4_NAME]+	<RE>[$ITM_A_LIGHT_4_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_25	<RE>[$ITM_A_LIGHT_6_NAME]+	<RE>[$ITM_A_LIGHT_6_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_26	<RE>[$ITM_A_LIGHT_8_NAME]+	<RE>[$ITM_A_LIGHT_8_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_27	<RE>[$ITM_A_LIGHT_10_NAME]+	<RE>[$ITM_A_LIGHT_10_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_28	<RE>[$ITM_A_LIGHT_12_NAME]+	<RE>[$ITM_A_LIGHT_12_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_HEAVY_1	Кольчужный жилет	Легкая стеганка с несколькими стальными кольцами, грубо прикрепленными к внешней стороне доспеха для дополнительной защиты.
$ITM_A_HEAVY_2	Кольчуга	Рубаха, сделанная из сотни скрепленных друг с другом металлических колец, каждое из которых заклепано, чтобы предотвратить разрыв.
$ITM_A_HEAVY_3	Великолепие войны	Шикарная куэйдская броня с воронеными звеньями в кольчуге и позолоченными краями рубахи. Пластины на броне украшены золотыми узорами, образующими герб императорской семьи. На лицевой стороне выцарапана надпись на куэйдском: <LQ>Уже поздно думать об этом<RQ>. Еще несколько слов выцарапаны в углах пластин, но их наносили явно в спешке и разобрать их невозможно.
$ITM_A_HEAVY_4	Смешанная кольчуга	Кольчуга с металлическими пластинами, напрямую скрепленными с кольцами для дополнительной защиты туловища. Стандартное решение для пехоты Куэйда во время войны.
$ITM_A_HEAVY_5	Чешуйник всадника	Отлично сделанный пластинчатый доспех с расширенной защитой плеч и длинными набедренными пластинами, указывающими на то, что доспех был разработан для тяжелой кавалерии. Позолоченные наручи и шелковая стеганка показывают, что предыдущий владелец был воином богатым и со вкусом. На некоторых пластинах имеются иностранные письмена, не относящиеся ни к одному из местных языков. Расположение этих пластин над сердцем владельца может означать, что письмена - своего рода защитная молитва или чары, но это только предположение.
$ITM_A_HEAVY_6	Чешуйник	Множество мелких металлических пластин сшито вместе прочным шелковым шнуром.
$ITM_A_HEAVY_7	Доспех предателя	Пластинчатый мундир Эша с позолоченными наплечниками, указывающими на вероятную принадлежность мундира высокопоставленному чиновнику. Поверхность канвы зашили, но на ткани все еще видно слово <LQ>предатель<RQ>, написанное на эшанском. Обширные пятна крови видны сквозь красную краску, хотя на броне нет заметных повреждений.
$ITM_A_HEAVY_8	Латный жилет	Отличная защита для туловища, созданная благодаря присоединению нескольких больших стальных пластин к внутренней поверхности сюрко.
$ITM_A_HEAVY_9	Мощь Воколана	Зеленая бархатная бригантина с большими, блестящими наплечниками, типичными для тяжелой пехоты Куэйда. На позолоченном гербе изображен куэйдский герой - Воколан, разрывающий голову медведя голыми руками. Ниже - его дети Вастан и Васелла, которые пьют кровь, стекающую из пасти медведя, чтобы выжить в изнурительной ссылке семьи.
$ITM_A_HEAVY_10	Бригантина	Под бархатной тканью скрываются сотни прочных металлических пластин, облегающих туловище владельца.
$ITM_A_HEAVY_11	Доспехи Надзирателя	Эмблема на этих прекрасных доспехах указывает, что их владельцем был лорд Надзиратель, уполномоченный королевством Эш следить за преисподней. Неизвестно, как он сумел пропасть в своей собственной тюрьме, но, судя по пятнам крови на наплечниках, закончилось всё довольно трагично.
$ITM_A_HEAVY_12	Усиленный доспех	Сложное соединение стальных пластин на кожаной основе придает доспеху максимальную защиту, при этом не стесняя движения. Преимущественно использовался рыцарями Эша.
