flag	content
$ENTRY_JOURNAL_INDEX_TITLE	Содержание
$ENTRY_JOURNAL2_INDEX_TITLE	СЕКРЕТ
$ENTRY_JOURNAL_INDEX_LEFT_00	Записи в журнале
$ENTRY_JOURNAL_INDEX_LEFT_10	День 1: @Где я?@
$ENTRY_JOURNAL_INDEX_LEFT_20	Ночь 1: @[berserker_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_30	День 3: @Дополнение@
$ENTRY_JOURNAL_INDEX_LEFT_40	Ночь 3: @Дополнение@
$ENTRY_JOURNAL_INDEX_LEFT_50	День 3: @Тюрьма@
$ENTRY_JOURNAL_INDEX_LEFT_60	День 4: @Промежуточный мир@
$ENTRY_JOURNAL_INDEX_LEFT_61	День 4: @Образование@
$ENTRY_JOURNAL_INDEX_LEFT_62	День 4: @Учет книг@
$ENTRY_JOURNAL_INDEX_LEFT_70	День 5: @[ranger_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_80	День 8: @Дополнение@
$ENTRY_JOURNAL_INDEX_LEFT_90	Ночь 7: @Сожжение Карска@
$ENTRY_JOURNAL_INDEX_LEFT_100	День 8: @Лаксос@
$ENTRY_JOURNAL_INDEX_LEFT_101	День 9: @Путешествия@
$ENTRY_JOURNAL_INDEX_LEFT_110	День 9: @[mcguffin_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_120	День 10: @Смерть Озимала@
$ENTRY_JOURNAL_INDEX_LEFT_130	Ночь 10: @Монастырь@
$ENTRY_JOURNAL_INDEX_LEFT_140	День 11: @[healer_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_141	День 11: @Каркасская рукопись@
$ENTRY_JOURNAL_INDEX_LEFT_150	День 13: @[mage_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_160	День 14: @Кочевники@
$ENTRY_JOURNAL_INDEX_LEFT_170	День 15: @Странный сон@
$ENTRY_JOURNAL_INDEX_LEFT_171	Ночь 15: @Странные слова@
$ENTRY_JOURNAL_INDEX_RIGHT_01	День 16: @Грозные слова о шрамах на губах@
$ENTRY_JOURNAL_INDEX_RIGHT_00	День 17: @Сокровище пустыни@
$ENTRY_JOURNAL_INDEX_RIGHT_02	Ночь 17: @Лиса@
$ENTRY_JOURNAL_INDEX_RIGHT_10	День 18: @[knight_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_20	День 19: @Письмо от [knight_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_30	Ночь 19: @Мой ответ: Черновик 1@
$ENTRY_JOURNAL_INDEX_RIGHT_40	День 20: @Ответ от [knight_hero_pos]@
$ENTRY_JOURNAL_INDEX_RIGHT_50	День 21: @Письмо от <LQ>[knight_hero_up]<RQ>@
$ENTRY_JOURNAL_INDEX_RIGHT_60	Ночь 21: @Внимание: [berserker_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_70	Ночь 22: @[dragon_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_71	День 23: @Речь@
$ENTRY_JOURNAL_INDEX_RIGHT_72	День 24: @Головорез@
$ENTRY_JOURNAL_INDEX_RIGHT_73	День 24: @Смерть супер-овцы@
$ENTRY_JOURNAL_INDEX_RIGHT_80	День 24: @Дополнение@
$ENTRY_JOURNAL_INDEX_RIGHT_81	День 25: @Ахинея@
$ENTRY_JOURNAL_INDEX_RIGHT_90	День 25: @Второй сон@
$ENTRY_JOURNAL_INDEX_RIGHT_91	День 26: @История [mage_hero_pos]@
$ENTRY_JOURNAL_INDEX_RIGHT_92	День 27: @Зло внутри@
$ENTRY_JOURNAL_INDEX_RIGHT_93	День 27: @История [knight_hero_pos]@
$ENTRY_JOURNAL_INDEX_RIGHT_100	День 28: @Смерть Зелемира@
$ENTRY_JOURNAL_INDEX_RIGHT_110	День 29: @Третий сон@
$ENTRY_JOURNAL_INDEX_RIGHT_117	День 30: @Сон и безумие@
$ENTRY_JOURNAL_INDEX_RIGHT_111	День 32: @Императрица@
$ENTRY_JOURNAL_INDEX_RIGHT_112	День 33: @Черная мантия@
$ENTRY_JOURNAL_INDEX_RIGHT_113	День 33: @Четвертый сон@
$ENTRY_JOURNAL_INDEX_RIGHT_114	День 34: @держись подальше от моего дневника@
$ENTRY_JOURNAL_INDEX_RIGHT_115	День 34: @Пятый сон@
$ENTRY_JOURNAL_INDEX_RIGHT_116	День 35: @Шестой сон@
$ENTRY_JOURNAL_INDEX_RIGHT_120	День 35: @Трон Эзтли@
$ENTRY_JOURNAL_INDEX_RIGHT_121	День 36: @Энви@
$ENTRY_JOURNAL_INDEX_RIGHT_130	День 37: @Тлетл-Мезтли@
$ENTRY_JOURNAL_INDEX_RIGHT_131	День 38: @Мир?@
$ENTRY_JOURNAL_INDEX_RIGHT_132	День 38: @Прощальный сон@
$ENTRY_JOURNAL_INDEX_RIGHT_140	День 39: @Побег?@
$ENTRY_JOURNAL_INDEX_RIGHT_150	День 40: @За Зелемиром@
$ENTRY_JOURNAL_INDEX_RIGHT_160	@Эпилог@
$ENTRY_JOURNAL_INDEX_RIGHT_170	@Дополнение@
$ENTRY_JOURNAL_INTRO_TITLE	
$ENTRY_JOURNAL_INTRO_LEFT_00	День 1 - Где я?
$ENTRY_JOURNAL_INTRO_LEFT_10	Я, наверное, сошла с ума, но тем не менее я попытаюсь записать события, которые предстают перед моими глазами. Читатель может сделать свои выводы; я сообщаю только о тех событиях, которые еще могу разобрать своим помутневшим рассудком.<N>Я знаю наверняка, что заразилась чумой, которая разоряет нашу прекрасную столицу. Я знаю точно, что я, как и другие жертвы до меня, была вывезена из города и брошена в преисподнюю. Оттуда началась такая странная и ужасающая серия событий, что я все еще задаюсь вопросом, сплю ли я или мне все это грезится.<N>Когда лихорадка взяла надо мной верх, я оказалась в темном месте. Прежде чем стала очередной жертвой.<N>
$ENTRY_JOURNAL_INTRO_RIGHT_00	Здесь появился великолепный трон, и на нем восседал человек, которого я раньше никогда не видела. Он был полностью из золота. Я сначала подумала, что это статуя, но он произнес команду.<N>Его голос тоже был золотым, и его грани звучали с силой грома. Этот язык не был похож на те, которые я слышала или изучала в великой библиотеке Эшей, но мое тело вскочило как по команде. Мои вены напряжены, как будто кровь вот-вот вырвется из моего тела и поспешит присоединиться к нему.<N>У меня разрывается сердце лишь при мысли об этом.<N>-[mcguffin_hero] Ливбар
$ENTRY_JOURNAL_SLAK_TITLE	
$ENTRY_JOURNAL_SLAK_LEFT_0_00	Ночь 1 - [berserker_hero]
$ENTRY_JOURNAL_SLAK_LEFT_0_10	Когда я решила писать про [berserker_hero], то осознала, что придется отбросить строгий язык столицы и использовать жаргон, более подходящий этому индивиду.<N>[berserker_hero] – полный придурок. Он придурок, к тому же полный.<N>Недостаток интеллекта он восполняет запахом. Если две горящие навозные кучи могли бы спариваться и произвести на свет потомство, то их гнилое потомство испугалось бы зловония, которое исходит из подмышек [berserker_hero]. Разумеется, преследующие нас ожившие трупы пахнут словно изысканные духи по сравнению с ним.<N>Но [berserker_hero] не просто красивая мордашка. Он еще и самая притягательная личность, которую я могу описать как <LQ>тупой как пробка.<RQ> Вчера он спорил в течение пятнадцати минут со скалой, об которую он ударился ногой. И он проиграл.
$ENTRY_JOURNAL_SLAK_RIGHT_0_00	Честно говоря, мне повезло путешествовать в такой компании.
$ENTRY_JOURNAL_SLAK_RIGHT_0_10	<N>День 3 - дополнение
$ENTRY_JOURNAL_SLAK_RIGHT_0_20	<N>В интересах справедливости я должна признаться, что он самый храбрый человек, которого я когда-либо видела. Все его тело покрыто паутиной шрамов, хотя это мало меня удивляет, если вспомнить, что он отказывается носить одежду или броню. Полагаю, суть в том, что он и невыносимый болван, и невероятно опытный воин, и я вынуждена признать, что рада его присутствию.
$ENTRY_JOURNAL_SLAK_RIGHT_0_30	<N>АХ-Х-Х! Я ТОЖЕ ТЕБЯ ЛЮБЛЮ! ХО-ХО-ХО<N><N><N><N>Я НЕ СПЛЮ. ПРОСТО ЛЕЖУ, РАЗМИНАЮ ЯГОДИЦЫ
$ENTRY_JOURNAL_SLAK_RIGHT_0_40	<N>Кроме того, очевидно, что он может читать и писать! Где, черт побери, этот кровожадный бродяга получил образование?<N><N><N>P.S. Если ты когда-нибудь украдешь мой журнал снова, я размозжу тебе голову, пока ты будешь спать..
$ENTRY_JOURNAL_SLAK_LEFT_1_00	Ночь 3 - дополнение второе
$ENTRY_JOURNAL_SLAK_LEFT_1_10	Итак, для протокола, [berserker_hero] спит голым. Все попытки мести будут проходить в течение дня, начиная с этого момента.<N>И еще, шрамы не заканчиваются на талии.<N><N><N><N><N><N>Я тебя ненавижу.
$ENTRY_JOURNAL_SLAK_LEFT_1_20	<N>А ТЫ ДУМАЕШЬ ЧТО ХАН И ХАРИССА НЕ СРАЖАЮТСЯ ВМЕСТЕ СО МНОЙ?
$ENTRY_JOURNAL_PRISON_TITLE	
$ENTRY_JOURNAL_PRISON_LEFT_0_00	День 3 - Тюрьма
$ENTRY_JOURNAL_PRISON_LEFT_0_10	Три дня назад я думала, что преисподняя - это тюрьма. Теперь я уверена, что даже в аду намного хуже.<N>Человека, держащего нас, называют Озимал Каз. Он жестокий, мелкий, отвратительный человек. Я не в силах понять, как мой соотечественник мог стать неисправимым извергом.<N>Я могла ожидать такое от Куэйдов, которые провели последние два десятилетия, совершенствуя свою жестокость в восточных областях. Даже самый безжалостный из вождей кочевников умерил бы гнев своей крови быстрее, чем эти выродки.<N>И он из столицы, судя по акценту! Этот монстр вырос в тени самого храма!<N>
$ENTRY_JOURNAL_PRISON_RIGHT_0_00	Я сижу здесь с другими пленниками, схваченными без разбора: бандиты и разбойники, мужчины, женщины, дети, Эши, кочевники, Куэйды, всех нас ожидает смерть от рук этого человека.<N>Днем и ночью мы слышали непрекращающиеся стоны его пленных загробников, оглушительную какофонию, прерываемую только предсмертными криками последней жертвы. И я не способна ничего сделать! Если бы я только была в Колизее с этими несчастными жертвами, у них хотя бы был шанс в сражении.<N>При всем своем хвастовстве, Озимал выглядел нерешительным в вопросе второй <LQ>расправы<RQ> надо мной.  Возможно, он боялся потерять слишком много загробников. Наверняка создавать и поддерживать их - нелегкий труд, а его маленькая империя, похоже, нуждалается в загробниках, чтобы поддерживать верность вассалов.<N>
$ENTRY_JOURNAL_PRISON_LEFT_1_00	Слова моего таинственного помощника постоянно звучат в моей голове. Озимал хочет продемонстрировать мои навыки на <LQ>человеку в красном.<RQ> Кто этот человек в красном? И кто этот таинственный незнакомец, который намерен спасти меня? Почему я так важна?<N>В этом потоке вопросов я уверена в одном: я до сих пор занималась только насилием по отношению к тем, кто уже мертв, но если я когда-либо доберусь до Озимала, над изменением этой политики стоит поразмыслить.
$ENTRY_JOURNAL_HALFWAY_WORLD_TITLE	
$ENTRY_JOURNAL_HALFWAY_WORLD_LEFT_0_00	День 4 - Промежуточный мир
$ENTRY_JOURNAL_HALFWAY_WORLD_LEFT_0_10	<LQ>Промежуточный мир<RQ> - это подходящее слово для места, которое я не могу описать словами, где нахожусь сама и в которое затягиваю других.<N>Однажды, когда я была очень молода, я чуть не утонула, плавая на отмелях Кевели. Это единственный опыт, с которым я могу провести параллели. Здесь та же самая паника, когда задыхаясь в муках, мое сердце пытается вырваться из моей груди. Но на этот раз рука отца не вытащит меня в безопасное место. Здесь нет берега, за который можно цепляться, только мгновение смерти протяженностью в вечность.<N>Суть моего появления в этом месте вне моего понимания. Я лишь знаю, что иду туда, где должна быть. Оказавшись там, я ощущу своих соратников, но не при помощи зрения, а так же, как я чувствую руки, не смотря на них.
$ENTRY_JOURNAL_HALFWAY_WORLD_RIGHT_0_00	Я уверена, что они там и призываю их силой, которой владею. Эта сила мала, и я изучаю эти силы словно беспомощный младенец, передвигающий свое тело, но даже этого достаточно, чтобы спасти мою жизнь. Хоть я и ненавижу странствовать в этом ужасном промежуточном мире, но безусловно, это лучше, чем судьба, которая ожидала меня вне его.
$ENTRY_JOURNAL_AN_EDUCATION_TITLE	
$ENTRY_JOURNAL_AN_EDUCATION_LEFT_0_00	День 4 - Образование
$ENTRY_JOURNAL_AN_EDUCATION_LEFT_0_10	Today, as my mind still swirled with the giddiness of our last victory, my eye was caught by a piece of parchment on the ground. Eager to replenish my own painfully finite supply, I snatched up the abandoned page. I was immediately shocked by its quality. While its edges and creases showed the wear of its journey into the Pit, its thickness and spotless, creamy tone betrayed the wealth from which it originated. This was no pay-scribe's scratch sheet.<N><N>It was at this point that I saw the seal of the Lord Regent. Hungrily, my eyes raced to the opening line:
$ENTRY_JOURNAL_AN_EDUCATION_LEFT_0_20	<LQ>You errant and vagabond wretch scarcely worthy of being called my son,<RQ>
$ENTRY_JOURNAL_AN_EDUCATION_LEFT_0_30	Filled with what Zenimon the Wise termed the <LQ>joy of others' woe,<RQ> I read on with shameful curiosity:
$ENTRY_JOURNAL_AN_EDUCATION_LEFT_0_40	<LQ>Words cannot express my rage. Vashtal reports to me that, on arriving in the land of the Carcassians, he
$ENTRY_JOURNAL_AN_EDUCATION_RIGHT_0_00	discovered you were not in attendance at University, as I had ordered both for your betterment and safety, but rather found an unwashed Nomad heathen masquerading under your name, and studying in your stead. This foul barbarian disclosed that he had been paid a not insignificant sum of gold to receive your education for you, whilst you, no doubt, gallivanted off into the wilderness in search of – <RQ>
$ENTRY_JOURNAL_AN_EDUCATION_RIGHT_0_10	The rest of the text is a mystery to me, for, just at the point that the narrative was waxing especially interesting, [berserker_hero] tore the page from my hand, wadded it into a ball, and ate it while screaming <LQ>It tastes like lies! Lies and dead sheep! But mostly lies!<RQ> directly into my face. His breath leaves much to be desired.<N><N>He then threw a rock at [ranger_hero], and the two launched into a slap-fight lasting half an hour.
$ENTRY_JOURNAL_BOOKKEEPING_TITLE	
$ENTRY_JOURNAL_BOOKKEEPING_LEFT_0_00	День 5 - Учет книг
$ENTRY_JOURNAL_BOOKKEEPING_LEFT_0_10	After freeing the last prisoners from Ozimal's pathetic den, I must confess that I derived a shameful amount of enjoyment from raiding the wretch's personal quarters. His few remaining guards had fled at the sight of our victory over their trained revenant, leaving the petty tyrant's chambers ripe for plunder. We procured as much as we could carry from his private larder, acquiring sausages, oil, and a significant quantity of cheeses to help us on our journey. I would have liked to set fire to the rest, but I feared the resultant smoke would betray our position, and hasten the return of the villain and his army. As if sensing my frustration, [berserker_hero] took it upon himself to <LQ>desecrate<RQ> the remaining foodstuffs. He then went on to desecrate the bed, a large section of the floor, and some of the walls. It was not an act one of my station or sex should approve of, but I find it difficult to not grin when I think of the unpleasant discovery awaiting Ozimal on his return.<N><N>[berserker_hero] must imbibe truly astounding quantities of water.
$ENTRY_JOURNAL_BOOKKEEPING_RIGHT_0_00	Sadly, I find my mirth short-lived. On Ozimal's lecturn, I discovered (just prior to the <LQ>desecration<RQ>) several scraps of parchment which made up the bookkeeping side of his base empire. Going over them now, I see laid out, in most matter-of-fact fashion, the figures of tributes levied, punishments doled out, slaves taken – he writes about human lives as if they were nothing more than smoked hams to line his larder and he a busy merchant.<N><N>One manuscript, in particular, preys upon my mind.
$ENTRY_JOURNAL_BOOKKEEPING_RIGHT_0_10	<LQ>To be procured:<N><N>For the Red Collector – survivors of unusual appearance or ability.<N><N>For the Quaidman – young woman, Quaid, blonde hair, facial scars, possibly with the Selini. Desired dead. Proof required.<N><N>For the Man-Seller – Nomad girls, pretty. Higher price for young.
$ENTRY_JOURNAL_BOOKKEEPING_LEFT_1_00	For Ash contact – proof of Lord Warden's demise.<N><N>For University Philosopher – preserved flesh of infected, skull talismans, related charms.<N><N>For the Black Robes – Ashani survivors, fresh entries preferred.<N><N>For the Carcassian – boy, nomad appearance, white hair, possibly traveling in the company of one identical to himself. Desired dead. Proof required.<RQ>
$ENTRY_JOURNAL_BOOKKEEPING_LEFT_1_10	To see my own fate, which at the time seemed fantastic in its horror, a single item in a list of planned villainies is a sobering experience. I had thought myself a grand exception in my misery. Now I find such things are merely the daily operations of Ozimal's vile enterprise.<N><N>I find most melancholy of all the thought that many of these crimes were to be perpetrated at the behest of parties outside of the Pit. What can this miserable place possibly have to offer the outside world?
$ENTRY_JOURNAL_BOOKKEEPING_RIGHT_1_00	It is a grim time indeed, when men search hell for fresh evils.
$ENTRY_JOURNAL_KETTA_TITLE	
$ENTRY_JOURNAL_KETTA_LEFT_0_00	День 5 - [ranger_hero]
$ENTRY_JOURNAL_KETTA_LEFT_0_10	Больше всего мне нравится в [ranger_hero] то, что от нее несет как от козы.<N>Я имею в виду, что сложно сделать выбор между такими чертами победителя, как необузданная незрелость, постоянные унизительные комментарии, тупой сарказм, склонность к мелкому воровству и ужасные привычки в еде, но когда вы делите с ней палатку, этот резкий запах коз затмевает все выше сказанное.<N>Иногда ночью северный ветер посвистывает со стороны мужской части лагеря, и дуновения ветра приносят легко узнаваемый запах [berserker_hero]. Полученная смесь ароматов может быть описана только как божественная. Именно в такие ночи я крепче всего сплю, так как мое тело предпочитает бессознательный сон, а не попытку постичь благоуханные раздражители, противостоящие моим чувствам.
$ENTRY_JOURNAL_KETTA_RIGHT_0_00	День 8 - дополнение
$ENTRY_JOURNAL_KETTA_RIGHT_0_10	Вчера вечером [ranger_hero] разбудила меня воплями на языке кочевников. Крик примерно переводится как <LQ>Девушка сомнительного морального качества, она моя! <RQ> Затем она вырвала клок моих волос, сунула их под подушку и сразу заснула.<N>Для [ranger_hero] было нетипично извиняться, она дошла до того, что показала, как сплести косу из лошадиной гривы, чтобы спрятать мою лысину. Она утверждает, что не понимает, какой сон мог побудить такую вспышку. Я по-прежнему в недоумении.
$ENTRY_JOURNAL_AZRA_BY_SLAK_TITLE	
$ENTRY_JOURNAL_AZRA_BY_SLAK_LEFT_0_00	День 10 - [mcguffin_hero] отстой!
$ENTRY_JOURNAL_AZRA_BY_SLAK_LEFT_0_10	ТАК ТЫ ДУМАЕШЬ ЧТО ЕСЛИ Я НЕ МОГУ ПРОЧИТАТЬ ТВОЙ КРАСИВЕНЬКИЙ ЯЗЫК ТО Я НЕ УЗНАЮ ЧТО ТЫ ПИСАЛА ОБО МНЕ?<N>НУ ДОГАДАЙСЯ ЧТО, ПРИНЦЕССА! МЫ СОБИРАЕМСЯ НАПИСАТЬ ЗАМЕТКУ В ЖУРНАЛЕ ПРО ТЕБЯ!<N>ЧТО Я МОГУ СКАЗАТЬ О [mcguffin_hero_up]? ТО ЧТО ЕЕ ЛИЦО ТАКОЕ ХУДОЕ ЧТО ОНА ВЫГЛЯДИТ КАК РЫБА! А ЕЩЕ У НЕЕ ШЕЯ СЛИ-И-ИШКОМ ДЛИННАЯ ДЛЯ ТЕЛА.<N>И ЕЕ УШИ ВЫГЛЯДЯТ КАК ВЫСОХШИЕ АБРИКОСЫ. И ЕЕ ВОЛОСЫ СЛОВНО СОЛОМА. И ЕЕ ПЕРСОНАЛЬНАЯ ГИГИЕНА СОВСЕМ НЕ ТАК БЛИЗКА К СОВЕРШЕНСТВУ КАК ОНА СЧИТАЕТ.
$ENTRY_JOURNAL_AZRA_BY_SLAK_RIGHT_0_00	КАК ТЕБЕ ТАКОЙ ПОВОРОТ, ЛОХУШКА? ПОЛАГАЮ ТЕПЕРЬ Я ЗНАЮ КТО НА САМОМ ДЕЛЕ МОИ ДРУЗЬЯ.<N>С НАИЛУЧШИМИ ПОЖЕЛАНИЯМИ,<N>[ranger_hero_up] КОТОРАЯ ЛЮБИТ ПОЖРАТЬ ДЕРЬМА И [berserker_hero_up] ПОЧЕМУ МОЕ ИМЯ ТАК ДОЛГО ПИСАТЬ?
$ENTRY_JOURNAL_KARSK_BURNED_TITLE	
$ENTRY_JOURNAL_KARSK_BURNED_LEFT_0_00	Ночь 7 - Сожжение Карска
$ENTRY_JOURNAL_KARSK_BURNED_LEFT_0_10	Смерть была повсюду. Последние девять месяцев чумы в столице стерли мою детскую неосведомленность о происходящем, обусловленную моим привилегированным положением. Но я никогда раньше не видела такого жестокого уничтожения. Даже костры трупов за воротами Храма не могли с этим сравниться.<N>У меня нет слов.<N>Я кое-что поняла о природе нашего врага.
$ENTRY_JOURNAL_LAKSOS_TITLE	
$ENTRY_JOURNAL_LAKSOS_LEFT_0_00	День 8 - Лаксос
$ENTRY_JOURNAL_LAKSOS_LEFT_0_10	Мы стали свидетелями странного ритуала кочевников во время прибывания в Лаксосе. Родился ребенок у главы Карада, небольшого, но все еще процветающего племени. Родители представили ребенка перед двумя большими деревянными идолами.<N>Глава достал небольшой кусочек дерева, который он возложил на голову каждому идолу, а потом и на голову ребенку. Затем он достал маленький нож и начал вырезать блок, позволяя стружке падать на лицо младенца. Закончив свою работу, он протянул сквозь резьбу сухожилие животного и надел на шею ребенка.<N>Прозвучал сильный вопль, и внезапно все соплеменники начали танцевать, петь и праздновать в обычной манере перепалок кочевников. Я так и не смогла разглядеть, что вырезал глава.
