flag	content
$SCENE_OPENING_TITLE	Начало
$NARR_OPENING_00_TEXT	*Меня зовут $MCG
$NARR_OPENING_10_TEXT	Я умираю
$NARR_OPENING_20_TEXT	Они не ждут
$NARR_OPENING_30_TEXT	Сейчас даже нет времени сжигать тела
$NARR_OPENING_40_TEXT	Их просто вывозят за пределы города...
$NARR_OPENING_50_TEXT	...и сбрасывают в преисподнюю
$SCENE_WHERE_AM_I_TITLE	Промежуточный мир
$NARR_WHERE_AM_I_00_TEXT	АКТ I
$NARR_WHERE_AM_I_00_SUB_TEXT	*По ноге в каждом мире, а его душа в середине,$Nумирающий видит все.
$NARR_WHERE_AM_I_00_SUB_SUB_TEXT	*$N$N$NПословица кочевников
$LINE_WHERE_AM_I_00_CHAR	ЖЕРТВА ЧУМЫ
$LINE_WHERE_AM_I_00_TEXT	Ты чувствуешь его?
$LINE_WHERE_AM_I_10_CHAR	$MCG
$LINE_WHERE_AM_I_10_TEXT	Что? Где мы?
$LINE_WHERE_AM_I_20_CHAR	ЖЕРТВА ЧУМЫ
$LINE_WHERE_AM_I_20_TEXT	Он зовет нас...
$LINE_WHERE_AM_I_30_CHAR	ЖЕРТВА ЧУМЫ
$LINE_WHERE_AM_I_30_TEXT	Идем, мы должны присоединиться к нему...
$LINE_WHERE_AM_I_40_CHAR	ЖЕРТВА ЧУМЫ
$LINE_WHERE_AM_I_40_TEXT	Мы уже на полпути...
$LINE_WHERE_AM_I_50_CHAR	$MCG
$LINE_WHERE_AM_I_50_TEXT	Что ты делаешь? Ты сошла с ума!
$LINE_WHERE_AM_I_60_CHAR	ЖЕРТВА ЧУМЫ
$LINE_WHERE_AM_I_60_TEXT	Слушай голос...
$LINE_WHERE_AM_I_70_CHAR	ЖЕРТВА ЧУМЫ
$LINE_WHERE_AM_I_70_TEXT	Он предлагает гораздо больше... стать частью чего-то... большего.
$LINE_WHERE_AM_I_80_CHAR	ЖЕРТВА ЧУМЫ
$LINE_WHERE_AM_I_80_TEXT	Только дурак будет сопротивляться.
$LINE_WHERE_AM_I_90_CHAR	$MCG
$LINE_WHERE_AM_I_90_TEXT	Отойди от меня!
$LINE_WHERE_AM_I_100_CHAR	ГОЛОС
$LINE_WHERE_AM_I_100_TEXT	ВСЕ ПРИСОЕДИНЯТСЯ. ВСЕ СТАНУТ СОСУДАМИ.
$LINE_WHERE_AM_I_110_CHAR	$MCG
$LINE_WHERE_AM_I_110_TEXT	Вытащите меня отсюда!
$LINE_WHERE_AM_I_120_CHAR	ГОЛОС
$LINE_WHERE_AM_I_120_TEXT	ПРИКАЗЫВАЮ.
$LINE_WHERE_AM_I_130_CHAR	$MCG
$LINE_WHERE_AM_I_130_TEXT	Не могу... пошевелиться...
$LINE_WHERE_AM_I_140_CHAR	$MCG
$LINE_WHERE_AM_I_140_TEXT	Помогите мне... Кто-нибудь...
$LINE_WHERE_AM_I_150_CHAR	$BER
$LINE_WHERE_AM_I_150_TEXT	Что?! Где я, черт побери?!
$SCENE_MEET_BERSERKER_TITLE	Новый странный друг
$LINE_MEET_BERSERKER_00_CHAR	$MCG
$LINE_MEET_BERSERKER_00_TEXT	Стой.
$LINE_MEET_BERSERKER_10_CHAR	$MCG
$LINE_MEET_BERSERKER_10_TEXT	Что случилось?
$LINE_MEET_BERSERKER_20_CHAR	$BER
$LINE_MEET_BERSERKER_20_TEXT	Понятия не имею. Пять минут назад ты была трупом, с которого я пытался стянуть сапоги.
$LINE_MEET_BERSERKER_30_CHAR	$BER
$LINE_MEET_BERSERKER_30_TEXT	Так что это хорошие новости! Ты жива и, кажется, больше не заражена чумой.
$LINE_MEET_BERSERKER_40_CHAR	$MCG
$LINE_MEET_BERSERKER_40_TEXT	Где?..
$LINE_MEET_BERSERKER_50_CHAR	$BER
$LINE_MEET_BERSERKER_50_TEXT	Но есть и плохая новость: у меня так и не будет новой пары сапог.
$LINE_MEET_BERSERKER_60_CHAR	$BER
$LINE_MEET_BERSERKER_60_TEXT	Кроме того, теперь ты оказалась в ловушке этой чумной колонии с остальными из нас.
$LINE_MEET_BERSERKER_70_CHAR	$MCG
$LINE_MEET_BERSERKER_70_TEXT	Преисподней...
$LINE_MEET_BERSERKER_80_CHAR	$BER
$LINE_MEET_BERSERKER_80_TEXT	Выше голову! Ты смогла выжить, теперь у тебя появился иммунитет к чуме.
$LINE_MEET_BERSERKER_90_CHAR	$MCG
$LINE_MEET_BERSERKER_90_TEXT	Теперь охранники освободят нас, верно?
$LINE_MEET_BERSERKER_100_CHAR	$BER
