flag	value
$ACHV_AZRA_LVL_10_TITLE	图书馆科学导论
$ACHV_AZRA_LVL_10_DESC	将你的图书管理员升级到10级
$ACHV_AZRA_LVL_25_TITLE	中级图书馆学
$ACHV_AZRA_LVL_25_DESC	将你的图书管理员升级到25级
$ACHV_HAVE_ALL_CLASSES_TITLE	私人军队
$ACHV_HAVE_ALL_CLASSES_DESC	解锁6种职业（不包括图书管理员）
$ACHV_BEAT_ANY_EXTREME_TITLE	获得一颗金星！
$ACHV_BEAT_ANY_EXTREME_DESC	在终极难度下通过任意一关。
$ACHV_HAVE_SKILL_LVL_20_TITLE	疯狂技能
$ACHV_HAVE_SKILL_LVL_20_DESC	解锁一个20级的技能
$ACHV_BOOST_TECH_5_TITLE	我得到了力量！
$ACHV_BOOST_TECH_5_DESC	在战斗中，将一个角色强化到最高强化等级。
$ACHV_AZRA_LVL_40_TITLE	高级图书管理学
$ACHV_AZRA_LVL_40_DESC	将你的图书管理员升级到40级
$ACHV_AZRA_LVL_60_TITLE	精英图书管理学
$ACHV_AZRA_LVL_60_DESC	将你的图书管理员升级到60级
$ACHV_HAVE_ALL_WEAPONS_UNIQUE_TITLE	瑞士军刀
$ACHV_HAVE_ALL_WEAPONS_UNIQUE_DESC	在标准游戏获得所有独特武器
$ACHV_HAVE_ALL_ARMOR_UNIQUE_TITLE	瑞士军胸甲
$ACHV_HAVE_ALL_ARMOR_UNIQUE_DESC	在标准游戏获得所有独特护甲
$ACHV_HAVE_ALL_BOOKS_NORMAL_TITLE	书呆子
$ACHV_HAVE_ALL_BOOKS_NORMAL_DESC	在标准游戏的额外挑战中获得所有书籍
$ACHV_ENDLESS_100_NORMAL_TITLE	忍耐
$ACHV_ENDLESS_100_NORMAL_DESC	在标准游戏的无尽挑战2中，击败100波敌人
$ACHV_BEAT_GAME_NORMAL_TITLE	大赢家！
$ACHV_BEAT_GAME_NORMAL_DESC	通关标准游戏
$ACHV_BEAT_ALL_SIDEQUESTS_TITLE	了无牵挂
$ACHV_BEAT_ALL_SIDEQUESTS_DESC	在新游戏+中完成所有支线任务
$ACHV_HAVE_201_STARS_BLUE_TITLE	尽善尽美
$ACHV_HAVE_201_STARS_BLUE_DESC	获得201颗蓝星星
$ACHV_UPGRADE_ALL_WEAPONS_UNIQUE_TITLE	大杀器
$ACHV_UPGRADE_ALL_WEAPONS_UNIQUE_DESC	在新游戏+ 中升级所有特殊武器
$ACHV_UPGRADE_ALL_ARMOR_UNIQUE_TITLE	大铠甲
$ACHV_UPGRADE_ALL_ARMOR_UNIQUE_DESC	在新游戏+ 中升级所有特殊护甲
$ACHV_HAVE_ALL_BOOKS_PLUS_TITLE	超级书呆子
$ACHV_HAVE_ALL_BOOKS_PLUS_DESC	在新游戏+ 的额外挑战中获得所有书籍
$ACHV_ENDLESS_100_PLUS_TITLE	马拉松
$ACHV_ENDLESS_100_PLUS_DESC	在新游戏+ 无尽挑战 2中，击败100波敌人
$ACHV_BEAT_GAME_PLUS_TITLE	超级大赢家！
$ACHV_BEAT_GAME_PLUS_DESC	通关新游戏+
$ACHV_BEAT_SUPER_SHEEP_NORMAL_TITLE	屠羊狂魔
$ACHV_BEAT_SUPER_SHEEP_NORMAL_DESC	在标准游戏击败超级绵羊
$ACHV_HERO_MODE_TITLE	英雄模式
$ACHV_HERO_MODE_DESC	在不招募任何人物的情况下通关标准游戏
$ACHV_HERO_MODE_PLUS_TITLE	英雄模式+
$ACHV_HERO_MODE_PLUS_DESC	在不招募任何人的情况下通关新游戏+
$ACHV_HAVE_201_STARS_GOLD_TITLE	三百六十度尽善尽美
$ACHV_HAVE_201_STARS_GOLD_DESC	取得201颗金星星
$ACHV_BEAT_SUPER_SHEEP_PLUS_TITLE	超级屠羊狂魔
$ACHV_BEAT_SUPER_SHEEP_PLUS_DESC	在新游戏+击败超级绵羊
$ACHV_HERO_MODE_PLUS_PLUS_TITLE	英雄模式++
$ACHV_HERO_MODE_PLUS_PLUS_DESC	在不招募任何人的情况下取得180颗金星星
$ACHV_USE_TARGETS_TITLE	精确瞄准
$ACHV_USE_TARGETS_DESC	使用高级瞄准选项
$ACHV_MENU_ACCESS_TITLE	无孔不入
$ACHV_MENU_ACCESS_DESC	进入技能菜单<N>（选项->技能菜单）
$ACHV_MENU_CONTROLS_TITLE	休想控制我！
$ACHV_MENU_CONTROLS_DESC	进入控制菜单<N>（选项->控制）
$ACHV_MENU_TIPS_TITLE	努力学习
$ACHV_MENU_TIPS_DESC	进入提示菜单<N>（世界->提示）
$ACHV_MENU_NULL	Null
