flag	name
$BONUS_1_TITLE	挑战1
$BONUS_2_TITLE	挑战2
$BONUS_3_TITLE	挑战3
$BONUS_4_TITLE	无尽1
$BONUS_5_TITLE	挑战4
$BONUS_6_TITLE	挑战4
$BONUS_7_TITLE	无尽2
$BONUS_1_DESC	那些偷偷摸摸，会游泳的怪物。
$BONUS_2_DESC	没有射手或巨龙<C>，只有6个守护者点数。该怎么办？
$BONUS_3_DESC	多线战斗。
$BONUS_4_DESC	面对无穷无尽的敌人的挑战吧！
$BONUS_5_DESC	游向上游。
$BONUS_6_DESC	中间大量怪物，两翼也有威胁。
$BONUS_7_DESC	又一个无尽的挑战<C>但这次，它们不会攻击你——你需要多少攻击输出呢？
$BONUS_RECORD_WAVE	（记录: <WAVE_NUM>波）
$BONUS_REWARDS	奖励
$BONUS_HIGH_SCORE	最高分
$BONUS_REACH_WAVE	到达第<WAVE_NUM>波
$BONUS_BEAT_WAVE	击败<WAVE_NUM>波
