flag	name
$CLASS_MCGUFFIN	图书管理员
$CLASS_MCGUFFIN_PL	图书管理员
$CLASS_KNIGHT	骑士
$CLASS_KNIGHT_PL	其实
$CLASS_RANGER	游侠
$CLASS_RANGER_PL	游侠
$CLASS_BERSERKER	狂战士
$CLASS_BERSERKER_PL	狂战士
$CLASS_HEALER	医师
$CLASS_HEALER_PL	医师
$CLASS_MAGE	冰霜法师
$CLASS_MAGE_PL	冰霜法师
$CLASS_DRAGON	巨龙
$CLASS_DRAGON_PL	巨龙
$CLASS_SORCEROR	巫师
$CLASS_SORCEROR_PL	巫师
$CLASS_ANTIMCGUFFIN	女巫
$CLASS_ANTIMCGUFFIN_PL	女巫
$SKILL_MCGUFFIN_A_LIGHTNING	闪电
$SKILL_MCGUFFIN_A_FRENZY	狂暴
$SKILL_MCGUFFIN_A_HEALING	治疗
$SKILL_MCGUFFIN_A_CRYSTAL	水晶
$SKILL_MCGUFFIN_A_PUSHBACK	击退
$SKILL_MCGUFFIN_A_DRAGON_FIRE	龙息
$SKILL_MCGUFFIN_A_DRAGONFIRE	<RE>$SKILL_MCGUFFIN_A_DRAGON_FIRE
$SPELL_ENEMY_ZAP	<RE>$SKILL_MCGUFFIN_A_LIGHTNING
$SPELL_ENEMY_FRENZY	<RE>$SKILL_MCGUFFIN_A_FRENZY
$SPELL_ENEMY_HEAL	<RE>$SKILL_MCGUFFIN_A_HEALING
$SPELL_ENEMY_FIRE	<RE>$SKILL_MCGUFFIN_A_DRAGON_FIRE
$SKILL_MCGUFFIN_A_LIGHTNING_DESC	对单个敌人造成 $X 点伤害。但是会燃烧能源，降低敌人的能源奖励。
$SKILL_MCGUFFIN_A_FRENZY_DESC	所有守护者的攻击速度提高 $X%，持续 $Y 秒。
$SKILL_MCGUFFIN_A_HEALING_DESC	为所有守护者恢复 $X 点生命值。
$SKILL_MCGUFFIN_A_CRYSTAL_DESC	放置水晶，对 $Y 方格范围内的所有敌人造成$X点伤害。在 $Z 秒后，或被闪电击中后爆炸。
$SKILL_MCGUFFIN_A_PUSHBACK_DESC	击退敌人，使之往入口方向后退 $X 方格。
$SKILL_MCGUFFIN_A_DRAGON_FIRE_DESC	对屏幕上的所有敌人造成 $X 伤害，并使之燃烧，持续 $Y 秒。
$SKILL_MCGUFFIN_fake_attackEXPLOSION	爆炸
$SKILL_ANTIMCGUFFIN_A_LIGHTNING	闪电
$SKILL_ANTIMCGUFFIN_A_HEALING	治疗
$SKILL_ANTIMCGUFFIN_A_FRENZY	狂暴
$SKILL_ANTIMCGUFFIN_A_CRYSTAL	水晶
$SKILL_ANTIMCGUFFIN_A_PUSHBACK	击退
$SKILL_ANTIMCGUFFIN_A_DRAGON_FIRE	龙息
$SKILL_ANTIMCGUFFIN_A_LIGHTNING_DESC	对单个敌人造成 $X 点伤害。但是会燃烧能源，降低敌人的能源奖励。
$SKILL_ANTIMCGUFFIN_A_FRENZY_DESC	所有守护者的攻击速度提高 $X%，持续 $Y 秒。
$SKILL_ANTIMCGUFFIN_A_HEALING_DESC	为所有守护者恢复 $X 点生命值。
$SKILL_ANTIMCGUFFIN_A_CRYSTAL_DESC	放置水晶，对 $Y 方格范围内的所有敌人造成$X点伤害。在 $Z 秒后，或被闪电击中后爆炸。
$SKILL_ANTIMCGUFFIN_A_PUSHBACK_DESC	击退敌人，使之往入口方向后退 $X 方格。
$SKILL_ANTIMCGUFFIN_A_DRAGON_FIRE_DESC	对屏幕上的所有敌人造成 $X 伤害，并使之燃烧，持续 $Y 秒。
$SKILL_SORCEROR_A_LIGHTNING-Z	闪电
$SKILL_SORCEROR_A_HEALING-Z	治疗
$SKILL_SORCEROR_A_FRENZY-Z	狂暴
$SKILL_SORCEROR_A_PUSHBACK-Z	击退
$SKILL_SORCEROR_A_DRAGON_FIRE-Z	龙息
$SKILL_SORCEROR_A_LIGHTNING_DESC	对单个敌人造成 $X 点伤害。但是会燃烧能源，降低敌人的能源奖励。
$SKILL_SORCEROR_A_FRENZY-Z_DESC	所有守护者的攻击速度提高 $X%，持续 $Y 秒。
$SKILL_SORCEROR_A_HEALING-Z_DESC	为所有守护者恢复 $X 点生命值。
$SKILL_SORCEROR_A_PUSHBACK-Z_DESC	击退敌人，使之往入口方向后退 $X 方格。
$SKILL_SORCEROR_A_DRAGON_FIRE-Z_DESC	对屏幕上的所有敌人造成 $X 伤害，并使之燃烧，持续 $Y 秒。
$SKILL_KNIGHT_A_SWING	挥舞
$SKILL_KNIGHT_P_ARMOR_PIERCE	护甲穿透
$SKILL_KNIGHT_A_SMASH	粉碎
$SKILL_KNIGHT_P_ARMOR_BREAK	破甲
$SKILL_KNIGHT_P_ARMOR_TRAINING	护甲训练
$SKILL_KNIGHT_P_HARD_KNOCK	重击
$SKILL_KNIGHT_A_COUNTER	反击
$SKILL_KNIGHT_A_LUNGE	刺击
$SKILL_KNIGHT_P_STUN_STAB	眩晕之刺
$SKILL_KNIGHT_P_SWORD_TRAINING	剑术训练
$SKILL_KNIGHT_A_CLEAVE	顺劈
$SKILL_BERSERKER_A_SLASH	挥砍
$SKILL_BERSERKER_A_DOUBLE_HIT	二连击
$SKILL_BERSERKER_P_SWIFTNESS	迅捷
$SKILL_BERSERKER_A_FLURRY	飓风
$SKILL_BERSERKER_P_RESILIENCE	快速回复
$SKILL_BERSERKER_A_SWIPE	猛击
$SKILL_BERSERKER_P_RAGE	狂怒
$SKILL_BERSERKER_P_REFLEXES	反射
$SKILL_BERSERKER_P_MADNESS	疯狂
$SKILL_BERSERKER_A_WHIRLWIND	旋风
$SKILL_HEALER_A_AID	救援
$SKILL_HEALER_A_ETHER_FLASH	以太之光
$SKILL_HEALER_P_BULK_UP	巨大化
$SKILL_HEALER_P_BLINDING	致盲
$SKILL_HEALER_A_GROUP_HEAL	群体治疗
$SKILL_HEALER_A_HOLY_LIGHT	神圣之光
$SKILL_HEALER_A_ZEAL	狂热
$SKILL_HEALER_P_INSPIRE	激励
$SKILL_MAGE_A_ICE_BALL	冰球
$SKILL_MAGE_P_CHILL	寒冷
$SKILL_MAGE_A_ICE_SHARD	冰刺
$SKILL_MAGE_P_FREEZE	冰冻
$SKILL_MAGE_A_SLEET	冰雹
$SKILL_MAGE_P_ICE_SPEAR	冰枪
$SKILL_MAGE_A_ICE_SPLASH	冰霜溅射
$SKILL_MAGE_A_BLIZZARD	暴风雪
$SKILL_DRAGON_A_BITE	撕咬
$SKILL_DRAGON_A_CLAW	爪击
