flag	nick_name	flavor_name	flavor_text
$EN_SLUGWORM	快	虫	"敏捷的亡者小怪|这些像虫一般的生物有好几排利齿,敏捷。<N><N>目击者说它们是自腐烂了好几星期，发胀了的亡者之中，爆出来的怪物。"
$EN_NORMAL	正常	亡者	"可以重新活动的尸体|在坑中，很多尸体会在下葬几天后能动起来。<N><N>这些怪物被称为 <LQ>亡者,<RQ> 意思是, <LQ>从那边回来的<RQ>"
$EN_CULTIST_SECT			<LQ>狂血崇拜<RQ> 来自一个有血祭仪式的游牧民族。
$EN_CULTIST_ACCOUNT			相传这是来自革卡族大屠杀的幸存者，很多人见过这些邪教徒可以随意变微亡者。
$EN_CULTIST_BASIC			"<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>很少人知道他们的信仰崇拜的对象， <LQ>艾斯理-特诺奇,<RQ>与他们一直狩猎新鲜的受害者的习惯<N><N><RE>[$EN_CULTIST_ACCOUNT_FLAVOR_TEXT]"
$EN_CULTIST	邪教徒	邪教徒	变形的邪教徒|<RE>[$EN_CULTIST_BASIC_FLAVOR_TEXT]
$EN_ARMORED CULTIST	邪教祭师	邪教祭师	异教祭师|<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>残酷的宗教仪式就是有异教祭师来举行，他们也经常展现出大型的自残行为。<N><N><RE>[$EN_CULTIST_ACCOUNT_FLAVOR_TEXT]
$EN_INSANE CULTIST	发疯的邪教徒	高级祭师	邪教高级祭师|<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>据奎德历史记录，这个宗教是一个母系结构的组织 ，<LQ>众魔之后<RQ> 。近几个世纪，这种中央集权的结构几乎消失，由寥寥数人的高级祭师逐渐控制了整个组织。
$EN_NORMAL_W	<RE>$EN_NORMAL_NICK_NAME	水中恶魔	游泳的亡者|这些亡者浑身都是粘液，让他们可以在水中移动。<N><N>让他们浮起来的是腹中的有毒气体。
$EN_ARMORED	武装	堕落骑士	武装起来的亡者|这些亡者都是在战场上牺牲的骑士。<N><N>虽然他们的理智和能力没有保留下来，但最少还有自己的盔甲。
$EN_SPEEDY	快	虫	"敏捷的亡者小怪|这些像虫一般的生物有好几排利齿,敏捷。<N><N>目击者说它们是自腐烂了好几星期，发胀了的亡者之中，爆出来的怪物。"
$EN_SPEEDY_W	<RE>$EN_SPEEDY_NICK_NAME	蛇	敏捷的游泳小怪| 这些游泳的虫子，来自于浮在水中的亡者。<N><N>也有人说_们是依赖鱼和河蛇的尸体生长。
$EN_ARMORED SPEEDY	<RE>$EN_SPEEDY_NICK_NAME	铁甲虫	敏捷的小怪|这些虫子亡者有一层厚厚的壳。<N><N>很多人认为这种硬壳来自尸体的骨头，经消化后而成。
$EN_ARMORED_SPEEDY_W	<RE>$EN_SPEEDY_NICK_NAME	铁甲蛇	敏捷的游泳武装小怪| 这些游泳的虫子亡者获得了厚厚的硬壳和游泳对能力。<N><N>腐烂骨头的恶臭与其他中人欲呕的臭味实在威力十足！
$EN_ATTACKER	战士	疯狂食尸鬼	好战的亡者|有些亡者就是比其他的更好勇斗狠。<N><N>普通的亡者会盲目地跟踪一个受害者，这些则会袭击进入眼中的所有事物。
$EN_DARK ATTACKER	暗影拳击手	暗黑食尸鬼	暗黑好战的亡者|亡者腹中的腐败气体，透过毛孔渗透出来，这层厚厚的毒气把怪物围绕起来，使受害者看不见它们。
$EN_ATTACKER_W	<RE>$EN_ATTACKER_NICK_NAME	河流食尸鬼	游泳的好战亡者|在坑的周围，不乏发臭尸体袭击打水村民的故事。<N><N>没有人够胆独自去打水，只要疯子才会去游泳。
