flag	name	description
$ITEM_SWORD	<RE>$ITM_W_SWORD	
$ITEM_BOW	<RE>$ITM_W_BOW	
$ITEM_STAFF	<RE>$ITM_W_STAFF	
$ITEM_LIGHT	<RE>$ITM_A_LIGHT	
$ITEM_HEAVY	<RE>$ITM_A_HEAVY	
$ITEM_BOOK	<RE>$ITM_ACC_BOOK	
$ITEM_WEAPON	武器	
$ITEM_ARMOR	护甲	
$ITM_ACC_BOOK	书籍	<NULL>
$ITM_ACC_BOOK_PLURAL	书籍	<NULL>
$ITM_ACC_BOOK_PLURAL_SHORT	书籍	<NULL>
$ITM_A_LIGHT	轻型护甲	<NULL>
$ITM_A_LIGHT_PLURAL	轻型护甲	<NULL>
$ITM_A_HEAVY	重型护甲	<NULL>
$ITM_A_HEAVY_PLURAL	重型护甲	<NULL>
$ITM_W_SWORD	剑	<NULL>
$ITM_W_SWORD_PLURAL	剑	<NULL>
$ITM_W_BOW	弓	<NULL>
$ITM_W_BOW_PLURAL	弓	<NULL>
$ITM_W_STAFF	法杖	<NULL>
$ITM_W_STAFF_PLURAL	法杖	<NULL>
$ITM_A_LIGHT_PLURAL_SHORT	轻型	<NULL>
$ITM_A_HEAVY_PLURAL_SHORT	重型	<NULL>
$ITM_W_SWORD_PLURAL_SHORT	剑	<NULL>
$ITM_W_STAFF_PLURAL_SHORT	法杖	<NULL>
$ITM_W_BOW_PLURAL_SHORT	弓	<NULL>
$ITM_A_LIGHT_1	粗布衣	衣服下是粗麻，让人发痒，但总比一丝不挂要强。
$ITM_A_LIGHT_2	兽皮外套	用死亡动物的皮粗制而成的保护性衣物，又厚又扎实。
$ITM_A_LIGHT_3	酋长长袍	这件色彩绚丽的牧民外衣，是用沉沉的羊毛所编成，上面还装饰着华美的刺绣。衣服下摆描绘着世界之树缠绵不断的根系。
$ITM_A_LIGHT_4	厚羊毛外衣	这件外衣又长又厚，是用珍贵的牧民牲畜的羊毛所编制而成。
$ITM_A_LIGHT_5	虎皮背心	这件异域风格的特制皮衣上腰带上绣着奎德的火焰图案，这是探究它的来源的唯一线索。
$ITM_A_LIGHT_6	毛皮大衣	用珍贵的动物皮料制成的温暖舒适的皮衣。
$ITM_A_LIGHT_7	欧兹默的外套	带着一股淡淡的芝士味。
$ITM_A_LIGHT_8	皮衣	将皮革仔细地加工后，缝制成的一件时髦漂亮的上衣。
$ITM_A_LIGHT_9	武僧服	一件重型的僧侣外套，上面装饰着刹灵尼的尚武之屋第九分支的标记，他们是真理和秩序的守护者。
$ITM_A_LIGHT_10	羊毛软铠甲	把多层上好的羊毛，精心绗缝在一起，再用废旧的布料和动物的毛加以填充而制成。它耐用坚固，可以抵御除毁灭性打击之外的绝大部分攻击。
$ITM_A_LIGHT_11	刺客的徒劳	咋看之下，它看上去只不过是一件装饰华丽的贵族外套。但仔细检查就会发现，有一排排的轻金属板缝在衣服的内侧.。腰背部有一道裂痕，说明这样精巧的设计至少挫败了一位刺客的计划。
$ITM_A_LIGHT_12	丝绸软铠甲	这件铠甲用层层的耐用丝绸缝合，再用马毛进行衬垫，能够使穿戴者有效的抵御来自弓箭的伤害。
$ITM_A_LIGHT_13	弓箭大师	这件死灰软铠甲是用最好的丝绸制成，上面错综复杂的刺绣工艺，彰显了穿戴者是“弓箭大师之王”。而铠甲上数十处小修小补的痕迹，显示这件非凡的铠甲经过了无数场战争，它很可能是一件代代相传之物。
$ITM_A_LIGHT_14	铂金羊毛	它是从阿西玛·瓦塔·穆塔拿斯尔本人尸体上剥下来的，比一件金制成的衣服更珍贵，炫目闪耀的毛色显出它是多么无可匹敌。
$ITM_A_LIGHT_15	<RE>[$ITM_A_LIGHT_3_NAME]+	<RE>[$ITM_A_LIGHT_3_DESCRIPTION]
$ITM_A_LIGHT_16	<RE>[$ITM_A_LIGHT_5_NAME]+	<RE>[$ITM_A_LIGHT_5_DESCRIPTION]
$ITM_A_LIGHT_17	<RE>[$ITM_A_LIGHT_7_NAME]+	<RE>[$ITM_A_LIGHT_7_DESCRIPTION]
$ITM_A_LIGHT_18	<RE>[$ITM_A_LIGHT_9_NAME]+	<RE>[$ITM_A_LIGHT_9_DESCRIPTION]
$ITM_A_LIGHT_19	<RE>[$ITM_A_LIGHT_11_NAME]+	<RE>[$ITM_A_LIGHT_11_DESCRIPTION]
$ITM_A_LIGHT_20	<RE>[$ITM_A_LIGHT_13_NAME]+	<RE>[$ITM_A_LIGHT_13_DESCRIPTION]
$ITM_A_LIGHT_21	<RE>[$ITM_A_LIGHT_14_NAME]+	<RE>[$ITM_A_LIGHT_14_DESCRIPTION]
$ITM_A_LIGHT_22	<RE>[$ITM_A_LIGHT_1_NAME]+	<RE>[$ITM_A_LIGHT_1_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_23	<RE>[$ITM_A_LIGHT_2_NAME]+	<RE>[$ITM_A_LIGHT_2_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_24	<RE>[$ITM_A_LIGHT_4_NAME]+	<RE>[$ITM_A_LIGHT_4_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_25	<RE>[$ITM_A_LIGHT_6_NAME]+	<RE>[$ITM_A_LIGHT_6_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_26	<RE>[$ITM_A_LIGHT_8_NAME]+	<RE>[$ITM_A_LIGHT_8_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_27	<RE>[$ITM_A_LIGHT_10_NAME]+	<RE>[$ITM_A_LIGHT_10_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_28	<RE>[$ITM_A_LIGHT_12_NAME]+	<RE>[$ITM_A_LIGHT_12_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_HEAVY_1	锁链夹克	这件轻型软铠甲的手臂处，连着几块粗糙的锻造金属，以增加防御。
$ITM_A_HEAVY_2	锁甲上衣	这件上衣上有数百个金属环，彼此环环相扣，防止破裂。
$ITM_A_HEAVY_3	战争荣耀	这件精致的奎德护甲款式华丽，每个环扣都染成了蓝色，而在护甲边缘处，还镀上了金色的边。加强板上修饰着镀金图案和突出的皇家图案。金属表面用奎德语刻着几个字<LQ>现在才想这些事太迟了<RQ>。还有几个字刻在板甲的角落，但似乎由于写得太过匆忙，字迹已经难以辨认。
$ITM_A_HEAVY_4	混合锁甲	这件锁甲为了加强保护，特意用金属板和环圈相连。它是奎德步兵战斗时的基本配备。
$ITM_A_HEAVY_5	骑士的片甲	这件老式的薄片甲胄，特色是能扩展的护肩，和及膝的腿甲，这些特点正表明这是专门为重型骑兵而设的护甲。镀金的前臂铠甲和丝制的软铠揭示了它曾经的拥有者是一个财富千万，品味高雅的战士。几块甲板上刻着一些不知名的外国文字。而这些甲板正位于穿戴者的心脏位置，说明那些文字可能是某种保护性的符文，但这仅仅是猜测。
$ITM_A_HEAVY_6	片甲	这件丝罗缎是用无数的小金属片编织而成的。
$ITM_A_HEAVY_7	叛徒的甲胄	这件板甲制成的死灰甲胄上的镀金装饰，显示它很可能属于一个高级官员。帆布的表面经过了修补，但上面的死灰语<LQ>叛徒<RQ>仍然清晰可见。在红染料上，可以看到大片的血迹，但装甲上没有任何可见的伤痕。
$ITM_A_HEAVY_8	板甲衣	这幅甲胄，是由几块重型金属片铆接起来，并用耐用的帆布外衣包裹加以包裹，它能提供极好的防御。
$ITM_A_HEAVY_9	奥克兰之力	这件绿色的天鹅绒锁子铠，特色是巨大闪亮的肩甲，专为奎德的重型步兵而设。镀金冠画了一个场面：奎德的英雄，奥克兰用手碾压巨熊的脑袋。而他的儿子则在下面喝从熊嘴流出的鲜血。这是他们的家族竞赛，失败的者要接受被流放的命运。
$ITM_A_HEAVY_10	镶甲	在帆布和丝绒底下，是数百块用柳钉连成的金属片，为这件盔甲提供了合适的保护。
$ITM_A_HEAVY_11	典狱长的甲胄	这件优秀的甲胄上的标记，显示它正是典狱长的盔甲，此人是受死灰官方派遣看守墓坑。没有人知道他是如迷失在自己的牢房里的，但肩膀上的血迹显示，故事的结局应该以悲剧告终。
$ITM_A_HEAVY_12	金属板甲	复杂而锋利的铁片铰接在皮革上，为装备者提供灵活活动的前提下，给与其最大的防御。这是死灰骑士喜欢的装备。
$ITM_A_HEAVY_13	纯洁烈焰	这件光亮华丽的铠甲反射出地狱般的光芒。上面那模糊的刻文，似乎是用奎德语写成的，但那些语言很古老，除了<LQ>消耗了<RQ>这几个字，其他都难以辨认。这件护胸甲似乎已经被翻新了无数次，剩余部分都显得更现代。神秘的象形文字显示这件盔甲可能是用作帝国火焰仪式之用。
