flag	content
$SCENE_OPENING_TITLE	开幕
$NARR_OPENING_00_TEXT	*我的名字是$MCG
$NARR_OPENING_10_TEXT	我快死了
$NARR_OPENING_20_TEXT	他们不会等待
$NARR_OPENING_30_TEXT	甚至没有时间焚烧尸体
$NARR_OPENING_40_TEXT	只是把尸体弄出城外
$NARR_OPENING_50_TEXT	……然后扔进墓坑
$SCENE_WHERE_AM_I_TITLE	中途世界
$NARR_WHERE_AM_I_00_TEXT	第一幕
$NARR_WHERE_AM_I_00_SUB_TEXT	*一脚踏于此岸，一脚踏于彼岸，灵魂位于中间，$N垂死之人可见万物。
$NARR_WHERE_AM_I_00_SUB_SUB_TEXT	*$N$N$N ——诺曼谚语
$LINE_WHERE_AM_I_00_CHAR	瘟疫受害者
$LINE_WHERE_AM_I_00_TEXT	你能感受到他吗？
$LINE_WHERE_AM_I_10_CHAR	$MCG
$LINE_WHERE_AM_I_10_TEXT	什么？我们在哪儿？
$LINE_WHERE_AM_I_20_CHAR	瘟疫受害者
$LINE_WHERE_AM_I_20_TEXT	他在呼唤我们……
$LINE_WHERE_AM_I_30_CHAR	瘟疫受害者
$LINE_WHERE_AM_I_30_TEXT	来，我们必须加入他……
$LINE_WHERE_AM_I_40_CHAR	瘟疫受害者
$LINE_WHERE_AM_I_40_TEXT	我们已经在半路了……
$LINE_WHERE_AM_I_50_CHAR	$MCG
$LINE_WHERE_AM_I_50_TEXT	你在做什么？你疯了吗？
$LINE_WHERE_AM_I_60_CHAR	瘟疫受害者
$LINE_WHERE_AM_I_60_TEXT	听……
$LINE_WHERE_AM_I_70_CHAR	瘟疫受害者
$LINE_WHERE_AM_I_70_TEXT	他出价那么高……让我们参与……一件重大的事情。
$LINE_WHERE_AM_I_80_CHAR	瘟疫受害者
$LINE_WHERE_AM_I_80_TEXT	只有傻瓜才会拒绝。
$LINE_WHERE_AM_I_90_CHAR	$MCG
$LINE_WHERE_AM_I_90_TEXT	离我远点！
$LINE_WHERE_AM_I_100_CHAR	声音
$LINE_WHERE_AM_I_100_TEXT	所有人都会加入。所有人都会变成容器。
$LINE_WHERE_AM_I_110_CHAR	$MCG
$LINE_WHERE_AM_I_110_TEXT	放我出去！
$LINE_WHERE_AM_I_120_CHAR	声音
$LINE_WHERE_AM_I_120_TEXT	这是命令。
$LINE_WHERE_AM_I_130_CHAR	$MCG
$LINE_WHERE_AM_I_130_TEXT	不能……动了……
$LINE_WHERE_AM_I_140_CHAR	$MCG
$LINE_WHERE_AM_I_140_TEXT	救救我……有人吗……
$LINE_WHERE_AM_I_150_CHAR	$BER
$LINE_WHERE_AM_I_150_TEXT	什么？！那个发狂的——在哪里？！
$SCENE_MEET_BERSERKER_TITLE	奇怪的新朋友
$LINE_MEET_BERSERKER_00_CHAR	$MCG
$LINE_MEET_BERSERKER_00_TEXT	哇哦。
$LINE_MEET_BERSERKER_10_CHAR	$MCG
$LINE_MEET_BERSERKER_10_TEXT	发生了什么？
$LINE_MEET_BERSERKER_20_CHAR	$BER
$LINE_MEET_BERSERKER_20_TEXT	我不知道。五分钟前你是一具尸体，而我只是想扒几双新鞋。
$LINE_MEET_BERSERKER_30_CHAR	$BER
$LINE_MEET_BERSERKER_30_TEXT	好消息！你活了，而且好像也没有再感染瘟疫了。
$LINE_MEET_BERSERKER_40_CHAR	$MCG
$LINE_MEET_BERSERKER_40_TEXT	哪里——？
$LINE_MEET_BERSERKER_50_CHAR	$BER
$LINE_MEET_BERSERKER_50_TEXT	坏消息是，这意味着我得不到新鞋了。
$LINE_MEET_BERSERKER_60_CHAR	$BER
$LINE_MEET_BERSERKER_60_TEXT	还有，你现在和我们一样，被困在这个瘟疫群落里了。
$LINE_MEET_BERSERKER_70_CHAR	$MCG
$LINE_MEET_BERSERKER_70_TEXT	墓坑……
$LINE_MEET_BERSERKER_80_CHAR	$BER
$LINE_MEET_BERSERKER_80_TEXT	开心点！你活过来了，所以你现在对瘟疫已经免疫了。
$LINE_MEET_BERSERKER_90_CHAR	$MCG
$LINE_MEET_BERSERKER_90_TEXT	既然这样，守卫会让我们出去，对吗？
$LINE_MEET_BERSERKER_100_CHAR	$BER
$LINE_MEET_BERSERKER_100_TEXT	你可以去试着跟他们解释一下，但是他们貌似不太擅长倾听。
$LINE_MEET_BERSERKER_110_CHAR	$BER
$LINE_MEET_BERSERKER_110_TEXT	*他们似乎分不清“洗耳恭听”，$N和“把你射成筛子”的区别。
$LINE_MEET_BERSERKER_120_CHAR	$BER
$LINE_MEET_BERSERKER_120_TEXT	真的。我不知道艾殊王国是怎么进行礼仪培训的。
$LINE_MEET_BERSERKER_130_CHAR	$MCG
$LINE_MEET_BERSERKER_130_TEXT	……
$LINE_MEET_BERSERKER_140_CHAR	$MCG
$LINE_MEET_BERSERKER_140_TEXT	我还是没有搞懂……那里……发生了什么……
$LINE_MEET_BERSERKER_150_CHAR	$BER
$LINE_MEET_BERSERKER_150_TEXT	别担心了。我一开始得瘟疫的时候也有过一样的幻觉。
$LINE_MEET_BERSERKER_160_CHAR	$MCG
$LINE_MEET_BERSERKER_160_TEXT	等一下——你当时和我在一起的！那怎么会是幻觉、
$LINE_MEET_BERSERKER_170_CHAR	$BER
$LINE_MEET_BERSERKER_170_TEXT	噢，那是什么？商队！
$LINE_MEET_BERSERKER_180_CHAR	$MCG
$LINE_MEET_BERSERKER_180_TEXT	等一下！
$LINE_MEET_BERSERKER_190_CHAR	$MCG
$LINE_MEET_BERSERKER_190_TEXT	至少告诉我你的名字！
$SCENE_SECOND_BATTLE_TITLE	死亡商队
$LINE_SECOND_BATTLE_00_CHAR	$BER
$LINE_SECOND_BATTLE_00_TEXT	嘿，商队的伙计们！谁有鞋子吗？
$LINE_SECOND_BATTLE_10_CHAR	被感染的商队守卫
$LINE_SECOND_BATTLE_10_TEXT	请……进贡……为了奥斯蒙……
$LINE_SECOND_BATTLE_20_CHAR	$BER
$LINE_SECOND_BATTLE_20_TEXT	噢哦。
$LINE_SECOND_BATTLE_30_CHAR	$MCG
$LINE_SECOND_BATTLE_30_TEXT	这些人是谁？
$LINE_SECOND_BATTLE_40_CHAR	$BER
$LINE_SECOND_BATTLE_40_TEXT	我们必须离开这里，马上。
$LINE_SECOND_BATTLE_50_CHAR	$MCG
$LINE_SECOND_BATTLE_50_TEXT	但是他们需要帮助！
$LINE_SECOND_BATTLE_60_CHAR	$BER
$LINE_SECOND_BATTLE_60_TEXT	啊哈哈，不。
$LINE_SECOND_BATTLE_70_CHAR	$MCG
$LINE_SECOND_BATTLE_70_TEXT	我们不能就这样丢下他们！
$LINE_SECOND_BATTLE_80_CHAR	$BER
$LINE_SECOND_BATTLE_80_TEXT	他们中了瘟疫了。
$LINE_SECOND_BATTLE_90_CHAR	$MCG
$LINE_SECOND_BATTLE_90_TEXT	但是我们都免疫了，对吗？
$LINE_SECOND_BATTLE_100_CHAR	$BER
$LINE_SECOND_BATTLE_100_TEXT	但是对于他们转过身来吃掉我们的脸这件事，我们是无法免疫的。
$LINE_SECOND_BATTLE_110_CHAR	$MCG
$LINE_SECOND_BATTLE_110_TEXT	转过身？
$LINE_SECOND_BATTLE_120_CHAR	得疫病的商队守卫
$LINE_SECOND_BATTLE_120_TEXT	噢！啊啊啊啊啊啊啊啊啊啊！
$LINE_SECOND_BATTLE_130_CHAR	$BER
$LINE_SECOND_BATTLE_130_TEXT	就像那样。
$LINE_SECOND_BATTLE_140_CHAR	$BER
$LINE_SECOND_BATTLE_140_TEXT	好吧，很高兴见到你。
$LINE_SECOND_BATTLE_150_CHAR	$MCG
$LINE_SECOND_BATTLE_150_TEXT	等等！
$LINE_SECOND_BATTLE_160_CHAR	$BER
$LINE_SECOND_BATTLE_160_TEXT	……
$LINE_SECOND_BATTLE_170_CHAR	$BER
$LINE_SECOND_BATTLE_170_TEXT	你还好吗？
$SCENE_TALK_BERSERKER_TITLE	仓库突袭
$LINE_TALK_BERSERKER_00_CHAR	$MCG
$LINE_TALK_BERSERKER_00_TEXT	那些人……他们都变成怪物了！
$LINE_TALK_BERSERKER_10_CHAR	$BER
$LINE_TALK_BERSERKER_10_TEXT	你一定是新来的。
$LINE_TALK_BERSERKER_20_CHAR	$BER
$LINE_TALK_BERSERKER_20_TEXT	不能在瘟疫中存活的人就会是那个下场。
$LINE_TALK_BERSERKER_30_CHAR	$MCG
$LINE_TALK_BERSERKER_30_TEXT	我们之前到过同样的地方……半路之地……
$LINE_TALK_BERSERKER_40_CHAR	$MCG
$LINE_TALK_BERSERKER_40_TEXT	这个地方太恐怖了！我……我必须得离开这里！
$LINE_TALK_BERSERKER_50_CHAR	$BER
$LINE_TALK_BERSERKER_50_TEXT	算了吧，人们已经尝试从墓坑逃跑有十年了。
$LINE_TALK_BERSERKER_60_CHAR	$MCG
$LINE_TALK_BERSERKER_60_TEXT	这已经有十年了？！
$LINE_TALK_BERSERKER_70_CHAR	$BER
$LINE_TALK_BERSERKER_70_TEXT	让我猜猜，你是从首都来的，是吧？
$LINE_TALK_BERSERKER_80_CHAR	$MCG
$LINE_TALK_BERSERKER_80_TEXT	我是皇家图书管理员……
$LINE_TALK_BERSERKER_90_CHAR	$BER
$LINE_TALK_BERSERKER_90_TEXT	看出来了。摄政王做事真是滴水不漏。
$LINE_TALK_BERSERKER_100_CHAR	$BER
$LINE_TALK_BERSERKER_100_TEXT	我猜你也不知道战争已经结束了吧。
$LINE_TALK_BERSERKER_110_CHAR	$MCG
$LINE_TALK_BERSERKER_110_TEXT	战争结束了？！但是那些士兵……那……那些军队都被派遣到哪里去了？
$LINE_TALK_BERSERKER_120_CHAR	$BER
$LINE_TALK_BERSERKER_120_TEXT	嘿？还记的把人们变成怪物的瘟疫吗？那需要很多的人力去控制！
$LINE_TALK_BERSERKER_130_CHAR	$MCG
$LINE_TALK_BERSERKER_130_TEXT	这……对不起，我只是……我只是需要一本好书和一瓶——不，两瓶酒。
$LINE_TALK_BERSERKER_140_CHAR	$BER
$LINE_TALK_BERSERKER_140_TEXT	嘿，朝好的一面看吧——至少亡者都离开了。
$LINE_TALK_BERSERKER_150_CHAR	$BER
$LINE_TALK_BERSERKER_150_TEXT	等等，他们没有离开，他们都死了！
$LINE_TALK_BERSERKER_160_CHAR	$BER
$LINE_TALK_BERSERKER_160_TEXT	从来没有人做过那样的事！
$LINE_TALK_BERSERKER_170_CHAR	$MCG
$LINE_TALK_BERSERKER_170_TEXT	什么？
$LINE_TALK_BERSERKER_180_CHAR	$BER
$LINE_TALK_BERSERKER_180_TEXT	亡者不会死……至少他们曾经不会死！
$LINE_TALK_BERSERKER_190_CHAR	$BER
$LINE_TALK_BERSERKER_190_TEXT	噢，伙计，这真是我的幸运日！
$LINE_TALK_BERSERKER_200_CHAR	$BER
$LINE_TALK_BERSERKER_200_TEXT	我交到了以为新的好友，而且他还有神秘的魔法力量……
$LINE_TALK_BERSERKER_210_CHAR	$BER
$LINE_TALK_BERSERKER_210_TEXT	而且一辆无人看守的拖车就是无尽的财富！我们发财了！发财了！我告诉你！
$LINE_TALK_BERSERKER_220_CHAR	$BER
$LINE_TALK_BERSERKER_220_TEXT	那些是鞋子吗？
$LINE_TALK_BERSERKER_221_CHAR	$MCG
$LINE_TALK_BERSERKER_221_TEXT	把那三瓶……
$SCENE_CAUGHT_BY_OZIMAL_TITLE	被捕
$LINE_CAUGHT_BY_OZIMAL_00_CHAR	$MCG
$LINE_CAUGHT_BY_OZIMAL_00_TEXT	*$BER，这些都是垃圾……
$LINE_CAUGHT_BY_OZIMAL_10_CHAR	大家伙
$LINE_CAUGHT_BY_OZIMAL_10_TEXT	强盗。我早该料到的。
$LINE_CAUGHT_BY_OZIMAL_20_CHAR	$MCG
$LINE_CAUGHT_BY_OZIMAL_20_TEXT	你是谁？
$LINE_CAUGHT_BY_OZIMAL_30_CHAR	奥斯蒙
$LINE_CAUGHT_BY_OZIMAL_30_TEXT	我是奥斯蒙·卡兹，墓坑战神，这些贡品是我的。
$LINE_CAUGHT_BY_OZIMAL_40_CHAR	$MCG
$LINE_CAUGHT_BY_OZIMAL_40_TEXT	等等，我才到这里，我不知道——
$LINE_CAUGHT_BY_OZIMAL_50_CHAR	奥斯蒙
$LINE_CAUGHT_BY_OZIMAL_50_TEXT	守卫，把这些没用的贼都扔进竞技场里！
$LINE_CAUGHT_BY_OZIMAL_60_CHAR	奥斯蒙
$LINE_CAUGHT_BY_OZIMAL_60_TEXT	让他们知道，偷奥斯蒙·卡兹的东西是什么下场。
$SCENE_COLISEUM_INTRO_TITLE	竞技场
$LINE_COLISEUM_INTRO_00_CHAR	$MCG
$LINE_COLISEUM_INTRO_00_TEXT	这看起来不妙。
$LINE_COLISEUM_INTRO_10_CHAR	囚犯
$LINE_COLISEUM_INTRO_10_TEXT	我猜这是你第一次受刑？
$LINE_COLISEUM_INTRO_20_CHAR	$MCG
$LINE_COLISEUM_INTRO_20_TEXT	受刑？
$LINE_COLISEUM_INTRO_30_CHAR	囚犯
$LINE_COLISEUM_INTRO_30_TEXT	是啊。马上他们就会打开那些大门，然后成群结队的野兽就会涌进来把我们吃掉。
$LINE_COLISEUM_INTRO_40_CHAR	$MCG
$LINE_COLISEUM_INTRO_40_TEXT	所以我们……必死无疑了？
$LINE_COLISEUM_INTRO_50_CHAR	囚犯
$LINE_COLISEUM_INTRO_50_TEXT	是的，欢迎来到墓坑。
$LINE_COLISEUM_INTRO_60_CHAR	囚犯
$LINE_COLISEUM_INTRO_60_TEXT	我还不认识你，公主，但是我打算坚持到底。
$LINE_COLISEUM_INTRO_70_CHAR	$MCG
$LINE_COLISEUM_INTRO_70_TEXT	*等等！如果我们必死无疑，那至少我们应该知道彼此的名字。我是$MCG。
$LINE_COLISEUM_INTRO_80_CHAR	囚犯
$LINE_COLISEUM_INTRO_80_TEXT	很高兴认识你。我是……
$SCENE_COLISEUM_OUTRO_TITLE	迎难而上
$LINE_COLISEUM_OUTRO_00_CHAR	守卫
$LINE_COLISEUM_OUTRO_00_TEXT	长官！亡者都死了！
$LINE_COLISEUM_OUTRO_10_CHAR	奥斯蒙
$LINE_COLISEUM_OUTRO_10_TEXT	不可能。没人可以杀死一个亡者。
$LINE_COLISEUM_OUTRO_20_CHAR	守卫
$LINE_COLISEUM_OUTRO_20_TEXT	是那个新来的姑娘……我不知道她做了什么，但是囚犯都还活着，但是亡者都死了。
$LINE_COLISEUM_OUTRO_30_CHAR	奥斯蒙
