flag	name
$FLAV_DAMAGE	伤害
$FLAV_FRENZY	狂暴
$FLAV_FIRE	火焰
$FLAV_BURN	燃烧
$FLAV_POISON	中毒
$FLAV_EVER_POISON	永久性中毒
$FLAV_WOUND	创伤
$FLAV_BLEED	流血
$FLAV_EVER_BLEED	永久性流血
$FLAV_BLINDED	致盲
$FLAV_CONFUSED	混乱
$FLAV_DISEASE	疾病
$FLAV_PSI_BURN	能量燃烧
$FLAV_INSPIRE	激励
$FLAV_INSPIRED_HIT	激励攻击
$FLAV_STUN	眩晕
$FLAV_SINGLE_STUN	单体眩晕
$FLAV_CHILL	寒冷
$FLAV_SLOW	减速
$FLAV_FREEZE	冰冻
$FLAV_LIGHT	眩光
$FLAV_AREA	范围
$FLAV_DARK	黑暗
$FLAV_GROW_ARMOR	成长护甲
$FLAV_PHASED	瞬移
$FLAV_MAGIC	魔法
$FLAV_PHYSICAL	物理
$FLAV_PHYSICAL-RANGED	远程物理
$FLAV_MELEE	近战
$FLAV_RANGED	远程
$FLAV_UNDODGEABLE	无法闪避
$FLAV_REDUCE_HEALTH	毁灭
$FLAV_ARMOR_PIERCE	护甲穿透
$FLAV_ARMOR_IGNORE	无视护甲
$FLAV_ARMOR_BREAK	破甲
$FLAV_CRITICAL	暴击
$FLAV_KNOCKBACK	反击
$FLAV_KNOCK_BACK	反击
$FLAV_AUTOKILL	自动杀敌
$FLAV_DEVOUR	吞噬
$FLAV_STRIKE_THROUGH	穿透
$FLAV_DE_INVINCIBLE	战无不胜
$FLAV_DELAY_DAMAGE	延时伤害
$FLAV_ANONYMOUS	无名的
$FLAV_TROLL	当前状态：仰天大笑
$FLAV_FB_HAPPY	当前状态：开心！
$FLAV_FB_SAD	当前状态：悲伤。
$FLAV_FB_LOL	当前状态：大笑！
$FLAV_FB_OMG	当前状态：我的天啊！
$FLAV_FB_EXISTENTIAL	当前状态：灵魂出窍。
$FLAV_FB_BORED	当前状态：无聊。
$FLAV_PHYSICAL	物理
$FLAV_MAGIC	魔法
$FLAV_RANGED	远程
$FLAV_PHYSICAL_RANGED	远程物理
$FLAV_PSI_SHIELD	能量护盾
$FLAV_AREA	范围
$FLAV_BOSS	Boss
