flag	name
$BONUS_1_TITLE	挑戰1
$BONUS_2_TITLE	挑戰2
$BONUS_3_TITLE	挑戰3
$BONUS_4_TITLE	無盡1
$BONUS_5_TITLE	挑戰4
$BONUS_6_TITLE	挑戰4
$BONUS_7_TITLE	無盡2
$BONUS_1_DESC	那些偷偷摸摸，會游泳的怪物。
$BONUS_2_DESC	沒有射手或巨龍<C>，只有6個守護者點數。該怎麼辦？
$BONUS_3_DESC	多線戰鬥。
$BONUS_4_DESC	面對無窮無盡的敵人的挑戰吧！
$BONUS_5_DESC	游向上游。
$BONUS_6_DESC	中間大量怪物，兩翼也有威脅。
$BONUS_7_DESC	又一個無盡的挑戰<C>但這次，它們不會攻擊你——你需要多少攻擊輸出呢？
$BONUS_RECORD_WAVE	（記錄: <WAVE_NUM>波）
$BONUS_REWARDS	獎勵
$BONUS_HIGH_SCORE	最高分
$BONUS_REACH_WAVE	到達第<WAVE_NUM>波
$BONUS_BEAT_WAVE	擊敗<WAVE_NUM>波
