flag		comment
$BASE_ATTACK	基礎攻擊	
$BATTLE_STARTING_FORMATION_TEXT	是否使用和上次相同的編隊？	
$BATTLE_FREE_MOVE	快速移動	
$BATTLE_MOVE	移動	
$BATTLE_MOVE_MOUSE	移動滑鼠	
$BATTLE_FINE_MOVE	緩慢移動	
$BATTLE_TILE_MOVE	移動方格	
$BATTLE_BACK	<RE>$MISC_BACK	
$BATTLE_SPELLS	<RE>$STAT_DESC_SPELLS	
$BATTLE_SELECT_UNIT	選擇單位	
$BATTLE_MENU	<RE>$MISC_MENU	
$BATTLE_MAP	地圖	
$BATTLE_DEFENDERS	<RE>$MISC_DEFENDERS	
$ACTIONS_BATTLE_MENU_MOVE	<RE>$BATTLE_MOVE	
$ACTIONS_BATTLE_FREE_MOVE	<RE>$BATTLE_FREE_MOVE	
$ACTIONS_BATTLE_FINE_MOVE	<RE>$BATTLE_FINE_MOVE	
$ACTIONS_BATTLE_TILE_MOVE	<RE>$BATTLE_TILE_MOVE	
$ACTIONS_BATTLE_SELECT	<RE>$BATTLE_SELECT_UNIT	
$ACTIONS_BATTLE_BACK	<RE>$BATTLE_BACK	
$ACTIONS_BATTLE_DEFENDERS	<RE>$BATTLE_DEFENDERS	
$ACTIONS_BATTLE_SPELLS	法術	
$ACTIONS_BATTLE_MENU	<RE>$BATTLE_MENU	
$ACTIONS_BATTLE_SPEED_MINUS	速度提升	
$ACTIONS_BATTLE_SPEED_PLUS	速度降低	
$ACTIONS_BATTLE_PAUSE	<RE>$MISC_PAUSE	
$ACTIONS_BATTLE_CYCLE_PREVIOUS	前一個守護者	
$ACTIONS_BATTLE_CYCLE_NEXT	後一個守護者	
$ACTIONS_BATTLE_SPELL_SPAM	重複法術	
$ACTIONS_MAP_MOVE	移動游標	
$ACTIONS_MAP_SELECT	<RE>$MISC_SELECT	
$ACTIONS_MAP_EXIT	<RE>$MISC_EXIT	
$ACTIONS_MAP_MENU	<RE>$MISC_MENU	
$ACTIONS_MAP_JOURNAL	<RE>$MISC_JOURNAL	
$ACTIONS_MAP_MOVE_MAP	在地圖上移動	
$ACTIONS_MAP_SCROLL_MAP	移動地圖	
$ACTIONS_CUTSCENE_SKIP	<RE>$MISC_SKIP	
$ACTIONS_CUTSCENE_NEXT	<RE>$MISC_NEXT	
$ACTIONS_CUTSCENE_PREVIOUS	<RE>$MISC_PREVIOUS	
$BONUS_DEFENSE	獎勵防禦戰	
$BOOK_COOL_MULT	法術冷卻時間x<X>	
$BOOK_COOLDOWN_OP	法術冷卻時間<X>	
$BOOK_COST_MULT	法術消耗x<X>	
$BOOK_COST_OP	法術消耗<X>	
$BOOK_PSI_TAX	能量稅：<X>	
$CONFIRM_QUIT_TEXT	<RE>$CONFIRM_RESTART_TEXT	COMMENT: this is a redirect, the text for $MISC_PLEASE_WAIT will be duplicated here. The <RE> invocation at the beginning of the string signals a redirect, and will not show up in the final text
$CONFIRM_QUIT_TITLE	是否退出戰鬥？	
$CONFIRM_RES_CHANGE	解析度設置改變。<N>是否保留當前設置？<N><N> <SECONDS> 秒後還原回原來的設置。	
$CONFIRM_RESTART_TEXT	你會失去目前為止獲得的所有經驗和金錢。	
$CONFIRM_RESTART_TITLE	是否重新開始戰鬥？	
$DATA_DUMP_AUDIO	正在匯出音訊……	
$DATA_DUMP_BACKGROUNDS	<RE>$DATA_DUMP_BKG	
$DATA_DUMP_BKG	正在匯出背景圖片……	
$DATA_DUMP_CUTSCENE	正在匯出劇情圖片……	
$DATA_DUMP_CUTSCENES	<RE>$DATA_DUMP_CUTSCENE	
$DATA_DUMP_DATA	正在匯出資料檔案……	
$DATA_DUMP_EMBED	正在匯出嵌入式圖形……	
$DATA_DUMP_IMAGES	正在匯出資料圖形……	
$DATA_DUMP_LOCALES	正在匯出語言環境……	
$DATA_DUMP_MAP_FILES	正在匯出地圖文件……	
$DATA_DUMP_MAP_IMAGES	正在匯出地圖圖片……	COMMENT: <N> means a line break. <N> works too, but not <N> or <n>
$DATA_DUMP_MAPS	<RE>$DATA_DUMP_MAP_FILES	
$DATA_DUMP_MOD_INFO	正在匯出mod資訊……	
$DATA_DUMP_MUSIC	正在匯出音樂……	
$DATA_DUMP_SFX	正在匯出音效……	
$DATA_DUMP_SPRITES	正在匯出遊戲介面……	
$DATA_DUMP_TABLES	正在匯出資料表……	
$DECIMATE_BY	壓縮採樣倍數<PERCENT>%	
$DEMO_OVER_ACTS	第三、四<N>章	
$DEMO_OVER_DONT_FORGET	不要忘記存檔！	
$DEMO_OVER_ENORMOUS	點擊這個巨大的按鈕來繼續你的冒險！	
$DEMO_OVER_ENORMOUS_2	點擊一個巨大的按鈕來繼續你的冒險！	
$DEMO_OVER_EXPORT_HOW	點擊此按鈕匯出存檔。	
$DEMO_OVER_FULL_GAME	獲取完整遊戲！	
$DEMO_OVER_FULL_GAME_SHORT	完整<N>遊戲!	
$DEMO_OVER_PLAY	繼續遊戲！	
$DEMO_OVER_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT	
$DEMO_OVER_THANKS	感謝對我們的支持！	COMMENT: <MCG> is a variable. In this exact string, the game expects this exact variable, and will replace <MCG> with Azra's name. Any other variable is ignored and will appear as-is.
$DEMO_OVER_USE_IT	使用這個從你上次中斷的地方繼續！	
$EN_SPELL_DRAGON_FIRE_1_DESC	<DMG> 傷害	
$EN_SPELL_DRAGON_FIRE_2_DESC	<LOW>-<HIGH> 傷害	
$EN_SPELL_FRENZY_DESC	+<PERCENT> 點速度，持續 <SEC> 秒	
$EN_SPELL_HEAL_DESC	治療：<PERCENT> 點生命值	
$END	結束	
