flag	name
$CLASS_MCGUFFIN	Librarian
$CLASS_MCGUFFIN_PL	Librarians
$CLASS_KNIGHT	Knight
$CLASS_KNIGHT_PL	Knights
$CLASS_RANGER	Ranger
$CLASS_RANGER_PL	Rangers
$CLASS_BERSERKER	Berserker
$CLASS_BERSERKER_PL	Berserkers
$CLASS_HEALER	Healer
$CLASS_HEALER_PL	Healers
$CLASS_MAGE	Ice mage
$CLASS_MAGE_PL	Ice mages
$CLASS_DRAGON	Dragon
$CLASS_DRAGON_PL	Dragons
$CLASS_SORCEROR	Sorceror
$CLASS_SORCEROR_PL	Sorcerors
$CLASS_ANTIMCGUFFIN	Sorceress
$CLASS_ANTIMCGUFFIN_PL	Sorceresses
$SKILL_MCGUFFIN_A_LIGHTNING	Lightning
$SKILL_MCGUFFIN_A_FRENZY	Frenzy
$SKILL_MCGUFFIN_A_HEALING	Healing
$SKILL_MCGUFFIN_A_CRYSTAL	Crystal
$SKILL_MCGUFFIN_A_PUSHBACK	Pushback
$SKILL_MCGUFFIN_A_DRAGON_FIRE	Dragon Fire
$SKILL_MCGUFFIN_A_DRAGONFIRE	<RE>$SKILL_MCGUFFIN_A_DRAGON_FIRE
$SPELL_ENEMY_ZAP	<RE>$SKILL_MCGUFFIN_A_LIGHTNING
$SPELL_ENEMY_FRENZY	<RE>$SKILL_MCGUFFIN_A_FRENZY
$SPELL_ENEMY_HEAL	<RE>$SKILL_MCGUFFIN_A_HEALING
$SPELL_ENEMY_FIRE	<RE>$SKILL_MCGUFFIN_A_DRAGON_FIRE
$SKILL_MCGUFFIN_A_LIGHTNING_DESC	Deals $X damage to a single enemy. Burns off psi, reducing psi reward of the enemy.
$SKILL_MCGUFFIN_A_FRENZY_DESC	Raises attack rate of ALL defenders by $X% for $Y seconds.
$SKILL_MCGUFFIN_A_HEALING_DESC	Heals all defenders for $X HP.
$SKILL_MCGUFFIN_A_CRYSTAL_DESC	Places crystal that deals $X damage to foes within $Y tiles. Explodes in $Z seconds, or on lightning strike.
$SKILL_MCGUFFIN_A_PUSHBACK_DESC	Pushes enemies $X tiles back towards the start of the maze.
$SKILL_MCGUFFIN_A_DRAGON_FIRE_DESC	Deals $X damage to all enemies on screen and sets them on fire for $Y seconds.
$SKILL_MCGUFFIN_fake_attackEXPLOSION	Explosion
$SKILL_ANTIMCGUFFIN_A_LIGHTNING	Lightning
$SKILL_ANTIMCGUFFIN_A_HEALING	Healing
$SKILL_ANTIMCGUFFIN_A_FRENZY	Frenzy
$SKILL_ANTIMCGUFFIN_A_CRYSTAL	Crystal
$SKILL_ANTIMCGUFFIN_A_PUSHBACK	Pushback
$SKILL_ANTIMCGUFFIN_A_DRAGON_FIRE	Dragon Fire
$SKILL_ANTIMCGUFFIN_A_LIGHTNING_DESC	Deals $X damage to a single enemy. Burns off psi, reducing psi reward of the enemy.
$SKILL_ANTIMCGUFFIN_A_FRENZY_DESC	Raises attack rate of ALL defenders by $X% for $Y seconds.
$SKILL_ANTIMCGUFFIN_A_HEALING_DESC	Heals all defenders for $X HP.
$SKILL_ANTIMCGUFFIN_A_CRYSTAL_DESC	Places crystal that deals $X damage to foes within $Y tiles. Explodes in $Z seconds, or on lightning strike.
$SKILL_ANTIMCGUFFIN_A_PUSHBACK_DESC	Pushes enemies $X tiles back towards the start of the maze.
$SKILL_ANTIMCGUFFIN_A_DRAGON_FIRE_DESC	Deals $X damage to all enemies on screen and sets them on fire for $Y seconds.
$SKILL_SORCEROR_A_LIGHTNING-Z	Lightning
$SKILL_SORCEROR_A_HEALING-Z	Healing
$SKILL_SORCEROR_A_FRENZY-Z	Frenzy
$SKILL_SORCEROR_A_PUSHBACK-Z	Pushback
$SKILL_SORCEROR_A_DRAGON_FIRE-Z	Dragon Fire
$SKILL_SORCEROR_A_LIGHTNING_DESC	Deals $X damage to a single enemy. Burns off psi, reducing psi reward of the enemy.
$SKILL_SORCEROR_A_FRENZY-Z_DESC	Raises attack rate of ALL defenders by $X% for $Y seconds.
$SKILL_SORCEROR_A_HEALING-Z_DESC	Heals all defenders for $X HP.
$SKILL_SORCEROR_A_PUSHBACK-Z_DESC	Pushes enemies $X tiles back towards the start of the maze.
$SKILL_SORCEROR_A_DRAGON_FIRE-Z_DESC	Deals $X damage to all enemies on screen and sets them on fire for $Y seconds.
$SKILL_KNIGHT_A_SWING	Swing
$SKILL_KNIGHT_P_ARMOR_PIERCE	Armor Pierce
$SKILL_KNIGHT_A_SMASH	Smash
$SKILL_KNIGHT_P_ARMOR_BREAK	Armor Break
$SKILL_KNIGHT_P_ARMOR_TRAINING	Armor Training
$SKILL_KNIGHT_P_HARD_KNOCK	Hard Knock
$SKILL_KNIGHT_A_COUNTER	Counter
$SKILL_KNIGHT_A_LUNGE	Lunge
$SKILL_KNIGHT_P_STUN_STAB	Stun Stab
$SKILL_KNIGHT_P_SWORD_TRAINING	Sword Training
$SKILL_KNIGHT_A_CLEAVE	Cleave
$SKILL_BERSERKER_A_SLASH	Slash
$SKILL_BERSERKER_A_DOUBLE_HIT	Double Hit
$SKILL_BERSERKER_P_SWIFTNESS	Swiftness
$SKILL_BERSERKER_A_FLURRY	Flurry
$SKILL_BERSERKER_P_RESILIENCE	Resilience
$SKILL_BERSERKER_A_SWIPE	Swipe
$SKILL_BERSERKER_P_RAGE	Rage
$SKILL_BERSERKER_P_REFLEXES	Reflexes
$SKILL_BERSERKER_P_MADNESS	Madness
$SKILL_BERSERKER_A_WHIRLWIND	Whirlwind
$SKILL_HEALER_A_AID	Aid
$SKILL_HEALER_A_ETHER_FLASH	Ether Flash
$SKILL_HEALER_P_BULK_UP	Bulk Up
$SKILL_HEALER_P_BLINDING	Blinding
$SKILL_HEALER_A_GROUP_HEAL	Group Heal
$SKILL_HEALER_A_HOLY_LIGHT	Holy Light
$SKILL_HEALER_A_ZEAL	Zeal
$SKILL_HEALER_P_INSPIRE	Inspire
$SKILL_MAGE_A_ICE_BALL	Ice Ball
$SKILL_MAGE_P_CHILL	Chill
$SKILL_MAGE_A_ICE_SHARD	Ice Shard
$SKILL_MAGE_P_FREEZE	Freeze
$SKILL_MAGE_A_SLEET	Sleet
$SKILL_MAGE_P_ICE_SPEAR	Ice Spear
$SKILL_MAGE_A_ICE_SPLASH	Ice Splash
$SKILL_MAGE_A_BLIZZARD	Blizzard
$SKILL_DRAGON_A_BITE	Bite
$SKILL_DRAGON_A_CLAW	Claw
$SKILL_DRAGON_P_EPIC_HALITOSIS	Epic Halitosis
$SKILL_DRAGON_A_FIRE_BREATH	Fire Breath
$SKILL_DRAGON_P_STRENGTH	Strength
$SKILL_DRAGON_A_ROAR	Roar
$SKILL_DRAGON_P_FATTEN_UP	Fatten Up
$SKILL_DRAGON_P_NOM	Nom
$SKILL_DRAGON_A_FIRE_BALL	Fire Ball
$SKILL_RANGER_A_BASIC_SHOT	Basic Shot
$SKILL_RANGER_P_SHARP_SHOOTER	Sharp Shooter
$SKILL_RANGER_A_TRIPLE_SHOT	Triple Shot
$SKILL_RANGER_P_DEEP_SHOT	Deep Shot
$SKILL_RANGER_A_RAPID_SHOT	Rapid Shot
$SKILL_RANGER_P_RANGE_FOCUS	Range Focus
$SKILL_RANGER_P_PIERCING_SHOT	Piercing Shot
$SKILL_RANGER_P_POISON_SHOT	Poison Shot
$SKILL_RANGER_A_SPREAD_SHOT	Spread Shot
$SKILL_RANGER_A_BLACK_OUT_THE_SUN	Black Out The Sun
$TYPE_RANGED	Ranged
$TYPE_MELEE	Melee
$TYPE_ULTIMATE	Ultimate
$BLURB_BERSERKER	Fastest attacks.<N>Quickly hits many targets for medium damage.<N>Best against groups of weak enemies!
$BLURB_RANGER	Best range.<N>Hits targets from far away for light damage.<N>Best all-around unit!
$BLURB_KNIGHT	Slowest class.<N>Hits single targets for high damage.<N>Can pierce/destroy armor.<N>Best against strong or armored enemies!
$BLURB_MAGE	Slows and freezes enemies.<N>Attacks at medium speed for light damage.<N>Best against fast enemies!
$BLURB_DRAGON	Heavy damage.<N>Can eat enemies and set them on fire.<N>Expensive, but awesome.
$BLURB_HEALER	Heals your allies.<N>Has a few light attacks.<N>Place wisely for best results!
$COLOR_EYE	Eye
$COLOR_SKIN	Skin
$COLOR_HAIR	Hair
$COLOR_PANTS	Pants
$COLOR_WEAPON	Weapon
$COLOR_ARMOR	Armor
$COLOR_DETAIL	Detail
$COLOR_TUNIC	Tunic
$COLOR_CLOTHES	Clothes
$COLOR_CLOAK	Cloak
$COLOR_ROBE	Robe
$COLOR_HIDE	Hide
$COLOR_OUTLINE	Outline
$END	End
