flag	name	description
$ITEM_SWORD	<RE>$ITM_W_SWORD	
$ITEM_BOW	<RE>$ITM_W_BOW	
$ITEM_STAFF	<RE>$ITM_W_STAFF	
$ITEM_LIGHT	<RE>$ITM_A_LIGHT	
$ITEM_HEAVY	<RE>$ITM_A_HEAVY	
$ITEM_BOOK	<RE>$ITM_ACC_BOOK	
$ITEM_WEAPON	武器	
$ITEM_ARMOR	護甲	
$ITM_ACC_BOOK	書籍	<NULL>
$ITM_ACC_BOOK_PLURAL	書籍	<NULL>
$ITM_ACC_BOOK_PLURAL_SHORT	書籍	<NULL>
$ITM_A_LIGHT	輕型護甲	<NULL>
$ITM_A_LIGHT_PLURAL	輕型護甲	<NULL>
$ITM_A_HEAVY	重型護甲	<NULL>
$ITM_A_HEAVY_PLURAL	重型護甲	<NULL>
$ITM_W_SWORD	劍	<NULL>
$ITM_W_SWORD_PLURAL	劍	<NULL>
$ITM_W_BOW	弓	<NULL>
$ITM_W_BOW_PLURAL	弓	<NULL>
$ITM_W_STAFF	法杖	<NULL>
$ITM_W_STAFF_PLURAL	法杖	<NULL>
$ITM_A_LIGHT_PLURAL_SHORT	輕型	<NULL>
$ITM_A_HEAVY_PLURAL_SHORT	重型	<NULL>
$ITM_W_SWORD_PLURAL_SHORT	劍	<NULL>
$ITM_W_STAFF_PLURAL_SHORT	法杖	<NULL>
$ITM_W_BOW_PLURAL_SHORT	弓	<NULL>
$ITM_A_LIGHT_1	粗布衣	衣服下是粗麻，讓人發癢，但總比一絲不掛要強。
$ITM_A_LIGHT_2	獸皮外套	用死亡動物的皮粗制而成的保護性衣物，又厚又扎實。
$ITM_A_LIGHT_3	酋長長袍	這件色彩絢麗的牧民外衣，是用沉沉的羊毛所編成，上面還裝飾著華美的刺繡。衣服下擺描繪著世界之樹纏綿不斷的根系。
$ITM_A_LIGHT_4	厚羊毛外衣	這件外衣又長又厚，是用珍貴的牧民牲畜的羊毛所編制而成。
$ITM_A_LIGHT_5	虎皮背心	這件異域風格的特製皮衣上腰帶上繡著奎德的火焰圖案，這是探究它的來源的唯一線索。
$ITM_A_LIGHT_6	毛皮大衣	用珍貴的動物皮料製成的溫暖舒適的皮衣。
$ITM_A_LIGHT_7	歐茲默的外套	帶著一股淡淡的芝士味。
$ITM_A_LIGHT_8	皮衣	將皮革仔細地加工後，縫製成的一件時髦漂亮的上衣。
$ITM_A_LIGHT_9	武僧服	一件重型的僧侶外套，上面裝飾著刹靈尼的尚武之屋第九分支的標記，他們是真理和秩序的守護者。
$ITM_A_LIGHT_10	羊毛軟鎧甲	把多層上好的羊毛，精心絎縫在一起，再用廢舊的布料和動物的毛加以填充而製成。它耐用堅固，可以抵禦除毀滅性打擊之外的絕大部分攻擊。
$ITM_A_LIGHT_11	刺客的徒勞	咋看之下，它看上去只不過是一件裝飾華麗的貴族外套。但仔細檢查就會發現，有一排排的輕金屬板縫在衣服的內側.。腰背部有一道裂痕，說明這樣精巧的設計至少挫敗了一位刺客的計畫。
$ITM_A_LIGHT_12	絲綢軟鎧甲	這件鎧甲用層層的耐用絲綢縫合，再用馬毛進行襯墊，能夠使穿戴者有效的抵禦來自弓箭的傷害。
$ITM_A_LIGHT_13	弓箭大師	這件死灰軟鎧甲是用最好的絲綢製成，上面錯綜複雜的刺繡工藝，彰顯了穿戴者是“弓箭大師之王”。而鎧甲上數十處小修小補的痕跡，顯示這件非凡的鎧甲經過了無數場戰爭，它很可能是一件代代相傳之物。
$ITM_A_LIGHT_14	鉑金羊毛	它是從阿西瑪·瓦塔·穆塔拿斯爾本人屍體上剝下來的，比一件金製成的衣服更珍貴，炫目閃耀的毛色顯出它是多麼無可匹敵。
$ITM_A_LIGHT_15	<RE>[$ITM_A_LIGHT_3_NAME]+	<RE>[$ITM_A_LIGHT_3_DESCRIPTION]
$ITM_A_LIGHT_16	<RE>[$ITM_A_LIGHT_5_NAME]+	<RE>[$ITM_A_LIGHT_5_DESCRIPTION]
$ITM_A_LIGHT_17	<RE>[$ITM_A_LIGHT_7_NAME]+	<RE>[$ITM_A_LIGHT_7_DESCRIPTION]
$ITM_A_LIGHT_18	<RE>[$ITM_A_LIGHT_9_NAME]+	<RE>[$ITM_A_LIGHT_9_DESCRIPTION]
$ITM_A_LIGHT_19	<RE>[$ITM_A_LIGHT_11_NAME]+	<RE>[$ITM_A_LIGHT_11_DESCRIPTION]
$ITM_A_LIGHT_20	<RE>[$ITM_A_LIGHT_13_NAME]+	<RE>[$ITM_A_LIGHT_13_DESCRIPTION]
$ITM_A_LIGHT_21	<RE>[$ITM_A_LIGHT_14_NAME]+	<RE>[$ITM_A_LIGHT_14_DESCRIPTION]
$ITM_A_LIGHT_22	<RE>[$ITM_A_LIGHT_1_NAME]+	<RE>[$ITM_A_LIGHT_1_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_23	<RE>[$ITM_A_LIGHT_2_NAME]+	<RE>[$ITM_A_LIGHT_2_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_24	<RE>[$ITM_A_LIGHT_4_NAME]+	<RE>[$ITM_A_LIGHT_4_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_25	<RE>[$ITM_A_LIGHT_6_NAME]+	<RE>[$ITM_A_LIGHT_6_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_26	<RE>[$ITM_A_LIGHT_8_NAME]+	<RE>[$ITM_A_LIGHT_8_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_27	<RE>[$ITM_A_LIGHT_10_NAME]+	<RE>[$ITM_A_LIGHT_10_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_LIGHT_28	<RE>[$ITM_A_LIGHT_12_NAME]+	<RE>[$ITM_A_LIGHT_12_DESCRIPTION] <RE>[$ITM_PLUS_DESCRIPTION]
$ITM_A_HEAVY_1	鎖鏈夾克	這件輕型軟鎧甲的手臂處，連著幾塊粗糙的鍛造金屬，以增加防禦。
$ITM_A_HEAVY_2	鎖甲上衣	這件上衣上有數百個金屬環，彼此環環相扣，防止破裂。
$ITM_A_HEAVY_3	戰爭榮耀	這件精緻的奎德護甲款式華麗，每個環扣都染成了藍色，而在護甲邊緣處，還鍍上了金色的邊。加強板上修飾著鍍金圖案和突出的皇家圖案。金屬表面用奎德語刻著幾個字<LQ>現在才想這些事太遲了<RQ>。還有幾個字刻在板甲的角落，但似乎由於寫得太過匆忙，字跡已經難以辨認。
$ITM_A_HEAVY_4	混合鎖甲	這件鎖甲為了加強保護，特意用金屬板和環圈相連。它是奎德步兵戰鬥時的基本配備。
$ITM_A_HEAVY_5	騎士的片甲	這件老式的薄片甲胄，特色是能擴展的護肩，和及膝的腿甲，這些特點正表明這是專門為重型騎兵而設的護甲。鍍金的前臂鎧甲和絲制的軟鎧揭示了它曾經的擁有者是一個財富千萬，品味高雅的戰士。幾塊甲板上刻著一些不知名的外國文字。而這些甲板正位於穿戴者的心臟位置，說明那些文字可能是某種保護性的符文，但這僅僅是猜測。
$ITM_A_HEAVY_6	片甲	這件絲羅緞是用無數的小金屬片編織而成的。
$ITM_A_HEAVY_7	叛徒的甲胄	這件板甲製成的死灰甲胄上的鍍金裝飾，顯示它很可能屬於一個高級官員。帆布的表面經過了修補，但上面的死灰語<LQ>叛徒<RQ>仍然清晰可見。在紅染料上，可以看到大片的血跡，但裝甲上沒有任何可見的傷痕。
$ITM_A_HEAVY_8	板甲衣	這幅甲胄，是由幾塊重型金屬片鉚接起來，並用耐用的帆布外衣包裹加以包裹，它能提供極好的防禦。
$ITM_A_HEAVY_9	奧克蘭之力	這件綠色的天鵝絨鎖子鎧，特色是巨大閃亮的肩甲，專為奎德的重型步兵而設。鍍金冠畫了一個場面：奎德的英雄，奧克蘭用手碾壓巨熊的腦袋。而他的兒子則在下麵喝從熊嘴流出的鮮血。這是他們的家族競賽，失敗的者要接受被流放的命運。
$ITM_A_HEAVY_10	鑲甲	在帆布和絲絨底下，是數百塊用柳釘連成的金屬片，為這件盔甲提供了合適的保護。
$ITM_A_HEAVY_11	典獄長的甲胄	這件優秀的甲胄上的標記，顯示它正是典獄長的盔甲，此人是受死灰官方派遣看守墓坑。沒有人知道他是如迷失在自己的牢房裡的，但肩膀上的血跡顯示，故事的結局應該以悲劇告終。
$ITM_A_HEAVY_12	金屬板甲	複雜而鋒利的鐵片鉸接在皮革上，為裝備者提供靈活活動的前提下，給與其最大的防禦。這是死灰騎士喜歡的裝備。
