flag	Content
$ENTRY_JOURNAL_INDEX_TITLE	目錄
$ENTRY_JOURNAL2_INDEX_TITLE	秘密
$ENTRY_JOURNAL_INDEX_LEFT_00	引言
$ENTRY_JOURNAL_INDEX_LEFT_10	第1天: @我在哪?@
$ENTRY_JOURNAL_INDEX_LEFT_20	第1夜: @[berserker_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_30	第3天: @附錄@
$ENTRY_JOURNAL_INDEX_LEFT_40	第3夜: @附錄@
$ENTRY_JOURNAL_INDEX_LEFT_50	第3天: @監獄@
$ENTRY_JOURNAL_INDEX_LEFT_60	第4天: @中途世界@
$ENTRY_JOURNAL_INDEX_LEFT_61	第4天: @一個教訓@
$ENTRY_JOURNAL_INDEX_LEFT_62	第4天: @會計簿記@
$ENTRY_JOURNAL_INDEX_LEFT_70	第5天: @[ranger_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_80	第8天 @附錄@
$ENTRY_JOURNAL_INDEX_LEFT_90	第7夜: @卡爾斯克大火@
$ENTRY_JOURNAL_INDEX_LEFT_100	第8天: @勒薩斯@
$ENTRY_JOURNAL_INDEX_LEFT_101	第9天: @旅程@
$ENTRY_JOURNAL_INDEX_LEFT_110	第10天: @[mcguffin_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_120	第10天: @奧斯蒙之死@
$ENTRY_JOURNAL_INDEX_LEFT_130	第10夜: @修道院@
$ENTRY_JOURNAL_INDEX_LEFT_140	第11天: @[healer_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_141	第11天: @卡革斯手稿@
$ENTRY_JOURNAL_INDEX_LEFT_150	第13天: @[mage_hero]@
$ENTRY_JOURNAL_INDEX_LEFT_160	第14天: @諾曼@
$ENTRY_JOURNAL_INDEX_LEFT_170	第15天: @奇怪的夢@
$ENTRY_JOURNAL_INDEX_LEFT_171	第15夜: @奇怪的字@
$ENTRY_JOURNAL_INDEX_RIGHT_01	第16天: @帶傷疤的嘴唇吐出可怕的字@
$ENTRY_JOURNAL_INDEX_RIGHT_00	第17天: @沙漠之寶@
$ENTRY_JOURNAL_INDEX_RIGHT_02	第17夜: @狐狸@
$ENTRY_JOURNAL_INDEX_RIGHT_10	第18天: @[knight_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_20	第19天: @來自[knight_hero]的信@
$ENTRY_JOURNAL_INDEX_RIGHT_30	第19夜: @我的回復: 草稿1@
$ENTRY_JOURNAL_INDEX_RIGHT_40	第20天: @[knight_hero_pos] 回復@
$ENTRY_JOURNAL_INDEX_RIGHT_50	第21天: @來自 <LQ>[knight_hero_up]<RQ>的信@
$ENTRY_JOURNAL_INDEX_RIGHT_60	第21夜: @請轉交: [berserker_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_70	第22夜: @[dragon_hero]@
$ENTRY_JOURNAL_INDEX_RIGHT_71	第23天: @演講@
$ENTRY_JOURNAL_INDEX_RIGHT_72	第24天: @刺客@
$ENTRY_JOURNAL_INDEX_RIGHT_73	第24天: @超級羊之死@
$ENTRY_JOURNAL_INDEX_RIGHT_80	第24天: @附錄@
$ENTRY_JOURNAL_INDEX_RIGHT_81	第25天: @胡言亂語@
$ENTRY_JOURNAL_INDEX_RIGHT_90	第25天: @第二個夢@
$ENTRY_JOURNAL_INDEX_RIGHT_91	第26天: @[mage_hero_pos] 故事@
$ENTRY_JOURNAL_INDEX_RIGHT_92	第27天: @心中的惡魔@
$ENTRY_JOURNAL_INDEX_RIGHT_93	第27天: @[knight_hero_pos] 故事@
$ENTRY_JOURNAL_INDEX_RIGHT_100	第28天: @身穿紅衣的人之死@
$ENTRY_JOURNAL_INDEX_RIGHT_110	第29天: @第三個夢@
$ENTRY_JOURNAL_INDEX_RIGHT_117	第30天: @睡夢與瘋狂@
$ENTRY_JOURNAL_INDEX_RIGHT_111	第32天: @女皇@
$ENTRY_JOURNAL_INDEX_RIGHT_112	第33天: @黑袍@
$ENTRY_JOURNAL_INDEX_RIGHT_113	第33天: @第四個夢@
$ENTRY_JOURNAL_INDEX_RIGHT_114	第34天: @離我的日記遠一點！@
$ENTRY_JOURNAL_INDEX_RIGHT_115	第34天: @第五個夢@
$ENTRY_JOURNAL_INDEX_RIGHT_116	第35天: @第六個夢@
$ENTRY_JOURNAL_INDEX_RIGHT_120	第35天: @以斯理的繼承人@
