     	name	comment	
$BLANK		COMMENT: This file contains all the tutorial text from the game's map (level) files.	
$1_1_WHERE_AM_I_00_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_00_TEXT	我在哪？		
$1_1_WHERE_AM_I_10_TITLE			
$1_1_WHERE_AM_I_10_TEXT	這是你的角色 。$MCG.<N>她不能動。		
$1_1_WHERE_AM_I_20_TITLE			
$1_1_WHERE_AM_I_20_TEXT	敵人來了！<N>不要讓他們接近 $MCG!		
$1_1_WHERE_AM_I_30_TITLE			
$1_1_WHERE_AM_I_30_TEXT	在新遊戲+ 模式, 敵人會更強了，也有了新技能。		
$1_1_WHERE_AM_I_40_TITLE			
$1_1_WHERE_AM_I_40_TEXT	舉例說，所有的亡靈都可恢復體力值。		
$1_1_WHERE_AM_I_50_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_50_TEXT	嘿！陌生人！你在哪？		
$1_1_WHERE_AM_I_60_TITLE			
$1_1_WHERE_AM_I_60_TEXT	點擊這裡選擇狂戰士功能表。		
$1_1_WHERE_AM_I_61_TITLE			
$1_1_WHERE_AM_I_61_TEXT	點擊 <守護者> or <上> 去選擇狂戰士功能表。		
$1_1_WHERE_AM_I_70_TITLE			
$1_1_WHERE_AM_I_70_TEXT	現在你只有你的狂戰士。當你遇見故事中的第二位英雄時，你就可以解鎖那個職業的所有角色。		
$1_1_WHERE_AM_I_80_TITLE	TALK_$BER_SURPRISE		
$1_1_WHERE_AM_I_80_TEXT	你對我做了什麼？！		
$1_1_WHERE_AM_I_90_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_90_TEXT	我不知道！有怪物在追我！救命啊！		
$1_1_WHERE_AM_I_100_TITLE	TALK_$BER_SURPRISE		
$1_1_WHERE_AM_I_100_TEXT	為什麼我會變成透明呢？我的身體呢？		
$1_1_WHERE_AM_I_110_TITLE			
$1_1_WHERE_AM_I_110_TEXT	這裡顯示你的隊伍中所有的狂戰士。<N>現在你只有這個人了。		
$1_1_WHERE_AM_I_120_TITLE			
$1_1_WHERE_AM_I_120_TEXT	點選這裡去選擇他。		
$1_1_WHERE_AM_I_121_TITLE			
$1_1_WHERE_AM_I_121_TEXT	按 <下>, 然後 <選擇>去選擇他。		
$1_1_WHERE_AM_I_130_TITLE			
