flag	content
$SCENE_OPENING_TITLE	開幕
$NARR_OPENING_00_TEXT	*我的名字是$MCG
$NARR_OPENING_10_TEXT	我快死了
$NARR_OPENING_20_TEXT	他們不會等待
$NARR_OPENING_30_TEXT	甚至沒有時間焚燒屍體
$NARR_OPENING_40_TEXT	只是把屍體弄出城外
$NARR_OPENING_50_TEXT	……然後扔進墓坑
$SCENE_WHERE_AM_I_TITLE	中途世界
$NARR_WHERE_AM_I_00_TEXT	第一幕
$NARR_WHERE_AM_I_00_SUB_TEXT	*一腳踏於此岸，一腳踏於彼岸，靈魂位於中間，$N垂死之人可見萬物。
$NARR_WHERE_AM_I_00_SUB_SUB_TEXT	*$N$N$N ——諾曼諺語
$LINE_WHERE_AM_I_00_CHAR	瘟疫受害者
$LINE_WHERE_AM_I_00_TEXT	你能感受到他嗎？
$LINE_WHERE_AM_I_10_CHAR	$MCG
$LINE_WHERE_AM_I_10_TEXT	什麼？我們在哪兒？
$LINE_WHERE_AM_I_20_CHAR	瘟疫受害者
$LINE_WHERE_AM_I_20_TEXT	他在呼喚我們……
$LINE_WHERE_AM_I_30_CHAR	瘟疫受害者
$LINE_WHERE_AM_I_30_TEXT	來，我們必須加入他……
$LINE_WHERE_AM_I_40_CHAR	瘟疫受害者
$LINE_WHERE_AM_I_40_TEXT	我們已經在半路了……
$LINE_WHERE_AM_I_50_CHAR	$MCG
$LINE_WHERE_AM_I_50_TEXT	你在做什麼？你瘋了嗎？
$LINE_WHERE_AM_I_60_CHAR	瘟疫受害者
$LINE_WHERE_AM_I_60_TEXT	聽……
$LINE_WHERE_AM_I_70_CHAR	瘟疫受害者
$LINE_WHERE_AM_I_70_TEXT	他出價那麼高……讓我們參與……一件重大的事情。
$LINE_WHERE_AM_I_80_CHAR	瘟疫受害者
$LINE_WHERE_AM_I_80_TEXT	只有傻瓜才會拒絕。
$LINE_WHERE_AM_I_90_CHAR	$MCG
$LINE_WHERE_AM_I_90_TEXT	離我遠點！
$LINE_WHERE_AM_I_100_CHAR	聲音
$LINE_WHERE_AM_I_100_TEXT	所有人都會加入。所有人都會變成容器。
$LINE_WHERE_AM_I_110_CHAR	$MCG
$LINE_WHERE_AM_I_110_TEXT	放我出去！
$LINE_WHERE_AM_I_120_CHAR	聲音
$LINE_WHERE_AM_I_120_TEXT	這是命令。
$LINE_WHERE_AM_I_130_CHAR	$MCG
$LINE_WHERE_AM_I_130_TEXT	不能……動了……
$LINE_WHERE_AM_I_140_CHAR	$MCG
$LINE_WHERE_AM_I_140_TEXT	救救我……有人嗎……
$LINE_WHERE_AM_I_150_CHAR	$BER
$LINE_WHERE_AM_I_150_TEXT	什麼？！那個發狂的——在哪裡？！
$SCENE_MEET_BERSERKER_TITLE	奇怪的新朋友
$LINE_MEET_BERSERKER_00_CHAR	$MCG
$LINE_MEET_BERSERKER_00_TEXT	哇哦。
$LINE_MEET_BERSERKER_10_CHAR	$MCG
$LINE_MEET_BERSERKER_10_TEXT	發生了什麼？
$LINE_MEET_BERSERKER_20_CHAR	$BER
$LINE_MEET_BERSERKER_20_TEXT	我不知道。五分鐘前你是一具屍體，而我只是想扒幾雙新鞋。
$LINE_MEET_BERSERKER_30_CHAR	$BER
$LINE_MEET_BERSERKER_30_TEXT	好消息！你活了，而且好像也沒有再感染瘟疫了。
$LINE_MEET_BERSERKER_40_CHAR	$MCG
$LINE_MEET_BERSERKER_40_TEXT	哪裡——？
$LINE_MEET_BERSERKER_50_CHAR	$BER
$LINE_MEET_BERSERKER_50_TEXT	壞消息是，這意味著我得不到新鞋了。
$LINE_MEET_BERSERKER_60_CHAR	$BER
$LINE_MEET_BERSERKER_60_TEXT	還有，你現在和我們一樣，被困在這個瘟疫群落裡了。
$LINE_MEET_BERSERKER_70_CHAR	$MCG
$LINE_MEET_BERSERKER_70_TEXT	墓坑……
$LINE_MEET_BERSERKER_80_CHAR	$BER
$LINE_MEET_BERSERKER_80_TEXT	開心點！你活過來了，所以你現在對瘟疫已經免疫了。
$LINE_MEET_BERSERKER_90_CHAR	$MCG
$LINE_MEET_BERSERKER_90_TEXT	既然這樣，守衛會讓我們出去，對嗎？
$LINE_MEET_BERSERKER_100_CHAR	$BER
$LINE_MEET_BERSERKER_100_TEXT	你可以去試著跟他們解釋一下，但是他們貌似不太擅長傾聽。
$LINE_MEET_BERSERKER_110_CHAR	$BER
$LINE_MEET_BERSERKER_110_TEXT	*他們似乎分不清“洗耳恭聽”，$N和“把你射成篩子”的區別。
$LINE_MEET_BERSERKER_120_CHAR	$BER
$LINE_MEET_BERSERKER_120_TEXT	真的。我不知道艾殊王國是怎麼進行禮儀培訓的。
$LINE_MEET_BERSERKER_130_CHAR	$MCG
$LINE_MEET_BERSERKER_130_TEXT	……
$LINE_MEET_BERSERKER_140_CHAR	$MCG
$LINE_MEET_BERSERKER_140_TEXT	我還是沒有搞懂……那裡……發生了什麼……
$LINE_MEET_BERSERKER_150_CHAR	$BER
$LINE_MEET_BERSERKER_150_TEXT	別擔心了。我一開始得瘟疫的時候也有過一樣的幻覺。
$LINE_MEET_BERSERKER_160_CHAR	$MCG
$LINE_MEET_BERSERKER_160_TEXT	等一下——你當時和我在一起的！那怎麼會是幻覺、
$LINE_MEET_BERSERKER_170_CHAR	$BER
$LINE_MEET_BERSERKER_170_TEXT	噢，那是什麼？商隊！
$LINE_MEET_BERSERKER_180_CHAR	$MCG
$LINE_MEET_BERSERKER_180_TEXT	等一下！
$LINE_MEET_BERSERKER_190_CHAR	$MCG
$LINE_MEET_BERSERKER_190_TEXT	至少告訴我你的名字！
$SCENE_SECOND_BATTLE_TITLE	死亡商隊
$LINE_SECOND_BATTLE_00_CHAR	$BER
$LINE_SECOND_BATTLE_00_TEXT	嘿，商隊的夥計們！誰有鞋子嗎？
$LINE_SECOND_BATTLE_10_CHAR	被感染的商隊守衛
$LINE_SECOND_BATTLE_10_TEXT	請……進貢……為了奧斯蒙……
$LINE_SECOND_BATTLE_20_CHAR	$BER
$LINE_SECOND_BATTLE_20_TEXT	噢哦。
$LINE_SECOND_BATTLE_30_CHAR	$MCG
$LINE_SECOND_BATTLE_30_TEXT	這些人是誰？
$LINE_SECOND_BATTLE_40_CHAR	$BER
$LINE_SECOND_BATTLE_40_TEXT	我們必須離開這裡，馬上。
$LINE_SECOND_BATTLE_50_CHAR	$MCG
$LINE_SECOND_BATTLE_50_TEXT	但是他們需要幫助！
$LINE_SECOND_BATTLE_60_CHAR	$BER
$LINE_SECOND_BATTLE_60_TEXT	啊哈哈，不。
$LINE_SECOND_BATTLE_70_CHAR	$MCG
$LINE_SECOND_BATTLE_70_TEXT	我們不能就這樣丟下他們！
$LINE_SECOND_BATTLE_80_CHAR	$BER
$LINE_SECOND_BATTLE_80_TEXT	他們中了瘟疫了。
$LINE_SECOND_BATTLE_90_CHAR	$MCG
$LINE_SECOND_BATTLE_90_TEXT	但是我們都免疫了，對嗎？
$LINE_SECOND_BATTLE_100_CHAR	$BER
$LINE_SECOND_BATTLE_100_TEXT	但是對於他們轉過身來吃掉我們的臉這件事，我們是無法免疫的。
$LINE_SECOND_BATTLE_110_CHAR	$MCG
$LINE_SECOND_BATTLE_110_TEXT	轉過身？
$LINE_SECOND_BATTLE_120_CHAR	得疫病的商隊守衛
$LINE_SECOND_BATTLE_120_TEXT	噢！啊啊啊啊啊啊啊啊啊啊！
$LINE_SECOND_BATTLE_130_CHAR	$BER
$LINE_SECOND_BATTLE_130_TEXT	就像那樣。
$LINE_SECOND_BATTLE_140_CHAR	$BER
$LINE_SECOND_BATTLE_140_TEXT	好吧，很高興見到你。
$LINE_SECOND_BATTLE_150_CHAR	$MCG
$LINE_SECOND_BATTLE_150_TEXT	等等！
$LINE_SECOND_BATTLE_160_CHAR	$BER
$LINE_SECOND_BATTLE_160_TEXT	……
$LINE_SECOND_BATTLE_170_CHAR	$BER
$LINE_SECOND_BATTLE_170_TEXT	你還好嗎？
$SCENE_TALK_BERSERKER_TITLE	倉庫突襲
$LINE_TALK_BERSERKER_00_CHAR	$MCG
$LINE_TALK_BERSERKER_00_TEXT	那些人……他們都變成怪物了！
$LINE_TALK_BERSERKER_10_CHAR	$BER
$LINE_TALK_BERSERKER_10_TEXT	你一定是新來的。
$LINE_TALK_BERSERKER_20_CHAR	$BER
$LINE_TALK_BERSERKER_20_TEXT	不能在瘟疫中存活的人就會是那個下場。
$LINE_TALK_BERSERKER_30_CHAR	$MCG
$LINE_TALK_BERSERKER_30_TEXT	我們之前到過同樣的地方……半路之地……
$LINE_TALK_BERSERKER_40_CHAR	$MCG
$LINE_TALK_BERSERKER_40_TEXT	這個地方太恐怖了！我……我必須得離開這裡！
$LINE_TALK_BERSERKER_50_CHAR	$BER
$LINE_TALK_BERSERKER_50_TEXT	算了吧，人們已經嘗試從墓坑逃跑有十年了。
$LINE_TALK_BERSERKER_60_CHAR	$MCG
$LINE_TALK_BERSERKER_60_TEXT	這已經有十年了？！
$LINE_TALK_BERSERKER_70_CHAR	$BER
$LINE_TALK_BERSERKER_70_TEXT	讓我猜猜，你是從首都來的，是吧？
$LINE_TALK_BERSERKER_80_CHAR	$MCG
$LINE_TALK_BERSERKER_80_TEXT	我是皇家圖書管理員……
$LINE_TALK_BERSERKER_90_CHAR	$BER
$LINE_TALK_BERSERKER_90_TEXT	看出來了。攝政王做事真是滴水不漏。
$LINE_TALK_BERSERKER_100_CHAR	$BER
$LINE_TALK_BERSERKER_100_TEXT	我猜你也不知道戰爭已經結束了吧。
$LINE_TALK_BERSERKER_110_CHAR	$MCG
