"flag","name",
"$BONUS_1_TITLE","Výzva 1",
"$BONUS_2_TITLE","Výzva 2",
"$BONUS_3_TITLE","Výzva 3",
"$BONUS_4_TITLE","Nekonečná 1",
"$BONUS_5_TITLE","Výzva 4",
"$BONUS_6_TITLE","Výzva 5",
"$BONUS_7_TITLE","Nekonečná 2",
"$BONUS_1_DESC","Ty zákeřné plavající potvory.",
"$BONUS_2_DESC","Bez lukostřelců a draků<C> a jen 6 políček pro obránce. Jak na to?",
"$BONUS_3_DESC","Bitva na více frontách.",
"$BONUS_4_DESC","Postav se nekonečnému proudu nepřátel!",
"$BONUS_5_DESC","Plav proti proudu.",
"$BONUS_6_DESC","Silný provoz středem, hrozba po křídlech.",
"$BONUS_7_DESC","Další nekonečná výzva<C> ale tentokrát soupeři neútočí - jakou palebnou sílu dokážeš dát dohromady?",
"$BONUS_RECORD_WAVE","(Nejdál: vlna <WAVE_NUM>)",
"$BONUS_REWARDS","Odměny",
"$BONUS_HIGH_SCORE","Nejlepší skóre",
"$BONUS_REACH_WAVE","Dosáhni vlnu <WAVE_NUM>",
"$BONUS_BEAT_WAVE","Přežij vlnu <WAVE_NUM>",
