"flag","nick_name","flavor_name","flavor_text",
"$EN_NORMAL_NOMONEY_PLUS","NORMAL+","Wiedergänger+","$EN_NORMAL_FLAV_TEXT",
"$EN_NORMAL_PLUS","NORMAL+","Wiedergänger+","$EN_NORMAL_FLAV_TEXT",
"$EN_CULTIST_PLUS","KULTIST+","Kultist+","$EN_CULTIST_FLAV_TEXT",
"$EN_ARMORED CULTIST_PLUS","KULTISTEN-PRIESTER+","Kultisten-Priester+","$EN_ARMORED CULTIST_FLAV_TEXT",
"$EN_INSANE CULTIST_PLUS","VERRÜCKTER KULTIST+","Hohepriester+","$EN_INSANE CULTIST_FLAV_TEXT",
"$EN_NORMAL_EXP_PLUS","NORMAL+","Wiedergänger+","$EN_NORMAL_FLAV_TEXT",
"$EN_NORMAL_EXP_PSI_PLUS","NORMAL+","Wiedergänger+","$EN_NORMAL_FLAV_TEXT",
"$EN_NORMAL_W_PLUS","NORMAL+","Wasser-Unhold+","$EN_NORMAL_W_FLAV_TEXT",
"$EN_ARMORED_PLUS","GEPANZERT+","Gefallener Ritter+","$EN_ARMORED_FLAV_TEXT",
"$EN_SPEEDY_PLUS","SCHNELL+","Wurm+","$EN_SPEEDY_FLAV_TEXT",
"$EN_SPEEDY_W_PLUS","SCHNELL+","Schlange+","$EN_SPEEDY_W_FLAV_TEXT",
"$EN_ARMORED SPEEDY_PLUS","SCHNELL+","Schalenwurm+","$EN_ARMORED_SPEEDY_FLAV_TEXT",
"$EN_ARMORED_SPEEDY_W_PLUS","SCHNELL+","Schalenschlange+","$EN_ARMORED_SPEEDY_W_FLAV_TEXT",
"$EN_ATTACKER_PLUS","KÄMPFER+","Wütender Ghul+","$EN_ATTACKER_FLAV_TEXT",
"$EN_DARK ATTACKER_PLUS","SCHATTEN-BOXER+","Dunkler Ghul+","$EN_DARK ATTACKER_FLAV_TEXT",
"$EN_ATTACKER_W_PLUS","KÄMPFER+","Flussghul+","$EN_ATTACKER_W_FLAV_TEXT",
"$EN_ARMORED ATTACKER_PLUS","KÄMPFER+","Wütender Ritter+","$EN_ARMORED ATTACKER_FLAV_TEXT",
"$EN_APC_PLUS","TEILER+","Monstrosität+","$EN_APC_FLAV_TEXT",
"$EN_APC_W_PLUS","TEILER+","Stinkende Leiche+","$EN_APC_W_FLAV_TEXT",
"$EN_ARMORED APC_PLUS","GEPANZERTER TEILER+","Schalen-Bestie+","$EN_ARMORED APC_FLAV_TEXT",
"$EN_DOUBLE APC_PLUS","DOPPEL-TEILER+","Scheußlichkeit+","$EN_DOUBLE APC_FLAV_TEXT",
"$EN_ARMORED RANGED ATTACKER_PLUS","FERNKÄMPFER+","Schlangenghul+","$EN_ARMORED_RANGED_ATTACKER",
"$EN_RANGED ATTACKER_PLUS","FERNKÄMPFER+","Schlangenghul+","$EN_RANGED ATTACKER_FLAV_TEXT",
"$EN_RANGED ATTACKER_W_PLUS","FERNKÄMPFER+","Fluss-Schlangenghul+","$EN_RANGED ATTACKER_W_FLAV_TEXT",
"$EN_DARK_PLUS","DUNKEL+","Shattenwurm+","$EN_DARK_FLAV_TEXT",
"$EN_BRUTE_PLUS","ZÄH+","Todeswurm+","$EN_BRUTE_FLAV_TEXT",
"$EN_SHEEP_PLUS","SCHAF+","Schaf+","$EN_SHEEP_FLAV_TEXT",
"$EN_PSI SHEEP_PLUS","SCHAF+","Schaf+","$EN_SHEEP_FLAV_TEXT",
"$EN_SPEEDY SHEEP_PLUS","SCHNELLES SCHAF+","Schnelles Schaf+","$EN_SPEEDY SHEEP_FLAV_TEXT",
"$EN_SUPER SHEEP_PLUS","SUPERSCHAF+","Superschaf+","$EN_SUPER SHEEP_FLAV_TEXT",
"$EN_OZIMAL_PLUS","OZIMAL+","Ozimal Kaz+","$EN_OZIMAL_FLAV_TEXT",
"$EN_TWIN_PLUS","ZWILLING+","Zwilling+","$EN_TWIN_FLAV_TEXT",
"$EN_RIGHT_INDEX_FINGER_PLUS","ZEIGEFINGER+","Zeigefinger+","$EN_RIGHT_INDEX_FINGER_FLAV_TEXT",
"$EN_RIGHT_THUMB_PLUS","DAUMEN+","Daumen+","$EN_RIGHT_THUMB_FLAV_TEXT",
"$EN_RIGHT_MIDDLE_FINGER_PLUS","MITTELFINGER+","Mittelfinger+","$EN_RIGHT_MIDDLE_FINGER_FLAV_TEXT",
"$EN_RIGHT_RING_FINGER_PLUS","RINGFINGER+","Ringfinger+","$EN_RIGHT_RING_FINGER_FLAV_TEXT",
"$EN_RIGHT_PINKY_FINGER_PLUS","KLEINER FINGER_","Kleiner Finger+","$EN_RIGHT_PINKY_FINGER_FLAV_TEXT",
"$EN_RIGHT_EYE_PLUS","EZTLIS AUGE+","Eztlis Auge+","$EN_RIGHT_EYE_FLAV_TEXT",
