"flag",,,,"content",,,,
"$ENTRY_JOURNAL_INDEX_TITLE",,,,"INDEX",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_00",,,,"Tagebucheinträge",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_10",,,,"Tag 1: @Wo bin ich?@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_20",,,,"Nacht 1: @<berserker_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_30",,,,"Tag 3: @Anhang@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_40",,,,"Nacht 3: @Anhang@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_50",,,,"Tag 3: @Gefängnis@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_60",,,,"Tag 4: @Die Halbaußen-Welt @",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_70",,,,"Tag 5: @<ranger_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_80",,,,"Tag 8: @Anhang @",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_90",,,,"Nacht 7: @Das Niederbrennen von Karsk @",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_100",,,,"Tag 8: @Laksos@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_110",,,,"Tag 9: @<mcguffin_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_120",,,,"Tag 10: @Ozimals Tod@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_130",,,,"Nacht 10: @Das Kloster @",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_140",,,,"Tag 11: @<healer_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_150",,,,"Tag 13: @Wrenna@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_160",,,,"Tag 14: @Nomaden@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_170",,,,"Tag 15: @Seltsamer Traum@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_00",,,,"Tag 17: @Wüstenjuwel @",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_10",,,,"Tag 18: @<knight_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_20",,,,"Tag 19: @Brief von <knight_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_30",,,,"Nacht 19: @Meine Antwort: Entwurf 1@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_40",,,,"Tag 20: @<knight_hero_pos> Antwort@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_50",,,,"Tag 21: @Brief von <LQ><knight_hero_up><RQ>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_60",,,,"Nacht 21: @Z. Hd.: <berserker_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_70",,,,"Nacht 22: @<dragon_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_80",,,,"Tag 24: @Anhang@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_90",,,,"Tag 25: @Zweiter Traum @",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_100",,,,"Tag 28: @Zelemirs Tod@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_110",,,,"Tag 29: @Dritter Traum@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_120",,,,"Tag 35: @Eztlis Thron@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_130",,,,"Tag 37: @Tletl-Meztli@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_140",,,,"Tag 39: @Flucht?@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_150",,,,"Tag 40: @ Zelemir folgen@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_160",,,,"@Epilog@",,,,
"$ENTRY_JOURNAL_INTRO_TITLE",,,,
"$ENTRY_JOURNAL_INTRO_LEFT_00",,,,"Tag 1 - Wo bin ich?",,,,
"$ENTRY_JOURNAL_INTRO_LEFT_10",,,,"Ich bin vermutlich verrückt geworden, nichtsdestotrotz sollte ich versuchen, die sich vor meinen Augen entwickelnden Ereignisse aufzuzeichnen. Der Leser möge jedwede Schlussfolgerung ziehen; ich trage nur die Geschehnisse so ein, wie sie mein fiebriger Geist sie versteht.<N><N>Ich weiß sicher, dass ich mich mit der Seuche angesteckt habe, die unsere schöne Hauptstadt verwüstet. Ich weiß außerdem, dass ich, so wie die anderen Opfer vor mir, aus der Stadt geschafft und in die Grube geworfen wurde. Dem reihte sich eine solch seltsame und verstörende Kette aus Ereignissen an, dass ich mich noch immer frage, ob ich wache oder träume.<N>Als das Fieber mich niederstreckte, fand ich mich selbst an einem dunklen Ort wieder. Vor mir stand ein anderes Opfer.",,,,
"$ENTRY_JOURNAL_INTRO_RIGHT_00",,,,"Dort erschien ein prächtiger Thron, auf dem ein Mann saß, wie ich einen noch nie zuvor gesehen hatte. Jedes Stück seines Körpers war golden. Zuerst dachte ich, er müsse eine Statue sein, aber sogleich sprach er einen Befehl aus.
Auch seine Stimme war golden und knisterte mit der Macht des Donners. Es war keine Sprache, die ich je in der großen Bibliothek Ashs gehört oder gelesen hätte, aber mein Körper regte sich auf seinen Befehl hin. Meine Adern spannten, als ob das Blut aus meinem Körper platzen und zu ihm eilen wollte.
Mein Herz rast allein beim Gedanken daran.
-<mcguffin_hero> Livbar",,,,
"$ENTRY_JOURNAL_SLAK_TITLE",,,,
"$ENTRY_JOURNAL_SLAK_LEFT_0_00",,,,"Nacht 1 - <berserker_hero>",,,,
"$ENTRY_JOURNAL_SLAK_LEFT_0_10",,,,"Wenn ich über <berserker_hero> schreibe, habe ich das Gefühl, ich müsse der strengen Sprache der Hauptstadt entsagen und eine diesem Thema passenderen Umgangs-<N>sprache anwenden. <berserker_hero> ist eine Dumpfbacke. Er ist ein Arsch, der auch noch dumm ist.
Was ihm an Intellekt fehlt, macht er an Geruch wieder wett. Falls zwei brennende Misthaufen sich paaren und einen Nachkommen zeugen könnten, verzweifelte ihr übelriechender Abkömmling am Gestank der unbedeckten Achselhöhlen von <berserker_hero>. In der Tat sind all die lebendigen Leichen, die uns verfolgen, im Vergleich ein ausgezeichnetes Parfüm.
Aber <berserker_hero> hat mehr als nur ein hübsches Gesicht zu bieten. Er besitzt außerdem eine überaus starke Persönlichkeit, die ich nur als „mit dem Klammerbeutel gepudert“-verrückt bezeichnen kann.
Gestern stritt er eine Viertelstunde lang mit einem Stein, an dem er sich einen Zeh gestoßen hatte. Und verlor.",,,,
"$ENTRY_JOURNAL_SLAK_RIGHT_0_00",,,,"Ich bin wahrlich gesegnet, mit solcher Gesellschaft zu reisen.",,,,
"$ENTRY_JOURNAL_SLAK_RIGHT_0_10",,,,"Tag 3 - Anhang",,,,
"$ENTRY_JOURNAL_SLAK_RIGHT_0_20",,,,"Fairnesshalber muss ich zugeben, dass er auch der tapferste Mann ist, den ich je gesehen habe. Sein gesamter Körper ist ein Netz aus Kampfnarben, obwohl sich meine Begeisterung in Grenzen hält, wenn ich mich daran erinnere, dass er jegliche Art von Kleidung oder Rüstung auf seinem Oberkörper ablehnt. Unterm Strich ist es denke ich so - er ist sowohl ein unerträglicher Kasper als auch ein furchtbar fähiger Kämpfer und ich bin widerwillig froh, ihn bei mir zu haben.",,,,
"$ENTRY_JOURNAL_SLAK_RIGHT_0_30",,,,"<N><N>OOOH ICH LIEB DICH AUCH! XOXOXO

<N>ICH SCHLAFE NICHT ICH SPANNE NUR LIEGEND MEINE MUSKELN AN IST GUT FÜR MEINEN HINTERN",,,,
"$ENTRY_JOURNAL_SLAK_RIGHT_0_40",,,,"<N><N>Außerdem scheint er lesen und schreiben zu können! Wo auf Erden hat dieser blutrünstige Bummler eine Bildung erhalten?

<N>PS: Solltest du jemals wieder mein Tagebuch klauen, werde ich dein Hirn einschlagen.",,,,
"$ENTRY_JOURNAL_SLAK_LEFT_1_00",,,,"Nacht 3 - Anhang 2",,,,
"$ENTRY_JOURNAL_SLAK_LEFT_1_10",,,,"Ok, für's Protokoll: <berserker_hero> schläft nackt. Alle Racheversuche werden fortan tagsüber stattfinden.
Und ja, die Narben hören nicht an der Gürtellinie auf.

Ich hasse dich.",,,,
"$ENTRY_JOURNAL_SLAK_LEFT_1_20",,,,"DACHTEST DU ETWA KHAN UND CHARISSA KÄMPFEN NICHT?",,,,
"$ENTRY_JOURNAL_PRISON_TITLE",,,,
"$ENTRY_JOURNAL_PRISON_LEFT_0_00",,,,"Tag 3 – Gefängnis",,,,
"$ENTRY_JOURNAL_PRISON_LEFT_0_10",,,,"Vor drei Tagen hab ich diese Grube für ein Gefängnis gehalten. Nun denke ich, dass es selbst in der Hölle noch immer schlimmer kommen kann.
Der Mann, der uns gefangen hält, heißt Ozimal Kaz. Er ist ein gemeiner, kleinkarierter, abscheulicher Mensch. Wie ein Landsmann so hoffnungslos abscheulich werden kann, entzieht sich meinem Verständnis.
Von den Quaid, welche die letzten zwei Jahrzehnte damit verbrachten, ihre Grausamkeit in den östlichen Provinzen zu verfeinern, würde ich das erwarten. Selbst der skrupelloseste Nomaden-Häuptling würde seine Gier nach Blut eher mäßigen als dieser degenerierte Mensch.
Und dem Akzent nach aus der Hauptstadt! Dieses Monster wuchs im Schatten des Tempels selbst auf!",,,,
"$ENTRY_JOURNAL_PRISON_RIGHT_0_00",,,,"Ich sitze hier mit seinen anderen, willkürlich aufgegriffenen, Gefangenen: Banditen und Briganten, Männer, Frauen, Kinder, Ashen, Nomaden, Quaid. Der Tod durch die Hand dieses Mannes wartet auf sie alle.
Tag und Nacht hören wir das Stöhnen seiner gefangenen Wiedergänger, eine ohrenbetäubende Kakophonie, die nur durch die Todesschreie des neuesten Opfers durchbrochen werden. Und hier bin ich, außerstande, irgendwas zu unternehmen! Wäre ich doch nur mit diesen unglückseligen Opfern im Kolosseum, dann hätten sie zumindest eine Chance.
Trotz all seiner Angeberei scheint Ozimal zu zögern, mich ein zweites Mal zu „exekutieren“. Vielleicht fürchtet Ozimal, zu viele seiner gefangenen Wiedergänger zu verlieren – es kann nicht einfach sein, sie zu fangen oder zu pflegen und sein winziges Reich scheint es zu benötigen, dass sie seine Vasallen in Schach halten.",,,,
"$ENTRY_JOURNAL_PRISON_LEFT_1_00",,,,"Die Worte des rätselhaften Helfers hallen mir immerzu im Kopf wider. Ozimal wünscht, meine Fähigkeiten einem „Mann in Rot“ zu zeigen. Wer ist dieser Mann in Rot? Und wer ist dieser geheimnisvolle Fremde, der auf meine Rettung so bedacht ist? Wieso bin ich von irgendeiner Wichtigkeit?
In dieser Flut an Gedanken bin ich mir einer Sache sicher: bislang habe ich nur Gewalt gegen jene angewandt, die bereits tot sind. Sollte ich aber Ozimal jemals in die Finger kriegen, wird sich dieser Grundsatz ändern.",,,,
"$ENTRY_JOURNAL_HALFWAY_WORLD_TITLE",,,,
"$ENTRY_JOURNAL_HALFWAY_WORLD_LEFT_0_00",,,,"Tag 4 – Die Halbaußen-Welt",,,,
