"flag","name","comment",
"$BLANK","","COMMENT: Diese Datei enthält alle Texte aus dem Tutorial aus den Karten-Dateien (Levels) des Spiels.",
"$1_1_WHERE_AM_I_00_TITLE","TALK_$MCG_POWER","",
"$1_1_WHERE_AM_I_00_TEXT","Wo bin ich?","",
"$1_1_WHERE_AM_I_10_TITLE","","",
"$1_1_WHERE_AM_I_10_TEXT","<N>Dies ist dein Hauptcharakter, $MCG.<N>Sie kann sich nicht bewegen.",
"$1_1_WHERE_AM_I_20_TITLE","",
"$1_1_WHERE_AM_I_20_TEXT","<N>Feinde kommen von hier.<N>Lass sie nicht $MCG erreichen!",
"$1_1_WHERE_AM_I_30_TITLE","",
"$1_1_WHERE_AM_I_30_TEXT","<N>Im „Neues Spiel+“-Modus sind die Gegner viel stärker und haben neue Fähigkeiten.",
"$1_1_WHERE_AM_I_40_TITLE","",
"$1_1_WHERE_AM_I_40_TEXT","<N>Zum Beispiel regenerieren alle Wiedergänger jetzt ihre Gesundheit.",
"$1_1_WHERE_AM_I_50_TITLE","TALK_$MCG_POWER",
"$1_1_WHERE_AM_I_50_TEXT","Hey, Fremder! Wo bist du?",
"$1_1_WHERE_AM_I_60_TITLE","",
"$1_1_WHERE_AM_I_60_TEXT","<N>Klicke hier, um das BERSERKER-Menü auszuwählen.",
"$1_1_WHERE_AM_I_70_TITLE","",
"$1_1_WHERE_AM_I_70_TEXT","<N>Momentan hast du nur Berserker. Wenn du den nächsten Helden in der Geschichte findest, wirst du alle Charaktere der Klasse freischalten.",
"$1_1_WHERE_AM_I_80_TITLE","TALK_$BER_SURPRISE",
"$1_1_WHERE_AM_I_80_TEXT","Was hast du mit mir gemacht??",
"$1_1_WHERE_AM_I_90_TITLE","TALK_$MCG_POWER",
"$1_1_WHERE_AM_I_90_TEXT","Ich weiß es nicht! Hinter mir sind Monster her! Hilfe!",
"$1_1_WHERE_AM_I_100_TITLE","TALK_$BER_SURPRISE",
"$1_1_WHERE_AM_I_100_TEXT","Warum bin ich durchsichtig? Wo ist mein Körper?",
"$1_1_WHERE_AM_I_110_TITLE","",
"$1_1_WHERE_AM_I_110_TEXT","<N>Dies zeigt dir alle BERSERKER in deiner Gruppe.<N>Momentan hast du nur diesen Kerl.",
"$1_1_WHERE_AM_I_120_TITLE","",
"$1_1_WHERE_AM_I_120_TEXT","<N>Klicke hier, um ihn auzuwählen!",
"$1_1_WHERE_AM_I_130_TITLE","",
"$1_1_WHERE_AM_I_130_TEXT","<N>Deine alten Charaktere haben alle Werte, Talente und Ausrüstungen aus dem letzten Spiel.",
"$1_1_WHERE_AM_I_140_TITLE","TALK_$MCG_POWER",
"$1_1_WHERE_AM_I_140_TEXT","Ich habe gerufen … und dich in meinem Geist gespürt …",
"$1_1_WHERE_AM_I_150_TITLE","TALK_$MCG_POWER",
"$1_1_WHERE_AM_I_150_TEXT","Entgleite mir nicht! Ich muss mich konzentrieren!",
"$1_1_WHERE_AM_I_160_TITLE","TALK_$MCG_POWER",
"$1_1_WHERE_AM_I_160_TEXT","Wenn ich mich konzentriere – kann ich dich vielleicht herbringen!",
"$1_1_WHERE_AM_I_170_TITLE","TALK_$BER_SURPRISE",
"$1_1_WHERE_AM_I_170_TEXT","Öhm … Okay.",
"$1_1_WHERE_AM_I_180_TITLE","TALK_$BER_LOOKBACK",
"$1_1_WHERE_AM_I_180_TEXT","Ich hätte wirklich nicht den Echseneintopf essen sollen …",
"$1_1_WHERE_AM_I_190_TITLE","",
"$1_1_WHERE_AM_I_190_TEXT","<N>Klicke dorthin, wo du deinen Verteidiger platzieren möchtest.<N><N>Dies ist ein guter Ort!",
"$1_1_WHERE_AM_I_200_TITLE","TALK_$BER_SMILE",
"$1_1_WHERE_AM_I_200_TEXT","Heeeeeey!<N>So gefällts mir besser!",
"$1_1_WHERE_AM_I_210_TITLE",,
"$1_1_WHERE_AM_I_210_TEXT","<N>$MCG benutzt Psi-Energie, um Verteidiger zu beschwören.<N>Das Töten von Feinden lädt dein Psi wieder auf.",
"$1_1_WHERE_AM_I_220_TITLE","TALK_$MCG_POWER",
"$1_1_WHERE_AM_I_220_TEXT","Super!<N>Jetzt mach auch was!",
"$1_1_WHERE_AM_I_230_TITLE","TALK_$BER_SMILE",
"$1_1_WHERE_AM_I_230_TEXT","Was hast du gesagt?<N>Dich mit männlicher Gewalt beeindrucken?",
"$1_1_WHERE_AM_I_240_TITLE","TALK_$BER_DERANGED",
"$1_1_WHERE_AM_I_240_TEXT","Von mir aus gerne!",
"$1_1_WHERE_AM_I_250_TITLE",,
"$1_1_WHERE_AM_I_250_TEXT","<N>Verteidiger können sich nicht bewegen<N>und sie greifen Gegner AUTOMATISCH an.",
"$1_1_WHERE_AM_I_260_TITLE",,
"$1_1_WHERE_AM_I_260_TEXT","<N>Momentan ist das Spiel PAUSIERT.",
"$1_1_WHERE_AM_I_270_TITLE",,
"$1_1_WHERE_AM_I_270_TEXT","<N>Klicke hier, um die Sache ins Rollen zu bringen.",
"$1_1_WHERE_AM_I_280_TITLE","TALK_$BER_DERANGED",
"$1_1_WHERE_AM_I_280_TEXT","Kommt schon, ihr sabbernden Schufte!<N>Eure Zerstückelung steht bevor!",
"$1_1_WHERE_AM_I_290_TITLE","TALK_$BER_LOOKBACK",
"$1_1_WHERE_AM_I_290_TEXT","Das ist toll und so, aber ich hab unweigerlich das Gefühl, ich sollte noch exzellenter sein.",
"$1_1_WHERE_AM_I_300_TITLE","TALK_$BER_LOOKBACK",
"$1_1_WHERE_AM_I_300_TEXT","Bist du dir sicher, du hast meinen GANZEN Körper? Nichts … fehlt?",
"$1_1_WHERE_AM_I_310_TITLE","TALK_$MCG_POWER",
"$1_1_WHERE_AM_I_310_TEXT","Ich glaube, ich kann mehr Energie zu dir leiten …",
"$1_1_WHERE_AM_I_320_TITLE",,
"$1_1_WHERE_AM_I_320_TEXT","<N>Das ist die STÄRKEN-LEISTE von $BER.<N> $BER VERSTÄRKEN wird ihn stärker und schneller machen.",
"$1_1_WHERE_AM_I_330_TITLE",,
"$1_1_WHERE_AM_I_330_TEXT","<N>Ab STÄRKE Level 2<N>kann $BER seine zweite Technik, DOPPELSCHLAG, einsetzen.",
"$1_1_WHERE_AM_I_340_TITLE",,
"$1_1_WHERE_AM_I_340_TEXT","<N>Klicke jetzt auf VERSTÄRKEN!<N>Du wirst es nicht bereuen!",
"$1_1_WHERE_AM_I_350_TITLE","TALK_$BER_DERANGED",
"$1_1_WHERE_AM_I_350_TEXT","Das gefällt mir besser!",
"$1_2_THE_SHADOW_WORLD_00_TITLE","TALK_$MCG_POWER",
"$1_2_THE_SHADOW_WORLD_00_TEXT","$BER! Es hat funktioniert!",
"$1_2_THE_SHADOW_WORLD_10_TITLE","TALK_$MCG_POWER",
"$1_2_THE_SHADOW_WORLD_10_TEXT","Ich bin wieder an diesem seltsamen Ort .. Diesem Halbaußenort …",
"$1_2_THE_SHADOW_WORLD_20_TITLE","TALK_$BER_SURPRISE",
"$1_2_THE_SHADOW_WORLD_20_TEXT","Hol mich dazu! Ich fühl mich, als ob ich im All schwebte!",
"$1_2_THE_SHADOW_WORLD_30_TITLE",,
"$1_2_THE_SHADOW_WORLD_30_TEXT","<N>Vergiss nicht:<N>klicke hier, um das BERSERKER-Menü auszuwählen.",
"$1_2_THE_SHADOW_WORLD_40_TITLE","TALK_$BER_SMILE",
"$1_2_THE_SHADOW_WORLD_40_TEXT","Oh ja, lass es krachen!",
"$1_2_THE_SHADOW_WORLD_50_TITLE",,
"$1_2_THE_SHADOW_WORLD_50_TEXT","<N>WÄHLE $BER AUS, indem du auf ihn klickst.",
"$1_2_THE_SHADOW_WORLD_60_TITLE",,
"$1_2_THE_SHADOW_WORLD_60_TEXT","<N>Diese Knöpfe weisen $BER an, welcher Gegner angegriffen werden soll.",
"$1_2_THE_SHADOW_WORLD_70_TITLE",,
"$1_2_THE_SHADOW_WORLD_70_TEXT","<N>Vergiss nicht, diese Knöpfe<N>verändern das Spieltempo.",
"$1_2_THE_SHADOW_WORLD_80_TITLE","Hinweis",
"$1_2_THE_SHADOW_WORLD_80_TEXT","<N>Du kannst sogar Sachen machen, wenn das Spiel PAUSIERT ist.<N>Benutze <PAUSE>, um schnell zur Pause zu wechseln.",
"$1_2_THE_SHADOW_WORLD_90_TITLE",,
"$1_2_THE_SHADOW_WORLD_90_TEXT","<N>Vergiss nicht, $BER zu VERSTÄRKEN.<N>Es ist eine wesentliche Taktik.",
"$1_2_THE_SHADOW_WORLD_100_TITLE","TALK_$BER_DERANGED",
"$1_2_THE_SHADOW_WORLD_100_TEXT","OH JA!<N>Spüre die Kraft!",
"$1_2_THE_SHADOW_WORLD_110_TITLE",,
"$1_2_THE_SHADOW_WORLD_110_TEXT","<N>OH NEIN!<N>$BER kann die nächste Feindwelle nicht erreichen!",
"$1_2_THE_SHADOW_WORLD_120_TITLE",,
"$1_2_THE_SHADOW_WORLD_120_TEXT","<N>Benutze den BLITZ-Zauber von $MCG, um sie zu erwischen!",
"$1_2_THE_SHADOW_WORLD_130_TITLE",,
"$1_2_THE_SHADOW_WORLD_130_TEXT","<N>Toll!<N>Benutze Blitze, um Gegner zu kriegen, die sonst entwischen.",
"$1_2_THE_SHADOW_WORLD_140_TITLE",,
"$1_2_THE_SHADOW_WORLD_140_TEXT","<N>Sei damit aber sparsam.<N>Die Benutzung kostet PSI.",
"$1_3_COLISEUM_1_00_TITLE","TALK_$RAN_NORMAL",
"$1_3_COLISEUM_1_00_TEXT","Was zur – was machst du?",
"$1_3_COLISEUM_1_10_TITLE","TALK_$BER_NORMAL",
"$1_3_COLISEUM_1_10_TEXT","Fühlt sich komisch an, oder?",
"$1_3_COLISEUM_1_20_TITLE","TALK_$RAN_NORMAL",
"$1_3_COLISEUM_1_20_TEXT","Ich fühl mich wie … damals, als ich die Seuche hatte …",
"$1_3_COLISEUM_1_30_TITLE","TALK_$RAN_NORMAL",
"$1_3_COLISEUM_1_30_TEXT","Als ich dachte, ich würde sterben …",
"$1_3_COLISEUM_1_40_TITLE","TALK_$RAN_NORMAL",
"$1_3_COLISEUM_1_40_TEXT","Als ob ich halb dort war …",
"$1_3_COLISEUM_1_50_TITLE","TALK_$BER_DERANGED",
"$1_3_COLISEUM_1_50_TEXT","Nun, lass uns in einige Ärsche treten, statt zu sterben!",
"$1_3_COLISEUM_1_60_TITLE","TALK_$BER_SMILE",
"$1_3_COLISEUM_1_60_TEXT","Das bevorzuge ich zumindest dem Tod gegenüber.",
"$1_3_COLISEUM_1_70_TITLE","Der Waldläufer",
"$1_3_COLISEUM_1_70_TEXT","$MCG kann nun zwischen zwei Klassen wählen, indem das Berserker- oder Waldläufer-Menü gewählt wird.",
"$1_3_COLISEUM_1_80_TITLE",,
"$1_3_COLISEUM_1_80_TEXT","<N>Bewege die Maus über die Gegner, um mehr Details zu erhalten.",
"$1_3_COLISEUM_1_90_TITLE",,
"$1_3_COLISEUM_1_90_TEXT","<N>Beispielsweise können diese ROTEN Gegner zurückschlagen!",
"$1_3_COLISEUM_1_100_TITLE",,
"$1_3_COLISEUM_1_100_TEXT","<N>Beachte außerdem dieses Symbol. Dort wird die nächste Gegnerwelle erscheinen.",
"$1_4_COLISEUM_2_00_TITLE",,
