"flag","content","comment",
"$TITLE_START_DEMO","Start DEMO",
"$TITLE_FULL_GAME","FULL GAME",
"$TITLE_START_GAME","Start GAME",
"$TITLE_START","Start",
"$TITLE_QUIT","Quit",
"$TITLE_EULA_1","By playing this you agree to our",
"$TITLE_EULA_2","End User License Agreement",
"$TITLE_PLEASE_WAIT","<RE>$MISC_PLEASE_WAIT","COMMENT: this is a redirect, the text for $MISC_PLEASE_WAIT will be duplicated here. The <RE> invocation at the beginning of the string signals a redirect, and will not show up in the final text",
"$TITLE_BONUS_GOODIES","Bonus Goodies",
"$TITLE_BONUS_GOODIES_2","Secrets?",
"$TITLE_CONNECTING_KONG","Connecting to KONG...",
"$TITLE_UNLOAD_MOD","Unload Mod",
"$TITLE_RELOAD_MOD","Reload Mod",
"$DEMO_OVER_PLEASE_WAIT","<RE>$MISC_PLEASE_WAIT",
"$DEMO_OVER_DONT_FORGET","Don't forget your save file!",
"$DEMO_OVER_EXPORT_HOW","Export your save file with this button.",
"$DEMO_OVER_USE_IT","Use it to continue from where you left off!",
"$DEMO_OVER_PLAY","Keep Playing!",
"$DEMO_OVER_THANKS","Thanks for Playing!",
"$DEMO_OVER_ENORMOUS","Click the enormous button to continue your quest!",
"$DEMO_OVER_ENORMOUS_2","Click an enormous button to continue your quest!",
"$DEMO_OVER_FULL_GAME","Get the FULL GAME!",
"$DEMO_OVER_FULL_GAME_SHORT","FULL<N>GAME!","COMMENT: <N> means a line break. <N> works too, but not <N> or <n>",
"$DEMO_OVER_ACTS","Acts<N>III & IV",
"$DEMO_ONLY_X_KREDS","Only <X> kreds!",
"$DEMO_ONLY_LOGIN_TITLE","FREE!",
"$DEMO_ONLY_LOGIN_TEXT","Unlocks Acts III & IV!<N>2 more character classes!<N>6 more battle maps!<N><N>@It's FREE:@<N>Register a kong account<N>(or sign in if you have one)<N>then restart the game.<N>",
"$DEMO_ONLY_BUY_TEXT","@Includes DOWNLOADABLE game and soundtrack!@<N>Unlocks Acts III - VII!<N>All 6 character classes!<N>All 108 cutscenes!<N>All 39 battle maps!<N>All 14 bonus battles!<N><N>New Game+ mode!<N>Original game x 2!<N>All new enemy types!<N>7 new sidequests!<N>Loot, books, and bonuses!<N><N>",
"$DEMO_FREE_IF_REGISTERED","FREE if registered!",
"$ERROR_TITLE","An Error Has Happened!",
"$ERROR_NUMBER","Error #",
"$ERROR_CONTEXT","context",
"$ERROR_MESSAGE","message",
"$ERROR_STACK","stack trace",
"$PARTY_FROM_BATTLE","From battle",
"$PARTY_GO_TO_MAP","Go to Map",
"$PARTY_RETURN_TOWN","Return to Town",
"$PARTY_CANT_WEAPON","Can't<N>use<N>WEAPONS",
"$PARTY_CANT_ARMOR","Can't<N>use<N>ARMOR",
"$PARTY_RESET_POINTS","Reset pts",
"$PARTY_X_PTS","<X> pts",
"$PARTY_REDESIGN","Redesign",
"$PARTY_CONFIRM_CHANGES","Confirm Changes",
"$PARTY_FAILED","Level Failed!",
"$PARTY_FAILED_DESC","<MCG> was slain.","COMMENT: <MCG> is a variable. In this exact string, the game expects this exact variable, and will replace <MCG> with Azra's name. Any other variable is ignored and will appear as-is.",
