"flag","value",
"$ACHV_AZRA_LVL_10_TITLE","Intro to Library Science", "COMMENT: WIP",
"$ACHV_AZRA_LVL_10_DESC","Raggiungi il LVL 10 con la tua bibliotecaria",
"$ACHV_AZRA_LVL_25_TITLE","Bibliologia Intermedia",
"$ACHV_AZRA_LVL_25_DESC","Raggiungi il LVL 25 con la tua bibliotecaria",
"$ACHV_HAVE_ALL_CLASSES_TITLE","Il Mio Esercito Personale",
"$ACHV_HAVE_ALL_CLASSES_DESC","Sblocca tutte e 6 le classi di personaggi (la Bibliotecaria non conta)",
"$ACHV_BEAT_ANY_EXTREME_TITLE","Medaglia D'oro!",
"$ACHV_BEAT_ANY_EXTREME_DESC","Completa un livello in modalità Estrema.",
"$ACHV_HAVE_SKILL_LVL_20_TITLE","Mad Skills", "COMMENT: WIP",
"$ACHV_HAVE_SKILL_LVL_20_DESC","Sblocca un'abilità di livello 20",
"$ACHV_BOOST_TECH_5_TITLE","Io Ho Il Potere!",
"$ACHV_BOOST_TECH_5_DESC","In battaglia, potenzia un personaggio sino al massimo livello",
"$ACHV_AZRA_LVL_40_TITLE","Bibliofisica Avanzata",
"$ACHV_AZRA_LVL_40_DESC","Raggiungi il LVL 40 con la tua bibliotecaria",
"$ACHV_AZRA_LVL_60_TITLE","Bibliomanzia d'elite",
"$ACHV_AZRA_LVL_60_DESC","Raggiungi il LVL 60 con la tua bibliotecaria",
"$ACHV_HAVE_ALL_WEAPONS_UNIQUE_TITLE","Swiss Army Sword",
"$ACHV_HAVE_ALL_WEAPONS_UNIQUE_DESC","Ottieni tutte le armi uniche nel gioco normale",
"$ACHV_HAVE_ALL_ARMOR_UNIQUE_TITLE","Swiss Army Breastplate",
"$ACHV_HAVE_ALL_ARMOR_UNIQUE_DESC","Ottieni tutte le armature uniche nel gioco normale",
"$ACHV_HAVE_ALL_BOOKS_NORMAL_TITLE","Secchione", "COMMENT: WIP",
"$ACHV_HAVE_ALL_BOOKS_NORMAL_DESC","Ottieni tutti i libri dalle sfide bonus nella partita normale",
"$ACHV_ENDLESS_100_NORMAL_TITLE","Resistenza",
"$ACHV_ENDLESS_100_NORMAL_DESC","Raggiungi la centesima ondata della Sfida Infinita 2 nel gioco normale",
"$ACHV_BEAT_GAME_NORMAL_TITLE","Il Vincitore è... Tu!",
"$ACHV_BEAT_GAME_NORMAL_DESC","Completa una partita normale",
"$ACHV_BEAT_ALL_SIDEQUESTS_TITLE","Niente in sospeso",
"$ACHV_BEAT_ALL_SIDEQUESTS_DESC","Completa tutte le missioni secondarie in NG+",
"$ACHV_HAVE_201_STARS_BLUE_TITLE","Completionist",
"$ACHV_HAVE_201_STARS_BLUE_DESC","Earn 201 Blue Stars",
"$ACHV_UPGRADE_ALL_WEAPONS_UNIQUE_TITLE","Big Box o' Killing-Stuff",
"$ACHV_UPGRADE_ALL_WEAPONS_UNIQUE_DESC","Upgrade all the unique weapons in new game+",
"$ACHV_UPGRADE_ALL_ARMOR_UNIQUE_TITLE","Big Box o' Not-Dying",
"$ACHV_UPGRADE_ALL_ARMOR_UNIQUE_DESC","Upgrade all the unique armor in new game+",
"$ACHV_HAVE_ALL_BOOKS_PLUS_TITLE","Book Dragon",
"$ACHV_HAVE_ALL_BOOKS_PLUS_DESC","Earn all the books from bonus challenges in new game+",
"$ACHV_ENDLESS_100_PLUS_TITLE","Maratona",
"$ACHV_ENDLESS_100_PLUS_DESC","Raggiungi la centesima ondata della Sfida Infinita 2 in modalità NG+",
"$ACHV_BEAT_GAME_PLUS_TITLE","Il Vincitore è... Tu+!",
"$ACHV_BEAT_GAME_PLUS_DESC","Completa la partita in modalità NG+",
"$ACHV_BEAT_SUPER_SHEEP_NORMAL_TITLE","Cacciatore di Pecore",
"$ACHV_BEAT_SUPER_SHEEP_NORMAL_DESC","Sconfiggi la Super Pecora nel gioco standard",
"$ACHV_HERO_MODE_TITLE","Modalità Eroe",
"$ACHV_HERO_MODE_DESC","Finisci il gioco normale senza nessuna recluta generica",
"$ACHV_HERO_MODE_PLUS_TITLE","Modalità Eroe+",
"$ACHV_HERO_MODE_PLUS_DESC","Finisci il gioco in modalità NG+ senza nessuna recluta generica",
"$ACHV_HAVE_201_STARS_GOLD_TITLE","Super Completionist",
"$ACHV_HAVE_201_STARS_GOLD_DESC","Guadagna 201 medaglie d'oro",
"$ACHV_BEAT_SUPER_SHEEP_PLUS_TITLE","Super Cacciatore di Pecore",
"$ACHV_BEAT_SUPER_SHEEP_PLUS_DESC","Sconfiggi la Super Pecora in modalità NG+",
"$ACHV_HERO_MODE_PLUS_PLUS_TITLE","Modalità Eroe++",
"$ACHV_HERO_MODE_PLUS_PLUS_DESC","Guadagna 180 medaglie d'oro senza nessuna recluta generica*La Modalità Eroe++ è molto difficile - ti raccomandiamo di aumentare la velocità con cui guadagni esperienza nel menu opzioni!",
"$ACHV_USE_TARGETS_TITLE","Precision Targeting",
"$ACHV_USE_TARGETS_DESC","Use an advanced targeting option",
"$ACHV_MENU_ACCESS_TITLE","Accesso Illimitato",
"$ACHV_MENU_ACCESS_DESC","Visita il menu accessibilità<N>(opzioni->accessibilità)",
"$ACHV_MENU_CONTROLS_TITLE","Non Puoi Controllarmi!",
"$ACHV_MENU_CONTROLS_DESC","Visita il menu dei controlli<N>(opzioni->controlli)",
"$ACHV_MENU_TIPS_TITLE","Hit the Books",
"$ACHV_MENU_TIPS_DESC","Visit the tips menu<N>(overworld->tips)",
"$ACHV_MENU_NULL","Null",
