"flag","content","comment",
"$TITLE_START_DEMO","Inizia il DEMO",
"$TITLE_FULL_GAME","Versione completa",
"$TITLE_START_GAME","Inizia il gioco",
"$TITLE_START","Inizia",
"$TITLE_QUIT","Esci",
"$TITLE_EULA_1","By playing this you agree to our",
"$TITLE_EULA_2","End User License Agreement",
"$TITLE_PLEASE_WAIT","<RE>$MISC_PLEASE_WAIT","COMMENT: this is a redirect, the text for $MISC_PLEASE_WAIT will be duplicated here. The <RE> invocation at the beginning of the string signals a redirect, and will not show up in the final text",
"$TITLE_BONUS_GOODIES","Contenuti bonus",
"$TITLE_BONUS_GOODIES_2","Segreti?",
"$TITLE_CONNECTING_KONG","Connessione a KONG...",
"$TITLE_UNLOAD_MOD","Unload Mod",
"$TITLE_RELOAD_MOD","Ricarica Mod",
"$DEMO_OVER_PLEASE_WAIT","<RE>$MISC_PLEASE_WAIT",
"$DEMO_OVER_DONT_FORGET","Non dimenticare il tuo file di salvataggio!",
"$DEMO_OVER_EXPORT_HOW","Esporta il tuo salvataggio con questo pulsante.",
"$DEMO_OVER_USE_IT","Use it to continue from where you left off!",
"$DEMO_OVER_PLAY","Continua a giocare!",
"$DEMO_OVER_THANKS","Grazie per aver giocato!",
"$DEMO_OVER_ENORMOUS","Clicca sull'enorme bottone per continuare la tua avventura!",
"$DEMO_OVER_ENORMOUS_2","Clicca sull'enorme bottone per continuare la tua avventura!",
"$DEMO_OVER_FULL_GAME","Get the FULL GAME!",
"$DEMO_OVER_FULL_GAME_SHORT","FULL<N>GAME!","COMMENT: <N> means a line break. <N> works too, but not <N> or <n>",
"$DEMO_OVER_ACTS","Acts<N>III & IV",
"$DEMO_ONLY_X_KREDS","Solo <X> kreds!",
"$DEMO_ONLY_LOGIN_TITLE","Gratis!",
"$DEMO_ONLY_LOGIN_TEXT","Sblocca gli atti III & IV!<N>2 altre classi di personaggi!<N>6 altre mappe!<N><N>@It's FREE:@<N>Register a kong account<N>(or sign in if you have one)<N>then restart the game.<N>",
"$DEMO_ONLY_BUY_TEXT","@Includes DOWNLOADABLE game and soundtrack!@<N>Unlocks Acts III - VII!<N>All 6 character classes!<N>All 108 cutscenes!<N>All 39 battle maps!<N>All 14 bonus battles!<N><N>New Game+ mode!<N>Original game x 2!<N>All new enemy types!<N>7 new sidequests!<N>Loot, books, and bonuses!<N><N>",
"$DEMO_FREE_IF_REGISTERED","Gratis se sei registrato!",
"$ERROR_TITLE","È successo un errore!",
"$ERROR_NUMBER","Errore #",
"$ERROR_CONTEXT","contesto",
"$ERROR_MESSAGE","messaggio",
"$ERROR_STACK","stack trace",  "COMMENT: WUT",
"$PARTY_FROM_BATTLE","Dalla battaglia",
"$PARTY_GO_TO_MAP","Vai alla mappa",
"$PARTY_RETURN_TOWN","Torna al villaggio",
"$PARTY_CANT_WEAPON","Non può<N>usare<N>ARMI",
"$PARTY_CANT_ARMOR","Non può<N>usare<N>ARMATURE",
"$PARTY_RESET_POINTS","Riassegna abilità",
"$PARTY_X_PTS","<X> punti",
"$PARTY_REDESIGN","Aspetto",
"$PARTY_CONFIRM_CHANGES","Conferma i cambiamenti",
"$PARTY_FAILED","Levello fallito!",
"$PARTY_FAILED_DESC","<MCG> è stata uccisa.","COMMENT: <MCG> is a variable. In this exact string, the game expects this exact variable, and will replace <MCG> with Azra's name. Any other variable is ignored and will appear as-is.",
"$PARTY_NO_NEW_ACHIEVE","Nessun nuovo achievement.",
"$PARTY_WELL_DONE","BEN FATTO!",
"$PARTY_ACHIEVE_SINGULAR","achievement",
"$PARTY_ACHIEVE_PLURAL","achievements",
"$PARTY_1_NEW_ACHIEVE","1 nuovo achievement!",
"$PARTY_X_NEW_ACHIEVE","<NUM> nuovi achievements!",
"$PARTY_PERFECT_WORD","Perfetto",
"$PARTY_PASSED_WORD","Passato",
"$PARTY_FAIL_PENALTY","Penalità per il fallimento",
"$PARTY_TOTAL","Totale",
"$PARTY_PERFECT","PERFETTO!",
"$PARTY_PERFECT+","PERFETTO!+",
"$PARTY_PERFECT++","PERFETTO!++",
"$PARTY_PERFECT_DESC","<MCG> è rimasta illesa!",
"$PARTY_PERFECT++_DESC","<MCG> e <ALLY><N> sono illesi!","COMMENT: The game will put Zelemir, Tletl-Meztli, or any other alternate mcguffin's name where <ALLY> appears.",
"$PARTY_PERFECT+_DESC","<MCG> è illesa!<N><ALLY> è stato ferito!",
"$PARTY_PERFECT_ALLY_DEAD_DESC","<MCG> è illesa, ma <ALLY> è morto.",
"$PARTY_PASSED","Livello Completato!",
"$PARTY_PASSED+","Livello Completato!+",
"$PARTY_PASSED++","Livello Completato!++",
"$PARTY_PASSED_DESC","<MCG> è sopravvissuta allo scontro,<N>ma è stata ferita.",
"$PARTY_PASSED_ALLY_DEAD_DESC","<ALLY> è stato ucciso,<N>ma <MCG> è sopravvissuta.",
"$PARTY_PASSED+_DESC","<MCG> è stata ferita!<N><ALLY> è rimasto illeso!",
"$PARTY_PASSED++_DESC","<MCG> è stata ferita!<N><ALLY> è rimasto illeso!",
"$PARTY_DEFEATED_WAVE_X","Sconfitta l'ondata <X>",
"$PARTY_REACHED_WAVE_X","Raggiunta l'ondata <X>",
"$PARTY_NO_POINTS","Non ci sono punti abilità da riassegnare!",
"$PARTY_NO_AFFORD","Non te lo puoi permettere!<N>Costa:<T><COST><N><T>Scrap:<T><SCRAP>",  "COMMENT: WIP (scrap)",
"$PARTY_RE_ASSIGN","Riassegna tutte le abilità di <NAME>?<N>Costo:<T><COST><N>Scrap:<T><SCRAP>",  "COMMENT: WIP (scrap)",
"$PARTY_CHANGE_NAME","Rinomina",
"$PARTY_CONFIRM_POINTS_1_1","Permanently assign 1 skill point to 1 character?","COMMENT: There are 4 variants here to handle the various pluralizations", "COMMENT: WIP",
"$PARTY_CONFIRM_POINTS_1_X","Permanently assign 1 skill point to <CHARS> characters?",
"$PARTY_CONFIRM_POINTS_X_1","Permanently assign <POINTS> skill points to 1 character?",
"$PARTY_CONFIRM_POINTS_X_X","Permanently assign <POINTS> skill points to <CHARS> characters?",
"$PARTY_POINT","punto",
"$PARTY_POINTS","punti",
"$PARTY_CHARACTER","personaggio",
"$PARTY_CHARACTERS","personaggi",
"$PARTY_CONFIRM_POINTS_TITLE","Conferma punti abilità",
"$PARTY_RENAME","Rinomina",
"$PARTY_REDESIGN","Aspetto",
"$UI_EQUIP_NAME","Nome",
"$UI_EQUIP_STAT","Attributi",
"$UI_EQUIP_OWNER","Possessore",
"$UI_EQUIP_SHOW_EQUIPPED","Mostra equipaggiamento",
"$UI_EQUIP_CLASS_CANT_W","Questa classe non può equipaggiare armi!",
"$UI_EQUIP_CLASS_CANT_A","Questa classe non può usare armature!",
"$UI_EQUIP_ALL_W_SWORD","Tutte le spade sono equipaggiate!",
"$UI_EQUIP_ALL_W_BOW","Tutti gli archi sono equipaggiati!",
"$UI_EQUIP_ALL_W_STAFF","Tutti i bastoni sono equipaggiati!",
"$UI_EQUIP_ALL_A_LIGHT","Tutte le armature leggere sono equipaggiate!",
"$UI_EQUIP_ALL_A_HEAVY","Tutte le armature pesanti sono equipaggiate!",
"$UI_EQUIP_ALL_W_BOOK","Tutti i libri sono equipaggiati!",
"$UI_EQUIP_NO_W_SWORD","Nessuna spada posseduta!",
"$UI_EQUIP_NO_W_BOW","Nessun arco posseduto!",
"$UI_EQUIP_NO_W_BOOK","Nessun libro posseduto!",
"$UI_EQUIP_NO_W_STAFF","Nessun bastone posseduto!",
"$UI_EQUIP_NO_A_LIGHT","Nessuna armatura leggera posseduta!",
"$UI_EQUIP_NO_A_HEAVY","Nessuna armatura pesante posseduta!",
"$UI_ACCEPT_NUMS","font:18,off_y:1,off_x:-3","COMMENT: Font size and x/y offsets for options menu button labels",
"$UI_BACK_NUMS","font:18,off_y:1,off_x:-3",
"$UI_AUDIO_NUMS","font:18,off_y:1,off_x:-2",
"$UI_VIDEO_NUMS","font:18,off_y:1,off_x:-2",
"$UI_MISC_NUMS","font:18,off_y:1,off_x:-2",
"$UI_ACCESS_NUMS","font:18,off_y:1,off_x:-2,show_boxes:1,absence_off_x:0,speed_off_x:0","COMMENT: hide/show accessibility box graphic, offset for 'absence' text, offset for 'speed' text",
"$UI_ACHIEVEMENTS_NUMS","font:18,off_y:0,pop_up_off_y:0",
"$UI_RESTART_NUMS","font:18,off_y:1,off_x:-2",
"$UI_QUIT_NUMS","font:18,off_y:1,off_x:-2",
"$UI_CONTROLS_NUMS","font:18,off_y:1,off_x:-2",
"$UI_OPTIONS_NUMS","font:18,off_y:1,off_x:-2",
"$UI_CONTROLS_TITLE","Controlli",
"$UI_VIDEO_TITLE","Video",
"$UI_AUDIO_TITLE","Audio",
"$UI_ACCESS_TITLE","Accessibilità",
"$UI_MISC_TITLE","Miscellaneous",
"$UI_OPTIONS_TITLE","Options",
"$UI_OPTIONS_MENU","Options Menu",
"$UI_OPTIONS_SPEED","Game Speed",
"$UI_ACHIEVEMENTS_TITLE","Achievements",
"$UI_ACHIEVEMENTS_BUTTON_NUMBERS","font:18,offy:-2",
"$UI_SFX","SFX:",
"$UI_MUSIC","Musica:",
"$UI_ACCESS_REWARDS","REWARDS",
"$UI_ACCESS_PENALTIES","PENALTIES",
"$UI_ACCESS_DEFAULT","Default Settings",
"$UI_ACCESS_FAIL","FALLIMENTO",
"$UI_ACCESS_ABSENCE","ABSENCE",
"$UI_ACCESS_FLASHING","Flashing Effects",
"$UI_ACCESS_SPEED","Velocità di gioco",
"$UI_BONUS_BONUS_LEVELS","Livelli Bonus",
"$UI_BONUS_STARS_LINE","<STAR_NUM> <STAR_COLOR> stars",
"$UI_BONUS_GOLD_STARS_LINE","<STAR_NUM> gold stars",
"$UI_BONUS_BLUE_STARS_LINE","<STAR_NUM> blue stars",
"$UI_MOVIE_NUMS","font:13,tabs:3",
"$UI_MOVIE_SELECT_A_MOVIE","Scegli una scena",
"$UI_MOVIE_SCENE","scene",
"$UI_MOVIE_END","end",
"$UI_MOVIE_QUEST","quest",
"$UI_TIPS_TITLE","Tips & Tricks",
"$UI_UPDATER_CANCEL","<RE>$MISC_CANCEL",
"$UI_UPDATER_SECURED_WITH","This update mechanism is secured with HTTPS,<N>as well as public key fingerprint verification.",
"$UI_UPDATER_ASK_DOWNLOAD","Download the update?",
"$UI_UPDATER_SERVER_TIMEOUT","Server Timeout!",
"$UI_UPDATER_NO_INFO","Couldn't find update info on server.",
"$UI_UPDATER_NO_BIG_DEAL","This isn't a big deal, you can still play the game, you just can't reach the update server right now.",
"$UI_UPDATER_DEB","DEB package",
"$UI_UPDATER_RPM","RPM package",
"$UI_UPDATER_TARGZ","TAR.GZ archive",
"$UI_UPDATER_CHECKING","Checking for updates...",
"$UI_UPDATER_UPDATE_EXISTS","Updated version available!",
"$UI_UPDATER_CURRENT_VERSION","Current Version:<T>",
"$UI_UPDATER_NEWEST_VERSION","Newest   Version:<T>",
"$UI_UPDATER_NO_UPDATES","No updates are available",
"$UI_UPDATER_PLEASE_WAIT","<RE>$MISC_PLEASE_WAIT",
"$UI_UPDATER_TRYING_30","Trying for 30 seconds",
"$UI_UPDATER_CONNECT_AGAIN","Connecting Again",
"$UI_UPDATER_ERROR!","ERROR!",
"$UI_UPDATER_DETAILS","Details:",
"$UI_UPDATER_NO_VERIFY","Couldn't verify update file.",
"$UI_UPDATER_NO_DOWNLOAD","Couldn't download update file.",
"$UI_UPDATER_CHECKSUM_MISMATCH","The file's checksum didn't match what we expected.<N><N>Possible causes are an incomplete download (likely), a security problem (unlikely), or cosmic rays (you never know!).<N><N>Either way, the update failed.",
"$UI_UPDATER_GIVE_UP","Give Up",
"$UI_UPDATER_TRY_AGAIN","Try Again",
"$UI_UPDATER_CONNECTING","Connecting to server...",
"$UI_UPDATER_DOWNLOADING_FILE","Downloading update file...",
"$UI_UPDATER_DOWNLOADING_SIG","Downloading update signature...",
"$UI_UPDATER_CHECKSUM","Calculating checksum...",
"$UI_UPDATER_NAVIGATING","Navigating to file...",
"$UI_UPDATER_CLOSE_WINDOW","You must close this window before installing the update.",
"$UI_UPDATER_FILE_IS_AT","Your update file is located at:",
"$UI_UPDATER_IF_NO_WINDOW","If a navigation folder does not open, try going there manually.",
"$UI_UPDATER_DOWNLOADED","Update Downloaded!",
"$UI_UPDATER_NAVIGATE_NOW","Navigate to file now?",
"$UI_UPDATER_NOTE","Note:",
"$UI_UPDATER_SECURITY","For security reasons, you must run the downloaded installer manually.<N><N>This program will navigate to your file's download location.",
"$UI_UPDATER_INSTALLING","Installing Update...",
"$UI_UPDATER_EXITING","Exiting Application...",
"$UI_DEFENDER_RECALL_LINE","RECALL: +<PSI> Psi",
"$UI_DEFENDER_ORB_NUMS","orb_space:0",
