"flag","name","description",
"$ITEM_SWORD","<RE>$ITM_W_SWORD","",
"$ITEM_BOW","<RE>$ITM_W_BOW","",
"$ITEM_STAFF","<RE>$ITM_W_STAFF","",
"$ITEM_LIGHT","<RE>$ITM_A_LIGHT","",
"$ITEM_HEAVY","<RE>$ITM_A_HEAVY","",
"$ITEM_BOOK","<RE>$ITM_W_BOOK","",
"$ITEM_WEAPON","武器","",
"$ITEM_ARMOR","鎧","",
"$ITM_W_BOOK","本","<NULL>",
"$ITM_W_BOOK_PLURAL","本","<NULL>",
"$ITM_A_LIGHT","軽鎧","<NULL>",
"$ITM_A_LIGHT_PLURAL","軽鎧","<NULL>",
"$ITM_A_HEAVY","重鎧","<NULL>",
"$ITM_A_HEAVY_PLURAL","重鎧","<NULL>",
"$ITM_W_SWORD","剣","<NULL>",
"$ITM_W_SWORD_PLURAL","剣","<NULL>",
"$ITM_W_BOW","弓","<NULL>",
"$ITM_W_BOW_PLURAL","弓","<NULL>",
"$ITM_W_STAFF","杖","<NULL>",
"$ITM_W_STAFF_PLURAL","杖","<NULL>",
"$ITM_A_LIGHT_PLURAL_SHORT","軽鎧","<NULL>",
"$ITM_A_HEAVY_PLURAL_SHORT","重鎧","<NULL>",
"$ITM_W_SWORD_PLURAL_SHORT","剣","<NULL>",
"$ITM_W_STAFF_PLURAL_SHORT","杖","<NULL>",
"$ITM_W_BOW_PLURAL_SHORT","弓","<NULL>",
"$ITM_W_BOOK_PLURAL_SHORT","本","<NULL>",
"$ITM_A_LIGHT_1","粗い布","服の下に着る黄色い粗布。かゆいが、何もないよりはマシ。",
"$ITM_A_LIGHT_2","獣の革","乾燥させた動物の革を縫い合わせベストにしたもの。分厚くて頑丈。",
"$ITM_A_LIGHT_3","族長のチュニック","華やかな色合いの遊牧民のチュニック。羊毛でできており、華麗な刺繍が施されている。裾には曲がりくねり続けるワールド・ツリーの根が描かれている。",
"$ITM_A_LIGHT_4","ウールチュニック","遊牧民の羊飼いがつくった高価な羊毛のチュニック。丈が長く分厚い。",
"$ITM_A_LIGHT_5","タイガーベスト","衣服のルーツとして、クウェイド帝国の火が革に描かれている。",
"$ITM_A_LIGHT_6","毛皮","温かいふかふかのベスト。高価な毛皮でできている。",
"$ITM_A_LIGHT_7","オジマルコート","ちょっとクサい。",
"$ITM_A_LIGHT_8","レザー","精巧なデザインの上着。保存処理の施された革を丁寧に縫い合わせてつくられている。",
"$ITM_A_LIGHT_9","バトル修道服","パッドをたくさん詰め込んだ修道服。真実と秩序の擁護を掲げるセリーニ9番目の分家の家紋が装飾されている。",
"$ITM_A_LIGHT_10","ウールギャンベソン","上質のウールを重ねて仕上げた一品。毛を詰め、丹念に縫い合わせてつくられている。頑丈ではあるが強力な打撃には耐えられない。",
"$ITM_A_LIGHT_11","アサシン殺し","一見すると、ただの貴族のシャツのようだが、よく見ると、服の内側に縫い付けられた金属片が幾層にも折り重なっており、暗殺者から身を守るのに最適。",
"$ITM_A_LIGHT_12","シルクギャンベソン","丈夫なシルクを幾層にも重ねて仕上げられた一品。中には馬の毛が入っており、矢から身を守ることもできる。かすり傷一つ付かないだろう。",
"$ITM_A_LIGHT_13","マスターアーチャー","最上級の絹に、その持ち主がアーチャーの王であることを示す複雑なデザインの刺繍が施されている。多くの修復が行われた痕跡があり、この類稀なる鎧は王から王へと受け継がれ、数多の戦場を渡り歩いてきたと考えられる。",
"$ITM_A_LIGHT_14","プラチナフリース","金のフリースよりもはるかに貴重品。アクシマ・ヴァッタ・ムトゥナクソーの遺体から剥ぎ取られた、目を潰さんばかりに眩いこのフリースは、他の追随を許さない。",
"$ITM_A_LIGHT_15","族長のチュニック+","華やかな色合いの遊牧民のチュニック。羊毛でできており、華麗な刺繍が施されている。裾には曲がりくねり続けるワールド・ツリーの根が描かれている。呪文の効果で、通常よりも強力。",
"$ITM_A_LIGHT_16","タイガーベスト+","衣服のルーツとして、クウェイド帝国の火が革に描かれている。呪文の効果で、通常よりも強力。",
"$ITM_A_LIGHT_17","オジマルコート+","ちょっとクサい。呪文の効果で、通常よりも強力。",
"$ITM_A_LIGHT_18","バトル修道服+","パッドをたくさん詰め込んだ修道服。真実と秩序の擁護を掲げるセリーニ9番目の分家の家紋が装飾されている。呪文の効果で、通常よりも強力。",
"$ITM_A_LIGHT_19","アサシン殺し+","一見すると、ただの貴族のシャツのようだが、よく見ると、服の内側に縫い付けられた金属片が幾層にも折り重なっており、暗殺者から身を守るのに最適。呪文の効果で、通常よりも強力。",
"$ITM_A_LIGHT_20","マスターアーチャー+","最上級の絹に、その持ち主がアーチャーの王であることを示す複雑なデザインの刺繍が施されている。多くの修復が行われた痕跡があり、この類稀なる鎧は王から王へと受け継がれ、数多の戦場を渡り歩いてきたと考えられる。呪文の効果で、通常よりも強力。",
"$ITM_A_LIGHT_21","プラチナフリース+","金のフリースよりもはるかに貴重品。アクシマ・ヴァッタ・ムトゥナクソーの遺体から剥ぎ取られた、目を潰さんばかりに眩いこのフリースは、他の追随を許さない。呪文の効果で、通常よりも強力。",
"$ITM_A_LIGHT_22","粗い布+","服の下に着る黄色い粗布。かゆいが、何もないよりはマシ。呪文の効果で、通常よりも強力。",
"$ITM_A_LIGHT_23","獣の革+","乾燥させた動物の革を縫い合わせベストにしたもの。分厚くて頑丈。呪文の効果で、通常よりも強力。",
"$ITM_A_LIGHT_24","ウールチュニック+","遊牧民の羊飼いがつくった高価な羊毛のチュニック。丈が長く分厚い。呪文の効果で、通常よりも強力。",
"$ITM_A_LIGHT_25","毛皮+","温かいふかふかのベスト。高価な毛皮でできている。呪文の効果で、通常よりも強力。",
"$ITM_A_LIGHT_26","レザー+","精巧なデザインの上着。保存処理の施された革を丁寧に縫い合わせてつくられている。呪文の効果で、通常よりも強力。",
"$ITM_A_LIGHT_27","ウールギャンベソン+","上質のウールを重ねて仕上げた一品。毛を詰め、丹念に縫い合わせてつくられている。頑丈ではあるが強力な打撃には耐えられない。呪文の効果で、通常よりも強力。",
"$ITM_A_LIGHT_28","シルクギャンベソン+","丈夫なシルクを幾層にも重ねて仕上げられた一品。中には馬の毛が入っており、矢から身を守ることもできる。かすり傷一つ付かないだろう。呪文の効果で、通常よりも強力。",
"$ITM_A_HEAVY_1","チェーンジャック","軽い作りのギャンベソン。粗悪な鉄の輪が両腕の外側に数個取り付けられており、これが防御力を高めている。",
"$ITM_A_HEAVY_2","鎖帷子","内側で数百もの鉄の輪が繋がったシャツ。一つひとつがリベットで固定され、外れない仕組みになっている。",
"$ITM_A_HEAVY_3","グローリーウォー","優美で品のあるクウェイド帝国の鎧。鎖帷子の輪が青く染まり、最後の列だけ金メッキで裾が金色に輝く。強化プレートには金箔で王室のシンボルが描かれ、表面にはクウェイド語で「熟考し始めるのに遅過ぎることはない」と彫られている。角の辺りは急いで彫られたのか解読不可能。",
"$ITM_A_HEAVY_4","ミックスメイル","鎖帷子の鎧。胴部保護を強化するため、鉄のプレートが鉄の輪に繋がれている。歩兵隊が着る標準的な装備だ。",
"$ITM_A_HEAVY_5","騎馬兵のラメラー","大きな肩当てとすね当てが付いたデザインに秀でた馬具。金メッキされた籠手と絹のギャンベソンから元の持ち主が裕福でお洒落な兵士だったのは一目瞭然。プレートの文字はその国の公用語ではないようだが、心臓部にあることから魔除けだったと思われる。",
"$ITM_A_HEAVY_6","ラメラーアーマー","数え切れないほどの鉄のプレートが、丈夫なシルクの紐に織り込まれている。",
"$ITM_A_HEAVY_7","反逆のハーネス","金メッキを施したアッシュ王国製のハーネス。恐らくは、高級将校のもの。キャンバス地の表面は修復されているが、アッシュ語で「裏切り者」を意味する文字が記されたままである。傷付いてはいないものの、赤い染料の上には血痕がまだはっきり残っている。",
"$ITM_A_HEAVY_8","プレートコート","胴部に着用する防具。キャンバスコートの内側に数個の大きく重い鉄をリベットで固定してつくられている。",
"$ITM_A_HEAVY_9","強きウォコラン","緑のベルベット地のブリガンダイン。クウェイド重騎兵の特徴である大きな輝く肩当てがついている。英雄ウォコランが素手で熊の頭を潰す様が金の紋章で描かれ、下には彼の子のワスタンとワセラが亡国の旅を乗り切るため熊の口から流れた血を飲む様が描かれる。",
"$ITM_A_HEAVY_10","ブリガンダイン","胴部に着用する防具。キャンバス地とビロードの骨組みに、数百もの鉄のプレートがリベットで固定されてる。",
"$ITM_A_HEAVY_11","ウォーデン卿のハーネス","この優れたハーネスの記章は、持ち主がウォーデン卿であることを示している。彼は、将校として奈落の視察を任された際、行方不明になってしまった。その経緯はいまだ不明ながら、肩のストラップに付いた血痕を見る限り不運に見舞われたと推察される。",
"$ITM_A_HEAVY_12","プレートハーネス","複雑な形の鋼鉄のプレートが革の台座につながれている。防御力を最大化させつつも十分な可動範囲を保つ、アッシュ王国の騎士に愛された一品。",
