"flag","name","description",
"$ITEM_SWORD","<RE>$ITM_W_SWORD"," ",
"$ITEM_BOW","<RE>$ITM_W_BOW","  ",
"$ITEM_STAFF","<RE>$ITM_W_STAFF"," ",
"$ITEM_LIGHT","<RE>$ITM_A_LIGHT"," ",
"$ITEM_HEAVY","<RE>$ITM_A_HEAVY"," ",
"$ITEM_BOOK","<RE>$ITM_W_BOOK"," ",
"$ITEM_WEAPON","무기"," ",
"$ITEM_ARMOR","방어구"," ",
"$ITM_W_BOOK","책","<NULL>",
"$ITM_W_BOOK_PLURAL","책","<NULL>",
"$ITM_A_LIGHT","경갑","<NULL>",
"$ITM_A_LIGHT_PLURAL","경갑","<NULL>",
"$ITM_A_HEAVY","중갑","<NULL>",
"$ITM_A_HEAVY_PLURAL","중갑","<NULL>",
"$ITM_W_SWORD","검","<NULL>",
"$ITM_W_SWORD_PLURAL","검","<NULL>",
"$ITM_W_BOW","활","<NULL>",
"$ITM_W_BOW_PLURAL","활","<NULL>",
"$ITM_W_STAFF","지팡이","<NULL>",
"$ITM_W_STAFF_PLURAL","지팡이","<NULL>",
"$ITM_A_LIGHT_PLURAL_SHORT","경갑","<NULL>",
"$ITM_A_HEAVY_PLURAL_SHORT","중갑","<NULL>",
"$ITM_W_SWORD_PLURAL_SHORT","검","<NULL>",
"$ITM_W_STAFF_PLURAL_SHORT","스태프","<NULL>",
"$ITM_W_BOW_PLURAL_SHORT","활","<NULL>",
"$ITM_W_BOOK_PLURAL_SHORT","책","<NULL>",
"$ITM_A_LIGHT_1","자루 옷","옷 아래 입는 삼베로 만든 자루. 없는 것보단 낫겠죠.",
"$ITM_A_LIGHT_2","생가죽","건조한 후, 손 대지 않은 동물의 가죽입니다. 호신용 조끼를 만드는데 사용됩니다. 두껍고 튼튼합니다.",
"$ITM_A_LIGHT_3","족장의 튜닉","현란한 색을 띈 유목민의 튜닉입니다. 두꺼운 양털과 화려한 자수로 만들어졌습니다. 옷단은 끝없이 얽혀있는 세계수의 뿌리를 본떴습니다.",
"$ITM_A_LIGHT_4","두꺼운 양털 튜닉","유목민의 목동 느낌의 길고 두꺼운 튜닉입니다.",
"$ITM_A_LIGHT_5","호랑이 가죽조끼","가죽 벨트에 새겨진 퀘이드 불꽃 장식만이 이 이국적인 물건의 기원을 암시해주고 있습니다.",
"$ITM_A_LIGHT_6","모피","귀중한 털 가죽으로 만든 푹신하고 따뜻한 조끼입니다.",
"$ITM_A_LIGHT_7","오지말의 코트","희미한 치즈 냄새가 납니다.",
"$ITM_A_LIGHT_8","가죽","무두질한 가죽을 주의 깊게 꿰맨 맵시 있는 조끼입니다.",
"$ITM_A_LIGHT_9","전투 수도승의 의복","이 두꺼운 수도사 의복에는 진실과 질서의 수호 가문인 '셀리니의 9번째 나뭇가지'의 문양이 장식되어 있습니다.",
"$ITM_A_LIGHT_10","양털 누비옷","좋은 양모를 몇 겹이나 겹쳐 공들여 꿰맨 다음, 사이에 남는 천이나 동물의 털을 욱여넣어 튼튼한 방어구를 만들었습니다. 치명상만 아니라면 거의 막아낼 수 있습니다.",
"$ITM_A_LIGHT_11","암살자의 어리석음","주의 깊게 보지 않는다면 그저 화려한 귀족의 의복이지만, 좀 더 자세히 본다면 옷 안쪽에 얇은 금속판들을 꿰매어 붙였다는 사실을 알 수 있습니다. 등 쪽에 난 자그마한 흠집은, 이 기발한 디자인의 옷이 최소한 한 번의 암살 시도는 막았었다는 사실을 알려줍니다.",
"$ITM_A_LIGHT_12","비단 누비옷","튼튼한 비단 여러 겹을 겹쳐 말갈기로 꿰매어, 화살 정도는 상처도 없이 막을 수 있는 방어구를 만들었습니다.",
"$ITM_A_LIGHT_13","활의 달인","애쉬가의 누비옷으로, 최상급의 비단 위에 현란하게 수놓인 자수는 그 주인이 '활의 달인'임을 여실히 드러내 보여줍니다. 표면에 자잘하게 수선한 흔적이 수십 개는 되는 것으로 보아. 이 대적할 자 없을 갑옷은 많은 전장에서 활약했음을 알 수 있습니다. 대부분 선대 마스터에게서 물려받는 식으로 이어져왔겠죠.",
"$ITM_A_LIGHT_14","백금 양털","황금 양털 따위와는 비교도 안되게 귀중한 물건입니다. 전설의 양 Axxima Vatta Muttunaxxor의 시체에서 벗겨낸 가죽으로, 그 눈부신 광채는 감히 어디에 비할 바가 되지 못 합니다.",
"$ITM_A_LIGHT_15","족장의 튜닉+","현란한 색을 띈 유목민의 튜닉입니다. 두꺼운 양털과 화려한 자수로 만들어졌습니다. 옷단은 끝없이 얽혀있는 세계수의 뿌리를 본떴습니다.",
"$ITM_A_LIGHT_16","호랑이 가죽조끼+","가죽 벨트에 새겨진 퀘이드 불꽃 장식만이 이 이국적인 물건의 기원을 암시해주고 있습니다.",
"$ITM_A_LIGHT_17","오지말의 코트+","희미한 치즈 냄새가 납니다.",
"$ITM_A_LIGHT_18","전투 수도승의 의복+","이 두꺼운 수도사 의복에는 진실과 질서의 수호 가문인 '셀리니의 9번째 나뭇가지'의 문양이 장식되어 있습니다.",
"$ITM_A_LIGHT_19","암살자의 어리석음+","주의 깊게 보지 않는다면 그저 화려한 귀족의 의복이지만, 좀 더 자세히 본다면 옷 안쪽에 얇은 금속판들을 꿰매어 붙였다는 사실을 알 수 있습니다. 등 쪽에 난 자그마한 흠집은, 이 기발한 디자인의 옷이 최소한 한 번의 암살 시도는 막았었다는 사실을 알려줍니다.",
"$ITM_A_LIGHT_20","활의 달인+","애쉬가의 솜옷으로, 갑옷 밑에 받쳐 입습니다. 최상급의 비단 위에 현란하게 수놓인 자수는, 그 주인이 '활의 달인'임을 여실히 드러내 보여줍니다. 표면에 자잘하게 수선한 흔적이 수십 개는 되는 것으로 보아. 이 대적할 자 없을 갑옷은 많은 전장에서 활약했음을 알 수 있습니다. 대부분 선대 마스터에게서 물려받는 식으로 이어져왔겠죠.",
"$ITM_A_LIGHT_21","백금 양털+","황금 양털 따위와는 비교도 안되게 귀중한 물건입니다. 전설의 양 Axxima Vatta Muttunaxxor의 시체에서 벗겨낸 가죽으로, 그 눈부신 광채는 감히 어디에 비할 바가 되지 못 합니다.",
"$ITM_A_LIGHT_22","자루 옷+","옷 아래 입는 삼베로 만든 자루. 없는 것보단 낫겠죠. 강화되어 더 강력해졌습니다.",
"$ITM_A_LIGHT_23","생가죽+","건조한 후, 손 대지 않은 동물의 가죽입니다. 호신용 조끼를 만드는데 사용됩니다. 두껍고 튼튼합니다. 강화되어 더 강력해졌습니다.",
"$ITM_A_LIGHT_24","두꺼운 양털 튜닉+","유목민의 목동 느낌의 길고 두꺼운 튜닉입니다. 강화되어 더 강력해졌습니다.",
"$ITM_A_LIGHT_25","모피+","귀중한 털 가죽으로 만든 푹신하고 따뜻한 조끼입니다. 강화되어 더 강력해졌습니다.",
"$ITM_A_LIGHT_26","가죽+","무두질한 가죽을 주의 깊게 꿰맨 맵시 있는 조끼입니다. 강화되어 더 강력해졌습니다.",
"$ITM_A_LIGHT_27","양털 누비옷+","좋은 양모를 몇 겹이나 겹쳐 공들여 꿰맨 다음, 사이에 남는 천이나 동물의 털을 욱여넣어 튼튼한 방어구를 만들었습니다. 치명상만 아니라면 거의 막아낼 수 있습니다. 강화되어 더 강력해졌습니다.",
"$ITM_A_LIGHT_28","비단 누비옷+","튼튼한 비단 여러 겹을 겹쳐 말갈기로 꿰매어, 화살 정도는 상처도 없이 막을 수 있는 방어구를 만들었습니다. 강화되어 더 강력해졌습니다.",
"$ITM_A_HEAVY_1","사슬 가죽조끼","가벼운 누비옷 위에 대충 제련한 쇠사슬을 붙여, 방어력을 더욱 보강한 물건입니다.",
"$ITM_A_HEAVY_2","사슬 셔츠","수백 개의 쇠사슬을 이어서 만든 셔츠로, 사슬이 튀어나가는 것을 막기 위해 하나하나가 대갈 못으로 박혀있습니다.",
"$ITM_A_HEAVY_3","전쟁의 영광","우아한 자태를 뽐내는 세련된 퀘이드 갑옷입니다. 사슬 하나하나가 모두 파랗게 물들어 있으며, 웃옷의 끝단은 금빛으로 마감되어 있습니다. 갑옷에 덧붙인 철판들은 하나하나가 모두 도금으로 장식되어 있으며 황족의 표식을 두드러지게 나타내고 있습니다. 표면에는 퀘이드어로 ""지금 생각해봐야 다 부질없는 것을""이라는 말이 거칠게 새겨져 있습니다. 판금의 곳곳에 몇몇 단어가 더 새겨져 있지만, 급하게 휘갈겼는지 거의 알아보기 힘듭니다.",
"$ITM_A_HEAVY_4","혼합 사슬 갑옷","사슬 갑옷 위에 철판을 덧붙여, 몸 쪽의 방어력을 보강했습니다. 퀘이드 보병의 제식 갑옷입니다.",
