"flag","content","comment",
"$TITLE_START_DEMO","데모 시작",,
"$TITLE_FULL_GAME","전체 게임",,
"$TITLE_START_GAME","게임 시작",,
"$TITLE_START","시작",,
"$TITLE_QUIT","나가기",,
"$TITLE_EULA_1","이 게임을 플레이하는 것은 당신이",,
"$TITLE_EULA_2","EULA에 동의한다는 것을 뜻합니다.",,
"$TITLE_PLEASE_WAIT","<RE>$MISC_PLEASE_WAIT","COMMENT: this is a redirect, the text for $MISC_PLEASE_WAIT will be duplicated here. The <RE> invocation at the beginning of the string signals a redirect, and will not show up in the final text",
"$TITLE_BONUS_GOODIES","추가 항목",,
"$TITLE_BONUS_GOODIES_2","비밀?",,
"$TITLE_CONNECTING_KONG","KONG에 접속 중...",,
"$TITLE_UNLOAD_MOD","모드 되돌리기",,
"$TITLE_RELOAD_MOD","모드 다시 불러오기",,
"$DEMO_OVER_PLEASE_WAIT","<RE>$MISC_PLEASE_WAIT",,
"$DEMO_OVER_DONT_FORGET","세이브 파일을 잊지 마세요!",,
"$DEMO_OVER_EXPORT_HOW","이 버튼으로 당신의 세이브 파일을 내보내세요",,
"$DEMO_OVER_USE_IT","게임을 이전 종료 지점부터 이어서 플레이할 때 사용하세요",,
"$DEMO_OVER_PLAY","계속 플레이하세요!",,
"$DEMO_OVER_THANKS","플레이해주셔서 감사합니다!",,
"$DEMO_OVER_ENORMOUS","큰 버튼을 눌러서 퀘스트를 계속하세요!",,
"$DEMO_OVER_ENORMOUS_2","큰 버튼을 눌러서 퀘스트를 계속하세요!",,
"$DEMO_OVER_FULL_GAME","본 게임을 구입하세요!",,
"$DEMO_OVER_FULL_GAME_SHORT","본<N>게임!","COMMENT: <N> means a line break. <N> works too, but not <N> or <n>",
"$DEMO_OVER_ACTS","3&4<N>장",,
"$DEMO_ONLY_X_KREDS","단 <X> Kred회원만!",,
"$DEMO_ONLY_LOGIN_TITLE","무료!",,
"$DEMO_ONLY_LOGIN_TEXT","3장과 4장을 해금하세요!<N>2개의 추가 직업!<N>6새의 추가 맵!<N><N>@공짜:@<N>Kongregate 계정을 등록하세요<N>(이미 있다면 로그인)<N>그리고 게임을 재시작하세요.",,
"$DEMO_ONLY_BUY_TEXT","@게임 및 사운드트랙 다운로드 포함!@<N>3-7장을 해금하세요!<N>6개의 모든 직업!<N>108개의 컷씬!<N>39개의 전장<N>14개의 추가전투!<N><N>새게임+<N>본게임x2!<N>새로운 적들!<N>7개의 새 부가임무!<N>Loo",,
"$DEMO_FREE_IF_REGISTERED","등록 시 무료!",,
"$ERROR_TITLE","오류가 발생했습니다.",,
"$ERROR_NUMBER","오류 #",,
"$ERROR_CONTEXT","context",,
"$ERROR_MESSAGE","메시지",,
"$ERROR_STACK","stack trace",,
"$PARTY_FROM_BATTLE","전장에서",,
"$PARTY_GO_TO_MAP","지도로",,
"$PARTY_RETURN_TOWN","마을로 돌아가기",,
"$PARTY_CANT_WEAPON","무기를<N>사용할 수<N>없습니다.",,
"$PARTY_CANT_ARMOR","방어구를<N>사용할 수<N>없습니다.",,
"$PARTY_RESET_POINTS","포인트 리셋",,
"$PARTY_X_PTS","<X> 점",,
"$PARTY_CONFIRM_CHANGES","확인",,
"$PARTY_FAILED","레벨 실패!",,
"$PARTY_FAILED_DESC","<MCG>이(가) 사망하였습니다.","COMMENT: <MCG> is a variable. In this exact string, the game expects this exact variable, and will replace <MCG> with Azra's name. Any other variable is ignored and will appear as-is.",
"$PARTY_NO_NEW_ACHIEVE","새로운 도전과제 없음",,
"$PARTY_WELL_DONE","성공!",,
"$PARTY_ACHIEVE_SINGULAR","도전과제",,
"$PARTY_ACHIEVE_PLURAL","도전과제",,
"$PARTY_1_NEW_ACHIEVE","새로운 도전과제가 있습니다!",,
"$PARTY_X_NEW_ACHIEVE","<NUM>개의 새로운 도전과제가 있습니다!",,
"$PARTY_PERFECT_WORD","완벽합니다!",,
"$PARTY_PASSED_WORD","통과",,
"$PARTY_FAIL_PENALTY","실패 페널티",,
"$PARTY_TOTAL","총점",,
"$PARTY_PERFECT","완벽합니다!",,
"$PARTY_PERFECT+","완벽합니다!+",,
