"flag","nick_name","flavor_name","flavor_text",
"$EN_NORMAL_NOMONEY_PLUS","NORMAL+","Загробник+","Оживший мертвец|В преисподней трупы часто воскресают через несколько дней после смерти.
Эти монстры известны как ''загробник'', что означает: ''тот, кто возвратился.''",
"$EN_NORMAL_PLUS","NORMAL+","Загробник+","Оживший мертвец|В преисподней трупы часто воскресают через несколько дней после смерти.
Эти монстры известны как ''загробник'', что означает: ''тот, кто возвратился.''",
"$EN_CULTIST_PLUS","CULTIST+","Сектант+","Превращенный сектант|'Секта одержимых кровью' зародилась как секта кочевников, известная своими кровавыми обрядами.
Когда их религия переросла в генотеистическое поклонение Эзтли-Теноху, они начали совершать набеги на другие племена.
Эти сказания дошли до нас от выживших Гека после великой резни. Говорят, что сектанты превращаются в загробников по своей воле.",
"$EN_ARMORED CULTIST_PLUS","CULTIST PRIEST+","Жрец-сектант+","Жрец-сектант|'Секта одержимых кровью' зародилась как секта кочевников, известная своими кровавыми обрядами.
Когда их религия переросла в генотеистическое поклонение Эзтли-Теноху, они начали совершать набеги на другие племена.
Эти сказания дошли до нас от выживших Гека после великой резни. Говорят, что сектанты превращаются в загробников по своей воле.",
"$EN_INSANE CULTIST_PLUS","INSANE CULTIST+","Верховный жрец+","Верховный жрец-сектант|'Секта одержимых кровью' зародилась как секта кочевников, известная своими кровавыми обрядами.
Когда их религия переросла в генотеистическое поклонение Эзтли-Теноху, они начали совершать набеги на другие племена.
Эти сказания дошли до нас от выживших Гека после великой резни. Говорят, что сектанты превращаются в загробников по своей воле.",
"$EN_NORMAL_EXP_PLUS","NORMAL+","Загробник+","Оживший мертвец|В преисподней трупы часто воскресают через несколько дней после смерти.
Эти монстры известны как ''загробник'', что означает: ''тот, кто возвратился.''",
"$EN_NORMAL_EXP_PSI_PLUS","NORMAL+","Загробник+","Оживший мертвец|В преисподней трупы часто воскресают через несколько дней после смерти.
Эти монстры известны как ''загробник'', что означает: ''тот, кто возвратился.''",
"$EN_NORMAL_W_PLUS","NORMAL+","Демон воды+ ","Плавающий загробник|Этот загробник выделяет липкую слизь, делая свое тело водонепроницаемым.
Ядовитые газы заполнили его живот, благодаря этому он не тонет.",
"$EN_ARMORED_PLUS","ARMORED+","Падший рыцарь+","Бронированный загробник|Эти загробники когда-то были рыцарями, что пали в бою.
Они не сохранили свое мышление и навыки, что были у них при жизни, но броня осталась при них.",
"$EN_SPEEDY_PLUS","FAST+","Червь+","Быстрое порождение загробник|Это быстро движущееся червеобразное существо имеет несколько рядов острых зубов.
Очевидцы говорят, что они вырываются из большого, раздутого загробника, который неделями разлагался.",
"$EN_SPEEDY_W_PLUS","FAST+","Змей+","Быстрое плавающее порождение|Говорят, что эти быстрые плавающие черви-загробники отделяются от плавающего людского загробника.
Другие предполагают, что они вышли из трупов рыб и речных змей.",
"$EN_ARMORED SPEEDY_PLUS","FAST+","Панцирный червь+","Быстрое бронированное порождение|Этому червеобразному загробнику удалось отрастить толстый панцирь.
Многие предполагают, что бронированный панцирь состоит из переваренных костей мертвецов.",
"$EN_ARMORED_SPEEDY_W_PLUS","FAST+","Панцирный змей+","Быстрое бронированное водное порождение|Этот водный червь-загробник отрастил крепкий панцирь и научился плавать.
Запах переваренных костей и вредного газа невыносим.",
"$EN_ATTACKER_PLUS","FIGHTER+","Безумный вурдалак+","Атакующий загробник|Некоторые загробники более агрессивны.
В то время как нормальные загробники целеустремленно атакуют одну жертву, эти атакуют всех поблизости.",
"$EN_DARK ATTACKER_PLUS","SHADOW BOXER+","Темный вурдалак+","Темный атакующий загробник|Газы накапливаются в животе загробника и выделяются через поры в коже, окружая толстое существо вредным плотным облаком, делая его менее заметным и запутывая жертв.",
"$EN_ATTACKER_W_PLUS","FIGHTER+","Речной вурдалак+","Атакующий водный загробник|Ходят слухи о зловонных трупах, изобилующих в преисподней, выходящих из воды и нападающих на измученных жаждой деревенских жителей.
Никто не осмеливается подойти к воде в одиночку и только безумец рискнет плавать.",
"$EN_ARMORED ATTACKER_PLUS","FIGHTER+","Сумасшедший рыцарь+","Атакующий бронированный загробник|Эти падшие рыцари ужасны и сильны.
Их неземные крики эхом разносятся по катакомбам и всей пустоши.",
"$EN_APC_PLUS","SPLITTER+","Чудовище+","Порождает потомство|Эти раздутые трупы едва могут двигаться и выглядят, словно готовы лопнуть в любой момент.
Несколько рядов зубов торчат во все стороны изо рта. Они настолько большие, что вряд ли ими можно пожирать, тем более закрыть рот.",
"$EN_APC_W_PLUS","SPLITTER+","Зловонный труп+","Порождает водное потомство|От этих загробников несет как от мешка гнилой рыбы, который выкинули в канализацию и там оставили разлагаться.
Они легко передвигаются по воде и могут лопнуть в любой момент.",
"$EN_ARMORED APC_PLUS","ARMORED SPLIT+","Панцирный зверь+","Порождает панцирное потомство|Гигантский панцирь защищает этот чудовищный шар переваривающейся плоти.
Многие считают, что у него не осталось костного скелета.",
"$EN_DOUBLE APC_PLUS","DOUBLE SPLIT+","Мерзость+","Порождает плюющееся потомство|Этот странный монстр обесцвечен и сильно раздут.
Что бы это значило?",
"$EN_ARMORED RANGED ATTACKER_PLUS","RANGED+","Рыцарь-змей+","Плюющийся загробник|Спустя несколько недель странный процесс начинает переваривать и деформировать тело загробника.
Свидетели сообщают о нападении безглазых ''змеелюдей'', извергающих зловонную желчь.",
"$EN_RANGED ATTACKER_PLUS","RANGED+","Змей-вурдалак+","Плюющийся загробник|Спустя несколько недель странный процесс начинает переваривать и деформировать тело загробника.
Свидетели сообщают о нападении безглазых ''змеелюдей'', извергающих зловонную желчь.",
